Team__1,Seed__1,Score__1,Team__2,Seed__2,Score__2,Winning_Team,Win__1,KP__Rk_AdjEM__1,KP__Conf__1,KP__W-L__1,KP__Wins__1,KP__Losses__1,KP__WinPct__1,KP__AdjEM__1,KP__AdjO__1,KP__Rk_AdjO__1,KP__AdjD__1,KP__Rk_AdjD__1,KP__AdjT__1,KP__Rk_AdjT__1,KP__Luck__1,KP__Rk_Luck__1,KP__SOS_AdjEM__1,KP__Rk_SOS_AdjEM__1,KP__SOS_AdjO__1,KP__Rk_SOS_AdjO__1,KP__SOS_AdjD__1,KP__Rk_SOS_AdjD__1,KP__NCSOS_AdjEM__1,KP__Rk_NCSOS_AdjEM__1,KP__Rk_AdjEM__2,KP__Conf__2,KP__W-L__2,KP__Wins__2,KP__Losses__2,KP__WinPct__2,KP__AdjEM__2,KP__AdjO__2,KP__Rk_AdjO__2,KP__AdjD__2,KP__Rk_AdjD__2,KP__AdjT__2,KP__Rk_AdjT__2,KP__Luck__2,KP__Rk_Luck__2,KP__SOS_AdjEM__2,KP__Rk_SOS_AdjEM__2,KP__SOS_AdjO__2,KP__Rk_SOS_AdjO__2,KP__SOS_AdjD__2,KP__Rk_SOS_AdjD__2,KP__NCSOS_AdjEM__2,KP__Rk_NCSOS_AdjEM__2,BT__Rk__1,BT__Conf__1,BT__G__1,BT__Rec__1,BT__Wins__1,BT__Losses__1,BT__WinPct__1,BT__AdjO__1,BT__Rk_AdjO__1,BT__AdjD__1,BT__Rk_AdjD__1,BT__Barthag__1,BT__Rk_Barthag__1,BT__EFG%__1,BT__Rk_EFG%__1,BT__EFGD%__1,BT__Rk_EFGD%__1,BT__TOR__1,BT__Rk_TOR__1,BT__TORD__1,BT__Rk_TORD__1,BT__ORB__1,BT__Rk_ORB__1,BT__DRB__1,BT__Rk_DRB__1,BT__FTR__1,BT__Rk_FTR__1,BT__FTRD__1,BT__Rk_FTRD__1,BT__2P%__1,BT__Rk_2P%__1,BT__2P%D__1,BT__Rk_2P%D__1,BT__3P%__1,BT__Rk_3P%__1,BT__3P%D__1,BT__Rk_3P%D__1,BT__3PR__1,BT__Rk_3PR__1,BT__3PRD__1,BT__Rk_3PRD__1,BT__AdjT__1,BT__Rk_AdjT__1,BT__WAB__1,BT__Rk_WAB__1,BT__Rk__2,BT__Conf__2,BT__G__2,BT__Rec__2,BT__Wins__2,BT__Losses__2,BT__WinPct__2,BT__AdjO__2,BT__Rk_AdjO__2,BT__AdjD__2,BT__Rk_AdjD__2,BT__Barthag__2,BT__Rk_Barthag__2,BT__EFG%__2,BT__Rk_EFG%__2,BT__EFGD%__2,BT__Rk_EFGD%__2,BT__TOR__2,BT__Rk_TOR__2,BT__TORD__2,BT__Rk_TORD__2,BT__ORB__2,BT__Rk_ORB__2,BT__DRB__2,BT__Rk_DRB__2,BT__FTR__2,BT__Rk_FTR__2,BT__FTRD__2,BT__Rk_FTRD__2,BT__2P%__2,BT__Rk_2P%__2,BT__2P%D__2,BT__Rk_2P%D__2,BT__3P%__2,BT__Rk_3P%__2,BT__3P%D__2,BT__Rk_3P%D__2,BT__3PR__2,BT__Rk_3PR__2,BT__3PRD__2,BT__Rk_3PRD__2,BT__AdjT__2,BT__Rk_AdjT__2,BT__WAB__2,BT__Rk_WAB__2,BTHOT__Rk__1,BTHOT__Conf__1,BTHOT__G__1,BTHOT__Rec__1,BTHOT__Wins__1,BTHOT__Losses__1,BTHOT__WinPct__1,BTHOT__AdjO__1,BTHOT__Rk_AdjO__1,BTHOT__AdjD__1,BTHOT__Rk_AdjD__1,BTHOT__Barthag__1,BTHOT__Rk_Barthag__1,BTHOT__EFG%__1,BTHOT__Rk_EFG%__1,BTHOT__EFGD%__1,BTHOT__Rk_EFGD%__1,BTHOT__TOR__1,BTHOT__Rk_TOR__1,BTHOT__TORD__1,BTHOT__Rk_TORD__1,BTHOT__ORB__1,BTHOT__Rk_ORB__1,BTHOT__DRB__1,BTHOT__Rk_DRB__1,BTHOT__FTR__1,BTHOT__Rk_FTR__1,BTHOT__FTRD__1,BTHOT__Rk_FTRD__1,BTHOT__2P%__1,BTHOT__Rk_2P%__1,BTHOT__2P%D__1,BTHOT__Rk_2P%D__1,BTHOT__3P%__1,BTHOT__Rk_3P%__1,BTHOT__3P%D__1,BTHOT__Rk_3P%D__1,BTHOT__3PR__1,BTHOT__Rk_3PR__1,BTHOT__3PRD__1,BTHOT__Rk_3PRD__1,BTHOT__AdjT__1,BTHOT__Rk_AdjT__1,BTHOT__WAB__1,BTHOT__Rk_WAB__1,BTHOT__Rk__2,BTHOT__Conf__2,BTHOT__G__2,BTHOT__Rec__2,BTHOT__Wins__2,BTHOT__Losses__2,BTHOT__WinPct__2,BTHOT__AdjO__2,BTHOT__Rk_AdjO__2,BTHOT__AdjD__2,BTHOT__Rk_AdjD__2,BTHOT__Barthag__2,BTHOT__Rk_Barthag__2,BTHOT__EFG%__2,BTHOT__Rk_EFG%__2,BTHOT__EFGD%__2,BTHOT__Rk_EFGD%__2,BTHOT__TOR__2,BTHOT__Rk_TOR__2,BTHOT__TORD__2,BTHOT__Rk_TORD__2,BTHOT__ORB__2,BTHOT__Rk_ORB__2,BTHOT__DRB__2,BTHOT__Rk_DRB__2,BTHOT__FTR__2,BTHOT__Rk_FTR__2,BTHOT__FTRD__2,BTHOT__Rk_FTRD__2,BTHOT__2P%__2,BTHOT__Rk_2P%__2,BTHOT__2P%D__2,BTHOT__Rk_2P%D__2,BTHOT__3P%__2,BTHOT__Rk_3P%__2,BTHOT__3P%D__2,BTHOT__Rk_3P%D__2,BTHOT__3PR__2,BTHOT__Rk_3PR__2,BTHOT__3PRD__2,BTHOT__Rk_3PRD__2,BTHOT__AdjT__2,BTHOT__Rk_AdjT__2,BTHOT__WAB__2,BTHOT__Rk_WAB__2
Louisville,1,85,Duke,2,63,Louisville,True,3,BE,29-5,29,5,0.8529411764705882,33.5,114.5,15,81.0,1,67.3,111,-0.03,255,10.1,6,105.8,10,95.7,9,,96,5,ACC,27-5,27,5,0.84375,28.8,119.4,4,90.6,26,67.9,82,0.018,134,9.9,8,106.7,8,96.8,39,,20,3,BE,34,29-5,29,5,0.8529,112.6,21,83.5,1,0.9686,3,49.5,120,44.0,18,18.7,99,27.6,2,38.4,14,33.7,253,38.8,92,33.7,120,49.5,87,42.7,26,33.1,209,31.2,49,30.3,257,33.5,190,67.5,104,9.0,1,6,ACC,32,27-5,27,5,0.8438,118.0,4,91.3,30,0.9502,6,54.4,12,45.7,59,15.6,4,20.9,120,29.4,243,32.9,214,37.7,118,31.4,69,51.1,43,46.3,123,40.6,5,29.3,10,33.3,162,26.8,21,68.1,78,7.6,4,3,BE,34,29-5,29,5,0.1471,6.6,0.0,0.4,6.0,0.0141,-2.0,2.4,-36.0,0.3,48.0,1.2,97.0,-0.1,5.0,-2.2,48.0,5.8,32.0,5.4,-23.0,-1.0,-1.0,-1.3,43.0,0.4,35.0,6.1,-140.0,-0.1,58.0,4.1,-121.0,1.6,11.0,-0.3,-25.0,-6.8,0.0,6,ACC,32,27-5,27,5,-0.3438,3.0,8.0,1.6,17.0,0.0042,1.0,-3.1,83.0,-0.1,31.0,0.4,69.0,-1.9,21.0,-1.5,-26.0,3.9,39.0,-11.4,157.0,2.2,61.0,9.7,-35.0,1.8,47.0,-18.1,297.0,-2.8,38.0,1.8,-39.0,3.3,72.0,-5.3,135.0,-7.41,55.0
Wichita State,9,70,Ohio State,2,66,Wichita State,True,33,MVC,26-8,26,8,0.7647058823529411,17.8,109.1,50,91.3,31,64.5,230,-0.002,188,5.0,36,104.2,59,99.2,102,,137,6,B10,26-7,26,7,0.7878787878787878,28.1,114.6,14,86.5,6,64.3,248,0.019,132,10.1,7,105.4,20,95.3,6,,272,35,MVC,34,26-8,26,8,0.7647,107.8,60,91.6,32,0.8668,35,50.2,99,46.0,69,19.8,156,20.4,147,38.0,18,25.3,6,35.8,176,37.4,207,50.1,66,44.0,51,33.7,172,33.0,119,35.2,110,36.2,291,64.8,228,2.3,31,7,B10,33,26-7,26,7,0.7879,113.4,15,89.3,14,0.9397,7,50.8,79,45.2,41,16.6,15,20.7,133,32.2,147,27.6,35,34.2,224,28.4,28,50.0,68,43.6,41,35.1,110,32.0,78,31.1,230,35.7,269,65.0,216,7.2,6,35,MVC,34,26-8,26,8,-0.098,2.9,16.0,1.6,17.0,0.0116,1.0,-5.8,158.0,-3.6,-39.0,-3.4,-64.0,-4.5,96.0,7.9,-12.0,2.7,92.0,-3.0,18.0,9.0,46.0,-6.3,175.0,-6.2,-42.0,-2.9,37.0,-0.2,6.0,-6.3,127.0,4.2,-13.0,-3.4,22.0,-2.11,29.0,7,B10,33,26-7,26,7,0.2121,0.9,24.0,-4.5,-6.0,0.029,-1.0,0.4,19.0,-1.9,8.0,0.4,89.0,-0.8,-15.0,-2.9,46.0,-0.7,42.0,-3.0,-1.0,-6.6,-15.0,5.4,-27.0,3.2,99.0,-5.9,125.0,-7.0,-51.0,4.5,-115.0,1.9,-23.0,-3.9,42.0,-5.1,-3.0
Michigan,4,79,Florida,3,59,Michigan,True,9,B10,26-7,26,7,0.7878787878787878,26.5,120.5,2,94.0,58,65.0,214,-0.011,218,9.2,12,105.6,13,96.4,21,,261,1,SEC,26-7,26,7,0.7878787878787878,34.9,118.4,5,83.5,2,62.5,298,-0.106,337,7.4,25,104.0,64,96.6,31,,55,8,B10,32,25-7,25,7,0.7812,120.4,2,95.0,67,0.9385,8,54.4,12,47.9,142,14.3,1,18.9,230,32.5,138,29.6,72,28.7,329,22.9,1,53.5,11,46.9,147,37.5,36,33.2,132,34.0,148,35.0,240,64.8,228,6.2,11,1,SEC,33,26-7,26,7,0.7879,117.6,6,85.6,3,0.9749,1,55.8,6,42.7,5,17.7,47,22.4,45,34.0,95,28.6,56,29.1,325,30.2,51,54.9,7,41.5,6,38.0,24,30.1,22,40.5,30,33.1,174,62.7,296,4.2,19,8,B10,32,25-7,25,7,-0.2812,1.6,5.0,4.8,61.0,-0.0291,16.0,-6.4,159.0,0.1,-4.0,-4.4,1.0,-2.2,-12.0,-2.9,50.0,9.4,210.0,4.9,-146.0,1.0,25.0,-8.4,205.0,-1.7,-44.0,-0.9,88.0,4.5,79.0,-4.9,86.0,-10.3,-215.0,1.5,-121.0,-5.94,38.0,1,SEC,33,26-7,26,7,-0.1879,-5.3,54.0,1.1,13.0,-0.0233,8.0,-4.5,89.0,0.8,47.0,-0.4,67.0,-4.5,125.0,-2.3,59.0,1.3,82.0,0.5,-81.0,3.9,89.0,-7.8,152.0,0.7,43.0,1.0,53.0,0.6,75.0,-3.5,59.0,0.6,-1.0,-1.5,-41.0,-4.16,54.0
Syracuse,4,55,Marquette,3,39,Syracuse,True,12,BE,26-9,26,9,0.7428571428571429,24.4,114.2,16,89.8,23,64.5,232,-0.002,189,9.5,10,104.7,41,95.2,4,,282,25,BE,23-8,23,8,0.7419354838709677,20.1,113.4,17,93.3,49,64.9,216,0.066,29,9.6,9,104.2,56,94.6,1,,141,10,BE,35,26-9,26,9,0.7429,113.4,14,89.9,16,0.9358,10,49.2,134,43.6,13,19.1,124,23.4,22,39.8,5,34.4,276,35.3,192,35.5,160,48.8,112,42.9,30,33.4,188,29.8,16,31.0,234,39.8,332,65.7,189,5.1,13,21,BE,31,23-8,23,8,0.7419,113.3,17,94.1,57,0.8943,21,50.7,83,46.2,74,21.0,238,19.9,178,37.8,20,33.2,235,41.4,40,31.5,71,52.8,16,45.3,84,30.1,317,31.8,70,26.9,304,35.5,261,64.9,222,4.5,18,10,BE,35,26-9,26,9,-0.0762,2.1,21.0,5.8,63.0,-0.0393,20.0,-1.1,35.0,3.5,105.0,1.7,97.0,-3.7,101.0,-0.3,18.0,4.4,5.0,2.8,-59.0,5.8,46.0,-5.8,141.0,1.4,54.0,5.4,-106.0,4.7,147.0,2.2,-80.0,-2.4,-88.0,-6.0,97.0,-3.6,-8.0,21,BE,31,23-8,23,8,-0.2419,-4.7,80.0,1.2,18.0,-0.0766,42.0,-1.9,68.0,-1.9,-8.0,4.6,67.0,-6.0,114.0,7.5,-12.0,0.9,-23.0,-16.4,248.0,-5.7,-32.0,-3.9,108.0,1.6,60.0,2.0,-120.0,-6.8,-43.0,-3.6,-3.0,-8.2,-203.0,0.9,-102.0,-4.48,57.0
