Team__1,Seed__1,Score__1,Team__2,Seed__2,Score__2,Winning_Team,Win__1,KP__Rk_AdjEM__1,KP__Conf__1,KP__W-L__1,KP__Wins__1,KP__Losses__1,KP__WinPct__1,KP__AdjEM__1,KP__AdjO__1,KP__Rk_AdjO__1,KP__AdjD__1,KP__Rk_AdjD__1,KP__AdjT__1,KP__Rk_AdjT__1,KP__Luck__1,KP__Rk_Luck__1,KP__SOS_AdjEM__1,KP__Rk_SOS_AdjEM__1,KP__SOS_AdjO__1,KP__Rk_SOS_AdjO__1,KP__SOS_AdjD__1,KP__Rk_SOS_AdjD__1,KP__NCSOS_AdjEM__1,KP__Rk_NCSOS_AdjEM__1,KP__Rk_AdjEM__2,KP__Conf__2,KP__W-L__2,KP__Wins__2,KP__Losses__2,KP__WinPct__2,KP__AdjEM__2,KP__AdjO__2,KP__Rk_AdjO__2,KP__AdjD__2,KP__Rk_AdjD__2,KP__AdjT__2,KP__Rk_AdjT__2,KP__Luck__2,KP__Rk_Luck__2,KP__SOS_AdjEM__2,KP__Rk_SOS_AdjEM__2,KP__SOS_AdjO__2,KP__Rk_SOS_AdjO__2,KP__SOS_AdjD__2,KP__Rk_SOS_AdjD__2,KP__NCSOS_AdjEM__2,KP__Rk_NCSOS_AdjEM__2,BT__Rk__1,BT__Conf__1,BT__G__1,BT__Rec__1,BT__Wins__1,BT__Losses__1,BT__WinPct__1,BT__AdjO__1,BT__Rk_AdjO__1,BT__AdjD__1,BT__Rk_AdjD__1,BT__Barthag__1,BT__Rk_Barthag__1,BT__EFG%__1,BT__Rk_EFG%__1,BT__EFGD%__1,BT__Rk_EFGD%__1,BT__TOR__1,BT__Rk_TOR__1,BT__TORD__1,BT__Rk_TORD__1,BT__ORB__1,BT__Rk_ORB__1,BT__DRB__1,BT__Rk_DRB__1,BT__FTR__1,BT__Rk_FTR__1,BT__FTRD__1,BT__Rk_FTRD__1,BT__2P%__1,BT__Rk_2P%__1,BT__2P%D__1,BT__Rk_2P%D__1,BT__3P%__1,BT__Rk_3P%__1,BT__3P%D__1,BT__Rk_3P%D__1,BT__3PR__1,BT__Rk_3PR__1,BT__3PRD__1,BT__Rk_3PRD__1,BT__AdjT__1,BT__Rk_AdjT__1,BT__WAB__1,BT__Rk_WAB__1,BT__Rk__2,BT__Conf__2,BT__G__2,BT__Rec__2,BT__Wins__2,BT__Losses__2,BT__WinPct__2,BT__AdjO__2,BT__Rk_AdjO__2,BT__AdjD__2,BT__Rk_AdjD__2,BT__Barthag__2,BT__Rk_Barthag__2,BT__EFG%__2,BT__Rk_EFG%__2,BT__EFGD%__2,BT__Rk_EFGD%__2,BT__TOR__2,BT__Rk_TOR__2,BT__TORD__2,BT__Rk_TORD__2,BT__ORB__2,BT__Rk_ORB__2,BT__DRB__2,BT__Rk_DRB__2,BT__FTR__2,BT__Rk_FTR__2,BT__FTRD__2,BT__Rk_FTRD__2,BT__2P%__2,BT__Rk_2P%__2,BT__2P%D__2,BT__Rk_2P%D__2,BT__3P%__2,BT__Rk_3P%__2,BT__3P%D__2,BT__Rk_3P%D__2,BT__3PR__2,BT__Rk_3PR__2,BT__3PRD__2,BT__Rk_3PRD__2,BT__AdjT__2,BT__Rk_AdjT__2,BT__WAB__2,BT__Rk_WAB__2,BTHOT__Rk__1,BTHOT__Conf__1,BTHOT__G__1,BTHOT__Rec__1,BTHOT__Wins__1,BTHOT__Losses__1,BTHOT__WinPct__1,BTHOT__AdjO__1,BTHOT__Rk_AdjO__1,BTHOT__AdjD__1,BTHOT__Rk_AdjD__1,BTHOT__Barthag__1,BTHOT__Rk_Barthag__1,BTHOT__EFG%__1,BTHOT__Rk_EFG%__1,BTHOT__EFGD%__1,BTHOT__Rk_EFGD%__1,BTHOT__TOR__1,BTHOT__Rk_TOR__1,BTHOT__TORD__1,BTHOT__Rk_TORD__1,BTHOT__ORB__1,BTHOT__Rk_ORB__1,BTHOT__DRB__1,BTHOT__Rk_DRB__1,BTHOT__FTR__1,BTHOT__Rk_FTR__1,BTHOT__FTRD__1,BTHOT__Rk_FTRD__1,BTHOT__2P%__1,BTHOT__Rk_2P%__1,BTHOT__2P%D__1,BTHOT__Rk_2P%D__1,BTHOT__3P%__1,BTHOT__Rk_3P%__1,BTHOT__3P%D__1,BTHOT__Rk_3P%D__1,BTHOT__3PR__1,BTHOT__Rk_3PR__1,BTHOT__3PRD__1,BTHOT__Rk_3PRD__1,BTHOT__AdjT__1,BTHOT__Rk_AdjT__1,BTHOT__WAB__1,BTHOT__Rk_WAB__1,BTHOT__Rk__2,BTHOT__Conf__2,BTHOT__G__2,BTHOT__Rec__2,BTHOT__Wins__2,BTHOT__Losses__2,BTHOT__WinPct__2,BTHOT__AdjO__2,BTHOT__Rk_AdjO__2,BTHOT__AdjD__2,BTHOT__Rk_AdjD__2,BTHOT__Barthag__2,BTHOT__Rk_Barthag__2,BTHOT__EFG%__2,BTHOT__Rk_EFG%__2,BTHOT__EFGD%__2,BTHOT__Rk_EFGD%__2,BTHOT__TOR__2,BTHOT__Rk_TOR__2,BTHOT__TORD__2,BTHOT__Rk_TORD__2,BTHOT__ORB__2,BTHOT__Rk_ORB__2,BTHOT__DRB__2,BTHOT__Rk_DRB__2,BTHOT__FTR__2,BTHOT__Rk_FTR__2,BTHOT__FTRD__2,BTHOT__Rk_FTRD__2,BTHOT__2P%__2,BTHOT__Rk_2P%__2,BTHOT__2P%D__2,BTHOT__Rk_2P%D__2,BTHOT__3P%__2,BTHOT__Rk_3P%__2,BTHOT__3P%D__2,BTHOT__Rk_3P%D__2,BTHOT__3PR__2,BTHOT__Rk_3PR__2,BTHOT__3PRD__2,BTHOT__Rk_3PRD__2,BTHOT__AdjT__2,BTHOT__Rk_AdjT__2,BTHOT__WAB__2,BTHOT__Rk_WAB__2
Louisville,1,77,Oregon,12,69,Louisville,True,3,BE,29-5,29,5,0.8529411764705882,33.5,114.5,15,81.0,1,67.3,111,-0.03,255,10.1,6,105.8,10,95.7,9,,96,41,P12,26-8,26,8,0.7647058823529411,15.4,104.0,122,88.6,16,68.9,48,0.063,31,3.9,43,102.7,107,98.8,88,,325,3,BE,34,29-5,29,5,0.8529,112.6,21,83.5,1,0.9686,3,49.5,120,44.0,18,18.7,99,27.6,2,38.4,14,33.7,253,38.8,92,33.7,120,49.5,87,42.7,26,33.1,209,31.2,49,30.3,257,33.5,190,67.5,104,9.0,1,41,P12,34,26-8,26,8,0.7647,103.8,117,89.2,13,0.8508,41,49.1,142,46.3,78,21.3,251,22.3,51,36.1,44,27.8,37,39.0,88,32.7,90,49.4,89,44.2,58,32.3,242,34.3,198,27.4,298,29.6,64,69.2,48,2.9,26,3,BE,34,29-5,29,5,0.1471,6.6,0.0,0.4,6.0,0.0141,-2.0,2.4,-36.0,0.3,48.0,1.2,97.0,-0.1,5.0,-2.2,48.0,5.8,32.0,5.4,-23.0,-1.0,-1.0,-1.3,43.0,0.4,35.0,6.1,-140.0,-0.1,58.0,4.1,-121.0,1.6,11.0,-0.3,-25.0,-6.8,0.0,41,P12,34,26-8,26,8,-0.1647,-1.1,57.0,4.8,45.0,-0.116,51.0,-2.1,53.0,4.2,112.0,-1.6,-60.0,-0.8,18.0,-4.1,102.0,1.3,84.0,-2.6,66.0,-3.2,-13.0,-5.9,156.0,1.4,61.0,6.3,-155.0,8.8,89.0,-2.9,-5.0,-3.7,-26.0,-1.1,-1.0,-2.66,27.0
Michigan State,3,61,Duke,2,71,Duke,False,10,B10,25-8,25,8,0.7575757575757576,25.4,112.8,24,87.4,8,64.4,244,0.006,162,12.3,1,107.3,2,95.0,3,,155,5,ACC,27-5,27,5,0.84375,28.8,119.4,4,90.6,26,67.9,82,0.018,134,9.9,8,106.7,8,96.8,39,,20,13,B10,32,24-8,24,8,0.75,110.4,33,89.1,12,0.9218,13,50.7,83,45.0,35,20.5,203,19.7,187,35.5,55,28.3,49,36.7,150,32.6,88,50.4,53,44.8,73,34.4,142,30.2,23,27.3,299,33.8,197,64.6,237,6.7,8,6,ACC,32,27-5,27,5,0.8438,118.0,4,91.3,30,0.9502,6,54.4,12,45.7,59,15.6,4,20.9,120,29.4,243,32.9,214,37.7,118,31.4,69,51.1,43,46.3,123,40.6,5,29.3,10,33.3,162,26.8,21,68.1,78,7.6,4,13,B10,32,24-8,24,8,0.0,3.4,10.0,0.7,16.0,0.0163,0.0,-3.1,99.0,0.4,52.0,-0.6,-7.0,0.6,-80.0,2.0,-12.0,4.8,146.0,-8.1,105.0,-9.5,-69.0,-3.6,114.0,6.9,160.0,-1.1,29.0,-5.2,4.0,-1.6,-12.0,10.4,105.0,-3.7,26.0,-5.6,3.0,6,ACC,32,27-5,27,5,-0.3438,3.0,8.0,1.6,17.0,0.0042,1.0,-3.1,83.0,-0.1,31.0,0.4,69.0,-1.9,21.0,-1.5,-26.0,3.9,39.0,-11.4,157.0,2.2,61.0,9.7,-35.0,1.8,47.0,-18.1,297.0,-2.8,38.0,1.8,-39.0,3.3,72.0,-5.3,135.0,-7.41,55.0
Wichita State,9,72,La Salle,13,58,Wichita State,True,33,MVC,26-8,26,8,0.7647058823529411,17.8,109.1,50,91.3,31,64.5,230,-0.002,188,5.0,36,104.2,59,99.2,102,,137,46,A10,21-9,21,9,0.7,14.2,109.8,43,95.6,83,66.5,141,0.03,98,4.5,40,103.3,89,98.8,90,,174,35,MVC,34,26-8,26,8,0.7647,107.8,60,91.6,32,0.8668,35,50.2,99,46.0,69,19.8,156,20.4,147,38.0,18,25.3,6,35.8,176,37.4,207,50.1,66,44.0,51,33.7,172,33.0,119,35.2,110,36.2,291,64.8,228,2.3,31,46,A10,31,22-9,22,9,0.7097,110.8,31,95.7,85,0.8423,46,52.1,49,49.4,201,17.3,33,21.8,74,29.3,248,33.0,221,31.3,286,28.8,31,49.7,81,50.7,277,37.6,34,30.3,26,35.9,86,24.7,6,66.4,148,0.47,48,35,MVC,34,26-8,26,8,-0.098,2.9,16.0,1.6,17.0,0.0116,1.0,-5.8,158.0,-3.6,-39.0,-3.4,-64.0,-4.5,96.0,7.9,-12.0,2.7,92.0,-3.0,18.0,9.0,46.0,-6.3,175.0,-6.2,-42.0,-2.9,37.0,-0.2,6.0,-6.3,127.0,4.2,-13.0,-3.4,22.0,-2.11,29.0,46,A10,31,22-9,22,9,-0.2097,9.2,-14.0,7.8,93.0,0.0028,3.0,6.3,-35.0,7.0,79.0,0.7,104.0,-0.3,-5.0,-9.8,60.0,7.2,70.0,-0.6,-60.0,-2.9,9.0,8.2,-64.0,9.5,33.0,1.9,31.0,-0.7,57.0,4.2,-37.0,-0.2,17.0,-2.2,26.0,-0.97,77.0
Arizona,6,70,Ohio State,2,73,Ohio State,False,21,P12,25-7,25,7,0.78125,21.1,113.2,19,92.1,36,66.9,122,0.006,165,7.7,21,104.5,44,96.8,36,,108,6,B10,26-7,26,7,0.7878787878787878,28.1,114.6,14,86.5,6,64.3,248,0.019,132,10.1,7,105.4,20,95.3,6,,272,18,P12,32,25-7,25,7,0.7812,113.0,18,92.4,37,0.9097,18,51.9,51,47.0,107,19.5,141,20.5,142,35.4,56,27.2,26,37.4,129,32.1,78,50.3,56,44.0,51,36.3,67,36.0,272,37.9,55,30.4,81,67.0,123,4.6,16,7,B10,33,26-7,26,7,0.7879,113.4,15,89.3,14,0.9397,7,50.8,79,45.2,41,16.6,15,20.7,133,32.2,147,27.6,35,34.2,224,28.4,28,50.0,68,43.6,41,35.1,110,32.0,78,31.1,230,35.7,269,65.0,216,7.2,6,18,P12,32,25-7,25,7,-0.1145,6.7,0.0,0.9,14.0,0.0361,-7.0,-0.2,38.0,-0.5,-3.0,-1.5,-4.0,-2.5,24.0,2.1,-13.0,1.5,87.0,-10.7,141.0,11.8,153.0,0.2,40.0,2.6,83.0,-0.5,66.0,-5.2,-173.0,1.1,5.0,-5.2,-49.0,-3.4,68.0,-4.35,35.0,7,B10,33,26-7,26,7,0.2121,0.9,24.0,-4.5,-6.0,0.029,-1.0,0.4,19.0,-1.9,8.0,0.4,89.0,-0.8,-15.0,-2.9,46.0,-0.7,42.0,-3.0,-1.0,-6.6,-15.0,5.4,-27.0,3.2,99.0,-5.9,125.0,-7.0,-51.0,4.5,-115.0,1.9,-23.0,-3.9,42.0,-5.1,-3.0
Kansas,1,85,Michigan,4,87,Michigan,False,8,B12,29-5,29,5,0.8529411764705882,26.7,112.6,25,85.9,5,67.7,91,0.019,131,6.8,31,105.1,27,98.3,77,,79,9,B10,26-7,26,7,0.7878787878787878,26.5,120.5,2,94.0,58,65.0,214,-0.011,218,9.2,12,105.6,13,96.4,21,,261,5,B12,34,29-5,29,5,0.8529,112.3,22,86.0,5,0.9554,5,53.4,27,41.5,1,19.9,167,18.7,243,34.3,85,28.8,59,39.7,75,33.1,101,52.7,18,39.0,1,36.7,54,30.7,38,29.6,267,36.2,291,67.7,94,7.5,5,8,B10,32,25-7,25,7,0.7812,120.4,2,95.0,67,0.9385,8,54.4,12,47.9,142,14.3,1,18.9,230,32.5,138,29.6,72,28.7,329,22.9,1,53.5,11,46.9,147,37.5,36,33.2,132,34.0,148,35.0,240,64.8,228,6.2,11,5,B12,34,29-5,29,5,-0.1029,1.0,28.0,5.8,34.0,-0.0366,13.0,3.7,-4.0,6.9,145.0,2.1,85.0,0.7,-114.0,0.7,-5.0,0.4,65.0,-5.8,105.0,1.3,42.0,4.1,5.0,10.7,205.0,1.9,33.0,0.2,68.0,2.5,-91.0,0.0,-72.0,-0.7,-11.0,-6.5,8.0,8,B10,32,25-7,25,7,-0.2812,1.6,5.0,4.8,61.0,-0.0291,16.0,-6.4,159.0,0.1,-4.0,-4.4,1.0,-2.2,-12.0,-2.9,50.0,9.4,210.0,4.9,-146.0,1.0,25.0,-8.4,205.0,-1.7,-44.0,-0.9,88.0,4.5,79.0,-4.9,86.0,-10.3,-215.0,1.5,-121.0,-5.94,38.0
Florida,3,62,Florida Gulf Coast,15,50,Florida,True,1,SEC,26-7,26,7,0.7878787878787878,34.9,118.4,5,83.5,2,62.5,298,-0.106,337,7.4,25,104.0,64,96.6,31,,55,58,ASun,24-10,24,10,0.7058823529411765,3.7,101.6,151,97.9,115,68.7,55,0.035,88,-4.6,59,98.8,250,103.4,271,,41,1,SEC,33,26-7,26,7,0.7879,117.6,6,85.6,3,0.9749,1,55.8,6,42.7,5,17.7,47,22.4,45,34.0,95,28.6,56,29.1,325,30.2,51,54.9,7,41.5,6,38.0,24,30.1,22,40.5,30,33.1,174,62.7,296,4.2,19,121,ASun,32,22-10,22,10,0.6875,101.9,146,97.4,109,0.6288,121,51.4,63,47.1,110,20.9,232,22.4,45,33.2,120,32.7,205,34.5,214,32.9,95,52.3,23,47.0,154,33.1,209,31.5,62,34.8,125,38.0,314,68.9,52,-3.9,99,1,SEC,33,26-7,26,7,-0.1879,-5.3,54.0,1.1,13.0,-0.0233,8.0,-4.5,89.0,0.8,47.0,-0.4,67.0,-4.5,125.0,-2.3,59.0,1.3,82.0,0.5,-81.0,3.9,89.0,-7.8,152.0,0.7,43.0,1.0,53.0,0.6,75.0,-3.5,59.0,0.6,-1.0,-1.5,-41.0,-4.16,54.0,121,ASun,32,22-10,22,10,0.3125,5.9,-35.0,-1.0,-16.0,0.154,-45.0,-1.9,68.0,-2.4,-36.0,-7.0,-203.0,-1.3,35.0,1.3,-32.0,-0.2,-20.0,3.5,-79.0,-2.0,-2.0,-5.6,146.0,-4.1,-96.0,5.2,-116.0,0.0,48.0,-9.3,163.0,3.0,-27.0,0.7,-26.0,4.4,-72.0
Indiana,1,50,Syracuse,4,61,Syracuse,False,2,B10,27-6,27,6,0.8181818181818182,34.1,123.1,1,89.0,19,67.8,86,-0.023,239,9.1,15,105.1,28,96.0,14,,288,12,BE,26-9,26,9,0.7428571428571429,24.4,114.2,16,89.8,23,64.5,232,-0.002,189,9.5,10,104.7,41,95.2,4,,282,2,B10,33,27-6,27,6,0.8182,122.5,1,89.9,17,0.9721,2,55.2,8,44.0,18,19.1,124,21.2,101,39.7,6,31.5,154,46.0,7,27.7,21,52.2,25,43.0,32,41.1,2,30.6,33,32.1,193,32.9,165,68.1,78,7.7,3,10,BE,35,26-9,26,9,0.7429,113.4,14,89.9,16,0.9358,10,49.2,134,43.6,13,19.1,124,23.4,22,39.8,5,34.4,276,35.3,192,35.5,160,48.8,112,42.9,30,33.4,188,29.8,16,31.0,234,39.8,332,65.7,189,5.1,13,2,B10,33,27-6,27,6,-0.1515,-1.6,12.0,3.3,33.0,-0.02,6.0,-5.8,125.0,4.3,125.0,2.1,115.0,-4.1,101.0,5.8,1.0,0.9,28.0,-19.1,260.0,2.5,64.0,-3.4,100.0,0.5,36.0,-7.1,157.0,8.0,195.0,-3.5,52.0,0.2,2.0,-2.0,33.0,-6.5,5.0,10,BE,35,26-9,26,9,-0.0762,2.1,21.0,5.8,63.0,-0.0393,20.0,-1.1,35.0,3.5,105.0,1.7,97.0,-3.7,101.0,-0.3,18.0,4.4,5.0,2.8,-59.0,5.8,46.0,-5.8,141.0,1.4,54.0,5.4,-106.0,4.7,147.0,2.2,-80.0,-2.4,-88.0,-6.0,97.0,-3.6,-8.0
Marquette,3,71,Miami (FL),2,61,Marquette,True,25,BE,23-8,23,8,0.7419354838709677,20.1,113.4,17,93.3,49,64.9,216,0.066,29,9.6,9,104.2,56,94.6,1,,141,15,ACC,27-6,27,6,0.8181818181818182,23.4,113.2,20,89.8,22,63.3,281,0.028,103,9.1,13,106.4,9,97.3,51,,51,21,BE,31,23-8,23,8,0.7419,113.3,17,94.1,57,0.8943,21,50.7,83,46.2,74,21.0,238,19.9,178,37.8,20,33.2,235,41.4,40,31.5,71,52.8,16,45.3,84,30.1,317,31.8,70,26.9,304,35.5,261,64.9,222,4.5,18,16,ACC,33,27-6,27,6,0.8182,110.9,27,90.0,19,0.9168,16,52.3,43,45.6,54,16.9,21,18.4,263,30.8,203,27.9,41,35.2,198,28.8,31,51.5,38,43.8,47,35.8,78,32.6,101,34.9,121,34.9,237,63.2,282,6.4,10,21,BE,31,23-8,23,8,-0.2419,-4.7,80.0,1.2,18.0,-0.0766,42.0,-1.9,68.0,-1.9,-8.0,4.6,67.0,-6.0,114.0,7.5,-12.0,0.9,-23.0,-16.4,248.0,-5.7,-32.0,-3.9,108.0,1.6,60.0,2.0,-120.0,-6.8,-43.0,-3.6,-3.0,-8.2,-203.0,0.9,-102.0,-4.48,57.0,16,ACC,33,27-6,27,6,-0.0182,11.7,-21.0,9.9,112.0,-0.0034,5.0,2.6,0.0,7.9,187.0,-0.9,52.0,-1.7,-45.0,4.3,-125.0,-4.2,-3.0,5.5,-97.0,2.2,64.0,1.0,28.0,5.6,153.0,3.2,-1.0,7.8,156.0,5.0,-68.0,1.5,-12.0,-1.3,-49.0,-5.6,7.0
