Team__1,Seed__1,Score__1,Team__2,Seed__2,Score__2,Winning_Team,Win__1,Year,Round
Xavier,1,102,Texas Southern,16,83,Xavier,True,2018,1
Missouri,8,54,Florida State,9,67,Florida State,False,2018,1
Ohio State,5,81,South Dakota State,12,73,Ohio State,True,2018,1
Gonzaga,4,68,UNC Greensboro,13,64,Gonzaga,True,2018,1
Houston,6,67,San Diego State,11,65,Houston,True,2018,1
Michigan,3,61,Montana,14,47,Michigan,True,2018,1
Texas A&M,7,73,Providence,10,69,Texas A&M,True,2018,1
North Carolina,2,84,Lipscomb,15,66,North Carolina,True,2018,1
Villanova,1,87,Radford,16,61,Villanova,True,2018,1
Virginia Tech,8,83,Alabama,9,86,Alabama,False,2018,1
West Virginia,5,85,Murray State,12,68,West Virginia,True,2018,1
Wichita State,4,75,Marshall,13,81,Marshall,False,2018,1
Florida,6,77,St. Bonaventure,11,62,Florida,True,2018,1
Texas Tech,3,70,Stephen F. Austin,14,60,Texas Tech,True,2018,1
Arkansas,7,62,Butler,10,79,Butler,False,2018,1
Purdue,2,74,Cal State Fullerton,15,48,Purdue,True,2018,1
Virginia,1,54,UMBC,16,74,UMBC,False,2018,1
Creighton,8,59,Kansas State,9,69,Kansas State,False,2018,1
Kentucky,5,78,Davidson,12,73,Kentucky,True,2018,1
Arizona,4,68,Buffalo,13,89,Buffalo,False,2018,1
Miami (FL),6,62,Loyola Chicago,11,64,Loyola Chicago,False,2018,1
Tennessee,3,73,Wright State,14,47,Tennessee,True,2018,1
Nevada,7,87,Texas,10,83,Nevada,True,2018,1
Cincinnati,2,68,Georgia State,15,53,Cincinnati,True,2018,1
Kansas,1,76,Penn,16,60,Kansas,True,2018,1
Seton Hall,8,94,NC State,9,83,Seton Hall,True,2018,1
Clemson,5,79,New Mexico State,12,68,Clemson,True,2018,1
Auburn,4,62,College of Charleston,13,58,Auburn,True,2018,1
TCU,6,52,Syracuse,11,57,Syracuse,False,2018,1
Michigan State,3,82,Bucknell,14,78,Michigan State,True,2018,1
Rhode Island,7,83,Oklahoma,10,78,Rhode Island,True,2018,1
Duke,2,89,Iona,15,67,Duke,True,2018,1
Xavier,1,70,Florida State,9,75,Florida State,False,2018,2
Ohio State,5,84,Gonzaga,4,90,Gonzaga,False,2018,2
Houston,6,63,Michigan,3,64,Michigan,False,2018,2
Texas A&M,7,86,North Carolina,2,65,Texas A&M,True,2018,2
Villanova,1,81,Alabama,9,58,Villanova,True,2018,2
West Virginia,5,94,Marshall,13,71,West Virginia,True,2018,2
Florida,6,66,Texas Tech,3,69,Texas Tech,False,2018,2
Butler,10,73,Purdue,2,76,Purdue,False,2018,2
UMBC,16,43,Kansas State,9,50,Kansas State,False,2018,2
Kentucky,5,95,Buffalo,13,75,Kentucky,True,2018,2
Loyola Chicago,11,63,Tennessee,3,62,Loyola Chicago,True,2018,2
Nevada,7,75,Cincinnati,2,73,Nevada,True,2018,2
Kansas,1,83,Seton Hall,8,79,Kansas,True,2018,2
Clemson,5,84,Auburn,4,53,Clemson,True,2018,2
Syracuse,11,55,Michigan State,3,53,Syracuse,True,2018,2
Rhode Island,7,62,Duke,2,87,Duke,False,2018,2
Florida State,9,75,Gonzaga,4,60,Florida State,True,2018,3
Michigan,3,99,Texas A&M,7,72,Michigan,True,2018,3
Villanova,1,90,West Virginia,5,78,Villanova,True,2018,3
Texas Tech,3,78,Purdue,2,65,Texas Tech,True,2018,3
Kansas State,9,61,Kentucky,5,58,Kansas State,True,2018,3
Loyola Chicago,11,69,Nevada,7,68,Loyola Chicago,True,2018,3
Kansas,1,80,Clemson,5,76,Kansas,True,2018,3
Syracuse,11,65,Duke,2,69,Duke,False,2018,3
Florida State,9,54,Michigan,3,58,Michigan,False,2018,4
Villanova,1,71,Texas Tech,3,59,Villanova,True,2018,4
Kansas State,9,62,Loyola Chicago,11,78,Loyola Chicago,False,2018,4
Kansas,1,85,Duke,2,81,Kansas,True,2018,4
Loyola Chicago,11,57,Michigan,3,69,Michigan,False,2018,5
Villanova,1,95,Kansas,1,79,Villanova,True,2018,5
Michigan,3,62,Villanova,1,79,Villanova,False,2018,6
