Team1,Team1_Seed,Team1_Score,Team2,Team2_Seed,Team2_Score,WinningTeam,Team1_Win
Colorado State,8,84.0,Missouri,9,72.0,Colorado State,True
Oklahoma State,5,55.0,Oregon,12,68.0,Oregon,False
Saint Louis,4,64.0,New Mexico State,13,44.0,Saint Louis,True
Memphis,6,54.0,Saint Mary's,11,52.0,Memphis,True
Michigan State,3,65.0,Valparaiso,14,54.0,Michigan State,True
Creighton,7,67.0,Cincinnati,10,63.0,Creighton,True
Duke,2,73.0,Albany,15,61.0,Duke,True
Gonzaga,1,70.0,Wichita State,9,76.0,Wichita State,False
Ole Miss,12,74.0,La Salle,13,76.0,La Salle,False
Arizona,6,74.0,Harvard,14,51.0,Arizona,True
Iowa State,10,75.0,Ohio State,2,78.0,Ohio State,False
Indiana,1,58.0,Temple,9,52.0,Indiana,True
California,12,60.0,Syracuse,4,66.0,Syracuse,False
Butler,6,72.0,Marquette,3,74.0,Marquette,False
Illinois,7,59.0,Miami (FL),2,63.0,Miami (FL),False
Kansas,1,70.0,North Carolina,8,58.0,Kansas,True
VCU,5,53.0,Michigan,4,78.0,Michigan,False
Minnesota,11,64.0,Florida,3,78.0,Florida,False
San Diego State,7,71.0,Florida Gulf Coast,15,81.0,Florida Gulf Coast,False
Louisville,1,82.0,Colorado State,8,56.0,Louisville,True
Oregon,12,74.0,Saint Louis,4,57.0,Oregon,True
Memphis,6,48.0,Michigan State,3,70.0,Michigan State,False
Creighton,7,50.0,Duke,2,66.0,Duke,False
Wichita State,9,72.0,La Salle,13,58.0,Wichita State,True
Arizona,6,70.0,Ohio State,2,73.0,Ohio State,False
Indiana,1,50.0,Syracuse,4,61.0,Syracuse,False
Marquette,3,71.0,Miami (FL),2,61.0,Marquette,True
Kansas,1,85.0,Michigan,4,87.0,Michigan,False
Florida,3,62.0,Florida Gulf Coast,15,50.0,Florida,True
Louisville,1,77.0,Oregon,12,69.0,Louisville,True
Michigan State,3,61.0,Duke,2,71.0,Duke,False
Wichita State,9,70.0,Ohio State,2,66.0,Wichita State,True
Syracuse,4,55.0,Marquette,3,39.0,Syracuse,True
Michigan,4,79.0,Florida,3,59.0,Michigan,True
Louisville,1,85.0,Duke,2,63.0,Louisville,True
Louisville,1,72.0,Wichita State,9,68.0,Louisville,True
Michigan,4,61.0,Syracuse,4,56.0,Michigan,True
Louisville,1,82.0,Michigan,4,76.0,Louisville,True
Arizona,1,68.0,Weber State,16,59.0,Arizona,True
Gonzaga,8,85.0,Oklahoma State,9,77.0,Gonzaga,True
Oklahoma,5,75.0,North Dakota State,12,80.0,North Dakota State,False
San Diego State,4,73.0,New Mexico State,13,69.0,San Diego State,True
Baylor,6,74.0,Nebraska,11,60.0,Baylor,True
Creighton,3,76.0,Louisiana-Lafayette,14,66.0,Creighton,True
Oregon,7,87.0,BYU,10,68.0,Oregon,True
Wisconsin,2,75.0,American,15,35.0,Wisconsin,True
Virginia,1,70.0,Coastal Carolina,16,59.0,Virginia,True
Memphis,8,71.0,George Washington,9,66.0,Memphis,True
Cincinnati,5,57.0,Harvard,12,61.0,Harvard,False
Michigan State,4,93.0,Delaware,13,78.0,Michigan State,True
North Carolina,6,79.0,Providence,11,77.0,North Carolina,True
Iowa State,3,93.0,NC Central,14,75.0,Iowa State,True
UConn,7,89.0,Saint Joseph's,10,81.0,UConn,True
Villanova,2,73.0,Milwaukee,15,53.0,Villanova,True
Florida,1,67.0,Albany,16,55.0,Florida,True
Colorado,8,48.0,Pittsburgh,9,77.0,Pittsburgh,False
VCU,5,75.0,Stephen F. Austin,12,77.0,Stephen F. Austin,False
UCLA,4,76.0,Tulsa,13,59.0,UCLA,True
Ohio State,6,59.0,Dayton,11,60.0,Dayton,False
Syracuse,3,77.0,Western Michigan,14,53.0,Syracuse,True
New Mexico,7,53.0,Stanford,10,58.0,Stanford,False
Kansas,2,80.0,Eastern Kentucky,15,69.0,Kansas,True
Wichita State,1,64.0,Cal Poly,16,37.0,Wichita State,True
Kentucky,8,56.0,Kansas State,9,49.0,Kentucky,True
Saint Louis,5,83.0,NC State,12,80.0,Saint Louis,True
Louisville,4,71.0,Manhattan,13,64.0,Louisville,True
Massachusetts,6,67.0,Tennessee,11,86.0,Tennessee,False
Duke,3,71.0,Mercer,14,78.0,Mercer,False
Texas,7,87.0,Arizona State,10,85.0,Texas,True
Michigan,2,57.0,Wofford,15,40.0,Michigan,True
Arizona,1,84.0,Gonzaga,8,61.0,Arizona,True
North Dakota State,12,44.0,San Diego State,4,63.0,San Diego State,False
Baylor,6,85.0,Creighton,3,55.0,Baylor,True
Oregon,7,77.0,Wisconsin,2,85.0,Wisconsin,False
Virginia,1,78.0,Memphis,8,60.0,Virginia,True
Harvard,12,73.0,Michigan State,4,80.0,Michigan State,False
North Carolina,6,83.0,Iowa State,3,85.0,Iowa State,False
UConn,7,77.0,Villanova,2,65.0,UConn,True
Florida,1,61.0,Pittsburgh,9,45.0,Florida,True
Stephen F. Austin,12,60.0,UCLA,4,77.0,UCLA,False
Dayton,11,55.0,Syracuse,3,53.0,Dayton,True
Stanford,10,60.0,Kansas,2,57.0,Stanford,True
Wichita State,1,76.0,Kentucky,8,78.0,Kentucky,False
Saint Louis,5,51.0,Louisville,4,66.0,Louisville,False
Tennessee,11,83.0,Mercer,14,63.0,Tennessee,True
Texas,7,65.0,Michigan,2,79.0,Michigan,False
Arizona,1,70.0,San Diego State,4,64.0,Arizona,True
Baylor,6,52.0,Wisconsin,2,69.0,Wisconsin,False
Virginia,1,59.0,Michigan State,4,61.0,Michigan State,False
Iowa State,3,76.0,UConn,7,81.0,UConn,False
Florida,1,79.0,UCLA,4,68.0,Florida,True
Dayton,11,82.0,Stanford,10,72.0,Dayton,True
Kentucky,8,74.0,Louisville,4,69.0,Kentucky,True
Tennessee,11,71.0,Michigan,2,73.0,Michigan,False
Arizona,1,63.0,Wisconsin,2,64.0,Wisconsin,False
Michigan State,4,54.0,UConn,7,60.0,UConn,False
Florida,1,62.0,Dayton,11,52.0,Florida,True
Kentucky,8,75.0,Michigan,2,72.0,Kentucky,True
Kentucky,8,74.0,Wisconsin,2,73.0,Kentucky,True
UConn,7,63.0,Florida,1,53.0,UConn,True
Kentucky,8,54.0,UConn,7,60.0,UConn,False
Wisconsin,1,86.0,Coastal Carolina,16,72.0,Wisconsin,True
Oregon,8,79.0,Oklahoma State,9,73.0,Oregon,True
Arkansas,5,56.0,Wofford,12,53.0,Arkansas,True
North Carolina,4,67.0,Harvard,13,65.0,North Carolina,True
Xavier,6,76.0,Ole Miss,11,57.0,Xavier,True
Baylor,3,56.0,Georgia State,14,57.0,Georgia State,False
Virginia Commonwealth,7,72.0,Ohio State,10,75.0,Ohio State,False
Arizona,2,93.0,Texas Southern,15,72.0,Arizona,True
Villanova,1,93.0,Lafayette,16,52.0,Villanova,True
North Carolina State,8,66.0,LSU,9,65.0,North Carolina State,True
Northern Iowa,5,71.0,Wyoming,12,54.0,Northern Iowa,True
Louisville,4,57.0,California-Irvine,13,55.0,Louisville,True
Providence,6,53.0,Dayton,11,66.0,Dayton,False
Oklahoma,3,69.0,Albany,14,60.0,Oklahoma,True
Michigan State,7,70.0,Georgia,10,63.0,Michigan State,True
Virginia,2,79.0,Belmont,15,67.0,Virginia,True
Duke,1,85.0,Robert Morris,16,56.0,Duke,True
San Diego State,8,76.0,St. John's,9,64.0,San Diego State,True
Utah,5,57.0,Stephen F. Austin,12,50.0,Utah,True
Georgetown,4,84.0,Eastern Washington,13,74.0,Georgetown,True
Southern Methodist,6,59.0,UCLA,11,60.0,UCLA,False
Iowa State,3,59.0,UAB,14,60.0,UAB,False
Iowa,7,83.0,Davidson,10,52.0,Iowa,True
Gonzaga,2,86.0,North Dakota State,15,76.0,Gonzaga,True
Kentucky,1,79.0,Hampton,16,56.0,Kentucky,True
Cincinnati,8,66.0,Purdue,9,65.0,Cincinnati,True
