Team__1,Seed__1,Score__1,Team__2,Seed__2,Score__2,Winning_Team,Win__1,Year,Round
Gonzaga,1,98.0,Norfolk State,16,55.0,Gonzaga,True,2021,1
Oklahoma,8,72.0,Missouri,9,68.0,Oklahoma,True,2021,1
Creighton,5,63.0,UC Santa Barbara,12,62.0,Creighton,True,2021,1
Virginia,4,58.0,Ohio,13,62.0,Ohio,False,2021,1
USC,6,72.0,Drake,11,56.0,USC,True,2021,1
Kansas,3,93.0,Eastern Washington,14,84.0,Kansas,True,2021,1
Oregon,7,,VCU,10,,Oregon,True,2021,1
Iowa,2,86.0,Grand Canyon,15,74.0,Iowa,True,2021,1
Michigan,1,82.0,Texas Southern,16,66.0,Michigan,True,2021,1
LSU,8,76.0,St. Bonaventure,9,61.0,LSU,True,2021,1
Colorado,5,96.0,Georgetown,12,73.0,Colorado,True,2021,1
Florida State,4,64.0,UNC Greensboro,13,54.0,Florida State,True,2021,1
BYU,6,62.0,UCLA,11,73.0,UCLA,False,2021,1
Texas,3,52.0,Abilene Christian,14,53.0,Abilene Christian,False,2021,1
UConn,7,54.0,Maryland,10,63.0,Maryland,False,2021,1
Alabama,2,68.0,Iona,15,55.0,Alabama,True,2021,1
Baylor,1,79.0,Hartford,16,55.0,Baylor,True,2021,1
North Carolina,8,62.0,Wisconsin,9,85.0,Wisconsin,False,2021,1
Villanova,5,73.0,Winthrop,12,63.0,Villanova,True,2021,1
Purdue,4,69.0,North Texas,13,78.0,North Texas,False,2021,1
Texas Tech,6,65.0,Utah State,11,53.0,Texas Tech,True,2021,1
Arkansas,3,85.0,Colgate,14,68.0,Arkansas,True,2021,1
Florida,7,75.0,Virginia Tech,10,70.0,Florida,True,2021,1
Ohio State,2,72.0,Oral Roberts,15,75.0,Oral Roberts,False,2021,1
Illinois,1,78.0,Drexel,16,49.0,Illinois,True,2021,1
Loyola Chicago,8,71.0,Georgia Tech,9,60.0,Loyola Chicago,True,2021,1
Tennessee,5,56.0,Oregon State,12,70.0,Oregon State,False,2021,1
Oklahoma State,4,69.0,Liberty,13,60.0,Oklahoma State,True,2021,1
San Diego State,6,62.0,Syracuse,11,78.0,Syracuse,False,2021,1
West Virginia,3,84.0,Morehead State,14,67.0,West Virginia,True,2021,1
Clemson,7,56.0,Rutgers,10,60.0,Rutgers,False,2021,1
Houston,2,87.0,Cleveland State,15,56.0,Houston,True,2021,1
Gonzaga,1,87.0,Oklahoma,8,71.0,Gonzaga,True,2021,2
Creighton,5,72.0,Ohio,13,58.0,Creighton,True,2021,2
USC,6,85.0,Kansas,3,51.0,USC,True,2021,2
Oregon,7,95.0,Iowa,2,80.0,Oregon,True,2021,2
Michigan,1,86.0,LSU,8,78.0,Michigan,True,2021,2
Colorado,5,53.0,Florida State,4,71.0,Florida State,False,2021,2
UCLA,11,67.0,Abilene Christian,14,47.0,UCLA,True,2021,2
Maryland,10,77.0,Alabama,2,96.0,Alabama,False,2021,2
Baylor,1,76.0,Wisconsin,9,63.0,Baylor,True,2021,2
Villanova,5,84.0,North Texas,13,61.0,Villanova,True,2021,2
Texas Tech,6,66.0,Arkansas,3,68.0,Arkansas,False,2021,2
Florida,7,78.0,Oral Roberts,15,81.0,Oral Roberts,False,2021,2
Illinois,1,58.0,Loyola Chicago,8,71.0,Loyola Chicago,False,2021,2
Oregon State,12,80.0,Oklahoma State,4,70.0,Oregon State,True,2021,2
Syracuse,11,75.0,West Virginia,3,72.0,Syracuse,True,2021,2
Rutgers,10,60.0,Houston,2,63.0,Houston,False,2021,2
Gonzaga,1,83.0,Creighton,5,65.0,Gonzaga,True,2021,3
USC,6,82.0,Oregon,7,68.0,USC,True,2021,3
Michigan,1,76.0,Florida State,4,58.0,Michigan,True,2021,3
UCLA,11,88.0,Alabama,2,78.0,UCLA,True,2021,3
Baylor,1,62.0,Villanova,5,51.0,Baylor,True,2021,3
Arkansas,3,72.0,Oral Roberts,15,70.0,Arkansas,True,2021,3
Loyola Chicago,8,58.0,Oregon State,12,65.0,Oregon State,False,2021,3
Syracuse,11,46.0,Houston,2,62.0,Houston,False,2021,3
Gonzaga,1,85.0,USC,6,66.0,Gonzaga,True,2021,4
Michigan,1,49.0,UCLA,11,51.0,UCLA,False,2021,4
Baylor,1,81.0,Arkansas,3,72.0,Baylor,True,2021,4
Oregon State,12,61.0,Houston,2,67.0,Houston,False,2021,4
Gonzaga,1,93.0,UCLA,11,90.0,Gonzaga,True,2021,5
Baylor,1,78.0,Houston,2,59.0,Baylor,True,2021,5
Gonzaga,1,70.0,Baylor,1,86.0,Baylor,False,2021,6
