Team1,Team1_Seed,Team1_Score,Team2,Team2_Seed,Team2_Score,WinningTeam,Team1_Win,Year,Round
UConn,1,91,Stetson,16,52,UConn,True,2024,1
Florida Atlantic,8,65,Northwestern,9,77,Northwestern,False,2024,1
San Diego State,5,69,UAB,12,65,San Diego State,True,2024,1
Auburn,4,76,Yale,13,78,Yale,False,2024,1
BYU,6,67,Duquesne,11,71,Duquesne,False,2024,1
Illinois,3,85,Morehead State,14,69,Illinois,True,2024,1
Washington State,7,66,Drake,10,61,Washington State,True,2024,1
Iowa State,2,82,South Dakota State,15,65,Iowa State,True,2024,1
North Carolina,1,90,Wagner,16,62,North Carolina,True,2024,1
Mississippi State,8,51,Michigan State,9,69,Michigan State,False,2024,1
Saint Mary's,5,66,Grand Canyon,12,75,Grand Canyon,False,2024,1
Alabama,4,109,College of Charleston,13,96,Alabama,True,2024,1
Clemson,6,77,New Mexico,11,56,Clemson,True,2024,1
Baylor,3,92,Colgate,14,67,Baylor,True,2024,1
Dayton,7,63,Nevada,10,60,Dayton,True,2024,1
Arizona,2,85,Long Beach State,15,65,Arizona,True,2024,1
Houston,1,86,Longwood,16,46,Houston,True,2024,1
Nebraska,8,83,Texas A&M,9,98,Texas A&M,False,2024,1
Wisconsin,5,61,James Madison,12,72,James Madison,False,2024,1
Duke,4,64,Vermont,13,47,Duke,True,2024,1
Texas Tech,6,67,North Carolina State,11,80,North Carolina State,False,2024,1
Kentucky,3,76,Oakland,14,80,Oakland,False,2024,1
Florida,7,100,Colorado,10,102,Colorado,False,2024,1
Marquette,2,87,Western Kentucky,15,69,Marquette,True,2024,1
Purdue,1,78,Grambling State,16,50,Purdue,True,2024,1
Utah State,8,88,TCU,9,72,Utah State,True,2024,1
Gonzaga,5,86,McNeese,12,65,Gonzaga,True,2024,1
Kansas,4,93,Samford,13,89,Kansas,True,2024,1
South Carolina,6,73,Oregon,11,87,Oregon,False,2024,1
Creighton,3,77,Akron,14,60,Creighton,True,2024,1
Texas,7,56,Colorado State,10,44,Texas,True,2024,1
Tennessee,2,83,Saint Peter's,15,49,Tennessee,True,2024,1
UConn,1,75,Northwestern,9,58,UConn,True,2024,2
San Diego State,5,85,Yale,13,57,San Diego State,True,2024,2
Duquesne,11,63,Illinois,3,89,Illinois,False,2024,2
Washington State,7,56,Iowa State,2,67,Iowa State,False,2024,2
North Carolina,1,85,Michigan State,9,69,North Carolina,True,2024,2
Grand Canyon,12,61,Alabama,4,72,Alabama,False,2024,2
Clemson,6,72,Baylor,3,64,Clemson,True,2024,2
Dayton,7,68,Arizona,2,78,Arizona,False,2024,2
Houston,1,100,Texas A&M,9,95,Houston,True,2024,2
James Madison,12,55,Duke,4,93,Duke,False,2024,2
North Carolina State,11,79,Oakland,14,73,North Carolina State,True,2024,2
Colorado,10,77,Marquette,2,81,Marquette,False,2024,2
Purdue,1,106,Utah State,8,67,Purdue,True,2024,2
Gonzaga,5,89,Kansas,4,68,Gonzaga,True,2024,2
Oregon,11,73,Creighton,3,86,Creighton,False,2024,2
Texas,7,58,Tennessee,2,62,Tennessee,False,2024,2
UConn,1,82,San Diego State,5,52,UConn,True,2024,3
Illinois,3,72,Iowa State,2,69,Illinois,True,2024,3
North Carolina,1,87,Alabama,4,89,Alabama,False,2024,3
Clemson,6,77,Arizona,2,72,Clemson,True,2024,3
Houston,1,51,Duke,4,54,Duke,False,2024,3
North Carolina State,11,67,Marquette,2,58,North Carolina State,True,2024,3
Purdue,1,80,Gonzaga,5,68,Purdue,True,2024,3
Creighton,3,75,Tennessee,2,82,Tennessee,False,2024,3
UConn,1,77,Illinois,3,52,UConn,True,2024,4
Alabama,4,89,Clemson,6,82,Alabama,True,2024,4
Duke,4,64,North Carolina State,11,76,North Carolina State,False,2024,4
Purdue,1,72,Tennessee,2,66,Purdue,True,2024,4
UConn,1,86,Alabama,4,72,UConn,True,2024,5
North Carolina State,11,50,Purdue,1,63,Purdue,False,2024,5
UConn,1,75,Purdue,1,60,UConn,True,2024,6
