Team1,Team1_Seed,Team1_Score,Team2,Team2_Seed,Team2_Score,WinningTeam,Team1_Win,Year,Round
Kentucky,1,81,Western Ky.,16,66,Western Ky.,False,2012,1
Iowa St.,8,77,UConn,9,64,UConn,False,2012,1
Wichita St.,5,59,VCU,12,62,VCU,False,2012,1
Indiana,4,79,New Mexico St.,13,66,New Mexico St.,False,2012,1
UNLV,6,64,Colorado,11,68,Colorado,False,2012,1
Baylor,3,68,South Dakota St.,14,60,South Dakota St.,False,2012,1
Notre Dame,7,63,Xavier,10,67,Xavier,False,2012,1
Duke,2,70,Lehigh,15,75,Lehigh,False,2012,1
Michigan St.,1,89,Long Island,16,67,Long Island,False,2012,1
Memphis,8,54,Saint Louis,9,61,Saint Louis,False,2012,1
New Mexico,5,75,Long Beach St.,12,68,Long Beach St.,False,2012,1
Louisville,4,69,Davidson,13,62,Davidson,False,2012,1
Murray St.,6,58,Colorado St.,11,41,Colorado St.,False,2012,1
Marquette,3,88,BYU,14,68,BYU,False,2012,1
Florida,7,71,Virginia,10,45,Virginia,False,2012,1
Missouri,2,84,Norfolk St.,15,86,Norfolk St.,False,2012,1
Syracuse,1,72,UNC Asheville,16,65,UNC Asheville,False,2012,1
Kansas St.,8,70,Southern Miss,9,64,Southern Miss,False,2012,1
Vanderbilt,5,79,Harvard,12,70,Harvard,False,2012,1
Wisconsin,4,73,Montana,13,49,Montana,False,2012,1
Cincinnati,6,65,Texas,11,59,Texas,False,2012,1
Florida St.,3,66,St. Bonaventure,14,63,St. Bonaventure,False,2012,1
Gonzaga,7,77,West Virginia,10,54,West Virginia,False,2012,1
Ohio St.,2,78,Loyola (MD),15,59,Loyola (MD),False,2012,1
North Carolina,1,77,Vermont,16,58,Vermont,False,2012,1
Creighton,8,58,Alabama,9,57,Alabama,False,2012,1
Temple,5,44,South Florida,12,58,South Florida,False,2012,1
Michigan,4,60,Ohio,13,65,Ohio,False,2012,1
San Diego St.,6,65,NC State,11,79,NC State,False,2012,1
Georgetown,3,74,Belmont,14,59,Belmont,False,2012,1
Saint Mary's,7,69,Purdue,10,72,Purdue,False,2012,1
Kansas,2,65,Detroit,15,50,Detroit,False,2012,1
Kentucky,1,87,Iowa St.,8,71,Iowa St.,False,2012,2
VCU,12,61,Indiana,4,63,Indiana,False,2012,2
Colorado,11,63,Baylor,3,80,Baylor,False,2012,2
Xavier,10,70,Lehigh,15,58,Lehigh,False,2012,2
Michigan St.,1,65,Saint Louis,9,61,Saint Louis,False,2012,2
New Mexico,5,56,Louisville,4,59,Louisville,False,2012,2
Murray St.,6,53,Marquette,3,62,Marquette,False,2012,2
Florida,7,84,Norfolk St.,15,50,Norfolk St.,False,2012,2
Syracuse,1,75,Kansas St.,8,59,Kansas St.,False,2012,2
Vanderbilt,5,57,Wisconsin,4,60,Wisconsin,False,2012,2
Cincinnati,6,62,Florida St.,3,56,Florida St.,False,2012,2
Gonzaga,7,66,Ohio St.,2,73,Ohio St.,False,2012,2
North Carolina,1,87,Creighton,8,73,Creighton,False,2012,2
South Florida,12,56,Ohio,13,62,Ohio,False,2012,2
NC State,11,66,Georgetown,3,63,Georgetown,False,2012,2
Purdue,10,60,Kansas,2,63,Kansas,False,2012,2
Kentucky,1,102,Indiana,4,90,Indiana,False,2012,3
Baylor,3,75,Xavier,10,70,Xavier,False,2012,3
Michigan St.,1,44,Louisville,4,57,Louisville,False,2012,3
Marquette,3,58,Florida,7,68,Florida,False,2012,3
Syracuse,1,64,Wisconsin,4,63,Wisconsin,False,2012,3
Cincinnati,6,66,Ohio St.,2,81,Ohio St.,False,2012,3
North Carolina,1,73,Ohio,13,65,Ohio,False,2012,3
NC State,11,57,Kansas,2,60,Kansas,False,2012,3
Kentucky,1,82,Baylor,3,70,Baylor,False,2012,4
Louisville,4,72,Florida,7,68,Florida,False,2012,4
Syracuse,1,70,Ohio St.,2,77,Ohio St.,False,2012,4
North Carolina,1,67,Kansas,2,80,Kansas,False,2012,4
Kentucky,1,69,Louisville,4,61,Louisville,False,2012,5
Ohio St.,2,62,Kansas,2,64,Kansas,False,2012,5
Kentucky,1,67,Kansas,2,59,Kansas,False,2012,6
