Rk,Team,Seed,Conf,G,Rec,ConfRec,Wins,Losses,ConfWins,ConfLosses,WinPct,ConfWinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
89,Abilene Christian,14,Slnd,23,19-4,,19,4,,,+0.1739,,+11.0,-113.0,-2.7,+1.0,+0.1962,-66.0,+2.7,-19.0,-0.6,+34.0,-1.3,-19.0,-3.5,+23.0,+8.4,-80.0,-6.2,-119.0,-10.5,+119.0,-22.3,-301.0,0.0,-3.0,-3.3,-8.0,+4.4,+20.0,+2.7,+97.0,+2.3,-89.0,+4.2,+123.0,+1.3,-49.0,+1.25,-7.0
11,Alabama,2,SEC,30,24-6,,24,6,,,+0.2,,+5.4,-3.0,-2.1,+8.0,+0.0391,-3.0,+0.7,-11.0,-0.7,+32.0,+0.6,+37.0,-0.2,+2.0,+6.2,-50.0,+3.3,+3.0,-9.8,+20.0,-6.3,-95.0,+2.2,-49.0,-2.2,+6.0,-0.7,+27.0,+1.4,+80.0,-3.1,+26.0,-0.3,+35.0,-1.4,+20.0,-4.9,-1.0
225,Appalachian St.,16,SB,25,13-12,,13,12,,,+0.28,,-3.3,-6.0,-8.0,-143.0,+0.1235,-59.0,-3.4,-38.0,-5.5,-130.0,-0.9,+21.0,-0.4,-9.0,+0.5,-30.0,-2.8,-115.0,+3.4,-68.0,-1.2,+30.0,-9.5,+4.0,-7.3,-125.0,+1.6,-118.0,-0.7,-33.0,+5.7,-21.0,-6.5,-121.0,+1.1,-113.0,+8.1,-197.0
24,Arkansas,3,SEC,28,22-6,,22,6,,,-0.119,,-5.2,+79.0,+2.7,+51.0,-0.1169,+51.0,-0.1,+17.0,+4.6,+138.0,+3.6,+144.0,+3.0,-63.0,+0.4,+10.0,+2.0,+58.0,+1.0,-44.0,-3.6,-30.0,+2.4,-23.0,+0.2,+38.0,-3.1,+41.0,+9.1,+146.0,+0.1,-55.0,-4.1,-80.0,+0.9,-3.0,-4.31,+31.0
26,BYU,6,WCC,25,19-6,,19,6,,,-0.26,,+1.9,+18.0,0.0,+26.0,+0.0175,+7.0,-3.4,+84.0,+5.0,+152.0,-0.4,+12.0,-3.2,-58.0,-3.9,+42.0,-3.6,+8.0,-1.2,-78.0,+7.0,+95.0,-5.1,+116.0,+8.4,+194.0,-0.6,+64.0,-0.3,+20.0,-0.5,-23.0,+6.3,+150.0,-0.2,-50.0,-3.28,+29.0
3,Baylor,1,B12,24,22-2,,22,2,,,-0.1667,,+3.7,+3.0,+8.5,+120.0,-0.0345,+19.0,-1.4,+31.0,+4.5,+96.0,+3.8,+144.0,-4.6,+75.0,+2.7,0.0,-0.7,-75.0,+1.2,-114.0,+1.3,+4.0,-1.3,+57.0,+1.2,+43.0,-1.2,+50.0,+7.7,+74.0,+1.1,-46.0,-2.2,-4.0,-1.3,0.0,-6.0,+15.0
44,Clemson,7,ACC,23,16-7,,16,7,,,-0.1957,,+13.0,-82.0,+11.8,+149.0,-0.0084,+11.0,+13.0,-148.0,+7.8,+138.0,+1.8,+48.0,-0.3,+7.0,-3.7,+27.0,-0.6,-5.0,-8.7,-48.0,-7.4,-83.0,+3.6,-104.0,+4.1,+98.0,+15.4,-123.0,+11.4,+104.0,+3.6,-17.0,-9.1,-211.0,-4.2,-32.0,-3.5,+109.0
176,Cleveland State,15,Horz,26,19-7,,19,7,,,+0.2692,,+1.7,-44.0,-1.5,-26.0,+0.0907,-47.0,+2.7,-61.0,-6.6,-103.0,-4.8,-104.0,-4.5,+119.0,-5.5,+102.0,-0.1,-84.0,-8.3,+60.0,-14.1,-243.0,+1.7,-9.0,-5.6,-147.0,+2.5,-127.0,-5.3,0.0,-8.3,+34.0,-0.2,-62.0,+0.8,-108.0,+2.87,-42.0
56,Colgate,14,Pat,15,14-1,,14,1,,,+0.0667,,+6.3,+2.0,+7.4,+93.0,-0.0306,+13.0,+1.1,+17.0,+2.8,+109.0,-2.4,+10.0,-2.5,-58.0,+4.2,-94.0,-0.6,+16.0,+4.6,-98.0,-1.8,+22.0,-4.2,+97.0,+5.2,+82.0,+8.4,+4.0,-0.7,+32.0,-3.4,-6.0,+0.4,+15.0,-1.9,+43.0,-0.19,+5.0
7,Colorado,5,P12,30,22-8,,22,8,,,+0.0167,,+1.1,+24.0,+5.6,+79.0,-0.0449,+30.0,-2.4,+61.0,+2.8,+98.0,+0.3,+73.0,-2.7,+62.0,+7.4,-69.0,-0.6,+12.0,+2.4,-101.0,+2.3,+61.0,-2.7,+32.0,+0.4,+46.0,-1.2,+64.0,+4.0,+53.0,-1.7,-26.0,+4.5,+113.0,-3.8,+2.0,-4.2,+12.0
21,Creighton,5,BE,28,20-8,,20,8,,,+0.0357,,-2.8,+50.0,-1.5,+12.0,-0.0099,+14.0,-2.6,+62.0,-1.9,+8.0,+0.6,+88.0,-2.1,-29.0,+4.8,-138.0,-2.2,-68.0,-4.0,-54.0,+5.3,+116.0,-6.7,+126.0,+1.8,+78.0,+1.9,+20.0,-4.9,-31.0,-2.2,+32.0,+0.7,-21.0,-0.5,-23.0,-2.7,+8.0
69,Drake,11,MVC,28,24-4,,24,4,,,-0.1904,,-2.9,+59.0,+1.1,+2.0,-0.0804,+29.0,-7.7,+171.0,+3.3,+105.0,-3.0,+14.0,-2.5,+23.0,-4.0,+78.0,+3.0,+93.0,-3.6,-72.0,+0.7,+13.0,-8.8,+185.0,-1.2,-25.0,-3.3,+99.0,+8.5,+198.0,-2.0,-46.0,-4.9,-66.0,-3.8,+8.0,-1.84,+44.0
130,Drexel,16,CAA,19,12-7,,12,7,,,+0.3684,,+13.3,-70.0,+7.2,+29.0,+0.1334,-33.0,+5.8,-22.0,-1.2,-20.0,+0.2,+7.0,-9.3,-4.0,+4.4,-68.0,+1.2,+70.0,-1.9,-61.0,-15.4,-61.0,-5.9,+128.0,-2.0,-68.0,+19.7,-34.0,+0.2,+36.0,-2.6,-15.0,-1.1,+15.0,-2.3,-52.0,+4.87,-108.0
