Rk,Team,Seed,Conf,G,Rec,ConfRec,Wins,Losses,ConfWins,ConfLosses,WinPct,ConfWinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
23,Alabama,9,SEC,32,21-11,9-7,21,11,9,7,-0.1562,,,-1.4,+103.9,+86.8,+44.1171,-22.2831,+45.0,-125.9,+217.6,+39.3,+98.6,-159.0,+184.6,-89.9,+173.1,-81.0,+128.1,-134.2,+9.5,-122.1,-3.6,-188.7,+100.6,+2.4,+172.1,+13.9,+184.5,-304.3,+234.7,+24.2,+41.9,-277.8,+263.1,-129.7,+233.9,-235.8,+267.4,-39.37
46,BYU,14,WCC,32,24-8,12-4,24,8,12,4,-0.0833,,,-11.1,+174.8,+70.6,+41.1845,-45.4915,+114.7,-0.9,+45.5,-52.3,+228.0,-26.6,+238.5,-79.1,+27.7,-214.1,+257.6,+8.4,-18.6,-132.5,+136.9,-96.8,-20.4,+30.9,-0.9,-114.7,+265.2,-107.9,+155.8,-8.8,+59.4,-144.5,+148.7,-255.6,+142.1,+66.6,+13.58,-52.23
17,Baylor,3,B12,33,26-7,12-6,26,7,12,6,-0.2879,,,+110.3,-87.6,+63.6,+142.091,-16.0744,-31.6,+1.4,+100.8,-39.9,+219.4,-173.6,+70.7,-100.0,+224.4,+19.0,+9.1,-172.4,+138.5,-136.4,+137.3,-22.1,+202.2,-7.4,+51.5,-24.8,+208.3,-6.7,+171.1,-113.8,+136.1,-158.5,+135.0,-145.4,+69.3,-69.6,+74.0,-8.1
33,Belmont,14,ASun,33,26-7,16-2,26,7,16,2,+0.2121,,,+99.3,-16.6,-18.6,+135.144,-32.2533,+27.3,+47.5,+35.2,-74.4,+80.4,-19.5,+43.3,-130.0,+227.4,-52.0,+115.1,-135.6,-11.2,-45.0,-4.8,-141.3,-26.7,+41.9,+116.4,-65.5,+106.9,+10.4,+28.3,-110.2,+48.1,+2.7,+17.1,-65.8,+82.9,-10.9,+116.1,-44.51
28,California,12,P12,34,24-10,13-5,24,10,13,5,-0.4559,,,+60.2,+34.3,+76.4,+207.1309,-27.4771,+105.3,-18.3,+156.5,-7.5,+209.8,-32.9,+219.6,-190.9,+226.0,-145.4,+126.8,+2.6,+7.9,-189.8,+73.3,+18.5,+40.1,-5.8,+129.7,-18.4,+187.7,-50.8,+186.1,-63.5,+175.1,-314.2,+258.1,-42.4,+10.2,-63.9,+89.2,-37.29
27,Cincinnati,6,BE,34,24-10,12-6,24,10,12,6,+0.0941,,,+60.9,-52.2,+67.2,+22.1306,-26.0581,-35.0,-155.7,+166.9,+3.5,+109.6,+4.9,+34.3,-67.3,+25.9,-6.8,+91.3,-236.8,+234.6,-293.3,+229.4,+17.6,-13.1,-176.2,+46.5,-34.7,+26.7,-135.8,+245.3,-14.4,+164.1,-83.7,+109.1,-62.1,+162.8,-203.3,+281.0,-21.7
74,Colorado,11,P12,32,21-11,11-7,21,11,11,7,+0.0105,,,-15.9,+58.8,+50.7,+42.2385,-73.2084,+21.7,-110.6,+101.0,-32.6,+145.8,-100.6,+73.3,-227.9,+82.7,-236.4,+204.5,-13.4,+132.0,+11.8,+72.5,-46.4,+123.5,-90.9,+42.2,-37.0,+160.9,-143.5,+201.1,-68.0,+91.4,-168.8,+248.5,-197.5,+92.1,-122.9,+226.28,-61.3
85,Colorado State,11,MWC,31,20-11,8-6,20,11,8,6,+0.1048,,,+93.0,-76.8,-103.5,+179.2755,-84.181,+3.5,+30.9,+10.5,-182.1,+182.9,-90.0,+38.5,-243.0,+182.6,-246.4,+157.5,-37.2,+84.0,+6.3,+135.8,-205.8,+50.6,-25.3,+11.3,-160.0,+90.5,+30.9,+58.3,-197.7,+201.8,-226.4,+169.6,-279.3,+188.3,-181.6,+245.9,-70.71
35,Creighton,8,MVC,33,28-5,14-4,28,5,14,4,+0.1515,,,+115.9,-87.8,-87.1,+143.1496,-34.1107,-26.3,+57.6,-39.3,-140.3,+58.9,-36.9,+16.7,-334.2,+291.4,-158.6,+144.9,+10.3,-33.2,-54.2,+66.6,-1.7,+29.5,+55.3,-35.5,-112.9,+70.5,+36.3,+31.4,-197.2,+53.0,-80.9,+74.1,-67.2,+55.6,-44.1,+117.2,-14.2
62,Davidson,13,SC,31,24-7,16-2,24,7,16,2,+0.2258,,,+78.8,-48.0,-28.6,+162.2139,-61.2289,+25.7,-25.0,-6.4,-57.5,+34.8,-5.9,+14.4,-282.5,+213.9,-29.3,+126.3,+14.9,+110.3,-135.9,+198.2,-221.1,+163.5,+17.7,-38.0,-50.8,-2.0,-143.6,+170.0,-116.8,+152.5,-18.0,+60.2,-4.3,-29.4,-3.2,+154.32,-63.68
127,Detroit,15,Horz,33,20-13,11-7,20,13,11,7,+0.3939,,,+33.2,-32.6,-113.8,+21.3981,-126.0822,-25.5,-134.5,+32.1,-197.9,+68.9,-87.1,+112.6,-36.6,-2.3,-26.0,+94.0,-182.1,+71.0,+29.3,+8.3,-189.1,+136.9,-33.5,+0.5,-146.1,+213.4,-292.7,+123.0,-271.4,-16.5,-264.4,+186.4,-203.7,+103.1,-17.9,+72.1,-135.0
13,Duke,2,ACC,33,27-6,13-3,27,6,13,3,-0.4849,,,+101.4,+19.7,+38.3,+117.085,-12.288,+48.0,+8.5,+226.9,-38.1,+89.3,-22.4,+47.2,-221.3,+108.3,-47.5,+123.8,-132.7,+247.7,+20.9,+150.1,-40.0,+23.1,-4.5,+97.0,-92.0,+47.4,-21.1,+262.3,-14.9,+149.6,-19.1,+31.1,+18.5,-59.3,-8.5,+234.0,-7.3
14,Florida,7,SEC,33,23-10,10-6,23,10,10,6,-0.3637,,,+125.4,-95.1,-8.7,+170.0858,-13.0822,-30.7,+43.0,+80.0,-120.0,+233.4,-3.7,-11.7,-177.0,+271.2,-92.7,+222.0,-83.3,+221.0,-235.8,+278.3,-20.3,+15.3,+9.2,+148.1,-78.7,+224.0,+17.5,+85.4,-191.9,+121.6,+38.3,-12.8,-106.4,-43.6,-137.2,+295.0,-21.71
19,Florida State,3,ACC,33,24-9,12-4,24,9,12,4,+0.2727,,,+45.9,-76.1,+87.3,+56.1015,-18.0493,-42.4,-17.1,-30.7,+36.5,+47.3,-301.3,+244.8,-47.8,+128.3,-19.1,+117.0,-173.1,+239.8,-161.6,+126.7,-102.6,+5.3,-13.4,+54.5,+33.4,+59.7,-70.2,-23.5,+8.6,+70.4,-161.7,+135.1,-272.7,+85.3,-28.7,+78.7,-15.1
12,Georgetown,3,BE,30,22-8,12-6,22,8,12,6,-0.4,,,+67.8,+22.5,+81.8,+34.0834,-11.1359,-11.0,-37.5,+122.1,+39.6,+17.4,-114.9,+188.9,-150.3,+208.1,-11.4,+73.7,-57.2,+105.6,-40.7,+28.9,-123.9,+223.2,-6.8,+41.7,+7.1,+197.7,-134.2,+234.4,+15.7,-28.1,-208.0,+253.5,-127.4,+72.6,-225.9,+221.4,-16.1
31,Gonzaga,7,WCC,31,25-6,13-3,25,6,13,3,-0.3065,,,+78.1,-60.3,+46.2,+29.1388,-30.0587,-39.4,+27.3,+20.4,-15.9,+68.1,-141.9,+39.4,-180.0,+137.2,-44.9,+198.2,-2.1,+68.0,+19.6,+254.5,+26.9,+135.1,+24.3,-10.5,-60.7,+147.4,-12.6,+149.8,-12.2,+16.7,-152.7,+180.2,-168.7,+140.8,-105.9,+223.9,-33.08
37,Harvard,12,Ivy,29,25-4,12-2,25,4,12,2,+0.1379,,,+44.2,-62.6,+81.1,+229.1601,-36.262,+33.5,+12.6,-41.9,+28.4,+194.5,-164.4,+227.2,-167.6,+249.1,-197.1,+248.3,+9.0,+4.3,+3.7,+67.9,-4.5,-11.2,+31.7,-25.9,+29.4,+105.5,-65.8,-20.6,-95.4,+218.6,-84.1,+0.2,+13.1,+29.8,-271.0,+306.7,-29.54
11,Indiana,4,B10,33,25-8,11-7,25,8,11,7,-0.0909,,,+122.8,-92.5,+18.3,+131.0816,-10.063,-37.7,+45.9,+23.3,-62.4,+176.9,-88.0,+88.7,-147.1,+254.5,-19.7,+38.8,-102.5,+39.4,+47.2,-17.2,-98.3,-5.8,-13.3,+184.5,-37.5,-17.3,+48.0,-29.9,-145.7,+265.3,-262.1,+227.3,-86.4,+168.2,-25.7,+53.3,-11.54
66,Iona,14,MAAC,33,25-8,15-3,25,8,15,3,-0.4243,,,+93.5,-34.6,-81.6,+163.2239,-65.2732,+33.5,+50.4,-0.1,-196.6,+251.6,-7.1,+112.8,-44.0,+20.9,-148.2,+243.7,-154.3,+60.7,-279.1,+188.2,+1.1,+20.3,+56.0,-34.1,-201.4,+237.3,+8.0,+187.6,-176.3,+168.7,-155.4,+217.9,-189.0,-2.1,+55.3,+22.81,-56.6
34,Iowa State,8,B12,32,22-10,12-6,22,10,12,6,-0.3542,,,+79.1,-5.3,+29.4,+30.1447,-33.1149,-18.9,+12.7,+91.7,-100.0,+91.5,-45.9,+130.4,-284.2,+260.8,-135.9,+63.7,+18.5,+47.3,-90.2,+261.3,+23.8,+70.0,-47.3,+119.1,-197.6,+166.0,+4.1,+111.2,+10.5,-12.2,+23.0,+21.3,-95.6,-7.2,-48.4,+38.1,-36.11
3,Kansas,2,B12,33,27-6,16-2,27,6,16,2,-0.1515,,,+105.6,-69.1,+90.1,+103.0458,-2.0928,-26.0,+41.2,-7.9,+33.1,+10.4,-116.2,+148.3,-129.2,+205.1,-33.5,+77.4,-12.6,+194.9,-1.4,-14.3,-93.3,+118.9,+43.6,+22.0,+40.0,+6.2,-55.9,-1.7,-154.4,+71.5,-200.3,+257.8,-119.8,-12.9,-17.6,+47.8,-5.68
26,Kansas State,8,B12,31,21-10,10-8,21,10,10,8,-0.1774,,,+53.7,-64.5,+83.4,+137.1305,-25.1387,-8.3,-104.7,-11.8,+18.9,+268.7,-223.7,+126.2,+5.2,-28.8,+33.7,+11.3,-200.8,+202.1,-1.0,+173.4,-249.9,-18.5,-83.8,-31.9,-1.1,+266.8,-136.6,+149.2,-19.9,+183.3,-210.9,+185.7,-81.6,+87.5,-39.0,+143.9,-34.13
1,Kentucky,1,SEC,34,32-2,16-0,32,2,16,0,-0.1412,,,+116.6,-70.5,+79.3,+11.0298,-0.0298,-49.4,+24.7,+75.4,+42.3,+16.8,-5.2,+31.9,-267.5,+260.6,+18.3,+54.0,-92.6,+43.0,-40.7,+160.4,+15.4,-35.5,+29.0,+68.2,+41.1,+6.9,-21.2,+113.9,-41.5,+71.7,-264.4,+136.0,-41.2,+96.9,-109.7,+209.7,+0.8
