Rk,Team,Seed,Conf,G,Rec,ConfRec,Wins,Losses,ConfWins,ConfLosses,WinPct,ConfWinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
63,Akron,12,MAC,31,25-6,14-2,25,6,14,2,-0.1398,,,-6.3,+176.2,+35.3,+18.2081,-62.3352,+68.6,-17.7,+195.0,+22.1,-12.4,-179.3,+196.5,-122.8,+96.2,+19.0,-0.2,-70.9,+42.2,-105.8,+59.5,-122.7,+117.8,+22.5,+106.8,+33.5,+80.8,-174.1,+228.8,-64.6,-30.7,-35.4,+180.4,-33.6,+33.4,-76.2,+147.4,-45.25
150,Albany,15,AE,34,24-10,9-7,24,10,9,7,+0.2941,,,-63.2,+114.4,-59.2,+45.4578,-149.328,+65.2,-65.2,+181.1,-98.5,+30.8,-227.0,+180.1,-155.7,+21.3,-134.8,+131.7,-14.3,+181.7,-30.8,+178.6,+9.8,+20.6,-137.7,+230.9,-116.5,+31.6,-21.5,+56.9,-95.1,+42.0,-144.7,+231.1,-211.0,-23.3,-221.7,+312.3,-105.2
18,Arizona,6,P12,32,25-7,12-6,25,7,12,6,-0.1145,,,+101.7,-74.4,+56.3,+50.0903,-17.0542,-40.9,+0.7,+42.0,-60.5,+84.5,-123.0,+116.5,-124.0,+130.6,-18.5,+15.8,+2.7,+75.6,-102.3,+237.9,-34.1,+180.7,-5.5,+52.0,-4.4,+97.7,-31.2,+97.0,-241.2,+61.1,-16.0,+29.6,-55.8,-35.0,-59.4,+186.4,-15.75
51,Belmont,11,OVC,30,24-6,14-2,24,6,14,2,+0.2,,,+57.0,+77.1,+35.5,+124.1702,-50.402,+83.2,+49.7,+41.6,-61.6,+281.2,-138.4,+102.0,+24.0,-29.4,-186.6,+135.1,-221.9,+196.6,-227.4,+102.1,-177.2,-50.1,+58.5,-35.2,-62.1,+263.4,-8.4,+245.1,-75.0,+212.5,-4.2,+56.1,-257.8,+247.6,-43.1,+113.65,-49.69
55,Boise State,13,MWC,30,19-11,9-7,19,11,9,7,-0.3,,,+87.5,-30.9,-20.1,+140.1796,-54.2401,+31.2,-6.8,+167.6,-220.6,+261.6,-63.8,+60.0,-153.9,+106.7,-191.0,+175.6,+15.3,-26.7,-195.4,+83.8,-253.4,+179.6,-87.8,+161.0,-229.2,+254.3,+18.1,+162.2,-182.0,+162.9,-79.3,+124.7,-273.8,+152.8,-94.6,+70.11,-53.05
57,Bucknell,11,Pat,32,27-5,12-2,27,5,12,2,+0.1562,,,+14.7,+18.8,+54.2,+96.1912,-56.2341,+30.1,-64.3,+207.4,+36.6,-4.1,+8.1,-11.3,-331.5,+249.4,-205.3,+83.8,+25.0,+41.4,-103.7,+9.3,+9.6,+145.4,-76.1,+95.0,+36.8,-11.0,-50.1,+269.1,-12.7,+40.7,-305.0,+272.2,-61.1,+26.7,-218.6,+272.8,-41.8
39,Butler,6,A10,33,25-8,11-6,25,8,11,6,+0.0424,,,+68.8,-19.7,+42.0,+28.1438,-38.0837,-31.0,-25.2,+76.1,-49.0,+138.5,-182.4,+197.7,-283.9,+127.8,-7.3,+82.0,+9.6,-27.1,-68.8,+118.5,-141.7,+155.3,+4.8,+15.4,-44.1,+155.7,-113.7,+200.9,-91.1,+90.3,-61.7,+107.2,-61.4,+22.6,-180.1,+139.2,-12.7
60,California,12,P12,31,20-11,12-6,20,11,12,6,-0.6452,,,+20.3,-24.7,+65.1,+284.2014,-59.5712,+145.8,-142.7,+120.5,+26.7,+265.2,-85.5,+165.4,-308.7,+280.2,-93.6,+41.4,-93.3,-19.3,-258.4,+231.3,-8.0,+230.1,-55.2,+83.0,+39.1,+116.6,-279.7,+170.4,-108.0,+284.6,-310.4,+233.6,-22.4,+124.6,-84.4,+190.5,-47.4
24,Cincinnati,10,BE,33,22-11,9-9,22,11,9,9,0.0,,,-0.7,+81.9,+85.5,+36.117,-23.1978,+21.8,-226.2,+185.9,+32.3,-1.5,-117.6,+266.9,-149.0,+165.2,+28.0,+4.1,-56.7,+160.8,-130.5,+143.9,-55.0,-27.3,-218.8,+206.8,+28.4,-0.7,-229.7,+141.0,+8.8,+36.7,-21.0,+44.8,-44.7,+82.5,-137.6,+305.3,-35.76
42,Colorado,10,P12,32,21-11,10-8,21,11,10,8,-0.1562,,,+20.4,+11.0,+64.3,+35.1515,-41.1219,-11.6,-116.2,+152.9,-25.2,+90.1,-149.2,+111.6,-187.4,+116.1,-63.2,+71.5,-78.2,+92.6,+3.4,+49.3,+24.8,+20.8,-144.8,+220.1,-28.9,+112.3,-87.5,+57.7,-57.2,+70.3,-253.3,+191.1,-244.5,+106.4,-127.2,+146.6,-40.4
