Rk,Team,Seed,Conf,G,Rec,ConfRec,Wins,Losses,ConfWins,ConfLosses,WinPct,ConfWinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
89,New Mexico State,14,WAC,30,25-5,11-3,25,5,11,3,+0.1667,,,+34.6,+36.2,-32.7,+104.3121,-88.3069,+42.2,-13.9,-8.4,-1.7,+6.3,-233.2,+292.8,-117.4,+47.0,+19.8,-5.3,-105.5,+121.9,+59.7,-33.3,-152.3,+36.5,+35.5,-35.7,-94.7,+96.6,-206.9,+133.0,+16.0,-26.1,-64.6,+51.8,-30.0,-7.9,-144.4,+156.13,-54.5
192,New Orleans,16,Slnd,29,17-12,13-5,17,12,13,5,+0.0138,,,-151.1,+62.6,-18.1,+156.5607,-191.4732,+98.8,-133.6,+91.7,-111.1,+110.3,-327.0,+278.6,+10.2,-12.1,+21.7,-15.6,-275.5,+210.2,+27.2,+29.3,-129.0,+106.4,-22.8,-19.8,-212.6,+100.3,-304.1,+285.1,+1.0,+114.2,-321.5,+273.3,-151.5,+181.3,-198.3,+308.2,-136.6
5,North Carolina,1,ACC,33,26-7,14-4,26,7,14,4,-0.1212,,,+121.0,-87.1,+73.7,+61.0469,-4.0311,-45.3,-35.0,+57.5,-31.7,+151.6,-28.7,+35.3,-142.8,+166.0,+37.7,-8.1,-1.7,+59.9,-217.2,+201.6,-22.9,+267.9,-41.5,+19.3,-24.0,+61.3,-57.9,+168.8,-85.4,+220.0,-282.7,+249.6,-240.7,+87.3,+33.7,+50.7,-4.0
166,North Dakota,15,BSky,28,19-9,14-4,19,9,14,4,+0.1214,,,-99.8,+120.4,-55.8,+66.5139,-165.4124,+73.6,-3.0,+10.7,-112.6,+82.3,-169.1,+206.0,-59.5,+36.8,-254.4,+256.1,-88.2,+66.4,-106.3,+82.6,-220.8,+162.4,-27.7,+58.6,-123.4,+71.6,+6.0,+20.2,-125.4,+80.9,-275.9,+230.4,-15.0,+17.6,+22.8,+61.2,-114.6
149,Northern Kentucky,15,Horz,32,22-10,12-6,22,10,12,6,+0.3125,,,-22.8,+46.7,-87.7,+119.464,-148.3651,+57.1,-10.1,-6.8,-90.2,+91.0,-195.3,+51.0,-250.4,+156.7,-73.8,+228.7,-27.1,+66.7,-92.8,+176.0,-31.0,-14.9,-12.8,-5.1,-162.3,+56.9,-79.2,+55.2,-30.7,+105.6,+2.5,+20.3,-40.4,+101.7,-124.5,+163.8,-104.71
36,Northwestern,8,B10,34,23-11,10-8,23,11,10,8,-0.0765,,,+65.9,-59.7,+65.8,+98.1374,-35.1259,-10.7,-151.4,+9.0,+29.4,+201.1,-5.0,+210.0,-183.6,+165.1,-78.6,+71.3,-212.1,+113.2,-261.1,+222.5,-154.9,+50.1,-139.1,-10.9,+33.3,+157.9,-175.4,+120.5,-49.9,+178.2,-155.8,+226.6,-69.5,+167.3,-234.6,+286.0,-34.4
19,Notre Dame,5,ACC,34,25-9,12-6,25,9,12,6,-0.1353,,,+112.1,-84.4,+45.3,+45.0778,-18.0446,-41.0,+11.0,+57.0,-50.7,+198.1,+10.6,-3.8,-135.3,+28.6,-208.2,+186.0,-216.9,+215.8,-302.5,+238.4,+5.5,-18.3,-34.3,+14.9,-75.3,+141.4,+3.1,+160.3,-57.5,+204.2,-28.4,+65.5,-82.0,+5.5,-161.7,+234.1,-14.8
22,Oklahoma State,10,B12,31,19-12,9-9,19,12,9,9,-0.6129,,,+122.8,-90.4,-12.4,+236.0825,-21.1973,+9.2,+2.3,+164.2,-210.3,+309.7,-140.1,-17.8,-24.8,+129.0,+27.7,+40.8,-257.5,+176.2,-82.7,+249.4,-296.4,+153.0,-96.1,+189.5,-230.3,+273.7,+25.9,+134.5,-146.3,+281.9,-140.1,+74.7,-63.5,+143.0,+39.6,+59.7,-31.7
20,Oregon,3,P12,33,28-5,16-2,28,5,16,2,-0.0985,,,+92.3,-68.7,+71.3,+77.0794,-19.0957,-24.6,+36.0,+36.9,+21.9,+65.0,-54.5,-6.1,-55.7,+171.0,-48.1,+184.2,-178.8,+54.6,-163.7,+67.4,+11.4,+23.2,+36.1,+13.2,-2.6,+48.1,-16.9,+131.9,+13.0,+74.9,-69.2,+120.8,-170.6,+146.5,-159.1,+136.0,-14.56
63,Princeton,12,Ivy,28,22-6,14-0,22,6,14,0,+0.2143,,,+23.4,-50.6,+47.2,+102.2152,-62.1625,-0.5,-2.7,+51.1,-49.2,+64.8,-0.2,-14.6,-30.7,+66.8,-287.7,+156.3,+8.6,+143.1,-325.8,+247.3,-58.0,-0.4,-69.0,+64.8,-40.9,+8.9,-8.9,+84.6,-97.6,+108.1,+26.8,+73.7,-168.9,+215.7,-277.5,+318.29,-55.4
