Rk,Team,Seed,Conf,G,Rec,ConfRec,Wins,Losses,ConfWins,ConfLosses,WinPct,ConfWinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
2,Alabama,1,SEC,34,29-5,,29,5,,,-0.0529,,-2.8,+69.0,-3.1,0.0,+0.005,+4.0,-3.8,+110.0,-1.8,+5.0,0.0,0.0,+1.5,-158.0,+3.3,+4.0,+1.1,+33.0,-10.5,+186.0,-0.1,-44.0,+0.6,+29.0,-5.3,+4.0,-5.1,+65.0,+4.5,+137.0,+4.2,+3.0,-1.5,+22.0,-3.1,+59.0,-8.5,+7.0
7,Arizona,2,P12,34,28-6,,28,6,,,-0.0235,,+1.5,+11.0,-1.5,0.0,+0.0184,+4.0,+2.6,+14.0,-0.9,+45.0,-0.2,+7.0,-0.6,-66.0,-5.4,+126.0,+2.4,+94.0,-3.0,+87.0,+3.7,+95.0,-0.4,+40.0,-1.4,+21.0,+5.6,+6.0,0.0,+46.0,-3.8,+66.0,+0.3,-19.0,-1.4,+32.0,-5.4,-4.0
53,Arizona State,11,P12,35,23-12,,23,12,,,-0.1571,,+5.6,-22.0,+0.6,+16.0,+0.0649,-16.0,-0.9,-80.0,+3.5,+137.0,-0.7,+59.0,+0.3,+1.0,+0.4,-15.0,+3.2,-22.0,+7.3,-121.0,+6.7,+37.0,-3.1,-4.0,+3.9,+104.0,+1.4,-129.0,+2.5,+38.0,+2.3,-36.0,-5.0,-122.0,-0.3,-14.0,-1.33,+35.0
19,Arkansas,8,SEC,33,20-13,,20,13,,,-0.2728,,+3.1,+16.0,+5.6,+67.0,-0.0398,+35.0,-4.6,+118.0,+4.7,+166.0,-0.6,+3.0,-1.3,+29.0,+4.7,-61.0,+7.3,+119.0,+4.9,+6.0,+13.0,-4.0,-4.2,+123.0,+8.8,+225.0,-3.4,-53.0,-5.6,+1.0,+2.3,-69.0,-5.4,+1.0,0.0,+8.0,-0.74,+48.0
23,Auburn,9,SEC,32,20-12,,20,12,,,-0.2917,,+18.0,-48.0,+10.3,+141.0,+0.0446,-2.0,+5.7,-169.0,+8.5,+225.0,-2.1,-38.0,+1.4,-36.0,-7.3,+178.0,+5.1,-8.0,+6.0,-16.0,+4.1,-35.0,-0.6,-3.0,+10.4,+241.0,+11.7,-285.0,+3.4,+128.0,-1.5,-20.0,+0.7,+56.0,-2.5,+69.0,-0.96,+15.0
15,Baylor,3,B12,32,22-10,,22,10,,,-0.6875,,-3.3,+37.0,+14.5,+183.0,-0.3175,+119.0,-1.2,+64.0,+6.4,+66.0,+1.4,+92.0,+1.9,-44.0,-14.7,+274.0,+18.9,+37.0,-7.4,+145.0,+1.6,-2.0,-12.5,+173.0,+5.0,-16.0,+4.9,+5.0,+5.6,+173.0,+9.5,-18.0,-3.9,-82.0,-0.4,-21.0,-6.2,+258.0
34,Boise State,10,MWC,32,23-9,,23,9,,,-0.3855,,+7.4,-32.0,+9.2,+121.0,-0.0457,+38.0,+0.8,0.0,+8.4,+228.0,-2.8,+3.0,+0.1,-61.0,-4.2,+34.0,+0.2,+63.0,+5.4,-112.0,+1.3,+57.0,-0.7,-18.0,+8.1,+204.0,+2.1,+4.0,+6.0,+203.0,-0.6,+2.0,+9.2,+126.0,-2.2,+36.0,-2.37,+60.0
113,Colgate,15,Pat,33,25-8,,25,8,,,+0.2424,,+8.7,-22.0,-2.8,-70.0,+0.206,-61.0,+6.2,+2.0,-2.2,-107.0,-4.5,-7.0,-2.0,+2.0,-12.1,+44.0,-3.6,+14.0,+5.5,-154.0,-3.2,+14.0,+8.0,-4.0,+4.6,+41.0,+2.0,+28.0,-7.4,-180.0,+1.8,-82.0,+5.9,+108.0,+3.5,-121.0,+3.83,-44.0
72,College of Charleston,12,CAA,33,30-3,,30,3,,,+0.0909,,-6.9,+127.0,-6.1,-45.0,-0.0016,+10.0,-7.6,+154.0,-3.6,-24.0,-3.1,-3.0,+1.5,-43.0,-3.1,+76.0,+0.7,+66.0,+7.1,-72.0,-3.7,+21.0,-2.9,+76.0,-0.3,+7.0,-8.0,+82.0,-7.7,-7.0,+2.9,+3.0,-1.9,+15.0,-0.2,+18.0,-1.25,+7.0
14,Creighton,6,BE,33,21-12,,21,12,,,+0.1136,,+5.3,+7.0,+2.0,+31.0,+0.0188,+4.0,+3.8,-2.0,-1.1,+36.0,+0.4,+97.0,-2.6,-48.0,-0.1,-44.0,+3.0,+112.0,+1.8,-107.0,+0.2,+30.0,-3.4,+99.0,-2.4,+14.0,+8.7,-60.0,+0.7,-6.0,+2.0,-6.0,+3.8,+104.0,+1.3,-73.0,-1.72,+7.0
67,Drake,12,MVC,33,26-7,,26,7,,,+0.2121,,+11.9,-75.0,-5.0,-24.0,+0.1677,-60.0,+6.1,-32.0,-5.9,-26.0,-1.3,+50.0,-3.0,+43.0,+1.0,-78.0,+3.3,+109.0,+3.2,-109.0,-5.4,-7.0,+4.3,-46.0,-4.9,-37.0,+7.1,-24.0,-5.3,+4.0,-4.9,+49.0,-6.4,-137.0,-4.0,+90.0,+1.3,-33.0
21,Duke,5,ACC,34,26-8,,26,8,,,+0.2353,,+11.3,-29.0,-3.8,-9.0,+0.0847,-19.0,+4.8,-106.0,-2.7,+14.0,-3.1,-79.0,-2.3,-24.0,-8.6,+171.0,-1.6,+24.0,+8.4,-140.0,+11.2,+199.0,+2.8,-44.0,-0.4,+40.0,+6.1,-132.0,-4.2,+21.0,-3.3,+7.0,+3.4,+96.0,-0.7,-41.0,-2.3,-12.0
299,Fairleigh Dickinson,16,NEC,33,18-15,,18,15,,,+0.2045,,+7.2,-50.0,-8.9,-146.0,+0.3886,-174.0,+1.4,-17.0,-8.7,-267.0,-0.3,+75.0,-3.8,+108.0,+4.0,-42.0,-1.7,-56.0,+4.8,-131.0,-10.1,-184.0,-1.5,+30.0,-5.8,-182.0,+4.5,-78.0,-9.6,-243.0,-3.0,+41.0,-5.1,-136.0,-4.2,+136.0,+11.4,-48.0
25,Florida Atlantic,9,CUSA,32,29-3,,29,3,,,+0.0938,,+3.2,+24.0,-5.1,-19.0,+0.074,-13.0,+1.2,+22.0,-3.0,+10.0,-0.1,+82.0,-0.8,-15.0,0.0,+4.0,-0.4,+52.0,-0.2,-47.0,-3.6,+7.0,+3.4,+3.0,-0.4,+32.0,-1.1,+83.0,-4.8,-13.0,-2.7,+56.0,+7.1,+177.0,-0.2,-20.0,-3.3,+1.0
94,Furman,13,SC,31,24-7,,24,7,,,+0.2258,,+3.9,+16.0,+0.7,-13.0,+0.0601,-8.0,-3.2,+100.0,-3.6,-90.0,-5.3,-27.0,-2.1,+31.0,-6.2,+113.0,+5.0,+132.0,+26.9,-74.0,-3.0,-72.0,+0.4,+17.0,+2.3,+6.0,-4.4,+70.0,-8.8,-91.0,+2.4,+2.0,+2.8,+76.0,-1.8,+41.0,+2.38,-34.0
10,Gonzaga,3,WCC,32,27-5,,27,5,,,+0.1562,,+12.9,0.0,-4.4,-39.0,+0.0599,-9.0,+6.8,0.0,-5.0,-159.0,-1.8,+34.0,-0.3,-15.0,+1.8,-19.0,+5.0,+162.0,+4.1,-20.0,-11.2,-45.0,+1.4,+14.0,-7.6,-191.0,+10.1,-9.0,-1.2,-86.0,+6.7,-184.0,+4.8,+34.0,-3.7,+144.0,-5.6,+13.0
117,Grand Canyon,14,WAC,32,21-11,,21,11,,,+0.3438,,+12.0,-51.0,+2.5,+8.0,+0.1776,-47.0,+9.7,-53.0,+1.0,+74.0,-3.0,-90.0,-3.5,-32.0,-10.0,+179.0,-4.6,-153.0,+5.8,-1.0,+5.0,+21.0,+8.1,-147.0,+4.8,+160.0,+7.4,-8.0,-3.6,-3.0,+3.8,-37.0,+5.2,+145.0,+1.0,-95.0,+5.5,-98.0
1,Houston,1,Amer,34,31-3,,31,3,,,-0.1118,,-7.8,+105.0,-0.9,+5.0,-0.0324,+18.0,-6.0,+163.0,+3.4,+66.0,+1.6,+136.0,-1.2,+36.0,-5.6,+97.0,-3.2,-45.0,+6.4,-158.0,+10.3,+21.0,-6.1,+150.0,+3.1,+72.0,-3.7,+63.0,+2.5,+94.0,+2.7,-62.0,-7.4,-183.0,+0.8,-81.0,-6.7,+12.0
