Rk,Team,Seed,Conf,G,Rec,ConfRec,Wins,Losses,ConfWins,ConfLosses,WinPct,ConfWinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
99,Akron,13,MAC,32,26-6,,26,6,,,+0.1875,,+8.7,-32.0,+6.2,+83.0,+0.0428,+2.0,+2.8,-3.0,+1.6,+71.0,-5.8,-125.0,+1.1,-69.0,+2.8,-27.0,+2.6,+71.0,+5.7,-163.0,-2.9,-56.0,+0.8,+15.0,+0.8,+15.0,+3.6,+7.0,+1.8,+97.0,-1.5,+34.0,+2.1,+35.0,-4.1,+115.0,+1.92,-18.0
5,Alabama,2,SEC,33,25-8,,25,8,,,-0.2576,,+1.0,+7.0,-1.3,+17.0,+0.008,+1.0,-1.4,+41.0,+5.4,+180.0,-4.0,-100.0,-0.5,-75.0,-9.9,+214.0,-1.4,-22.0,-6.5,+128.0,+6.0,+44.0,-2.5,+39.0,+4.6,+131.0,-0.8,+35.0,+4.6,+182.0,-6.1,+104.0,+1.2,+57.0,+0.5,+1.0,-8.9,+7.0
278,Alabama State,16,SWAC,34,19-15,,19,15,,,+0.4412,,-1.9,-23.0,-7.3,-119.0,+0.1242,-83.0,-1.4,-79.0,-2.8,-48.0,+0.4,+59.0,+1.1,-22.0,+1.8,-67.0,-6.1,-153.0,-7.6,+9.0,-5.5,-137.0,-4.1,-38.0,-3.2,-63.0,+1.6,-83.0,-1.3,-30.0,-1.6,+38.0,-2.8,-81.0,-1.5,+20.0,+10.5,-164.0
250,American,16,Pat,33,20-13,,20,13,,,+0.1439,,+3.3,-78.0,+2.8,+18.0,+0.0145,-33.0,+6.3,-90.0,+1.2,-18.0,+0.1,+24.0,+2.0,-67.0,-2.1,-49.0,-2.0,+22.0,-6.0,-9.0,-16.3,-193.0,+4.2,-106.0,+2.0,-18.0,+5.8,-55.0,+0.3,+1.0,+0.8,0.0,+5.7,+129.0,+0.8,-111.0,+8.29,-104.0
10,Arizona,4,B12,34,22-12,,22,12,,,-0.1471,,+10.7,-9.0,+5.5,+89.0,+0.0149,+1.0,+1.9,-27.0,+3.6,+137.0,-1.7,-12.0,-4.4,+77.0,-7.8,+173.0,+4.0,+121.0,-4.1,+98.0,-1.9,+17.0,-2.3,+70.0,+0.8,+62.0,+7.3,-188.0,+5.2,+95.0,-5.2,+5.0,-1.2,-91.0,-1.8,+39.0,-4.3,-1.0
44,Arkansas,10,SEC,33,20-13,,20,13,,,+0.0606,,+14.0,-69.0,+8.8,+137.0,+0.04,-4.0,+3.0,-44.0,+2.2,+107.0,+0.5,+51.0,-6.2,+162.0,+4.7,-129.0,-0.2,+40.0,+9.1,-63.0,+0.7,+52.0,+2.9,-22.0,+0.2,+45.0,+2.1,-77.0,+3.5,+139.0,+2.0,-75.0,+0.8,-15.0,+0.9,-29.0,-0.98,-6.0
3,Auburn,1,SEC,33,28-5,,28,5,,,-0.5152,,-12.7,+59.0,-1.1,+15.0,-0.0392,+17.0,-4.3,+101.0,+3.7,+140.0,+1.1,+90.0,0.0,-24.0,-7.6,+171.0,-2.5,-86.0,-3.3,+34.0,+1.5,-61.0,-2.9,+70.0,+10.1,+257.0,-4.4,+135.0,-4.2,+26.0,-2.6,+40.0,+3.5,+93.0,-4.0,+117.0,-12.56,+58.0
19,BYU,6,B12,33,24-9,,24,9,,,-0.0606,,+2.5,+5.0,+7.6,+126.0,-0.0519,+28.0,-4.7,+96.0,+2.5,+64.0,-1.6,-57.0,-0.2,-35.0,-1.9,+60.0,+13.2,+285.0,+1.6,-92.0,-4.1,-21.0,-5.7,+106.0,+0.7,+33.0,-2.3,+100.0,+2.8,+5.0,+3.1,+1.0,+3.8,-30.0,+1.6,-112.0,-3.9,-2.0
28,Baylor,9,B12,32,18-14,,18,14,,,-0.2292,,+6.9,-5.0,-1.2,+10.0,+0.0503,-12.0,-4.3,+80.0,-3.8,-94.0,-5.6,-91.0,-6.0,+196.0,+1.1,+21.0,+1.8,-9.0,-6.0,+21.0,-6.0,-95.0,-3.0,+31.0,-4.6,-64.0,-4.4,+94.0,-2.1,-125.0,-3.5,+66.0,+4.8,+24.0,-3.0,+6.0,-2.05,+30.0
155,Bryant,15,AE,32,21-11,,21,11,,,+0.3438,,+0.9,-23.0,-5.6,-69.0,+0.1747,-47.0,+3.1,-91.0,-0.7,+50.0,+2.8,+135.0,-1.2,-30.0,+4.8,-25.0,-7.0,-84.0,-3.5,-17.0,+1.7,+56.0,+4.4,-99.0,-4.6,-11.0,-0.7,-26.0,+6.0,+170.0,-8.4,+39.0,-6.4,-48.0,+0.5,+5.0,+7.11,-81.0
