Rk,Team,Seed,Conf,G,Rec,Wins,Losses,WinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
24,Florida,7,SEC,3,1-2,1,2,0.3333,127.4,3,103.3,171,0.9178,24,50.0,129,54.0,250,11.3,8,13.0,305,25.3,253,36.7,254,19.2,309,28.7,67,46.2,195,54.3,263,36.5,121,35.1,166,44.3,19,22.6,22,59.8,298,0.29,49
25,UConn,9,BE,4,3-1,3,1,0.75,112.5,58,91.8,34,0.9121,25,52.2,90,41.1,14,16.1,84,13.7,297,34.8,100,38.9,281,32.0,201,24.8,35,50.6,97,42.0,42,37.1,107,26.0,35,30.7,206,28.7,81,61.5,267,0.8,21
27,UNLV,6,MWC,4,2-2,2,2,0.5,107.6,113,88.3,11,0.9073,27,46.9,201,47.3,119,17.4,122,20.8,84,21.9,291,24.6,42,38.2,120,35.3,152,43.7,245,48.8,177,35.1,141,29.9,90,36.3,103,37.7,253,69.4,42,-0.3,102
28,Kansas,2,B12,3,2-1,2,1,0.6667,119.6,19,98.1,104,0.9072,28,55.2,36,43.1,30,18.8,169,15.8,240,34.5,106,35.4,236,52.6,20,36.7,173,52.6,62,42.0,42,42.1,33,30.6,102,24.7,290,27.2,55,68.4,56,0.32,47
30,Saint Louis,9,A10,3,2-1,2,1,0.6667,115.6,38,95.9,81,0.896,30,53.0,70,53.7,246,19.6,192,18.6,147,30.9,164,18.8,8,33.3,186,34.0,135,51.5,79,49.5,189,37.1,107,42.2,269,37.6,81,30.0,114,64.2,177,0.38,43
31,Syracuse,1,BE,3,2-1,2,1,0.6667,110.7,76,92.2,39,0.891,31,48.1,175,42.5,22,18.7,165,20.9,81,33.0,127,43.8,307,37.0,140,19.3,5,42.2,274,44.2,70,37.5,101,26.5,43,41.6,40,37.6,251,61.6,263,0.7,26
32,Creighton,8,MVC,3,3-0,3,0,1.0,120.9,14,100.9,144,0.8893,32,58.6,10,45.7,77,14.1,32,8.8,323,30.4,171,18.3,6,40.8,96,30.3,85,58.3,12,46.1,113,39.3,67,29.8,88,36.1,105,30.8,123,65.9,122,0.8,23
33,West Virginia,10,BE,2,1-1,1,1,0.5,106.5,123,89.1,17,0.8865,33,34.3,321,49.5,170,14.1,32,21.5,68,44.8,4,24.1,37,30.6,222,35.1,151,37.6,310,53.2,246,16.1,318,28.1,68,25.0,286,34.0,186,60.9,279,0.21,55
34,Iowa State,8,B12,3,1-2,1,2,0.3333,109.1,90,91.4,31,0.8851,34,49.7,140,47.0,110,18.1,148,13.8,293,35.1,90,27.5,86,23.8,287,32.8,120,47.7,169,50.4,204,35.1,141,25.5,30,40.0,53,27.4,60,69.6,40,-0.11,82
35,Purdue,10,B10,4,2-2,2,2,0.5,124.6,8,105.1,203,0.8761,35,57.6,15,56.7,283,14.8,50,15.5,249,28.1,214,23.0,25,29.9,229,27.4,56,50.8,92,61.0,310,44.7,21,32.9,132,42.0,35,36.7,239,64.7,157,0.05,69
40,Georgetown,3,BE,3,1-2,1,2,0.3333,107.8,112,91.8,35,0.8641,40,48.5,165,43.6,37,20.1,209,15.7,244,34.6,104,30.8,145,43.3,65,49.1,274,51.2,86,52.1,232,26.8,261,16.7,2,25.0,286,31.6,136,63.1,226,-0.1,80
41,Kansas State,8,B12,2,1-1,1,1,0.5,117.7,27,100.4,138,0.8613,41,55.3,34,57.9,290,18.3,150,25.2,12,38.7,45,36.2,245,31.0,215,24.1,30,58.2,13,58.9,301,32.4,181,37.1,213,30.1,217,32.4,155,65.0,146,-0.13,84
44,St. Bonaventure,14,A10,5,4-1,4,1,0.8,120.4,15,103.5,178,0.8507,44,51.2,106,50.3,189,18.9,172,12.9,306,40.1,26,28.0,96,42.2,74,36.8,174,50.0,107,49.5,189,36.1,124,34.7,157,28.9,233,34.0,186,61.4,268,1.3,11
47,Michigan,4,B10,4,3-1,3,1,0.75,117.3,28,101.0,146,0.8475,47,53.7,64,48.9,152,21.3,243,18.6,147,28.7,200,37.3,268,44.5,58,30.2,82,50.0,107,46.3,115,39.2,69,36.9,206,41.4,41,28.9,86,62.1,251,1.3,12
49,South Dakota State,14,Sum,3,3-0,3,0,1.0,103.9,155,89.8,19,0.8431,49,52.6,79,46.3,92,16.9,106,21.4,73,27.4,222,25.5,54,26.3,269,19.3,5,52.3,70,42.7,53,35.6,133,37.5,216,29.6,221,26.7,48,59.7,299,0.41,41
50,UNC Asheville,16,BSth,3,3-0,3,0,1.0,112.0,61,96.8,89,0.8424,50,54.5,47,46.7,103,14.1,32,24.3,22,35.1,90,33.3,188,59.0,6,28.5,65,61.3,3,45.6,100,27.3,255,32.0,123,33.1,155,45.5,307,65.1,143,0.18,58
53,Long Beach State,12,BW,5,4-1,4,1,0.8,108.5,99,94.5,58,0.8307,53,51.4,104,45.8,83,15.9,73,24.8,20,39.9,29,33.1,187,34.2,179,23.1,21,48.9,133,41.2,32,36.9,111,36.0,185,37.6,81,36.1,230,63.5,208,-0.27,99
57,Colorado State,11,MWC,4,3-1,3,1,0.75,118.0,26,103.5,180,0.819,57,53.9,61,50.9,202,15.0,57,17.0,211,29.6,187,29.8,127,34.3,175,31.2,101,52.7,60,47.0,131,37.9,94,38.3,231,30.6,208,37.7,253,62.4,245,0.29,48
58,Marquette,3,BE,3,1-2,1,2,0.3333,107.9,107,94.8,63,0.8161,58,45.3,240,42.7,25,24.4,294,18.2,164,39.1,39,40.3,287,40.6,98,33.5,126,48.1,158,45.9,107,25.5,275,23.3,17,28.3,242,29.1,91,76.6,3,0.02,73
59,Lehigh,15,Pat,3,3-0,3,0,1.0,111.0,73,97.5,97,0.8157,59,54.2,54,45.4,70,15.3,62,19.6,124,29.2,195,25.5,54,35.4,161,38.4,191,51.3,83,41.8,41,39.7,55,35.2,168,35.4,125,32.9,167,71.7,18,0.6,29
