Rk,Team,Seed,Conf,G,Rec,Wins,Losses,WinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
1,Virginia,1,ACC,4,3-1,3,1,0.75,122.3,14,84.8,5,0.9855,1,53.4,71,46.7,86,16.7,149,19.7,80,33.3,78,27.1,114,35.8,170,29.6,79,51.0,100,46.8,127,39.3,75,30.9,93,29.9,261,28.1,44,60.4,331,1.5,9
2,North Carolina,1,ACC,4,4-0,4,0,1.0,119.1,30,84.3,4,0.9816,2,50.0,147,43.8,38,16.6,147,17.0,172,42.8,4,27.3,117,29.8,252,25.6,44,51.9,87,38.6,16,29.7,255,34.8,167,26.1,312,38.0,204,69.8,103,2.6,2
3,Kansas,1,B12,4,4-0,4,0,1.0,122.7,13,89.3,18,0.9747,3,56.8,25,46.6,82,19.1,232,18.7,118,33.1,84,29.3,166,37.9,133,37.4,184,55.8,31,48.8,170,39.4,74,27.5,45,31.3,245,29.4,58,70.4,89,2.3,3
4,Texas A&M,3,SEC,4,3-1,3,1,0.75,117.6,41,85.7,7,0.9743,4,46.7,233,43.2,36,14.4,65,19.2,99,38.7,28,32.7,245,29.1,261,30.1,89,47.4,187,42.6,45,30.2,247,29.5,75,33.0,218,40.3,259,64.9,275,1.3,12
5,Purdue,5,B10,4,3-1,3,1,0.75,126.7,4,95.2,59,0.964,5,59.5,10,47.0,92,14.5,68,11.9,312,27.9,188,22.4,35,38.1,129,24.1,28,58.5,10,45.1,87,41.1,51,33.3,140,34.0,201,39.2,232,67.8,178,0.8,21
6,West Virginia,3,B12,5,4-1,4,1,0.8,120.7,21,91.0,24,0.9629,6,53.2,78,52.3,224,21.3,287,26.2,4,40.4,16,30.9,201,41.1,85,53.4,301,51.3,96,46.4,111,38.0,100,42.2,287,32.3,227,35.2,153,68.6,148,1.8,6
7,Oregon,1,P12,5,5-0,5,0,1.0,124.4,10,93.8,46,0.9627,7,53.3,74,49.0,140,15.9,112,20.7,53,41.1,10,32.0,229,37.1,145,35.2,151,50.7,104,46.8,127,39.6,71,35.3,181,30.5,252,35.2,153,66.7,218,2.9,1
8,Michigan State,2,B10,5,5-0,5,0,1.0,126.2,5,95.3,62,0.9619,8,57.1,24,46.3,77,17.1,171,15.0,240,38.7,28,21.8,31,23.3,316,35.3,152,52.4,78,46.0,104,43.6,24,31.3,99,36.5,153,30.5,72,65.5,252,2.0,5
9,Yale,12,Ivy,2,2-0,2,0,1.0,120.5,24,91.4,26,0.9597,9,61.6,3,46.8,88,17.0,164,16.3,196,36.7,47,17.6,10,31.3,234,20.0,12,56.5,28,50.0,186,46.5,9,27.5,45,38.4,118,36.4,177,63.9,297,0.5,30
11,Stephen F. Austin,14,Slnd,4,4-0,4,0,1.0,120.2,25,93.0,39,0.9504,11,57.9,19,47.2,99,14.3,60,26.4,3,37.9,36,26.9,111,39.9,102,42.9,233,58.4,12,44.7,77,37.9,101,34.8,167,35.1,179,33.3,117,68.7,142,0.41,33
12,Gonzaga,11,WCC,3,3-0,3,0,1.0,138.3,1,107.8,212,0.9459,12,61.8,2,51.7,208,13.3,34,15.3,227,35.7,57,36.8,297,43.0,71,28.2,67,60.0,8,46.7,122,43.1,27,39.2,251,39.4,102,40.9,273,64.4,287,1.2,13
