Rk,Team,Seed,Conf,G,Rec,Wins,Losses,WinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
1,Illinois,1,B10,4,4-0,4,0,1.0,124.4,11,88.2,18,0.9813,1,53.7,69,48.2,118,15.2,83,13.8,251,35.2,34,22.8,67,44.0,20,31.0,157,55.6,42,49.7,156,32.3,174,30.3,91,26.7,279,35.9,145,70.7,83,2.7,1
2,UConn,7,BE,3,2-1,2,1,0.6667,127.2,4,91.1,38,0.9789,2,51.6,104,44.9,49,13.8,47,19.6,91,36.8,21,31.3,215,32.6,114,32.2,174,52.8,89,41.5,24,32.9,165,36.2,174,36.3,155,26.6,15,68.6,143,0.23,45
3,St. Bonaventure,9,A10,3,3-0,3,0,1.0,121.2,17,86.9,13,0.9785,3,50.8,126,41.9,13,15.7,94,18.3,131,36.9,20,27.5,148,22.8,237,29.9,141,53.7,73,41.1,22,30.2,205,29.1,70,34.2,190,32.9,91,65.0,243,1.2,11
4,Gonzaga,1,WCC,2,2-0,2,0,1.0,128.1,3,92.0,48,0.9782,4,59.2,15,46.5,83,14.2,56,14.9,229,25.8,171,20.3,34,31.9,124,14.8,8,57.7,23,50.0,158,41.5,45,27.1,50,34.5,185,37.5,178,73.4,28,1.0,15
5,Loyola Chicago,8,MVC,3,3-0,3,0,1.0,119.7,21,86.0,11,0.9781,5,60.5,9,45.5,60,20.2,221,16.9,174,25.6,175,18.9,24,23.0,232,18.1,21,52.6,94,44.0,57,49.1,6,32.6,122,37.5,129,29.7,35,62.9,280,0.7,22
6,North Carolina,8,ACC,4,3-1,3,1,0.75,117.8,31,86.9,14,0.9707,6,51.7,102,45.9,67,18.4,181,20.4,67,43.7,3,28.9,175,36.4,72,29.6,131,49.2,146,46.5,98,38.3,70,29.8,83,30.7,235,34.6,119,73.9,19,1.0,14
7,Ohio,13,MAC,3,3-0,3,0,1.0,123.6,13,91.9,47,0.9677,7,59.1,16,45.3,57,17.7,155,19.6,91,35.1,36,32.5,242,33.7,100,33.7,188,55.3,48,50.0,158,44.8,21,25.4,33,32.0,216,39.2,204,69.3,120,1.0,16
8,Alabama,2,SEC,4,4-0,4,0,1.0,116.1,36,86.5,12,0.9672,8,52.0,92,44.6,42,19.2,195,20.9,59,37.7,15,33.1,248,18.8,267,25.6,86,52.3,103,44.2,59,34.4,129,30.2,90,44.0,42,33.3,95,73.4,28,2.0,3
9,Houston,2,Amer,4,4-0,4,0,1.0,129.6,2,97.3,103,0.9642,9,54.4,59,45.5,60,14.8,74,16.3,191,38.5,8,28.6,167,27.2,185,36.2,214,54.1,64,45.5,79,36.5,99,30.3,91,43.5,46,40.3,226,62.4,285,1.5,6
10,Syracuse,11,ACC,2,1-1,1,1,0.5,133.3,1,100.8,138,0.9613,10,59.0,18,48.7,129,14.2,56,19.0,106,36.7,22,38.8,288,22.2,243,31.0,157,54.5,57,45.9,89,43.1,30,34.6,152,43.6,44,46.0,278,67.9,168,0.1,63
11,Iowa,2,B10,4,3-1,3,1,0.75,118.8,26,90.8,35,0.9564,11,52.3,87,48.2,118,13.3,39,17.1,169,25.0,187,21.6,49,23.3,227,17.7,19,57.8,21,46.8,103,30.0,209,33.7,141,42.8,56,37.1,165,71.7,59,1.3,9
12,Tennessee,5,SEC,3,2-1,2,1,0.6667,110.7,70,84.8,7,0.9552,12,49.2,150,43.4,30,21.5,247,23.4,21,37.4,17,33.3,249,24.7,210,31.8,167,53.0,83,41.7,26,28.4,227,30.8,96,36.8,139,37.6,182,68.1,159,0.7,24
13,Georgetown,12,BE,5,4-1,4,1,0.8,113.0,51,88.6,20,0.9429,13,49.8,143,48.1,116,19.0,193,17.5,150,32.2,67,26.9,131,40.9,40,23.9,60,45.8,203,50.9,177,38.1,72,29.9,84,35.1,169,45.7,273,69.0,127,1.9,4
16,Ohio State,2,B10,5,3-2,3,2,0.6,123.3,14,97.2,100,0.9396,16,51.5,110,47.8,111,14.5,64,12.2,272,29.5,113,32.1,228,32.7,111,39.4,247,48.9,151,47.0,108,37.0,93,32.7,123,38.5,115,35.3,132,66.5,215,1.2,10
17,Virginia,4,ACC,2,2-0,2,0,1.0,126.5,7,100.7,135,0.9329,17,55.1,48,45.2,55,14.5,64,8.5,297,31.5,77,31.5,220,21.5,246,29.8,138,66.7,1,40.5,16,28.0,232,37.1,192,46.7,24,30.7,49,59.5,300,1.1,13
18,Winthrop,12,BSth,2,2-0,2,0,1.0,112.7,60,89.7,27,0.9324,18,59.3,14,46.8,88,17.8,159,23.0,28,33.3,54,24.3,83,30.1,149,26.9,107,66.7,1,47.9,123,31.8,184,29.7,80,38.9,107,34.3,112,71.4,64,0.14,58
19,Texas,3,B12,4,4-0,4,0,1.0,118.8,25,94.7,73,0.9313,19,57.7,25,49.8,150,22.9,276,18.5,127,33.3,54,29.1,182,28.1,174,29.4,128,52.9,86,49.7,156,43.5,28,33.3,129,38.5,115,35.7,144,69.2,122,2.1,2
22,Baylor,1,B12,4,3-1,3,1,0.75,127.0,6,102.0,157,0.9255,22,56.1,34,53.6,223,21.4,245,20.0,78,40.2,4,30.2,202,28.2,172,33.0,179,52.8,89,49.3,153,40.6,51,41.7,253,40.3,83,32.1,72,68.3,152,0.7,20
23,Abilene Christian,14,Slnd,3,3-0,3,0,1.0,111.9,63,89.9,29,0.9254,23,55.6,39,44.8,45,18.1,171,23.2,24,39.0,7,21.7,50,23.5,226,20.2,33,50.8,118,43.0,43,42.1,41,31.8,109,38.8,109,38.2,192,72.1,50,0.15,57
24,Texas Tech,6,B12,3,1-2,1,2,0.3333,119.3,23,96.3,87,0.9216,24,54.2,61,53.0,215,17.3,141,22.9,31,31.6,74,37.3,283,37.3,62,23.8,59,51.7,109,41.8,27,40.0,56,44.2,268,30.1,246,45.8,275,64.9,245,-0.37,101
25,LSU,8,SEC,4,3-1,3,1,0.75,125.0,10,101.3,147,0.9185,25,50.4,130,47.0,92,12.8,31,16.3,191,34.0,47,39.3,290,26.4,194,29.2,127,47.8,169,48.7,142,37.3,89,29.7,80,31.3,224,41.6,247,68.9,130,1.4,7
26,Michigan,1,B10,4,2-2,2,2,0.5,115.7,39,93.8,67,0.9178,26,51.1,121,48.2,118,12.6,29,15.8,205,26.7,159,25.0,93,24.0,218,26.8,104,48.0,164,46.1,93,38.0,77,35.3,161,34.5,185,30.9,53,64.5,254,0.12,60
27,Oklahoma State,4,B12,5,3-2,3,2,0.6,114.9,42,93.5,64,0.9143,27,55.8,37,49.5,145,22.8,274,18.7,120,34.4,42,36.5,279,32.0,121,34.7,200,57.8,21,52.5,204,34.1,136,29.6,77,29.9,251,36.3,151,73.3,32,1.7,5
28,Oregon,7,P12,3,2-1,2,1,0.6667,124.3,12,101.2,145,0.9141,28,62.3,5,55.4,240,15.1,81,19.2,102,21.8,246,28.4,165,30.7,139,25.3,83,56.7,32,54.9,241,47.0,10,37.5,197,40.5,80,38.6,198,66.5,215,0.42,34
29,Eastern Washington,14,BSky,4,4-0,4,0,1.0,104.5,133,85.2,8,0.9129,29,52.0,92,40.1,6,18.0,168,16.2,196,25.6,175,23.1,69,31.2,132,24.9,76,54.9,53,45.3,75,31.8,184,20.5,10,39.8,93,35.6,138,70.7,83,0.29,44
32,Wisconsin,9,B10,3,1-2,1,2,0.3333,113.8,45,92.9,60,0.9118,32,52.0,92,50.8,165,15.0,77,14.5,235,21.1,254,32.0,226,17.0,279,24.3,70,43.9,244,57.9,270,43.8,27,25.4,33,37.4,132,35.6,138,63.3,272,0.06,70
33,BYU,6,WCC,2,1-1,1,1,0.5,113.4,48,92.6,55,0.9115,33,51.6,104,51.6,185,18.6,187,12.8,260,24.7,189,19.7,29,26.6,191,36.4,218,49.4,142,53.9,224,36.7,97,32.1,114,38.3,121,41.1,244,68.9,130,0.22,46
34,Oregon State,12,P12,4,3-1,3,1,0.75,121.4,15,100.5,132,0.8977,34,55.6,39,54.1,227,17.4,145,16.6,184,30.8,93,33.3,249,35.3,83,36.7,223,53.0,83,53.4,219,39.8,61,36.8,185,38.6,113,39.9,218,64.7,247,1.4,8
35,Creighton,5,BE,4,3-1,3,1,0.75,111.4,66,92.6,56,0.8934,35,53.1,76,45.0,50,16.4,114,15.7,208,29.6,112,26.0,116,22.9,234,31.0,157,49.6,138,47.9,123,38.6,68,27.2,51,42.1,66,39.7,213,69.5,112,0.5,27
36,Maryland,10,B10,3,1-2,1,2,0.3333,109.6,82,91.5,42,0.8884,36,51.6,104,49.4,143,17.6,153,17.6,146,17.5,279,27.2,141,31.2,132,29.0,124,53.3,78,46.7,100,32.8,166,35.9,169,42.7,57,37.9,188,66.5,215,-0.4,104
37,Colorado,5,P12,4,3-1,3,1,0.75,116.5,35,97.3,101,0.8883,37,49.6,145,50.5,162,17.1,136,17.1,169,38.3,9,25.0,93,32.3,115,30.3,147,47.6,174,46.9,105,35.5,112,37.3,194,34.1,192,39.3,207,63.4,271,0.7,21
39,San Diego State,6,MWC,3,3-0,3,0,1.0,113.0,53,94.8,74,0.883,39,51.9,97,45.6,62,12.3,26,21.0,57,23.4,217,27.6,151,38.3,54,47.0,277,53.8,70,42.2,34,32.1,176,33.9,144,34.6,182,39.6,211,63.8,263,1.0,17
40,UCLA,11,P12,3,1-2,1,2,0.3333,118.9,24,99.9,125,0.8812,40,51.7,102,51.4,182,15.3,85,16.3,191,33.7,51,29.5,193,32.0,121,38.7,241,48.5,159,51.8,191,40.4,52,33.9,144,26.0,283,34.1,107,65.5,235,-0.9,213
42,VCU,10,A10,3,2-1,2,1,0.6667,104.6,127,88.5,19,0.8731,42,51.9,97,44.8,45,18.8,190,20.8,62,20.9,255,33.9,258,30.6,142,32.4,175,54.1,64,36.6,6,31.4,191,37.5,197,31.9,219,41.6,247,71.4,64,0.07,69
43,Purdue,4,B10,2,1-1,1,1,0.5,111.4,67,94.4,72,0.8695,43,52.3,87,49.2,139,17.5,148,16.1,199,30.9,90,26.1,117,41.8,31,30.5,150,55.6,42,53.1,214,31.9,180,29.6,77,42.7,57,45.8,275,66.3,221,0.04,72
