Rk,Team,Seed,Conf,G,Rec,Wins,Losses,WinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
1,Villanova,1,BE,5,5-0,5,0,1.0,128.6,2,91.8,28,0.9798,1,57.7,25,47.0,88,15.0,82,15.9,206,31.0,94,23.3,80,24.8,280,26.7,74,57.4,22,49.5,169,38.7,84,28.6,52,50.0,14,37.8,180,65.6,262,2.6,2
2,Michigan,3,B10,4,4-0,4,0,1.0,119.4,25,86.3,7,0.9767,2,52.9,88,43.6,32,11.8,22,15.9,206,24.1,238,27.5,165,47.3,26,30.5,119,53.8,64,45.2,79,34.4,161,27.2,36,40.5,108,34.3,109,65.7,257,2.3,3
3,North Carolina,2,ACC,5,3-2,3,2,0.6,121.0,15,90.5,17,0.9657,3,46.1,255,45.5,63,16.2,131,16.5,190,35.8,24,31.8,241,27.7,252,30.8,124,46.9,225,41.1,22,29.8,240,35.5,191,39.0,135,35.8,140,70.4,84,1.6,5
4,Virginia,1,ACC,5,5-0,5,0,1.0,120.2,20,91.8,29,0.9568,4,51.3,118,45.3,59,11.9,26,15.2,230,27.2,180,23.4,84,28.0,249,40.7,252,47.2,215,41.2,23,41.0,46,33.6,151,28.4,299,44.7,287,60.7,328,2.8,1
6,Gonzaga,4,WCC,3,3-0,3,0,1.0,118.5,29,91.6,27,0.9507,6,63.2,6,43.4,29,16.6,150,14.7,246,23.9,241,18.9,28,25.7,273,18.7,16,55.9,35,38.3,9,49.3,3,35.5,191,40.4,110,34.1,104,69.4,126,0.6,26
7,San Diego State,11,MWC,4,4-0,4,0,1.0,112.9,64,87.8,12,0.9472,7,53.6,73,47.3,94,16.6,150,16.2,200,31.4,85,24.3,101,48.9,18,24.7,50,55.2,43,50.0,177,33.3,178,28.6,52,30.9,275,37.4,168,69.8,111,1.5,7
8,Kentucky,5,SEC,5,4-1,4,1,0.8,126.7,3,98.9,93,0.9457,8,55.7,38,45.9,66,15.2,91,16.4,194,33.3,52,36.5,307,43.6,45,29.9,108,50.5,129,42.6,35,44.7,21,33.6,151,31.1,270,42.1,263,66.5,224,1.5,6
9,Xavier,1,BE,4,3-1,3,1,0.75,119.9,22,93.6,38,0.9452,9,49.1,185,46.8,84,17.7,187,16.3,195,32.6,63,19.0,29,39.1,86,24.9,52,50.0,139,56.8,295,31.6,214,20.2,5,33.9,225,37.6,174,68.5,151,0.8,16
10,Seton Hall,8,BE,3,1-2,1,2,0.3333,116.3,41,92.1,30,0.9359,10,50.0,156,47.3,94,16.0,123,13.1,279,27.7,164,24.6,108,35.1,141,26.3,68,50.0,139,55.6,287,33.3,178,25.3,19,33.3,243,46.8,304,66.2,239,-0.08,67
11,Houston,6,Amer,5,4-1,4,1,0.8,117.7,32,93.2,36,0.9356,11,51.2,122,46.4,75,15.6,107,19.8,64,30.4,107,29.4,199,37.4,99,45.4,284,52.0,97,45.5,84,33.3,178,32.1,117,38.4,145,33.5,88,67.8,187,1.1,12
