Rk,Team,Seed,Conf,G,Rec,Wins,Losses,WinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
1,Tennessee,3,SEC,4,4-0,4,0,1.0,118.9,19,82.5,7,0.9853,1,53.7,58,40.4,12,18.4,201,18.7,108,26.2,194,32.3,265,36.6,87,38.2,255,43.4,287,41.1,24,47.5,9,26.2,37,37.0,161,37.3,196,66.1,209,2.2,4
2,Gonzaga,1,WCC,2,2-0,2,0,1.0,133.3,1,92.5,45,0.9852,2,63.1,3,49.2,152,15.9,120,17.3,165,16.7,322,26.4,136,33.6,129,25.0,93,65.4,4,50.0,172,37.9,64,32.0,144,27.1,317,41.7,277,70.2,53,1.2,11
3,Kansas,1,B12,5,5-0,5,0,1.0,119.7,16,86.3,13,0.9774,3,49.3,158,45.7,65,16.8,152,20.8,56,30.0,103,28.4,188,41.5,36,31.3,180,50.8,134,43.6,59,30.9,205,33.7,177,32.8,236,29.9,49,69.8,67,2.8,1
4,Loyola Chicago,10,MVC,3,3-0,3,0,1.0,100.5,198,72.9,2,0.9756,4,48.7,176,34.0,2,21.0,279,19.5,85,26.5,188,26.2,134,38.4,67,30.7,174,48.9,171,36.3,3,32.3,172,20.3,10,40.9,87,38.6,228,67.0,173,1.0,18
6,Texas Tech,3,B12,4,2-2,2,2,0.5,105.2,140,77.1,3,0.9729,6,49.5,155,41.1,15,22.2,306,24.9,6,27.1,175,29.1,204,23.1,258,35.3,224,50.0,152,46.6,102,32.4,170,22.5,18,34.3,216,43.0,290,66.3,203,0.6,30
7,Vermont,13,AE,3,3-0,3,0,1.0,117.7,23,86.3,14,0.9727,7,64.6,2,41.9,20,10.0,6,20.1,70,27.4,166,12.7,4,19.1,304,22.3,61,64.8,5,37.6,7,42.9,23,34.0,186,39.3,112,31.8,75,63.1,307,0.1,64
8,Iowa,5,B10,6,5-1,5,1,0.8333,132.3,2,97.9,118,0.9696,8,58.7,12,50.7,192,15.1,96,15.8,220,32.5,71,33.6,287,29.7,179,21.5,49,53.1,88,51.4,199,44.4,15,32.8,162,41.5,76,32.4,85,69.1,80,2.5,3
10,Virginia Tech,11,ACC,5,4-1,4,1,0.8,122.6,5,93.0,51,0.9598,10,55.7,34,51.1,210,14.9,88,15.8,220,26.8,179,21.9,50,29.5,183,34.0,205,53.1,88,57.5,296,39.5,47,27.8,53,42.3,62,40.3,256,64.2,275,2.0,5
11,North Carolina,8,ACC,3,2-1,2,1,0.6667,111.5,58,84.8,9,0.9586,11,46.1,250,48.6,138,11.3,14,13.2,281,27.8,157,16.0,9,23.3,256,17.4,19,51.2,128,45.3,82,25.0,280,38.0,260,37.3,152,28.1,37,72.1,21,1.0,20
13,Houston,5,Amer,5,4-1,4,1,0.8,118.0,22,91.5,34,0.9493,13,55.9,33,44.1,42,19.3,234,21.5,40,39.6,9,31.3,247,30.7,159,40.6,276,59.0,27,46.1,95,34.2,127,27.0,45,40.7,92,34.8,137,63.1,307,1.4,9
