Rk,Team,Seed,Conf,G,Rec,Wins,Losses,WinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
1,Louisville,1,BE,4,4-0,4,0,1.0,119.2,21,83.9,7,0.9827,1,51.9,84,44.3,66,19.9,196,27.5,7,36.2,62,39.5,285,44.2,69,32.7,119,48.2,130,43.1,61,39.2,69,31.1,107,34.4,136,35.1,201,67.2,79,2.2,1
2,Creighton,7,MVC,3,3-0,3,0,1.0,116.8,27,82.4,4,0.9822,2,55.2,40,36.1,2,22.0,252,13.2,300,32.1,143,31.0,155,37.1,148,25.6,37,50.6,95,35.2,5,41.4,41,25.5,37,40.6,44,29.0,83,60.2,277,1.1,9
3,Gonzaga,1,WCC,2,2-0,2,0,1.0,110.6,78,80.6,2,0.9743,3,51.6,93,39.0,7,17.3,114,20.6,100,30.4,169,27.3,80,50.0,33,26.7,49,53.5,55,39.7,24,30.4,214,25.5,37,24.5,293,44.8,304,61.7,244,0.7,20
5,Georgetown,2,BE,4,2-2,2,2,0.5,112.9,57,83.2,6,0.9709,5,49.0,148,43.0,44,22.2,257,25.6,15,36.5,57,31.7,168,28.9,251,50.9,276,46.0,188,39.1,18,36.0,130,33.9,152,37.3,85,32.7,153,56.8,313,0.6,24
6,Ohio State,2,B10,4,4-0,4,0,1.0,114.3,39,84.8,8,0.9687,6,51.2,98,43.3,49,17.0,104,19.9,118,29.3,193,26.9,77,31.2,223,21.8,13,55.4,41,46.8,140,29.2,235,25.0,27,35.6,115,37.6,246,61.1,258,2.1,3
7,Duke,2,ACC,2,1-1,1,1,0.5,121.0,12,92.9,47,0.9544,7,51.3,95,45.6,90,16.0,73,19.0,141,27.9,217,36.8,253,26.3,275,33.6,130,60.8,8,48.1,170,22.5,302,26.5,48,35.1,123,30.1,93,62.8,213,0.19,59
8,Indiana,1,B10,3,2-1,2,1,0.6667,120.9,13,93.2,50,0.9521,8,49.4,133,48.3,143,21.2,239,17.1,202,45.5,7,32.4,182,26.9,267,30.2,85,48.8,125,43.5,68,34.0,159,38.6,228,28.6,245,33.1,167,66.1,111,1.2,8
9,Florida,3,SEC,5,3-2,3,2,0.6,112.3,60,86.7,16,0.9516,9,51.3,95,43.5,52,17.3,114,17.9,170,31.7,154,29.9,138,29.6,244,34.1,140,47.1,159,42.2,49,39.0,77,30.7,97,37.0,89,33.7,173,61.2,255,0.04,73
10,Saint Louis,4,A10,5,4-1,4,1,0.8,104.6,148,81.2,3,0.9486,10,47.2,189,42.6,36,18.7,157,23.9,28,27.1,226,30.1,139,50.8,30,40.0,195,48.8,125,43.8,74,29.6,230,26.3,46,36.8,93,28.1,65,67.9,53,1.3,7
11,Arizona,6,P12,3,2-1,2,1,0.6667,119.7,18,93.3,51,0.9458,11,51.7,89,46.5,104,18.0,137,18.0,166,37.5,43,28.7,113,26.7,270,43.9,231,50.5,96,46.6,134,35.8,133,30.8,99,39.0,60,25.2,32,63.6,191,0.25,51
13,Michigan State,3,B10,4,3-1,3,1,0.75,113.8,43,89.8,28,0.9381,13,47.6,182,45.4,87,19.9,196,20.3,107,37.5,43,33.1,195,28.6,255,23.1,19,46.8,167,51.7,233,33.3,171,25.0,27,25.7,287,44.2,302,60.9,263,1.1,11
15,Ole Miss,12,SEC,4,4-0,4,0,1.0,108.3,104,86.9,17,0.9263,15,49.8,123,45.4,87,14.6,42,20.2,109,27.3,223,28.4,106,37.4,142,24.8,31,54.1,49,44.7,94,26.5,265,30.8,99,30.0,221,46.5,312,67.8,57,2.2,2
16,Kansas State,4,B12,4,2-2,2,2,0.5,116.0,34,93.6,55,0.9222,16,45.0,242,46.6,106,15.9,70,21.5,69,35.1,78,35.4,231,32.0,210,36.9,165,41.3,278,46.2,128,34.1,155,31.7,113,38.1,72,30.6,103,61.8,238,0.45,31
17,Iowa State,10,B12,4,3-1,3,1,0.75,121.9,8,98.6,116,0.9198,17,55.4,36,48.0,138,20.7,217,14.8,270,34.4,91,28.7,113,40.4,103,26.6,48,57.1,18,53.9,259,35.6,137,24.7,26,46.6,12,34.8,195,70.4,18,1.1,10
18,Kansas,1,B12,4,3-1,3,1,0.75,113.3,50,91.8,39,0.9188,18,57.1,23,48.4,146,22.0,252,19.4,129,35.0,80,29.2,124,33.9,180,34.4,143,56.8,23,49.7,206,38.6,87,30.9,106,32.1,176,36.2,219,67.0,83,1.0,13
19,Villanova,9,BE,3,2-1,2,1,0.6667,105.1,141,85.2,10,0.9171,19,45.4,237,47.2,122,28.8,317,28.8,5,37.2,49,35.6,238,57.4,13,27.8,59,48.0,133,44.0,77,25.6,278,35.8,175,27.7,259,32.7,153,68.5,39,0.8,18
20,Butler,6,A10,5,4-1,4,1,0.8,110.8,74,90.0,29,0.9163,20,49.8,123,49.0,159,20.6,215,18.1,164,33.7,108,19.6,11,36.2,155,41.3,206,52.8,61,48.9,190,29.3,234,32.9,126,34.3,138,29.6,87,64.9,144,1.3,6
21,Miami (FL),2,ACC,5,4-1,4,1,0.8,122.6,6,99.9,131,0.9134,21,54.9,43,53.5,241,16.0,73,16.7,218,35.1,78,23.7,38,40.7,101,31.0,95,52.5,66,49.4,200,39.0,77,40.4,257,39.9,53,36.4,225,61.9,233,0.8,17
22,New Mexico,3,MWC,5,4-1,4,1,0.8,119.6,19,97.5,103,0.9131,22,55.9,32,46.4,102,13.4,22,14.1,287,28.3,210,29.4,129,35.3,167,23.3,21,51.3,80,42.8,57,42.3,37,33.9,152,38.0,75,45.5,306,59.9,285,1.0,12
24,Michigan,4,B10,4,2-2,2,2,0.5,122.0,7,99.8,128,0.9094,24,48.0,171,48.0,138,9.9,2,16.7,218,29.6,188,39.0,282,33.6,183,23.9,26,45.1,216,45.2,103,36.6,124,37.7,211,29.1,234,24.7,25,66.3,107,0.26,49
25,Wisconsin,5,B10,5,3-2,3,2,0.6,100.9,195,82.7,5,0.9072,25,45.7,231,42.0,25,18.6,155,16.0,241,26.0,244,30.3,146,30.2,236,23.4,23,47.7,141,45.3,109,28.4,245,21.4,10,40.0,50,24.8,26,61.8,238,1.5,4
27,Missouri,9,SEC,3,1-2,1,2,0.3333,103.1,171,84.9,9,0.9039,27,47.0,195,38.3,6,22.3,258,16.1,238,36.5,57,34.1,212,29.9,240,33.5,126,47.7,141,35.2,5,30.2,217,29.8,86,32.3,170,31.8,135,65.4,131,-0.7,157
28,Pittsburgh,8,BE,2,1-1,1,1,0.5,127.2,2,105.1,196,0.9001,28,60.3,6,56.0,278,24.5,298,17.5,186,49.1,3,27.3,80,27.5,263,34.8,145,56.5,29,41.1,35,45.5,17,52.8,316,32.4,167,39.1,262,54.5,317,0.09,69
29,Notre Dame,7,BE,4,2-2,2,2,0.5,116.7,28,96.5,94,0.8989,29,45.9,227,50.7,197,17.4,119,17.9,170,36.1,63,36.6,251,30.3,234,26.1,42,40.3,287,49.1,196,37.7,102,36.8,193,34.8,131,25.2,32,61.7,244,0.8,19
30,Syracuse,4,BE,6,4-2,4,2,0.6667,115.5,35,95.7,79,0.8965,30,48.1,169,47.1,118,20.8,221,19.7,123,39.5,23,38.8,281,38.1,133,41.3,206,43.0,253,44.3,84,38.8,82,34.5,163,33.2,154,37.4,244,59.7,286,1.5,5
31,Colorado State,8,MWC,4,3-1,3,1,0.75,121.8,9,101.1,145,0.8944,31,49.3,136,53.0,236,15.4,56,17.8,176,42.5,10,21.6,20,45.9,56,52.7,290,52.8,61,53.2,247,26.3,267,35.0,168,25.9,283,32.3,148,64.2,174,0.25,50
33,North Carolina State,8,ACC,5,3-2,3,2,0.6,116.6,29,97.5,104,0.8866,33,54.4,53,47.7,132,19.3,174,17.5,186,36.7,54,31.3,160,42.8,79,33.5,126,52.6,64,52.9,244,39.2,69,24.4,24,29.2,232,32.0,140,67.3,74,-0.09,86
34,Memphis,6,CUSA,4,4-0,4,0,1.0,114.0,41,95.8,81,0.8813,34,56.4,28,47.6,129,17.5,123,20.1,111,32.0,146,30.2,143,32.2,206,30.7,90,51.2,84,47.5,156,44.3,22,32.0,115,34.1,142,29.5,86,70.2,20,0.9,14
36,Wichita State,9,MVC,3,2-1,2,1,0.6667,110.7,76,93.2,49,0.8784,36,44.4,257,42.4,30,16.4,92,15.9,243,45.9,6,28.0,98,32.8,194,46.4,253,43.8,241,37.8,9,30.8,209,32.8,125,28.9,237,40.4,278,61.4,250,0.19,60
37,Colorado,10,P12,4,2-2,2,2,0.5,108.4,102,91.3,36,0.8781,37,46.8,199,46.8,110,17.8,131,18.6,150,33.8,102,29.8,134,43.4,74,28.8,68,42.2,265,47.1,147,38.5,90,30.8,99,29.7,227,33.5,172,64.8,148,-0.4,110
41,North Carolina,8,ACC,5,3-2,3,2,0.6,119.3,20,101.2,148,0.8685,41,50.3,112,52.1,220,13.6,26,19.6,124,33.7,108,35.4,231,28.6,255,32.2,115,47.1,159,53.2,247,37.3,111,33.3,129,36.5,101,32.9,160,66.1,111,0.6,21
43,Temple,9,A10,3,2-1,2,1,0.6667,113.5,48,96.5,95,0.865,43,49.4,133,48.3,143,16.3,87,22.1,57,32.0,146,37.3,261,43.6,73,29.7,79,51.4,77,44.4,88,30.8,209,38.8,231,37.8,80,28.0,62,65.9,114,0.0,77
46,UNLV,5,MWC,4,2-2,2,2,0.5,103.9,159,88.8,24,0.859,46,46.2,219,47.1,118,16.3,87,16.7,218,28.7,206,24.8,52,33.2,189,19.7,6,47.3,150,40.0,26,29.8,225,39.8,251,42.2,30,36.4,225,66.2,109,-0.5,122
49,La Salle,13,A10,4,2-2,2,2,0.5,120.0,17,103.5,178,0.8451,49,58.4,14,56.4,280,18.0,137,21.5,69,19.5,308,40.2,291,30.7,226,25.9,40,57.9,17,60.2,310,39.5,65,29.6,83,40.1,49,24.5,23,64.2,174,-0.5,125
50,Davidson,14,SC,3,3-0,3,0,1.0,112.9,56,97.5,100,0.8442,50,61.5,3,40.5,10,15.3,55,17.9,170,21.7,289,25.3,59,35.5,165,42.1,215,62.9,2,44.6,91,39.7,61,16.1,4,41.4,36,20.4,7,64.6,157,0.33,40
54,Oklahoma State,5,B12,4,2-2,2,2,0.5,110.8,75,96.3,91,0.8331,54,46.5,210,47.4,125,17.0,104,17.0,204,31.8,152,36.6,251,47.7,43,45.9,249,50.0,101,48.2,173,25.8,275,30.7,97,30.6,210,38.4,257,67.8,57,0.28,44
56,VCU,5,A10,5,3-2,3,2,0.6,113.3,51,98.9,120,0.8271,56,49.5,131,54.0,249,15.5,58,24.6,23,30.9,163,34.0,211,33.2,189,55.2,298,46.4,176,50.3,214,37.6,105,41.0,262,30.6,210,33.2,168,69.9,23,0.24,55
