Rk,Team,Seed,Conf,G,Rec,Wins,Losses,WinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
1,Louisville,4,Amer,5,5-0,5,0,1.0,124.2,10,78.9,3,0.9946,1,53.0,72,41.1,16,14.6,64,28.6,3,38.5,31,33.3,219,41.9,121,30.5,68,48.3,156,42.5,46,41.1,55,25.3,29,35.8,119,30.9,116,70.3,31,2.3,3
2,Tennessee,11,SEC,5,4-1,4,1,0.8,114.7,50,78.8,2,0.9867,2,50.0,128,40.5,12,16.5,121,15.6,241,33.5,104,20.6,15,36.5,203,26.7,34,55.1,36,41.1,27,26.7,281,26.0,36,33.8,154,29.4,90,59.9,309,0.8,23
3,Florida,1,SEC,4,4-0,4,0,1.0,112.5,84,80.3,5,0.9796,3,57.3,18,42.2,21,17.7,161,22.0,37,24.4,271,23.3,39,41.9,121,42.2,189,48.5,151,45.5,97,50.0,4,21.3,10,33.3,166,24.5,27,64.9,165,2.4,2
4,Michigan State,4,B10,5,4-1,4,1,0.8,131.6,2,94.1,43,0.9794,4,57.3,18,47.9,131,19.3,221,15.8,232,39.3,26,30.2,157,33.6,235,38.8,146,53.8,49,45.9,114,43.0,36,34.4,170,32.1,191,34.6,196,63.8,202,2.1,4
6,Arizona,1,P12,5,3-2,3,2,0.6,112.8,80,83.6,7,0.969,6,51.7,102,42.0,19,15.5,88,19.0,111,30.9,152,27.4,96,35.2,216,39.5,154,50.8,95,36.2,7,35.6,133,40.3,265,32.2,188,23.8,21,62.0,267,0.8,22
7,North Dakota State,12,Sum,2,2-0,2,0,1.0,123.2,12,91.6,20,0.9679,7,57.4,17,44.7,48,9.9,5,17.9,145,29.6,174,30.8,173,33.3,236,32.6,87,52.7,59,49.2,193,46.4,16,23.3,15,27.5,267,31.6,129,58.6,318,0.42,44
8,Wichita State,1,MVC,3,3-0,3,0,1.0,123.9,11,92.4,26,0.967,8,57.0,23,43.1,29,13.6,40,17.9,145,34.0,94,28.7,117,39.4,162,27.5,42,51.0,90,37.5,10,44.4,27,35.7,195,38.2,77,35.0,206,61.6,282,0.6,34
9,Pittsburgh,9,ACC,4,3-1,3,1,0.75,121.2,19,92.6,30,0.957,9,52.5,83,46.8,103,16.2,114,18.5,126,35.2,70,27.0,92,45.7,80,36.6,126,51.9,75,48.3,168,36.1,123,29.0,70,27.9,261,31.9,136,65.7,141,1.3,9
10,Virginia,1,ACC,4,3-1,3,1,0.75,117.1,34,90.2,15,0.9529,10,49.2,150,45.7,69,16.0,109,17.3,169,33.9,96,32.5,206,45.2,87,31.9,79,50.8,95,43.4,56,30.8,222,34.5,173,33.0,174,26.6,51,57.3,327,1.7,6
11,Nebraska,11,B10,3,2-1,2,1,0.6667,120.9,20,93.6,39,0.9504,11,49.7,138,46.8,103,12.6,26,18.2,136,24.0,278,33.6,224,38.8,167,38.6,144,47.0,185,47.3,151,37.5,95,30.5,96,29.1,239,34.5,194,66.4,113,1.0,20
