Rk,Team,Seed,Conf,G,Rec,Wins,Losses,WinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
1,Florida,1,SEC,5,5-0,5,0,1.0,140.2,1,94.8,42,0.9889,1,58.5,22,48.3,124,14.9,111,11.6,302,39.1,27,29.1,163,39.9,77,41.3,264,61.7,10,48.7,126,36.4,104,31.7,123,44.3,80,38.2,138,71.3,33,3.7,1
2,Houston,1,B12,4,4-0,4,0,1.0,121.4,38,85.8,3,0.9819,2,52.3,104,42.7,27,14.9,111,18.4,103,30.1,161,32.9,238,39.1,86,24.9,59,46.5,240,44.9,61,40.7,49,26.3,40,40.0,146,40.8,195,63.8,288,2.5,2
3,Iowa State,3,B12,3,2-1,2,1,0.6667,130.0,7,93.4,33,0.9782,3,61.4,7,49.4,143,18.2,229,18.7,95,29.1,182,28.3,145,22.8,291,32.0,158,60.0,19,48.8,131,42.3,32,33.3,151,41.5,118,51.5,320,68.3,111,0.8,23
4,Maryland,4,B10,4,3-1,3,1,0.75,121.2,40,87.2,6,0.9778,4,48.6,188,45.9,56,12.3,39,22.8,21,29.6,170,34.5,270,38.1,99,23.6,47,42.6,294,47.5,97,40.0,55,28.6,75,34.4,244,34.1,90,69.7,62,1.5,7
6,Alabama,2,SEC,4,2-2,2,2,0.5,128.2,9,95.0,44,0.969,6,54.9,55,53.3,231,12.7,49,13.0,273,24.8,253,27.8,126,33.6,153,39.9,250,57.2,43,53.4,222,34.2,144,35.4,209,40.1,145,36.3,112,75.9,2,1.2,11
7,Michigan State,2,B10,4,3-1,3,1,0.75,122.2,31,91.0,19,0.9676,7,52.6,97,49.3,142,14.9,111,16.7,152,29.2,180,21.7,40,46.5,34,40.1,252,50.3,153,56.7,286,37.6,91,26.3,40,37.0,204,42.8,238,69.0,81,1.4,9
8,Colorado State,12,MWC,4,4-0,4,0,1.0,124.7,19,92.9,29,0.9675,8,60.2,16,44.4,42,16.2,158,14.6,220,21.7,286,31.8,215,51.3,15,37.8,227,54.0,86,54.2,237,46.2,10,23.5,25,40.8,130,51.8,321,64.9,242,1.9,5
9,St. John's,2,BE,4,4-0,4,0,1.0,115.2,73,85.9,4,0.9667,9,50.7,137,46.7,81,13.9,74,20.7,47,34.2,76,27.8,126,21.9,301,29.4,125,51.7,132,51.9,187,32.0,183,27.2,58,27.0,318,46.5,285,71.2,34,2.2,3
10,North Carolina,11,ACC,5,3-2,3,2,0.6,121.5,37,90.8,16,0.9664,10,52.2,108,46.9,86,14.3,89,15.8,179,27.0,218,25.1,82,33.8,150,32.5,163,47.1,224,50.5,161,39.8,58,27.3,59,40.7,134,37.7,136,69.8,60,0.36,44
11,Arizona,4,B12,4,2-2,2,2,0.5,133.8,3,101.8,117,0.9588,11,54.8,57,52.2,209,14.5,96,12.2,289,28.1,192,32.5,228,32.5,169,27.3,98,52.8,114,48.0,104,39.7,59,38.8,259,29.4,295,40.7,193,68.8,91,1.1,15
12,Texas Tech,3,B12,4,3-1,3,1,0.75,135.9,2,103.5,147,0.9584,12,54.2,71,50.4,162,8.5,4,11.2,314,33.3,94,28.9,156,32.7,165,37.0,217,47.2,217,53.6,227,40.6,50,27.9,68,51.0,18,26.9,23,64.4,264,1.1,16
14,Duke,1,ACC,4,4-0,4,0,1.0,123.4,25,94.4,38,0.9561,14,55.2,51,48.2,121,16.8,179,15.0,204,30.3,156,28.1,138,35.1,129,21.7,36,61.3,13,48.3,113,31.6,195,32.0,128,44.1,84,39.8,176,64.4,264,2.2,4
15,Gonzaga,8,WCC,2,2-0,2,0,1.0,113.3,82,86.9,5,0.9552,15,44.8,263,46.9,86,8.0,2,23.2,17,25.0,245,29.0,160,31.0,189,25.4,68,52.1,125,50.7,165,15.6,330,26.8,51,25.4,328,36.0,111,71.5,30,1.0,18
16,Baylor,9,B12,3,1-2,1,2,0.3333,127.5,12,98.1,66,0.9533,16,47.2,215,47.4,102,10.5,12,12.8,277,36.7,43,33.0,241,25.0,261,27.5,100,48.2,199,45.2,64,30.3,218,33.3,151,36.7,212,45.6,273,62.4,318,0.05,68
17,Tennessee,2,SEC,5,3-2,3,2,0.6,130.3,6,101.0,105,0.9495,17,54.8,57,47.8,114,13.7,69,12.1,294,31.5,135,36.0,289,51.0,16,36.3,208,62.0,9,52.8,211,30.8,207,26.9,53,45.2,67,40.3,187,63.9,284,1.2,13
18,Wisconsin,3,B10,6,4-2,4,2,0.6667,120.3,44,94.4,39,0.9421,18,47.1,221,46.4,70,13.3,60,13.1,271,28.3,191,27.8,126,34.5,137,33.2,172,45.3,254,43.3,40,32.6,170,34.0,172,49.9,24,39.4,171,68.2,117,1.3,10
