Rk,Team,Seed,Conf,G,Rec,Wins,Losses,WinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
1,Duke,1,ACC,4,3-1,3,1,0.75,130.9,3,87.4,7,0.9905,1,57.6,24,48.4,135,15.1,74,20.9,62,37.8,41,32.0,192,29.9,240,27.6,66,58.3,15,47.8,167,37.5,106,33.3,116,34.6,155,27.6,49,62.7,213,1.3,11
2,Villanova,1,BE,4,4-0,4,0,1.0,130.1,4,88.4,10,0.9884,2,60.5,9,43.4,34,14.6,57,21.3,57,33.1,103,34.5,243,31.4,213,25.8,46,59.5,12,45.5,114,41.1,51,26.3,30,48.0,18,34.4,167,62.8,209,1.9,5
3,Arizona,2,P12,5,5-0,5,0,1.0,121.5,17,85.6,6,0.9825,3,56.3,33,43.0,26,14.0,39,19.8,86,31.7,139,20.3,21,44.8,65,28.6,74,54.6,37,39.0,15,40.5,56,36.8,205,27.6,269,24.9,22,67.3,76,1.8,6
4,Notre Dame,3,ACC,5,5-0,5,0,1.0,133.7,1,94.4,56,0.982,4,59.2,15,47.6,110,15.6,85,16.8,195,23.0,292,38.4,300,53.1,19,26.6,52,60.5,6,53.2,261,37.9,100,24.0,15,36.4,118,32.3,125,63.7,183,3.3,1
5,Kentucky,1,SEC,4,4-0,4,0,1.0,126.5,8,89.8,15,0.9811,5,52.2,79,43.9,42,15.2,76,19.3,98,40.4,21,29.9,148,51.5,28,29.6,85,48.2,145,43.0,59,45.2,21,30.9,75,20.4,327,25.8,26,61.5,254,1.8,7
6,Wisconsin,1,B10,5,5-0,5,0,1.0,133.0,2,94.4,55,0.981,6,57.1,28,48.1,125,12.0,14,15.1,257,34.0,88,26.1,76,22.8,308,14.8,4,53.6,51,44.9,103,41.7,45,37.8,223,39.1,77,27.4,45,57.1,327,3.1,2
7,North Carolina,4,ACC,5,3-2,3,2,0.6,123.6,11,94.4,54,0.957,7,54.8,45,49.1,157,19.7,230,16.4,212,35.5,65,28.7,125,27.6,266,43.6,241,52.1,68,49.1,195,41.6,48,32.7,109,26.6,284,37.8,234,69.6,31,1.4,9
9,Butler,6,BE,2,1-1,1,1,0.5,107.4,115,84.5,3,0.9403,9,46.3,223,46.4,84,20.7,252,16.3,218,29.6,193,20.3,21,36.4,145,36.9,164,41.5,276,48.7,188,35.7,149,27.3,39,39.3,71,29.7,85,63.0,204,0.36,42
10,Oklahoma,3,B12,3,2-1,2,1,0.6667,111.2,75,87.6,9,0.9399,10,43.2,282,43.7,37,14.8,65,15.3,250,36.4,55,27.4,102,30.1,236,29.7,89,41.3,279,45.0,105,31.6,209,27.3,39,31.1,222,31.4,112,63.5,186,0.7,20
11,Kansas,2,B12,4,2-2,2,2,0.5,106.3,135,84.3,2,0.9347,11,44.6,263,41.5,17,21.5,270,17.1,183,31.6,141,32.1,196,49.1,38,37.0,166,45.5,214,45.1,108,27.7,271,21.0,6,22.2,318,26.4,31,67.9,59,0.7,25
12,Gonzaga,2,WCC,3,3-0,3,0,1.0,122.4,15,97.3,91,0.933,12,59.8,11,44.2,49,15.2,76,16.7,201,28.3,217,32.3,202,47.6,51,28.9,80,55.9,29,43.5,70,46.0,18,30.8,71,29.8,245,27.4,45,67.9,59,1.0,14
13,Michigan State,7,B10,5,4-1,4,1,0.8,119.6,25,95.4,70,0.9313,13,52.1,83,52.6,235,15.2,76,19.0,108,34.3,82,28.5,121,34.3,170,32.1,115,54.0,45,44.5,94,32.7,196,42.7,291,37.1,100,41.5,280,62.3,226,2.1,4
14,Northern Iowa,5,MVC,3,3-0,3,0,1.0,121.2,19,96.8,83,0.9301,14,53.9,58,47.8,119,10.7,5,18.4,126,28.7,207,17.4,11,48.9,41,26.1,49,51.2,78,45.0,105,38.6,87,34.5,147,40.4,58,42.0,284,58.0,321,0.7,19
16,Texas,11,B12,3,2-1,2,1,0.6667,116.8,34,93.7,48,0.9263,16,48.2,181,46.6,86,17.2,144,13.8,286,40.8,19,27.3,98,30.1,236,20.0,10,48.5,136,40.2,18,31.7,207,44.7,305,36.8,109,23.8,16,58.1,319,0.07,69
19,UCLA,11,P12,3,2-1,2,1,0.6667,128.9,6,104.5,191,0.9185,19,58.5,18,54.0,266,16.3,108,21.7,50,30.1,178,34.7,244,27.1,276,38.5,188,50.4,95,48.5,181,54.3,5,41.9,284,26.0,291,38.5,243,64.5,160,0.14,62
21,Providence,6,BE,4,2-2,2,2,0.5,113.6,49,92.2,34,0.9165,21,44.8,256,46.7,88,16.9,130,18.4,126,37.7,43,26.1,76,40.2,107,34.3,139,42.5,264,41.4,34,33.9,177,36.5,199,27.1,275,39.9,263,64.6,153,0.5,32
22,Virginia,2,ACC,3,1-2,1,2,0.3333,111.3,71,90.4,19,0.9164,22,52.2,79,50.0,175,22.3,290,22.9,27,26.8,247,28.6,122,39.0,117,38.7,191,50.5,91,48.9,191,37.2,110,34.9,161,31.6,215,31.4,112,57.5,325,-0.09,81
23,Louisville,4,ACC,3,1-2,1,2,0.3333,110.1,92,89.5,12,0.9154,23,44.8,256,53.4,253,18.7,193,19.2,104,33.0,106,25.3,58,29.3,246,37.0,166,47.8,152,51.5,241,25.5,295,38.3,231,31.1,222,32.2,124,63.1,201,0.11,66
