Rk,Team,Seed,Conf,G,Rec,Wins,Losses,WinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
1,Michigan,2,B10,4,2-2,2,2,0.5,118.7,28,82.9,6,0.9841,1,52.3,113,44.7,44,9.8,5,16.1,203,17.3,306,27.0,143,13.9,329,33.6,179,52.2,108,48.6,143,35.0,158,24.7,18,43.5,86,33.6,73,63.5,295,0.7,25
2,North Carolina,1,ACC,3,2-1,2,1,0.6667,118.4,31,85.4,11,0.9771,2,47.4,228,46.6,76,12.0,26,15.6,216,30.2,121,24.8,97,23.1,284,18.6,18,49.3,169,50.9,193,29.5,244,27.3,31,36.8,194,43.1,258,71.9,41,1.2,8
3,Michigan State,2,B10,4,4-0,4,0,1.0,125.3,9,91.2,32,0.9746,3,52.9,95,46.8,82,18.5,217,12.0,309,30.8,112,15.6,11,39.6,58,16.3,9,50.8,132,45.4,73,37.3,108,32.6,122,40.1,136,39.5,180,67.9,154,2.8,2
4,Saint Mary's,11,WCC,2,2-0,2,0,1.0,112.9,61,83.8,8,0.9685,4,53.5,86,46.0,60,18.7,226,17.9,127,21.8,270,16.1,12,26.0,244,24.2,58,53.3,77,54.2,262,36.0,138,22.5,9,25.0,321,40.4,201,60.5,324,1.2,9
5,Kentucky,2,SEC,3,2-1,2,1,0.6667,124.0,11,92.9,47,0.9651,5,52.2,117,46.1,64,17.3,172,12.1,308,37.0,29,24.8,97,41.0,49,33.1,168,49.2,172,44.0,51,42.4,28,33.3,133,20.5,332,34.3,87,64.7,261,0.7,28
6,Virginia Tech,4,ACC,3,2-1,2,1,0.6667,119.9,21,91.2,31,0.9587,6,56.1,41,47.1,87,13.8,55,16.9,168,20.8,278,25.5,110,19.2,311,22.7,43,53.0,85,50.6,183,40.3,49,29.2,64,41.9,112,51.7,323,63.0,307,0.34,44
7,Duke,1,ACC,4,3-1,3,1,0.75,116.5,36,88.7,17,0.9581,7,49.8,173,46.0,60,19.0,235,16.2,197,32.7,77,30.7,215,32.0,154,25.2,68,57.0,32,43.6,45,24.7,300,33.3,133,36.0,209,37.8,140,69.4,105,2.0,4
8,Houston,3,Amer,5,4-1,4,1,0.8,118.3,32,90.4,27,0.9566,8,50.3,158,40.9,9,15.3,97,17.4,144,39.4,10,31.4,229,28.4,210,49.6,314,46.8,219,40.7,15,37.0,114,27.4,33,40.1,136,39.6,183,67.4,169,1.5,6
10,Oregon,12,P12,6,6-0,6,0,1.0,107.9,124,83.4,7,0.951,10,52.8,99,40.5,6,18.3,210,23.4,21,32.3,86,29.0,188,28.9,200,34.6,194,52.6,95,44.9,66,35.5,147,23.1,12,36.6,196,42.9,253,63.7,289,2.2,3
11,Louisville,7,ACC,3,1-2,1,2,0.3333,119.2,26,92.1,41,0.9509,11,48.1,208,43.4,25,13.6,51,8.0,331,30.7,114,27.4,152,21.3,301,31.7,155,48.0,193,43.0,38,32.2,205,29.3,67,47.9,43,39.7,188,67.9,154,0.07,67
