Rk,Team,Seed,Conf,G,Rec,ConfRec,Wins,Losses,WinPct,ConfWins,ConfLosses,ConfWinPct,AdjOE,Rk_AdjOE,AdjDE,Rk_AdjDE,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
1,Louisville,4,Amer,34,29-5,15-3,29,5,0.8529,15,3,0.8333,119.2,7,88.2,2,0.9697,1,54.0,22,43.8,7,14.9,17,25.2,2,37.3,21,32.9,249,40.4,169,38.2,125,53.0,22,43.9,27,37.1,62,29.1,4,35.6,96,30.7,95,69.0,60,5.4,15
2,Arizona,1,P12,34,30-4,15-3,30,4,0.8824,15,3,0.8333,115.0,25,86.7,1,0.9624,2,51.6,82,42.2,1,16.0,40,19.0,124,37.2,23,26.0,6,41.7,131,34.5,56,50.9,68,40.5,2,35.6,112,31.4,38,26.5,322,26.2,13,64.6,271,9.5,2
3,Florida,1,SEC,34,32-2,18-0,32,2,0.9412,18,0,1.0,115.9,19,88.8,5,0.9555,3,52.7,40,45.1,23,17.8,129,21.9,16,35.6,36,28.8,56,43.4,90,32.6,33,51.3,61,42.9,13,36.8,72,33.3,112,35.3,107,31.5,119,63.4,314,11.8,1
4,Duke,3,ACC,34,26-8,13-5,26,8,0.7647,13,5,0.7222,126.1,2,97.8,59,0.9488,4,54.0,22,49.0,133,14.4,9,18.7,146,35.1,51,31.7,194,39.3,200,40.2,164,50.8,73,50.0,223,39.4,10,30.5,16,39.0,47,24.0,4,66.8,158,6.5,12
5,Virginia,1,ACC,34,28-6,16-2,28,6,0.8235,16,2,0.8889,113.2,39,88.4,3,0.9453,5,50.6,120,43.9,8,16.8,69,18.8,137,34.8,59,26.4,8,42.4,105,32.3,31,48.9,154,41.8,9,36.5,80,31.9,57,29.6,251,33.9,212,61.3,345,8.2,4
6,Wisconsin,2,B10,33,26-7,12-6,26,7,0.7879,12,6,0.6667,121.9,4,96.6,46,0.9355,6,53.1,34,47.5,90,12.6,2,15.6,321,27.9,282,27.7,21,44.1,74,25.9,2,51.3,61,46.2,84,37.3,58,34.3,165,39.3,41,25.3,7,64.3,287,8.0,6
7,Creighton,3,BE,33,26-7,14-4,26,7,0.7879,14,4,0.7778,126.5,1,100.4,93,0.9343,7,59.3,1,48.0,109,15.2,22,15.1,333,28.1,274,27.8,25,34.3,313,32.9,39,56.2,2,46.8,107,42.1,1,33.6,126,44.7,7,34.8,243,65.6,221,5.7,14
8,Kansas,2,B12,33,24-9,14-4,24,9,0.7273,14,4,0.7778,120.2,6,95.5,32,0.9338,8,54.5,16,47.1,72,19.0,230,16.3,294,37.1,25,29.1,69,48.9,29,45.8,281,55.7,7,44.1,34,34.5,162,35.9,256,29.2,262,31.1,109,68.3,87,6.9,11
9,Villanova,2,BE,32,28-4,16-2,28,4,0.875,16,2,0.8889,116.1,18,92.8,12,0.9292,9,54.0,22,46.6,60,17.2,91,20.2,52,33.1,110,28.9,59,45.0,58,38.7,139,53.9,14,43.4,18,36.1,89,35.4,231,44.6,8,32.7,166,67.4,122,8.4,3
10,Michigan St.,4,B10,34,26-8,12-6,26,8,0.7647,12,6,0.6667,118.4,10,94.8,27,0.9276,10,54.5,16,46.2,50,17.1,83,18.3,170,33.5,98,27.7,21,33.5,326,39.1,148,52.1,39,44.0,30,39.1,18,33.2,106,35.8,90,37.0,307,66.3,186,6.9,10
