Rk,Team,Seed,Conf,G,Rec,ConfRec,Wins,Losses,WinPct,ConfWins,ConfLosses,ConfWinPct,AdjOE,Rk_AdjOE,AdjDE,Rk_AdjDE,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
1,Florida,3,SEC,33,26-7,14-4,26,7,0.7879,14,4,0.7778,117.6,6,85.6,3,0.9749,1,55.8,6,42.7,5,17.7,47,22.4,45,34.0,95,28.6,56,29.1,325,30.2,51,54.9,7,41.5,6,38.0,24,30.1,22,40.5,30,33.1,174,62.7,296,4.2,19
2,Indiana,1,B10,33,27-6,14-4,27,6,0.8182,14,4,0.7778,122.5,1,89.9,17,0.9721,2,55.2,8,44.0,18,19.1,124,21.2,101,39.7,6,31.5,154,46.0,7,27.7,21,52.2,25,43.0,32,41.1,2,30.6,33,32.1,193,32.9,165,68.1,78,7.7,3
3,Louisville,1,BE,34,29-5,14-4,29,5,0.8529,14,4,0.7778,112.6,21,83.5,1,0.9686,3,49.5,120,44.0,18,18.7,99,27.6,2,38.4,14,33.7,253,38.8,92,33.7,120,49.5,87,42.7,26,33.1,209,31.2,49,30.3,257,33.5,190,67.5,104,9.0,1
4,Gonzaga,1,WCC,32,30-2,16-0,30,2,0.9375,16,0,1.0,119.4,3,90.3,20,0.9615,4,55.5,7,44.2,24,17.1,26,20.9,120,37.4,23,30.2,98,41.0,48,29.5,44,55.9,5,42.1,10,36.4,60,31.8,70,31.1,230,38.0,314,65.2,210,7.8,2
5,Kansas,1,B12,34,29-5,14-4,29,5,0.8529,14,4,0.7778,112.3,22,86.0,5,0.9554,5,53.4,27,41.5,1,19.9,167,18.7,243,34.3,85,28.8,59,39.7,75,33.1,101,52.7,18,39.0,1,36.7,54,30.7,38,29.6,267,36.2,291,67.7,94,7.5,5
6,Duke,2,ACC,32,27-5,14-4,27,5,0.8438,14,4,0.7778,118.0,4,91.3,30,0.9502,6,54.4,12,45.7,59,15.6,4,20.9,120,29.4,243,32.9,214,37.7,118,31.4,69,51.1,43,46.3,123,40.6,5,29.3,10,33.3,162,26.8,21,68.1,78,7.6,4
7,Ohio St.,2,B10,33,26-7,13-5,26,7,0.7879,13,5,0.7222,113.4,15,89.3,14,0.9397,7,50.8,79,45.2,41,16.6,15,20.7,133,32.2,147,27.6,35,34.2,224,28.4,28,50.0,68,43.6,41,35.1,110,32.0,78,31.1,230,35.7,269,65.0,216,7.2,6
8,Michigan,4,B10,32,25-7,12-6,25,7,0.7812,12,6,0.6667,120.4,2,95.0,67,0.9385,8,54.4,12,47.9,142,14.3,1,18.9,230,32.5,138,29.6,72,28.7,329,22.9,1,53.5,11,46.9,147,37.5,36,33.2,132,34.0,148,35.0,240,64.8,228,6.2,11
9,Wisconsin,5,B10,34,23-11,12-6,23,11,0.6765,12,6,0.6667,108.4,50,85.7,4,0.9371,9,49.2,134,43.0,8,15.6,4,18.0,278,32.6,135,26.7,15,29.9,315,25.6,9,48.5,129,42.7,26,33.4,188,29.2,8,39.7,37,24.8,7,62.1,314,4.6,17
10,Syracuse,4,BE,35,26-9,11-7,26,9,0.7429,11,7,0.6111,113.4,14,89.9,16,0.9358,10,49.2,134,43.6,13,19.1,124,23.4,22,39.8,5,34.4,276,35.3,192,35.5,160,48.8,112,42.9,30,33.4,188,29.8,16,31.0,234,39.8,332,65.7,189,5.1,13
11,Georgetown,2,BE,31,25-6,14-4,25,6,0.8065,14,4,0.7778,106.8,72,84.6,2,0.9357,11,51.4,63,42.8,6,20.1,179,22.6,40,30.6,209,31.3,146,37.0,140,33.6,116,50.4,53,41.3,4,35.8,78,30.5,31,32.6,181,34.1,203,62.1,314,6.5,9
12,Pittsburgh,8,BE,32,24-8,12-6,24,8,0.75,12,6,0.6667,114.1,12,91.3,29,0.9287,12,52.2,45,44.7,32,17.9,55,22.2,55,40.8,4,29.8,82,37.5,124,34.9,146,51.6,36,43.6,41,36.0,73,31.2,49,26.1,317,35.2,246,60.0,342,3.1,25
13,Michigan St.,3,B10,32,24-8,13-5,24,8,0.75,13,5,0.7222,110.4,33,89.1,12,0.9218,13,50.7,83,45.0,35,20.5,203,19.7,187,35.5,55,28.3,49,36.7,150,32.6,88,50.4,53,44.8,73,34.4,142,30.2,23,27.3,299,33.8,197,64.6,237,6.7,8
14,Creighton,7,MVC,34,27-7,13-5,27,7,0.7941,13,5,0.7222,118.0,5,95.5,81,0.9187,14,59.1,1,45.9,65,18.8,105,16.2,325,29.2,251,27.0,18,33.6,237,25.8,11,56.4,3,45.4,90,42.1,1,31.3,54,39.6,38,33.1,174,65.3,206,3.6,22
