Rk,Team,Seed,Conf,G,Rec,ConfRec,Wins,Losses,WinPct,ConfWins,ConfLosses,ConfWinPct,AdjOE,Rk_AdjOE,AdjDE,Rk_AdjDE,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
1,Virginia,1,ACC,33,31-2,17-1,31,2,0.9394,17,1,0.9444,115.2,27,85.0,1,0.9706,1,52.9,87,43.7,3,14.1,5,21.0,37,27.4,215,25.7,50,24.8,342,26.2,26,50.0,169,42.4,3,39.0,30,30.3,5,34.8,249,40.5,275,60.4,351,11.3,1
2,Villanova,1,BE,34,30-4,14-4,30,4,0.8824,14,4,0.7778,127.7,1,95.4,27,0.9663,2,59.7,1,49.2,80,14.6,8,18.5,164,28.8,170,26.7,77,28.6,304,25.5,17,59.7,2,49.3,151,39.8,18,32.8,47,46.6,16,35.5,102,69.5,167,10.6,2
3,Duke,2,ACC,33,26-7,13-5,26,7,0.7879,13,5,0.7222,123.2,3,93.9,14,0.9576,3,56.0,17,46.0,10,17.7,128,16.9,265,39.1,1,29.2,205,34.9,131,22.0,1,55.6,22,44.8,12,37.8,49,32.1,24,35.5,224,36.7,143,71.4,70,6.6,9
4,Purdue,2,B10,34,28-6,15-3,28,6,0.8235,15,3,0.8333,123.6,2,94.4,17,0.9567,4,58.1,5,46.8,16,15.6,23,17.7,224,27.7,209,28.2,146,36.1,100,23.8,7,54.9,30,44.9,14,42.0,2,33.7,100,40.2,100,34.4,73,68.9,197,7.6,6
5,Cincinnati,2,Amer,34,30-4,16-2,30,4,0.8824,16,2,0.8889,111.1,60,86.5,2,0.9469,5,51.6,145,42.8,2,17.3,94,22.3,9,38.1,3,28.7,179,36.8,79,27.4,40,50.5,156,40.7,2,35.7,131,30.9,10,35.2,233,37.7,194,66.5,313,6.0,11
6,Michigan State,3,B10,33,29-4,16-2,29,4,0.8788,16,2,0.8889,119.4,10,93.7,13,0.9419,6,57.8,8,42.6,1,19.2,229,14.5,341,36.1,5,26.8,86,36.3,94,29.2,68,55.5,24,38.4,1,41.3,4,33.3,80,35.8,212,35.8,116,68.2,231,8.0,5
7,Kansas,1,B12,34,27-7,13-5,27,7,0.7941,13,5,0.7222,121.7,4,95.7,33,0.9406,7,58.1,5,48.5,55,16.6,51,18.5,164,29.1,161,31.7,297,26.2,335,24.8,12,56.5,13,48.1,90,40.3,10,32.7,42,41.6,76,38.4,216,69.8,152,8.2,4
8,North Carolina,2,ACC,35,25-10,11-7,25,10,0.7143,11,7,0.6111,121.2,6,96.8,50,0.9299,8,52.3,110,50.1,133,16.8,62,16.2,300,38.4,2,26.0,59,28.6,304,25.8,23,51.1,132,45.0,16,36.4,98,38.3,325,34.9,244,40.9,285,72.5,41,7.1,7
9,West Virginia,5,B12,34,24-10,11-7,24,10,0.7059,11,7,0.6111,119.1,11,95.3,25,0.9281,9,50.3,194,49.6,105,16.5,45,23.3,2,36.6,4,30.0,237,31.2,241,44.1,337,48.5,224,45.6,25,35.3,147,37.4,292,38.9,133,38.0,202,71.2,77,4.6,14
10,Xavier,1,BE,33,28-5,15-3,28,5,0.8485,15,3,0.8333,121.4,5,97.3,54,0.9269,10,55.7,20,50.0,129,17.0,75,15.7,316,30.0,130,22.9,14,40.2,33,24.8,12,55.9,17,50.0,176,36.9,82,33.4,86,36.0,205,41.2,291,71.6,62,8.8,3
11,Gonzaga,4,WCC,34,30-4,17-1,30,4,0.8824,17,1,0.9444,118.3,13,95.2,23,0.9239,11,57.7,10,46.9,18,16.0,33,17.4,240,33.0,48,22.7,9,30.9,250,29.4,74,58.8,5,43.3,6,37.4,59,35.5,203,39.6,112,35.7,113,70.3,112,4.9,12
12,Ohio State,5,B10,32,24-8,15-3,24,8,0.75,15,3,0.8333,116.1,22,93.6,10,0.9228,12,54.4,43,48.3,47,17.3,94,18.0,204,30.3,122,24.9,35,31.5,232,29.0,63,55.1,28,46.0,33,35.3,147,34.6,146,33.2,282,39.6,251,67.8,247,4.5,15
13,Texas Tech,3,B12,33,24-9,11-7,24,9,0.7273,11,7,0.6111,112.9,46,91.1,3,0.9222,13,52.7,96,46.7,15,18.1,148,22.0,14,33.3,43,28.4,159,40.3,31,38.1,270,51.5,110,45.1,18,36.6,90,32.8,47,34.1,259,38.9,227,67.6,255,4.7,13
14,Tennessee,3,SEC,33,25-8,13-5,25,8,0.7576,13,5,0.7222,114.3,34,92.3,4,0.9215,14,50.7,176,46.8,16,18.0,142,20.6,49,33.6,38,31.5,293,36.5,87,38.3,277,47.0,289,46.1,36,38.4,39,31.9,19,35.6,219,36.3,130,67.3,273,6.4,10
15,Michigan,3,B10,34,27-7,13-5,27,7,0.7941,13,5,0.7222,114.3,35,92.5,5,0.9195,15,54.4,43,48.4,52,13.9,2,19.4,106,26.0,260,24.4,25,30.3,269,30.2,97,54.3,39,47.0,59,36.4,98,34.3,127,43.1,58,30.2,6,65.7,330,6.9,8
16,Florida,6,SEC,32,20-12,11-7,20,12,0.625,11,7,0.6111,116.0,23,95.2,22,0.9071,16,51.1,163,48.9,68,14.3,6,20.1,75,28.8,170,30.8,271,33.1,182,31.7,134,47.5,265,46.6,49,37.5,55,35.7,213,40.2,100,33.6,51,68.3,224,1.4,36
17,Creighton,8,BE,31,20-11,10-8,20,11,0.6452,10,8,0.5556,117.3,16,97.0,52,0.8983,17,58.0,7,50.0,129,15.4,18,15.8,314,21.8,334,24.7,29,27.1,328,24.2,10,59.3,4,50.1,180,37.6,52,33.2,73,44.7,37,37.4,181,72.3,45,2.1,28
18,Butler,10,BE,33,20-13,9-9,20,13,0.6061,9,9,0.5,115.4,26,95.5,30,0.8972,18,53.8,63,52.0,232,15.7,27,19.8,86,27.3,221,24.7,29,26.3,334,35.1,218,54.1,42,49.6,160,35.6,136,37.4,292,37.2,168,37.5,186,69.4,171,1.7,33
19,Auburn,4,SEC,32,25-7,13-5,25,7,0.7812,13,5,0.7222,117.0,18,97.1,53,0.8955,19,51.8,136,49.5,100,16.7,57,20.8,43,33.0,48,28.3,150,39.9,37,38.4,281,49.4,187,47.1,62,36.6,90,35.4,197,43.1,58,39.4,239,73.7,21,4.3,17
20,Houston,6,Amer,33,26-7,14-4,26,7,0.7879,14,4,0.7778,114.6,31,95.1,21,0.8953,20,53.9,59,45.8,9,17.8,132,19.4,106,34.7,16,25.8,53,32.2,211,41.1,315,51.4,114,43.8,8,38.7,34,32.7,42,37.7,155,37.7,194,69.4,171,2.5,26
21,Kentucky,5,SEC,34,24-10,10-8,24,10,0.7059,10,8,0.5556,115.1,28,95.7,31,0.8934,21,51.7,142,46.9,18,18.6,180,17.1,253,35.6,8,31.3,285,42.8,8,32.2,149,50.9,140,48.4,103,36.1,110,29.9,3,26.2,344,42.2,307,70.0,136,4.3,16
23,Seton Hall,8,BE,32,21-11,10-8,21,11,0.6562,10,8,0.5556,116.5,21,97.4,56,0.8864,23,52.8,91,49.9,122,17.9,137,17.9,210,34.2,26,28.5,164,34.6,135,28.9,62,52.0,89,49.8,165,36.4,98,33.4,86,32.8,292,37.4,181,70.7,101,2.5,24
24,Clemson,5,ACC,32,23-9,11-7,23,9,0.7188,11,7,0.6111,111.6,58,93.7,12,0.882,24,52.7,96,47.6,36,17.9,137,17.7,224,27.4,215,26.7,77,34.1,152,27.0,35,51.2,127,44.3,10,36.6,90,35.5,203,40.6,92,37.0,158,67.0,284,4.0,18
25,TCU,6,B12,32,21-11,9-9,21,11,0.6562,9,9,0.5,120.4,8,101.1,110,0.8814,25,56.9,13,52.7,264,17.7,128,17.6,228,34.5,21,25.9,56,34.1,152,30.7,109,55.2,27,50.4,195,40.0,11,37.9,311,35.2,233,35.9,120,70.1,124,2.2,27
26,Wichita State,4,Amer,32,25-7,14-4,25,7,0.7812,14,4,0.7778,120.4,7,101.5,122,0.8763,26,55.3,22,49.3,88,16.4,40,16.4,290,35.2,9,22.7,9,35.1,124,33.1,171,53.8,45,45.8,31,38.5,36,36.3,246,39.0,131,40.4,273,70.2,117,3.4,20
27,Texas A&M,7,SEC,32,20-12,9-9,20,12,0.625,9,9,0.5,110.3,70,93.6,9,0.8692,27,51.1,163,46.4,12,19.2,229,15.9,312,34.3,24,28.3,150,32.0,217,29.0,63,52.1,83,45.1,18,32.7,284,32.4,32,33.2,282,37.6,189,70.0,136,1.9,31
28,Miami (FL),6,ACC,31,22-9,11-7,22,9,0.7097,11,7,0.6111,112.6,47,95.5,29,0.8685,28,53.0,84,48.8,63,16.5,45,18.9,135,29.0,164,28.3,150,29.1,292,28.4,50,52.2,81,48.7,125,36.3,103,32.6,38,36.5,185,35.5,102,68.3,224,2.7,22
