Rk,Team,Seed,Conf,G,Rec,ConfRec,Wins,Losses,WinPct,ConfWins,ConfLosses,ConfWinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
1,Kentucky,1,SEC,34,34-0,18-0,34,0,1.0,18,0,1.0,119.0,7,83.5,2,0.9834,1,51.8,67,39.7,1,16.4,33,21.8,28,40.4,5,31.6,198,43.8,34,31.6,58,51.5,47,39.1,2,35.0,131,27.4,2,28.1,308,31.0,80,63.5,254,13.0,1
2,Wisconsin,1,B10,34,31-3,16-2,31,3,0.9118,16,2,0.8889,126.4,1,92.1,20,0.9743,2,54.6,18,46.7,75,12.4,1,16.7,303,31.9,129,23.7,3,35.6,214,21.1,1,55.1,8,44.0,45,35.7,102,36.0,256,37.0,97,26.7,9,59.3,344,11.3,2
3,Virginia,2,ACC,32,29-3,16-2,29,3,0.9062,16,2,0.8889,113.2,25,83.3,1,0.9714,3,51.2,80,41.7,2,16.1,24,18.1,231,34.0,79,24.3,5,34.2,249,27.9,17,50.1,82,39.5,3,36.1,86,30.3,18,27.3,319,36.5,252,58.3,349,9.9,5
4,Duke,1,ACC,33,29-4,15-3,29,4,0.8788,15,3,0.8333,124.6,2,93.1,32,0.9663,4,56.9,4,47.4,98,16.8,45,18.7,192,37.4,16,30.1,123,40.2,88,24.9,6,56.3,3,47.1,140,38.6,26,32.0,64,34.5,166,27.7,14,66.8,80,10.6,4
5,Arizona,2,P12,34,31-3,16-2,31,3,0.9118,16,2,0.8889,115.5,13,86.5,3,0.9654,5,53.6,29,44.3,16,16.7,43,21.1,57,34.1,72,22.3,1,47.1,8,36.3,164,53.4,18,42.0,10,36.0,90,32.8,88,25.8,336,31.4,90,66.9,72,8.9,6
6,Villanova,1,BE,34,32-2,16-2,32,2,0.9412,16,2,0.8889,120.7,4,91.4,14,0.9608,6,55.3,15,45.5,40,16.6,38,21.7,31,32.7,110,31.1,169,42.4,46,30.3,38,53.1,21,45.2,74,38.9,20,30.8,26,43.0,21,32.5,121,64.8,180,11.2,3
7,Gonzaga,2,WCC,33,31-2,17-1,31,2,0.9394,17,1,0.9444,120.4,5,92.9,31,0.9518,7,58.4,2,43.6,9,16.3,31,17.6,264,33.9,85,28.6,67,39.1,118,31.6,58,57.1,2,41.4,7,40.8,5,32.3,70,32.1,233,30.5,66,65.1,157,7.9,9
8,Utah,5,P12,31,23-8,13-5,23,8,0.7419,13,5,0.7222,115.1,14,88.9,7,0.9515,8,55.6,13,42.7,5,17.8,83,18.3,221,31.3,157,28.1,49,42.8,39,34.5,129,52.8,31,40.9,4,40.2,8,31.6,46,37.8,80,28.3,19,61.5,318,3.7,20
9,North Carolina,4,ACC,35,24-11,11-7,24,11,0.6857,11,7,0.6111,118.4,9,91.7,17,0.9496,9,51.4,76,45.3,35,18.2,108,17.8,253,39.9,6,30.5,139,34.7,237,37.6,193,51.3,51,45.7,91,34.5,159,29.8,8,22.6,350,37.1,264,70.2,11,6.4,12
10,Oklahoma,3,B12,32,22-10,12-6,22,10,0.6875,12,6,0.6667,110.0,50,87.3,6,0.9348,10,49.4,146,43.7,11,17.7,79,20.2,103,30.9,171,31.5,190,32.7,283,28.9,24,48.4,140,42.4,18,34.3,170,30.9,28,33.6,186,33.7,153,68.1,32,4.2,17
11,Baylor,3,B12,32,23-9,11-7,23,9,0.7188,11,7,0.6111,115.8,12,92.8,27,0.9274,11,49.8,125,45.8,51,19.6,205,19.6,138,41.8,2,31.7,205,38.8,120,32.4,74,46.0,247,46.5,117,38.2,31,29.8,8,33.2,201,35.9,231,62.2,300,4.8,15
12,Notre Dame,3,ACC,34,29-5,14-4,29,5,0.8529,14,4,0.7778,124.4,3,99.8,122,0.926,12,58.6,1,48.1,128,14.4,3,17.4,272,28.1,275,31.6,198,37.1,170,23.3,2,58.4,1,47.4,156,39.2,17,32.9,93,38.6,63,32.6,126,64.1,213,8.4,8
13,Louisville,4,ACC,32,24-8,12-6,24,8,0.75,12,6,0.6667,107.9,68,86.6,4,0.9258,13,47.8,224,43.4,8,17.8,83,21.8,28,35.1,46,30.9,162,38.8,120,34.7,133,48.9,116,43.3,30,30.4,313,29.3,5,32.6,220,31.4,90,66.0,117,5.7,13
14,Kansas,2,B12,34,26-8,13-5,26,8,0.7647,13,5,0.7222,113.3,24,91.0,11,0.9252,14,49.3,159,44.4,18,19.1,171,17.5,268,34.9,52,31.8,210,43.0,38,33.6,102,46.5,230,43.5,33,37.5,51,30.9,28,28.3,304,31.9,99,67.3,60,8.7,7
15,Wichita State,7,MVC,31,27-4,17-1,27,4,0.871,17,1,0.9444,114.1,18,91.7,16,0.9251,15,50.7,95,45.2,31,15.2,7,21.6,32,34.8,54,27.0,31,35.4,221,36.8,181,48.9,116,42.5,19,35.9,94,34.4,184,35.3,146,29.7,46,62.2,300,4.4,16
16,Michigan State,7,B10,34,23-11,12-6,23,11,0.6765,12,6,0.6667,114.8,16,92.6,24,0.9223,16,53.8,27,45.7,48,17.9,90,17.0,290,34.6,60,26.0,17,31.9,302,37.7,197,51.6,46,44.1,50,38.6,26,32.3,70,34.7,161,35.3,205,64.1,213,3.0,26
17,Northern Iowa,5,MVC,33,30-3,16-2,30,3,0.9091,16,2,0.8889,114.0,19,92.2,21,0.9206,17,56.2,8,45.1,29,18.0,96,19.3,150,26.9,299,26.9,28,40.2,88,26.7,8,53.9,12,43.8,40,39.7,10,31.6,46,40.0,45,38.1,294,58.5,348,5.6,14
18,Ohio State,10,B10,33,23-10,11-7,23,10,0.697,11,7,0.6111,114.2,17,92.8,29,0.9152,18,54.5,21,46.6,72,17.0,50,22.1,22,34.1,72,31.4,185,34.8,234,27.4,13,53.9,12,45.8,97,37.2,58,31.8,57,32.1,233,37.9,290,66.6,88,2.4,28
19,Iowa State,3,B12,33,25-8,12-6,25,8,0.7576,12,6,0.6667,118.1,10,96.7,65,0.9086,19,54.7,16,47.9,116,15.8,16,18.5,207,28.5,264,29.2,83,37.4,158,24.3,4,54.7,10,45.4,83,36.6,73,35.2,220,36.8,103,34.6,183,69.9,14,6.8,11
20,Iowa,7,B10,32,21-11,12-6,21,11,0.6562,12,6,0.6667,113.1,26,92.6,25,0.9085,20,47.8,224,45.1,29,17.4,68,19.3,150,35.8,33,30.5,139,39.6,107,29.2,27,46.9,209,43.1,26,33.2,217,32.4,73,30.7,259,36.5,252,64.6,189,2.0,30
21,Texas,11,B12,33,20-13,8-10,20,13,0.6061,8,10,0.4444,110.6,42,91.4,15,0.8999,21,49.4,146,42.2,4,20.0,234,14.2,349,38.0,11,29.0,76,36.9,174,34.2,125,48.6,129,37.8,1,33.9,188,34.8,197,34.0,173,30.9,78,62.9,274,0.8,41
22,Butler,6,BE,32,22-10,12-6,22,10,0.6875,12,6,0.6667,108.5,64,89.7,8,0.8998,22,49.1,169,46.9,83,17.4,68,19.3,150,35.5,38,24.9,7,40.5,80,33.3,97,47.2,195,47.3,151,35.8,99,30.6,22,29.0,293,33.9,161,64.1,213,3.4,23
23,Georgetown,4,BE,31,21-10,12-6,21,10,0.6774,12,6,0.6667,111.5,36,93.2,34,0.8872,23,50.9,88,46.6,72,19.2,178,20.6,77,34.3,68,31.3,177,44.1,29,43.9,302,50.4,72,42.7,20,34.7,148,35.9,253,31.6,240,35.1,198,64.7,183,3.6,21
24,Xavier,6,BE,34,21-13,9-9,21,13,0.6176,9,9,0.5,115.0,15,96.2,63,0.8861,24,53.0,40,50.2,218,18.0,96,19.2,158,31.3,157,27.1,34,38.1,134,34.4,127,53.4,18,48.9,212,34.9,138,35.0,207,32.8,216,37.2,270,66.0,117,1.3,36
25,West Virginia,5,B12,32,23-9,11-7,23,9,0.7188,11,7,0.6111,110.5,45,92.9,30,0.8803,25,46.6,274,52.6,301,18.7,139,28.2,1,40.9,4,31.1,169,40.4,82,55.9,351,45.9,253,51.6,304,31.9,273,36.5,274,33.8,180,31.8,95,69.1,21,3.9,18
26,Providence,6,BE,33,22-11,11-7,22,11,0.6667,11,7,0.6111,111.8,34,94.0,44,0.8796,26,48.6,195,48.1,128,17.9,90,19.7,133,35.3,40,29.5,98,41.6,62,38.5,211,49.4,97,47.0,136,31.0,304,33.3,117,28.4,301,35.8,228,65.8,126,3.6,22
28,San Diego State,8,MWC,33,25-8,14-4,25,8,0.7576,14,4,0.7778,102.5,165,86.9,5,0.8697,28,46.7,269,42.7,5,18.6,131,21.5,37,35.9,31,30.2,125,36.2,193,26.7,8,46.1,242,41.2,5,32.1,261,30.6,22,30.5,266,32.3,112,61.2,324,1.5,33
29,Southern Methodist,6,Amer,32,26-6,15-3,26,6,0.8125,15,3,0.8333,111.2,39,94.5,47,0.8665,29,52.4,47,45.5,40,19.7,213,20.0,116,36.9,22,29.3,91,44.1,29,31.2,48,51.9,37,43.1,26,36.0,90,32.2,68,22.9,349,45.7,351,63.7,243,3.3,24
30,BYU,11,WCC,33,23-10,13-5,23,10,0.697,13,5,0.7222,118.1,11,100.8,142,0.8608,30,53.2,36,49.6,189,16.4,33,17.7,260,33.4,101,28.4,60,42.5,44,39.2,224,50.2,80,49.6,239,39.0,19,33.1,104,36.6,106,32.3,112,70.9,6,0.9,38
