Rk,Team,Seed,Conf,G,Rec,ConfRec,Wins,Losses,WinPct,ConfWins,ConfLosses,ConfWinPct,AdjOE,Rk_AdjOE,AdjDE,Rk_AdjDE,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
1,Kansas,1,B12,33,29-4,15-3,29,4,0.8788,15,3,0.8333,120.5,4,91.3,6,0.9607,1,55.9,9,45.3,19,17.8,148,19.1,104,32.2,88,28.8,124,39.0,111,37.2,181,52.2,47,43.3,18,42.2,3,33.0,82,33.4,226,32.2,71,70.1,113,11.4,1
2,Villanova,2,BE,34,29-5,16-2,29,5,0.8529,16,2,0.8889,118.9,10,90.4,5,0.9591,2,54.3,24,46.3,29,16.4,60,20.4,49,28.6,208,28.7,121,34.3,239,31.4,61,56.4,5,43.9,26,34.4,180,33.5,108,43.8,24,37.5,262,67.3,257,9.0,2
3,Virginia,1,ACC,33,26-7,13-5,26,7,0.7879,13,5,0.7222,119.5,8,91.9,8,0.9532,3,54.4,22,48.7,108,15.3,17,19.7,75,30.6,141,25.9,33,32.4,281,33.7,101,51.9,55,46.5,79,40.5,9,34.9,181,28.1,324,37.3,255,61.6,351,8.7,3
4,Michigan St.,2,B10,34,29-5,13-5,29,5,0.8529,13,5,0.7222,121.4,3,94.8,27,0.9448,4,56.0,7,42.6,2,17.5,125,14.2,343,37.2,18,24.2,8,30.0,327,34.0,106,51.1,75,41.3,4,43.4,1,30.2,8,35.3,172,32.5,81,67.6,248,7.4,7
5,West Virginia,3,B12,34,26-8,13-5,26,8,0.7647,13,5,0.7222,115.4,24,90.2,4,0.9445,5,50.2,155,48.8,112,19.6,272,25.5,2,41.9,1,27.2,61,46.1,7,54.8,351,50.7,88,48.2,140,32.9,251,33.2,96,30.6,276,36.1,201,70.9,88,7.3,8
6,Kentucky,4,SEC,34,26-8,13-5,26,8,0.7647,13,5,0.7222,122.3,1,95.8,37,0.943,6,53.7,33,44.9,12,16.1,44,17.9,189,37.8,12,31.7,267,38.3,127,41.4,275,52.8,32,43.0,16,37.0,64,33.0,82,31.4,263,29.8,21,68.0,226,5.0,14
7,North Carolina,1,ACC,34,28-6,14-4,28,6,0.8235,14,4,0.7778,120.1,6,94.3,22,0.9419,7,52.1,69,47.4,66,15.4,20,18.6,142,39.8,4,29.9,183,32.2,287,29.7,41,53.9,21,43.7,22,31.4,307,36.0,252,26.7,338,35.6,180,72.3,46,8.5,4
8,Oklahoma,2,B12,32,25-7,12-6,25,7,0.7812,12,6,0.6667,117.6,17,92.8,16,0.9384,8,54.5,21,46.4,33,18.0,168,17.6,208,30.5,144,29.8,175,33.6,253,27.3,19,48.1,200,44.0,27,42.6,2,34.0,132,40.7,59,35.0,156,71.1,80,7.9,5
9,Purdue,5,B10,34,26-8,12-6,26,8,0.7647,12,6,0.6667,116.6,20,92.8,15,0.9326,9,53.7,33,44.3,7,17.5,125,13.8,348,35.3,29,23.3,3,35.1,221,27.7,21,52.9,30,43.0,16,36.8,70,31.3,27,35.5,164,33.0,92,68.8,177,4.5,15
11,Miami FL,3,ACC,32,25-7,13-5,25,7,0.7812,13,5,0.7222,118.8,11,95.4,32,0.9256,11,53.9,30,48.0,85,16.0,40,17.5,215,30.5,144,29.2,140,40.0,90,28.8,32,53.4,24,46.9,92,36.6,80,33.6,114,34.1,212,29.8,21,67.2,265,6.9,9
12,Wichita St.,11,MVC,32,24-8,16-2,24,8,0.75,16,2,0.8889,111.4,56,89.7,2,0.9232,12,49.4,193,44.1,5,14.6,8,23.0,5,31.6,109,23.5,4,38.0,137,45.5,327,49.4,140,41.7,7,33.0,248,32.2,51,38.3,99,37.1,244,66.9,278,0.28,47
13,Xavier,2,BE,32,27-5,14-4,27,5,0.8438,14,4,0.7778,117.1,18,94.5,24,0.9216,13,51.5,101,47.9,79,17.5,125,19.4,87,35.7,28,26.3,41,42.9,36,34.4,115,50.0,117,48.4,149,36.2,104,31.5,32,34.7,192,40.4,317,72.6,37,7.7,6
14,Duke,4,ACC,33,23-10,11-7,23,10,0.697,11,7,0.6111,121.5,2,98.5,74,0.9183,14,53.7,33,49.4,138,14.3,4,17.7,199,34.0,47,34.5,327,40.2,86,25.4,10,50.7,88,48.9,179,38.7,20,33.9,128,40.1,63,29.0,14,68.8,177,4.2,17
15,Texas A&M,3,SEC,34,26-8,13-5,26,8,0.7647,13,5,0.7222,113.7,33,92.2,9,0.9176,15,51.4,109,47.1,53,17.2,108,20.9,27,35.0,32,30.0,187,37.5,152,32.4,77,50.7,88,45.6,59,35.0,157,32.9,78,37.0,128,39.5,303,68.1,223,5.1,13
16,Vanderbilt,11,SEC,33,19-14,11-7,19,14,0.5758,11,7,0.6111,113.9,31,92.7,13,0.9143,16,52.9,49,43.1,3,16.8,83,14.2,343,27.2,255,29.3,147,39.8,93,34.4,115,50.1,111,42.6,11,38.2,31,29.4,3,38.0,104,30.6,30,68.7,184,-0.38,60
17,Indiana,5,B10,32,25-7,15-3,25,7,0.7812,15,3,0.8333,120.1,7,98.0,62,0.9117,17,58.6,2,49.5,144,19.8,282,18.9,119,37.7,13,28.7,121,33.3,263,29.3,37,56.1,6,48.7,162,41.5,5,34.3,149,40.9,54,31.4,45,69.3,150,3.3,25
18,Iowa,7,B10,31,21-10,12-6,21,10,0.6774,12,6,0.6667,116.0,22,94.8,26,0.9111,18,51.8,85,47.4,66,15.0,14,18.9,119,32.3,87,31.4,259,33.4,260,25.2,9,48.7,171,48.0,130,38.2,31,31.0,17,35.1,178,38.7,285,70.0,117,2.0,34
19,Iowa St.,4,B12,32,21-11,10-8,21,11,0.6562,10,8,0.5556,120.4,5,98.9,83,0.9061,19,56.8,5,49.5,144,16.0,40,17.1,241,27.3,251,30.7,222,25.5,350,24.2,5,56.7,4,49.0,184,38.0,39,33.6,114,35.0,183,35.7,186,72.3,46,3.5,21
20,Arizona,6,P12,33,25-8,12-6,25,8,0.7576,12,6,0.6667,116.4,21,95.7,36,0.9043,20,53.8,31,46.3,29,17.9,160,16.2,286,35.1,31,24.9,13,44.1,17,29.2,36,52.3,43,45.5,53,38.3,28,32.1,44,29.2,309,31.2,42,69.1,163,3.5,23
21,Oregon,1,P12,33,27-6,14-4,27,6,0.8182,14,4,0.7778,117.7,16,96.9,48,0.9038,21,52.3,64,49.0,120,16.3,54,20.6,42,34.6,39,31.3,252,40.2,86,32.3,74,52.2,47,46.2,72,35.1,152,36.4,264,33.9,213,33.8,109,69.1,163,6.7,10
22,Gonzaga,11,WCC,32,25-7,15-3,25,7,0.7812,15,3,0.8333,117.0,19,96.3,42,0.9031,22,55.3,13,45.1,15,16.5,69,14.9,332,31.9,98,25.9,33,35.9,197,28.3,27,54.6,15,44.9,42,37.6,45,30.3,9,35.9,157,33.1,95,68.2,216,2.2,31
23,California,4,P12,33,23-10,12-6,23,10,0.697,12,6,0.6667,112.5,43,93.0,17,0.899,23,52.5,54,44.0,4,17.5,125,14.1,346,32.4,80,25.7,28,41.6,56,37.2,181,51.0,80,40.9,1,36.9,68,35.1,191,33.7,219,26.5,4,68.8,177,2.3,29
