Rk,Team,Seed,Conf,G,Rec,ConfRec,Wins,Losses,WinPct,ConfWins,ConfLosses,ConfWinPct,AdjOE,Rk_AdjOE,AdjDE,Rk_AdjDE,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
19,Florida St.,3,ACC,33,24-9,12-4,24,9,0.7273,12,4,0.75,106.5,76,88.1,7,0.8985,19,51.4,75,43.7,9,23.7,324,22.2,66,35.7,51,33.0,211,35.2,197,34.3,130,50.7,64,42.5,12,35.3,119,30.5,22,31.6,194,36.9,305,67.7,96,4.3,18
20,Louisville,4,BE,35,26-9,10-8,26,9,0.7429,10,8,0.5556,103.7,126,85.9,2,0.8975,20,47.6,223,42.9,4,21.4,246,23.2,32,36.2,35,34.3,258,37.0,157,34.8,144,48.1,160,41.3,4,31.1,291,30.8,30,33.2,163,32.0,135,67.5,104,5.5,13
21,Marquette,3,BE,32,25-7,14-4,25,7,0.7812,14,4,0.7778,110.9,34,91.9,20,0.8963,21,50.8,99,45.8,39,18.8,84,23.6,23,34.4,88,36.2,309,41.5,49,31.1,53,51.0,51,44.7,58,33.7,195,32.1,72,29.2,257,32.3,153,71.1,16,6.1,11
22,Michigan,4,B10,32,23-9,13-5,23,9,0.7188,13,5,0.7222,113.4,17,95.0,57,0.8851,22,53.6,21,48.8,163,17.6,35,20.1,166,28.1,280,30.9,117,28.9,327,30.0,41,54.2,8,46.9,133,35.3,119,35.0,198,44.2,8,33.1,183,61.8,325,6.2,10
23,Alabama,9,SEC,32,21-11,9-7,21,11,0.6562,9,7,0.5625,105.0,102,88.1,6,0.8829,23,49.0,170,43.4,8,20.4,179,21.4,107,33.9,112,31.9,159,36.5,171,38.6,224,51.4,43,43.9,37,28.5,331,28.3,4,27.1,302,32.9,172,63.1,297,1.6,39
24,Virginia,10,ACC,31,22-9,9-7,22,9,0.7097,9,7,0.5625,104.3,113,87.6,5,0.8813,24,50.9,92,44.3,17,18.6,73,21.1,123,27.9,285,25.4,4,35.8,185,31.1,53,51.1,50,44.3,45,33.7,195,29.5,12,29.5,248,32.0,135,60.4,337,2.0,35
25,UNLV,6,MWC,32,24-8,9-5,24,8,0.75,9,5,0.6429,109.3,47,92.3,24,0.8753,25,53.2,29,46.1,44,19.5,130,21.0,128,32.6,159,30.2,85,35.8,185,33.4,108,51.6,40,44.4,47,37.3,53,33.1,114,38.5,55,33.0,177,69.9,29,2.8,28
26,Kansas St.,8,B12,31,21-10,10-8,21,10,0.6774,10,8,0.5556,107.9,64,91.5,17,0.8695,26,49.3,160,45.8,39,21.3,242,23.8,20,40.8,5,33.7,237,42.9,32,41.6,274,48.5,142,44.9,60,34.2,169,31.8,57,29.7,241,31.3,114,67.5,104,2.1,34
27,Cincinnati,6,BE,34,24-10,12-6,24,10,0.7059,12,6,0.6667,108.7,54,92.2,23,0.8694,27,48.0,202,46.1,44,16.4,10,21.7,89,36.1,40,34.7,274,29.4,321,25.6,7,46.1,227,45.5,78,34.3,161,31.7,51,34.9,118,30.9,98,64.2,264,3.0,24
28,California,12,P12,34,24-10,13-5,24,10,0.7059,13,5,0.7222,109.3,46,92.7,29,0.8691,28,51.7,65,46.5,60,18.2,54,19.4,206,32.0,177,27.2,22,34.1,230,26.7,12,50.9,53,45.3,70,36.3,81,32.9,100,22.9,339,29.9,71,66.8,131,1.8,37
29,Temple,5,A10,30,23-7,12-3,23,7,0.7667,12,3,0.8,113.0,20,96.2,75,0.8647,29,53.2,29,48.6,157,17.9,45,19.4,206,31.3,210,31.4,137,34.3,220,33.4,108,50.3,79,47.8,169,39.9,10,33.7,140,31.2,206,28.6,42,67.3,112,4.2,19
30,Purdue,10,B10,33,21-12,10-8,21,12,0.6364,10,8,0.5556,115.0,12,98.0,109,0.8619,30,51.2,82,50.5,233,13.4,1,19.8,182,32.0,177,30.8,112,34.1,230,34.2,124,47.9,166,49.1,215,37.7,38,35.6,227,37.6,72,33.2,186,65.5,202,1.8,38
31,Gonzaga,7,WCC,31,25-6,13-3,25,6,0.8065,13,3,0.8125,110.6,38,94.3,45,0.8612,31,53.4,26,46.6,62,19.9,157,19.6,198,34.8,72,27.8,31,47.0,5,26.5,11,51.9,31,46.5,110,37.6,45,31.2,39,32.3,183,33.8,204,66.2,169,2.1,33
32,Connecticut,9,BE,33,20-13,8-10,20,13,0.6061,8,10,0.4444,110.3,41,94.3,44,0.8576,32,50.2,125,44.4,18,19.3,119,16.9,319,36.8,25,34.6,268,34.4,216,24.9,5,50.5,73,40.5,3,33.1,227,34.3,166,29.2,257,35.2,249,64.2,264,0.47,49
33,Belmont,14,ASun,33,26-7,16-2,26,7,0.7879,16,2,0.8889,115.2,11,98.6,119,0.856,33,55.7,5,47.8,121,17.6,35,20.7,145,34.6,84,31.9,159,39.2,95,35.8,165,54.7,6,46.6,113,38.1,29,33.7,140,39.9,38,30.9,98,68.1,77,0.9,45
34,Iowa St.,8,B12,32,22-10,12-6,22,10,0.6875,12,6,0.6667,111.2,30,95.3,62,0.8553,34,52.9,37,48.3,147,18.5,64,17.6,298,32.2,171,26.3,9,38.7,114,25.7,9,50.0,95,49.9,248,38.0,31,29.8,15,42.2,17,31.7,123,67.2,118,1.9,36
35,Creighton,8,MVC,33,28-5,14-4,28,5,0.8485,14,4,0.7778,118.4,5,101.8,188,0.8504,35,58.3,1,49.3,186,18.1,51,15.3,343,31.6,189,26.1,8,39.2,95,29.4,32,55.5,3,47.5,159,42.5,3,35.6,227,35.0,117,30.9,98,67.4,110,4.8,15
36,West Virginia,10,BE,32,19-13,9-9,19,13,0.5938,9,9,0.5,110.9,33,95.5,63,0.848,36,48.7,181,49.4,194,19.3,119,20.3,161,41.2,4,30.3,88,38.1,125,31.2,57,50.1,87,50.2,259,30.2,315,31.7,51,30.3,228,30.4,81,65.5,202,-0.2,61
37,Harvard,12,Ivy,29,25-4,12-2,25,4,0.8621,12,2,0.8571,106.9,73,92.6,26,0.8399,37,52.5,50,44.9,23,20.5,186,19.8,182,30.9,221,26.7,16,42.7,37,29.1,30,52.2,26,42.9,18,35.5,112,33.6,136,34.4,127,26.8,16,61.2,330,2.3,30
38,Texas,11,B12,33,20-13,9-9,20,13,0.6061,9,9,0.5,110.9,36,96.2,74,0.8368,38,48.7,181,46.9,78,18.7,80,20.3,161,38.9,15,34.6,268,43.1,26,41.9,281,48.6,138,44.2,42,32.7,238,35.3,211,31.1,210,30.8,94,65.7,191,0.8,46
39,N.C. State,11,ACC,34,22-12,9-7,22,12,0.6471,9,7,0.5625,111.4,27,96.9,85,0.8338,39,50.9,92,47.4,102,18.8,84,18.4,265,35.8,47,30.8,112,36.0,181,32.4,79,50.1,87,45.7,83,35.5,112,33.8,146,26.1,316,33.0,177,68.1,77,0.45,51
42,Saint Mary's,7,WCC,30,25-5,14-2,25,5,0.8333,14,2,0.875,112.0,23,97.7,102,0.8275,42,53.6,21,48.4,149,18.1,51,18.5,260,36.0,44,26.3,9,39.6,80,29.0,29,54.7,6,45.9,91,34.4,154,36.8,280,38.5,55,26.8,16,64.5,253,2.9,27
44,VCU,12,CAA,34,28-6,15-3,28,6,0.8235,15,3,0.8333,106.1,85,93.0,31,0.8207,44,47.6,223,47.1,85,17.4,25,27.3,1,33.8,118,34.0,245,37.3,150,37.9,208,45.6,256,46.9,133,33.7,195,31.8,57,38.8,50,30.4,81,66.1,173,2.3,31
45,Murray St.,6,OVC,28,27-1,15-1,27,1,0.9643,15,1,0.9375,108.1,60,94.8,53,0.8184,45,54.7,7,46.1,44,20.9,215,24.0,16,34.7,79,34.8,277,46.4,9,35.1,152,51.3,45,46.7,119,40.7,4,29.5,12,35.2,111,27.1,19,66.1,173,3.9,21
46,BYU,14,WCC,32,24-8,12-4,24,8,0.75,12,4,0.75,104.9,104,92.2,22,0.8155,46,52.3,53,47.5,106,18.0,49,21.5,101,30.3,237,26.4,13,36.6,167,34.1,121,52.4,23,47.9,173,34.8,140,31.2,39,32.6,176,36.3,291,72.9,6,0.42,52
48,St. Bonaventure,14,A10,31,20-11,10-6,20,11,0.6452,10,6,0.625,108.8,53,96.1,73,0.8068,48,51.0,86,46.9,78,21.5,249,19.0,231,36.3,32,29.6,68,42.8,34,37.6,203,50.9,53,46.1,94,34.1,173,32.4,83,30.1,233,32.9,172,64.5,253,-1.0,72
50,Long Beach St.,12,BW,31,23-8,15-1,23,8,0.7419,15,1,0.9375,108.2,58,95.7,65,0.8033,50,52.6,48,47.4,102,19.0,97,21.7,89,34.2,97,31.6,152,43.4,23,27.3,15,52.0,29,45.7,83,35.8,98,34.2,162,33.6,149,31.8,129,67.2,118,1.0,43
51,South Florida,12,BE,33,20-13,12-6,20,13,0.6061,12,6,0.6667,102.2,151,90.5,15,0.8011,51,48.6,183,44.1,15,22.6,296,18.5,260,33.9,112,31.0,120,33.7,243,31.6,65,49.4,112,43.4,27,31.1,291,30.4,19,30.3,228,32.1,142,59.8,342,0.01,59
55,Xavier,10,A10,33,21-12,10-6,21,12,0.6364,10,6,0.625,106.3,81,94.7,49,0.792,55,49.6,147,45.3,31,18.6,73,18.6,255,31.6,189,30.1,79,40.8,65,36.4,181,48.7,133,44.9,60,34.9,138,30.6,25,25.2,326,35.7,268,67.9,86,0.7,48
57,Notre Dame,7,BE,33,22-11,13-5,22,11,0.6667,13,5,0.7222,108.0,62,96.3,77,0.7898,57,49.2,165,45.5,34,16.0,7,17.3,310,30.7,226,32.1,168,37.9,131,24.7,4,49.1,122,45.1,67,32.9,233,31.0,35,36.8,83,28.1,35,62.2,321,2.2,32
62,Davidson,13,SC,31,24-7,16-2,24,7,0.7742,16,2,0.8889,110.9,35,99.0,131,0.7861,62,51.3,80,47.4,102,17.2,20,17.6,298,35.1,61,26.7,16,36.7,165,40.8,261,51.5,42,46.0,92,34.0,175,34.0,153,38.5,55,27.8,30,68.4,68,-0.32,64
