Rk,Team,Seed,Conf,G,Rec,ConfRec,Wins,Losses,WinPct,ConfWins,ConfLosses,ConfWinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
1,Houston,1,Amer,34,31-3,17-1,31,3,0.9118,17,1,0.9444,117.1,12,88.0,3,0.9638,1,52.7,63,42.5,3,15.3,25,22.0,22,37.1,4,27.4,129,28.5,273,35.8,286,53.2,61,43.1,4,34.5,150,27.8,2,37.8,164,43.7,340,64.0,343,8.0,5
2,Alabama,1,SEC,34,29-5,16-2,29,5,0.8529,16,2,0.8889,115.4,16,88.3,4,0.9559,2,52.7,63,41.5,1,19.0,241,15.9,305,33.8,27,27.5,137,36.7,49,32.8,223,54.6,28,41.2,1,33.8,181,28.1,3,47.8,6,30.6,17,73.5,4,10.2,1
3,UCLA,2,P12,34,29-5,18-2,29,5,0.8529,18,2,0.9,113.2,25,87.4,2,0.9514,3,50.9,162,46.8,27,15.3,25,23.6,11,33.7,32,27.6,140,27.1,316,27.6,75,50.4,178,46.8,43,34.7,141,31.1,32,29.1,340,39.3,253,67.0,226,8.4,4
4,Tennessee,4,SEC,33,23-10,11-7,23,10,0.697,11,7,0.6111,111.1,48,86.2,1,0.9488,4,50.3,195,42.4,2,18.1,166,22.2,21,36.8,5,26.9,106,30.9,200,34.9,267,51.0,142,44.6,10,32.9,226,26.2,1,40.4,96,41.6,313,66.3,271,2.8,25
5,UConn,4,BE,33,25-8,13-7,25,8,0.7576,13,7,0.65,118.9,6,92.5,15,0.9475,5,53.5,42,45.5,11,18.9,236,19.4,98,39.2,1,26.2,76,31.4,180,38.7,321,53.4,54,45.8,25,35.7,88,30.0,15,42.0,61,30.3,13,67.7,187,5.0,13
6,Purdue,1,B10,34,29-5,15-5,29,5,0.8529,15,5,0.75,118.5,8,92.6,17,0.9446,6,52.2,85,47.2,36,17.0,88,15.4,330,38.3,3,23.3,12,37.2,39,19.3,1,54.1,35,47.4,58,32.6,254,31.4,44,38.1,153,35.4,120,64.8,327,9.4,3
7,Arizona,2,P12,34,28-6,14-6,28,6,0.8235,14,6,0.7,119.7,3,95.4,42,0.9309,7,56.8,3,47.2,36,18.4,204,16.9,246,31.1,94,26.2,76,36.5,51,26.0,41,56.6,8,45.9,29,38.2,13,32.8,97,38.0,157,38.7,231,73.2,7,7.6,7
8,Saint Mary's,5,WCC,32,25-7,14-2,25,7,0.7812,14,2,0.875,111.7,38,89.1,5,0.9306,8,52.5,72,46.7,24,16.4,60,19.0,119,33.1,46,21.8,2,31.2,187,30.3,158,51.0,142,45.6,19,36.7,43,32.8,97,37.0,194,31.8,28,62.8,356,3.4,23
9,Texas,2,B12,34,26-8,12-6,26,8,0.7647,12,6,0.6667,114.6,20,91.6,12,0.9296,9,52.7,63,47.8,56,16.5,64,22.8,17,28.3,190,29.4,225,31.5,176,34.5,258,53.8,42,47.2,53,33.9,177,32.7,94,35.0,254,35.4,120,69.5,99,7.5,8
10,Gonzaga,3,WCC,32,27-5,14-2,27,5,0.8438,14,2,0.875,122.6,1,98.6,83,0.925,10,58.5,2,51.7,244,14.6,10,18.8,127,31.1,94,26.0,68,34.2,92,26.7,53,59.0,2,51.2,227,38.4,11,35.0,246,32.8,302,39.4,256,70.7,41,6.6,9
