Rk,Team,Seed,Conf,G,Rec,ConfRec,Wins,Losses,WinPct,ConfWins,ConfLosses,ConfWinPct,AdjOE,Rk_AdjOE,AdjDE,Rk_AdjDE,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
1,Gonzaga,1,WCC,29,26-3,13-1,26,3,0.8966,13,1,0.9286,120.9,3,88.5,7,0.9731,1,59.4,2,43.2,1,15.9,38,17.0,262,29.0,147,23.0,21,29.7,193,22.2,16,60.9,1,41.6,1,37.9,14,30.7,37,35.4,237,33.9,59,73.8,4,6.7,10
2,Houston,5,Amer,34,29-5,15-3,29,5,0.8529,15,3,0.8333,117.1,10,88.9,9,0.9598,2,53.6,33,43.5,2,17.1,86,21.7,28,37.8,2,27.3,140,28.7,228,35.1,290,55.1,21,43.5,7,34.1,145,29.0,11,39.1,139,42.9,323,65.1,327,6.2,13
3,Baylor,1,B12,32,26-6,14-4,26,6,0.8125,14,4,0.7778,117.5,8,90.7,14,0.9514,3,52.9,52,47.8,76,18.2,158,22.9,15,36.3,7,28.4,192,28.5,232,26.9,87,53.5,46,49.5,163,34.6,112,29.9,21,37.7,174,35.9,117,68.6,141,8.9,2
4,Kansas,1,B12,34,28-6,14-4,28,6,0.8235,14,4,0.7778,120.2,5,92.9,24,0.9511,4,54.1,27,46.9,42,17.8,128,18.4,165,33.4,32,28.9,214,32.8,99,27.8,104,54.5,28,47.9,103,35.5,73,30.1,25,33.8,274,34.2,68,70.1,70,10.4,1
5,Arizona,1,P12,34,31-3,18-2,31,3,0.9118,18,2,0.9,118.0,7,92.4,21,0.9433,5,55.9,10,44.4,9,18.0,138,17.7,218,34.5,16,28.3,186,35.1,57,22.8,21,57.5,5,41.9,3,35.4,74,32.7,123,35.7,230,34.5,76,73.4,7,8.8,3
6,Duke,2,ACC,34,28-6,16-4,28,6,0.8235,16,4,0.8,120.4,4,94.4,38,0.9429,6,55.6,13,47.0,48,14.9,16,16.1,300,31.9,59,28.5,200,28.6,230,18.9,2,55.8,14,46.9,59,36.8,34,31.4,61,36.6,204,33.8,57,68.7,135,7.2,7
7,Texas Tech,3,B12,34,25-9,12-6,25,9,0.7353,12,6,0.6667,109.1,55,85.5,1,0.9427,7,52.4,71,45.5,19,20.3,292,23.6,10,33.3,35,26.1,84,36.1,43,32.1,232,55.1,21,44.3,13,31.4,280,31.3,60,34.4,255,45.6,344,67.4,213,6.6,11
8,Kentucky,2,SEC,33,26-7,14-4,26,7,0.7879,14,4,0.7778,119.1,6,93.9,33,0.9392,8,53.3,41,46.5,34,16.6,58,17.4,230,37.8,2,24.9,56,27.2,269,25.1,52,53.7,43,47.2,69,34.9,95,30.3,33,28.1,347,36.0,121,68.8,128,6.9,9
9,Tennessee,3,SEC,33,26-7,14-4,26,7,0.7879,14,4,0.7778,110.1,40,86.9,3,0.9379,9,50.3,155,46.2,28,18.0,138,22.9,15,32.8,43,27.4,143,29.6,198,31.6,217,48.0,242,45.8,32,35.8,59,31.2,49,40.7,106,39.4,236,68.3,166,7.9,4
10,Villanova,2,BE,33,26-7,16-4,26,7,0.7879,16,4,0.8,117.1,9,93.0,26,0.9344,10,52.0,84,47.5,63,15.5,29,18.8,146,30.9,80,28.0,172,30.5,163,25.1,52,50.3,154,48.2,116,35.9,55,31.0,41,46.0,20,43.0,329,63.6,345,7.3,6
11,Auburn,2,SEC,32,27-5,15-3,27,5,0.8438,15,3,0.8333,112.7,23,89.6,10,0.9332,11,50.3,155,44.1,5,16.7,61,20.7,51,33.2,38,29.3,227,31.6,131,34.8,288,51.9,90,42.6,4,32.0,258,31.2,49,39.9,122,36.3,127,71.0,45,7.4,5
12,Purdue,3,B10,34,27-7,14-6,27,7,0.7941,14,6,0.7,122.6,1,97.5,85,0.9331,12,57.0,4,49.6,156,17.3,101,14.1,346,35.2,13,23.6,31,36.3,40,21.4,9,55.9,12,49.2,156,39.1,4,33.5,169,39.1,139,41.0,276,66.8,249,7.0,8
13,UCLA,4,P12,32,25-7,15-5,25,7,0.7812,15,5,0.75,115.1,15,91.6,16,0.9325,13,50.6,140,47.7,70,13.4,5,19.7,92,31.9,59,24.8,52,29.8,187,29.2,153,49.6,184,47.3,75,35.2,82,32.2,90,31.5,310,37.8,184,66.8,249,5.0,15
14,Iowa,5,B10,35,26-9,12-8,26,9,0.7429,12,8,0.6,121.0,2,97.8,91,0.921,14,53.6,33,49.8,170,12.9,3,19.3,115,32.2,55,30.2,264,30.4,167,26.2,70,52.6,66,50.0,180,36.8,34,32.9,129,39.2,135,36.5,137,70.8,49,4.5,16
15,Texas,6,B12,32,21-11,10-8,21,11,0.6562,10,8,0.5556,111.5,29,90.5,13,0.9172,15,50.1,170,46.5,34,18.2,158,23.3,13,31.9,59,30.0,256,32.3,112,36.8,314,50.9,128,46.1,36,32.3,240,31.6,67,36.0,218,33.7,54,64.1,342,3.4,25
16,Illinois,4,B10,31,22-9,15-5,22,9,0.7097,15,5,0.75,113.6,20,93.1,28,0.9074,16,53.1,47,46.3,29,17.7,121,15.6,323,33.4,32,25.8,73,31.7,128,28.4,124,51.7,99,45.5,27,36.7,39,32.2,90,42.7,62,29.6,6,68.2,172,4.1,20
17,Virginia Tech,11,ACC,35,23-12,11-9,23,12,0.6571,11,9,0.55,114.7,17,94.9,45,0.8978,17,55.2,18,48.7,115,17.0,77,18.8,146,28.1,170,26.1,84,23.7,334,25.2,55,52.5,68,49.4,160,39.3,3,31.7,70,41.4,95,37.0,160,64.1,342,1.7,40
18,LSU,6,SEC,33,22-11,9-9,22,11,0.6667,9,9,0.5,105.8,100,88.1,5,0.891,18,49.5,202,45.1,15,20.4,298,25.3,2,33.7,25,31.2,301,33.0,93,38.4,332,50.5,141,47.7,91,31.9,264,28.0,5,34.6,250,45.9,347,69.8,87,2.3,32
19,Saint Mary's,5,WCC,31,24-7,12-3,24,7,0.7742,12,3,0.8,107.8,73,90.1,11,0.8872,19,52.6,64,48.3,99,17.1,86,19.5,103,27.3,195,21.9,4,23.2,340,24.4,41,52.6,66,47.0,63,35.1,85,34.4,226,36.1,213,28.8,4,64.8,336,3.9,22
20,Indiana,12,B10,34,21-13,9-11,21,13,0.6176,9,11,0.45,107.9,70,90.3,12,0.885,20,51.0,125,45.7,24,17.2,96,17.7,218,27.3,195,24.9,56,33.5,81,30.8,192,51.4,112,43.6,9,33.5,182,32.6,118,31.5,310,40.2,260,68.1,179,0.21,54
21,Arkansas,4,SEC,33,25-8,13-5,25,8,0.7576,13,5,0.7222,109.4,51,92.0,18,0.88,21,49.2,216,47.5,63,17.4,109,20.6,56,30.9,80,25.8,73,37.9,25,32.3,236,50.9,128,46.4,47,30.7,308,32.8,127,34.3,257,39.2,232,71.7,27,4.5,17
22,Connecticut,5,BE,32,23-9,13-6,23,9,0.7188,13,6,0.6842,112.6,24,94.8,43,0.8787,22,49.6,194,45.7,24,17.4,109,18.0,194,38.0,1,27.5,148,30.6,160,31.9,226,47.8,249,42.8,5,35.3,77,34.5,236,34.2,260,32.6,33,66.2,278,3.1,26
23,San Francisco,10,WCC,32,23-9,10-6,23,9,0.7188,10,6,0.625,109.4,50,92.2,19,0.8781,23,53.1,47,46.9,42,18.1,148,18.5,157,30.3,106,23.8,33,28.4,235,32.2,233,53.9,39,48.4,125,34.7,105,28.9,9,44.4,38,30.4,14,69.9,80,1.6,42
