Rk,Team,Seed,Conf,G,Rec,ConfRec,Wins,Losses,WinPct,ConfWins,ConfLosses,ConfWinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
1,Virginia,1,ACC,32,29-3,16-2,29,3,0.9062,16,2,0.8889,122.6,3,88.7,6,0.9762,1,55.7,18,43.5,4,14.7,13,17.8,222,30.0,108,25.9,69,30.3,256,27.9,45,52.2,85,45.5,22,40.9,4,27.2,1,38.7,171,40.9,261,61.0,353,11.1,2
2,Gonzaga,1,WCC,33,30-3,16-0,30,3,0.9091,16,0,1.0,124.1,1,91.6,12,0.9705,2,59.6,1,44.2,8,14.5,11,18.9,144,30.6,99,27.1,122,36.0,88,25.1,14,62.3,1,43.1,5,36.5,67,30.9,25,35.3,262,34.6,43,71.9,48,7.2,12
3,Duke,1,ACC,34,29-5,14-4,29,5,0.8529,14,4,0.7778,119.3,7,88.3,5,0.9694,3,53.4,59,44.6,9,17.7,118,19.8,88,36.1,12,29.7,243,34.6,136,24.0,7,58.3,4,44.9,19,30.2,338,29.3,7,37.6,197,34.7,47,74.0,16,11.2,1
4,Michigan,2,B10,34,28-6,15-5,28,6,0.8235,15,5,0.75,115.3,16,86.2,1,0.9656,4,52.1,106,44.1,7,13.5,1,18.3,182,24.5,287,25.5,53,27.0,311,24.9,11,51.8,102,44.5,12,35.0,137,28.9,5,40.2,132,29.1,3,65.8,324,9.2,6
5,North Carolina,1,ACC,33,27-6,16-2,27,6,0.8182,16,2,0.8889,119.2,8,91.2,10,0.9559,5,52.9,77,48.3,61,17.1,74,18.5,166,34.6,21,23.2,12,30.9,241,28.9,74,51.9,96,47.5,65,36.5,67,32.9,80,35.9,249,42.5,297,76.3,4,10.0,4
6,Michigan State,2,B10,34,28-6,16-4,28,6,0.8235,16,4,0.8,120.0,5,92.0,14,0.9553,6,55.8,16,43.7,5,18.7,185,14.9,342,34.1,24,26.8,111,35.0,113,27.7,41,54.8,30,41.3,2,38.4,17,31.8,42,37.8,191,37.0,120,69.2,156,10.6,3
7,Texas Tech,3,B12,32,26-6,14-4,26,6,0.8125,14,4,0.7778,112.1,35,86.3,2,0.9527,7,53.7,54,42.8,2,18.2,148,23.0,11,28.6,168,28.6,197,33.5,171,37.6,283,52.9,66,41.3,2,36.8,56,30.1,16,35.5,256,39.7,224,67.6,241,7.0,13
8,Tennessee,2,SEC,33,28-5,15-3,28,5,0.8485,15,3,0.8333,122.9,2,95.0,31,0.9505,8,55.3,20,47.4,35,15.9,25,18.2,186,31.6,74,30.3,265,33.4,175,34.4,222,55.7,18,44.6,13,36.2,84,34.4,174,31.8,327,39.8,225,68.8,182,9.8,5
9,Kentucky,2,SEC,33,27-6,15-3,27,6,0.8182,15,3,0.8333,116.9,12,91.7,13,0.9423,9,53.3,64,47.0,27,18.5,170,18.4,178,36.6,9,25.8,67,42.5,8,27.1,32,52.7,70,43.6,8,36.4,74,35.0,209,29.8,340,38.3,169,67.2,268,8.8,7
10,Purdue,3,B10,32,23-9,16-4,23,9,0.7188,16,4,0.8,121.0,4,95.6,41,0.9377,10,52.7,88,49.5,116,15.9,25,19.5,105,35.0,17,26.6,101,29.4,277,32.7,174,51.2,127,47.9,76,36.4,74,34.4,174,44.5,39,43.0,306,67.0,279,6.1,17
11,Houston,3,Amer,34,31-3,16-2,31,3,0.9118,16,2,0.8889,114.1,21,90.9,8,0.9315,11,52.1,106,42.4,1,16.8,62,18.2,186,34.7,20,26.2,79,31.9,214,37.6,283,50.8,147,43.1,5,35.9,95,27.6,2,42.9,72,41.1,270,67.4,255,7.9,9
12,Virginia Tech,4,ACC,32,24-8,12-6,24,8,0.75,12,6,0.6667,118.0,11,94.3,29,0.9299,12,56.4,8,48.9,90,17.5,105,21.7,25,29.8,114,27.4,142,31.4,227,26.4,22,54.2,42,48.0,79,39.4,8,33.2,102,45.0,37,50.1,351,65.0,334,5.0,20
13,Auburn,5,SEC,34,25-9,11-7,25,9,0.7353,11,7,0.6111,119.4,6,95.9,46,0.9254,13,54.2,39,51.8,220,17.5,105,25.3,1,32.7,47,32.9,325,31.0,239,36.6,267,51.3,118,50.4,189,38.1,26,35.6,244,49.6,8,44.1,325,69.3,151,6.1,16
14,Iowa State,6,B12,34,23-11,9-9,23,11,0.6765,9,9,0.5,118.2,10,96.1,48,0.9149,14,54.9,26,48.5,70,16.2,33,18.8,151,28.5,171,30.0,255,30.3,256,23.6,3,55.0,26,47.1,54,36.5,67,33.8,136,39.6,146,39.3,205,69.0,168,4.3,22
