Rk,Team,Seed,Conf,G,Rec,Wins,Losses,WinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
1,Gonzaga,1,WCC,33,32-1,32,1,0.9697,119.8,10,88.0,2,0.972,1,58.0,2,41.6,1,15.9,24,17.7,220,29.9,147,25.4,31,38.2,88,26.0,12,58.4,4,40.0,1,38.2,43,30.0,7,32.6,265,31.8,35,71.8,66,7.8,8
2,Villanova,1,BE,34,31-3,31,3,0.9118,122.2,2,92.2,14,0.9622,2,57.9,4,48.1,70,17.1,73,20.2,67,29.6,158,27.6,102,35.3,171,21.8,1,59.7,2,48.9,153,37.0,80,31.3,24,44.1,25,40.2,297,65.8,315,11.0,1
3,Virginia,5,ACC,32,22-10,22,10,0.6875,114.1,34,86.7,1,0.9591,3,52.9,66,45.7,20,15.6,15,21.0,33,28.7,202,24.2,8,25.7,348,34.0,151,50.0,141,45.0,28,39.3,18,31.2,22,33.2,251,39.7,290,60.3,351,5.0,22
4,Kentucky,2,SEC,34,29-5,29,5,0.8529,119.2,12,91.5,10,0.9545,4,53.2,61,47.4,45,16.0,30,19.4,120,34.0,39,27.2,84,41.7,31,34.7,163,53.4,35,48.0,121,35.3,156,30.7,13,31.6,286,32.7,49,74.6,13,9.0,3
5,North Carolina,1,ACC,33,26-7,26,7,0.7879,121.0,8,93.1,22,0.9531,5,52.3,87,48.5,82,16.4,43,18.7,159,42.0,1,25.1,27,33.1,246,31.4,79,51.1,95,46.7,70,36.7,90,34.2,124,30.0,311,39.4,277,72.7,38,8.3,5
6,Florida,4,SEC,32,24-8,24,8,0.75,115.7,28,89.3,4,0.9516,6,51.5,123,45.6,18,16.6,48,21.1,32,31.9,76,29.2,173,40.4,55,33.9,146,49.9,147,45.5,43,36.3,107,30.7,13,36.2,179,31.5,30,70.4,117,6.3,14
7,Louisville,2,ACC,32,24-8,24,8,0.75,116.2,21,89.7,5,0.9515,7,51.4,128,45.1,13,16.1,32,19.8,94,36.3,15,28.7,153,34.8,188,39.8,269,50.2,131,44.4,22,35.9,132,30.9,17,32.4,270,35.6,152,69.7,165,6.8,9
8,West Virginia,4,B12,34,26-8,26,8,0.7647,116.1,22,89.8,6,0.9506,8,51.8,107,48.7,91,16.9,62,28.1,1,37.7,7,32.4,297,38.2,88,42.2,309,50.6,114,46.6,67,36.1,117,34.9,165,33.0,254,36.3,176,72.5,45,6.3,13
9,Duke,2,ACC,35,27-8,27,8,0.7714,121.1,7,94.9,35,0.9427,9,54.8,27,47.5,52,16.2,36,17.2,257,31.5,91,29.4,182,38.9,76,30.9,71,53.8,28,48.8,146,37.6,58,29.5,4,37.7,142,28.3,7,69.6,173,8.5,4
10,Kansas,1,B12,32,28-4,28,4,0.875,120.4,9,94.4,31,0.9425,10,55.9,15,47.9,60,18.1,135,18.6,165,34.3,33,30.4,230,36.8,141,30.8,69,53.2,41,45.0,28,40.5,6,35.7,210,35.5,195,33.4,68,71.6,71,10.9,2
