Team1,Team1_Seed,Team1_Score,Team2,Team2_Seed,Team2_Score,WinningTeam,Team1_Win
Auburn,1,82,Creighton,9,70,Auburn,True
Michigan,5,91,Texas A&M,4,79,Michigan,True
Ole Miss,6,91,Iowa St.,3,78,Ole Miss,True
New Mexico,10,63,Michigan St.,2,71,Michigan St.,False
Florida,1,77,UConn,8,75,Florida,True
Colorado St.,12,71,Maryland,4,72,Maryland,False
Drake,11,64,Texas Tech,3,77,Texas Tech,False
Arkansas,10,75,St. John's,2,66,Arkansas,True
Duke,1,89,Baylor,9,66,Duke,True
Oregon,5,83,Arizona,4,87,Arizona,False
BYU,6,91,Wisconsin,3,89,BYU,True
Saint Mary's,7,66,Alabama,2,80,Alabama,False
Houston,1,81,Gonzaga,8,76,Houston,True
McNeese,12,62,Purdue,4,76,Purdue,False
Illinois,6,75,Kentucky,3,84,Kentucky,False
UCLA,7,58,Tennessee,2,67,Tennessee,False
