Team__1,Seed__1,Score__1,Rk_AdjEM__1,Conf__1,W-L__1,Wins__1,Losses__1,WinPct__1,AdjEM__1,AdjO__1,Rk_AdjO__1,AdjD__1,Rk_AdjD__1,AdjT__1,Rk_AdjT__1,Luck__1,Rk_Luck__1,SOS_AdjEM__1,Rk_SOS_AdjEM__1,SOS_AdjO__1,Rk_SOS_AdjO__1,SOS_AdjD__1,Rk_SOS_AdjD__1,NCSOS_AdjEM__1,Rk_NCSOS_AdjEM__1,Team__2,Seed__2,Score__2,Rk_AdjEM__2,Conf__2,W-L__2,Wins__2,Losses__2,WinPct__2,AdjEM__2,AdjO__2,Rk_AdjO__2,AdjD__2,Rk_AdjD__2,AdjT__2,Rk_AdjT__2,Luck__2,Rk_Luck__2,SOS_AdjEM__2,Rk_SOS_AdjEM__2,SOS_AdjO__2,Rk_SOS_AdjO__2,SOS_AdjD__2,Rk_SOS_AdjD__2,NCSOS_AdjEM__2,Rk_NCSOS_AdjEM__2,Winning_Team,Win__1
Xavier,1,70,14,BE,28-5,28,5,0.8484848484848485,21.61,120.7,7,99.1,62,70.4,63,0.109,9,9.52,31,110.1,40,100.6,20,2.09,105,Florida State,9,75,35,ACC,20-11,20,11,0.6451612903225806,15.77,115.8,27,100.1,79,71.5,32,-0.032,265,7.9,54,109.0,60,101.1,34,-6.63,329,Florida State,False
Ohio State,5,84,15,B10,24-8,24,8,0.75,21.04,116.1,26,95.1,17,66.3,263,0.027,107,8.06,51,109.6,46,101.6,48,0.46,151,Gonzaga,4,90,8,WCC,30-4,30,4,0.8823529411764706,24.86,119.8,12,95.0,16,68.8,127,-0.006,194,1.05,127,106.5,105,105.5,155,3.26,81,Gonzaga,False
Houston,6,63,17,Amer,26-7,26,7,0.7878787878787878,20.61,115.8,29,95.2,18,68.2,172,-0.009,203,3.43,84,106.6,102,103.2,80,-2.68,246,Michigan,3,64,10,B10,28-7,28,7,0.8,23.13,115.8,28,92.7,5,64.3,333,0.037,87,8.69,44,111.0,23,102.3,65,-4.5,299,Michigan,False
Texas A&M,7,86,29,SEC,20-12,20,12,0.625,16.99,111.2,70,94.3,12,68.9,120,-0.007,195,11.4,7,112.0,3,100.6,19,5.25,38,North Carolina,2,65,7,ACC,25-10,25,10,0.7142857142857143,24.99,121.9,5,96.9,34,70.9,50,-0.019,230,13.98,1,112.3,1,98.3,1,7.98,15,Texas A&M,True
Villanova,1,81,2,BE,30-4,30,4,0.8823529411764706,31.35,127.4,1,96.0,24,68.2,169,-0.018,225,10.17,20,111.1,19,101.0,30,4.19,61,Alabama,9,58,51,SEC,19-15,19,15,0.5588235294117647,13.98,108.5,115,94.5,13,68.7,139,0.0,173,11.16,9,111.0,20,99.9,8,3.16,84,Villanova,True
West Virginia,5,94,13,B12,24-10,24,10,0.7058823529411765,21.83,119.1,13,97.3,40,68.9,119,-0.009,200,10.52,15,109.9,43,99.4,2,-4.33,297,Marshall,13,71,109,CUSA,24-10,24,10,0.7058823529411765,5.94,109.6,92,103.7,135,74.7,6,0.04,76,-1.16,171,104.9,168,106.1,189,-6.78,333,West Virginia,True
Florida,6,66,23,SEC,20-12,20,12,0.625,18.82,115.1,37,96.3,27,66.7,241,-0.049,295,10.82,12,110.7,30,99.9,7,4.49,55,Texas Tech,3,69,12,B12,24-9,24,9,0.7272727272727273,22.0,114.0,45,92.0,3,66.5,252,-0.021,236,9.28,35,110.3,35,101.0,32,-5.07,312,Texas Tech,False
Butler,10,73,26,BE,20-13,20,13,0.6060606060606061,17.78,115.7,30,97.9,49,67.8,191,-0.037,274,10.46,16,111.7,8,101.3,41,0.24,157,Purdue,2,76,5,B10,28-6,28,6,0.8235294117647058,26.6,123.2,2,96.6,31,67.2,219,0.003,167,8.47,46,109.2,56,100.7,21,0.94,145,Purdue,False
UMBC,16,43,189,AE,24-10,24,10,0.7058823529411765,-2.3,103.1,212,105.4,177,68.1,180,0.145,1,-5.99,300,102.3,291,108.3,307,-3.4,277,Kansas State,9,50,44,B12,22-11,22,11,0.6666666666666666,14.79,112.2,60,97.4,41,65.5,303,0.056,56,9.22,36,111.3,15,102.1,61,-6.13,323,Kansas State,False
Kentucky,5,95,18,SEC,24-10,24,10,0.7058823529411765,20.47,116.5,22,96.0,22,68.5,158,-0.001,176,11.2,8,111.0,22,99.8,4,4.92,46,Buffalo,13,75,71,MAC,26-8,26,8,0.7647058823529411,10.58,114.2,42,103.7,136,72.7,15,-0.005,191,-0.96,167,104.8,175,105.7,166,4.05,66,Kentucky,True
