Team__1,Seed__1,Score__1,Team__2,Seed__2,Score__2,Winning_Team,Win__1
Florida State,9,54,Michigan,3,58,Michigan,False
Villanova,1,71,Texas Tech,3,59,Villanova,True
Kansas State,9,62,Loyola Chicago,11,78,Loyola Chicago,False
Kansas,1,85,Duke,2,81,Kansas,True
