Team__1,Seed__1,Score__1,Team__2,Seed__2,Score__2,Winning_Team,Win__1
Oregon,1,82,Duke,4,68,Oregon,True
Texas A&M,3,63,Oklahoma,2,77,Oklahoma,False
North Carolina,1,101,Indiana,5,86,North Carolina,True
Notre Dame,6,61,Wisconsin,7,56,Notre Dame,True
Kansas,1,79,Maryland,5,63,Kansas,True
Miami (FL),3,69,Villanova,2,92,Villanova,False
Virginia,1,84,Iowa State,4,71,Virginia,True
Gonzaga,11,60,Syracuse,10,63,Syracuse,False
