Team__1,Seed__1,Score__1,Team__2,Seed__2,Score__2,Winning_Team,Win__1
Oregon,1,68,Oklahoma,2,80,Oklahoma,False
North Carolina,1,88,Notre Dame,6,74,North Carolina,True
Kansas,1,59,Villanova,2,64,Villanova,False
Virginia,1,62,Syracuse,10,68,Syracuse,False
