Team__1,Seed__1,Score__1,Team__2,Seed__2,Score__2,Winning_Team,Win__1,KP__Rk_AdjEM__1,KP__Conf__1,KP__W-L__1,KP__Wins__1,KP__Losses__1,KP__WinPct__1,KP__AdjEM__1,KP__AdjO__1,KP__Rk_AdjO__1,KP__AdjD__1,KP__Rk_AdjD__1,KP__AdjT__1,KP__Rk_AdjT__1,KP__Luck__1,KP__Rk_Luck__1,KP__SOS_AdjEM__1,KP__Rk_SOS_AdjEM__1,KP__SOS_AdjO__1,KP__Rk_SOS_AdjO__1,KP__SOS_AdjD__1,KP__Rk_SOS_AdjD__1,KP__NCSOS_AdjEM__1,KP__Rk_NCSOS_AdjEM__1,KP__Rk_AdjEM__2,KP__Conf__2,KP__W-L__2,KP__Wins__2,KP__Losses__2,KP__WinPct__2,KP__AdjEM__2,KP__AdjO__2,KP__Rk_AdjO__2,KP__AdjD__2,KP__Rk_AdjD__2,KP__AdjT__2,KP__Rk_AdjT__2,KP__Luck__2,KP__Rk_Luck__2,KP__SOS_AdjEM__2,KP__Rk_SOS_AdjEM__2,KP__SOS_AdjO__2,KP__Rk_SOS_AdjO__2,KP__SOS_AdjD__2,KP__Rk_SOS_AdjD__2,KP__NCSOS_AdjEM__2,KP__Rk_NCSOS_AdjEM__2,BT__Rk__1,BT__Conf__1,BT__G__1,BT__Rec__1,BT__ConfRec__1,BT__Wins__1,BT__Losses__1,BT__WinPct__1,BT__ConfWins__1,BT__ConfLosses__1,BT__ConfWinPct__1,BT__AdjO__1,BT__Rk_AdjO__1,BT__AdjD__1,BT__Rk_AdjD__1,BT__Barthag__1,BT__Rk_Barthag__1,BT__EFG%__1,BT__Rk_EFG%__1,BT__EFGD%__1,BT__Rk_EFGD%__1,BT__TOR__1,BT__Rk_TOR__1,BT__TORD__1,BT__Rk_TORD__1,BT__ORB__1,BT__Rk_ORB__1,BT__DRB__1,BT__Rk_DRB__1,BT__FTR__1,BT__Rk_FTR__1,BT__FTRD__1,BT__Rk_FTRD__1,BT__2P%__1,BT__Rk_2P%__1,BT__2P%D__1,BT__Rk_2P%D__1,BT__3P%__1,BT__Rk_3P%__1,BT__3P%D__1,BT__Rk_3P%D__1,BT__3PR__1,BT__Rk_3PR__1,BT__3PRD__1,BT__Rk_3PRD__1,BT__AdjT__1,BT__Rk_AdjT__1,BT__WAB__1,BT__Rk_WAB__1,BT__Rk__2,BT__Conf__2,BT__G__2,BT__Rec__2,BT__ConfRec__2,BT__Wins__2,BT__Losses__2,BT__WinPct__2,BT__ConfWins__2,BT__ConfLosses__2,BT__ConfWinPct__2,BT__AdjO__2,BT__Rk_AdjO__2,BT__AdjD__2,BT__Rk_AdjD__2,BT__Barthag__2,BT__Rk_Barthag__2,BT__EFG%__2,BT__Rk_EFG%__2,BT__EFGD%__2,BT__Rk_EFGD%__2,BT__TOR__2,BT__Rk_TOR__2,BT__TORD__2,BT__Rk_TORD__2,BT__ORB__2,BT__Rk_ORB__2,BT__DRB__2,BT__Rk_DRB__2,BT__FTR__2,BT__Rk_FTR__2,BT__FTRD__2,BT__Rk_FTRD__2,BT__2P%__2,BT__Rk_2P%__2,BT__2P%D__2,BT__Rk_2P%D__2,BT__3P%__2,BT__Rk_3P%__2,BT__3P%D__2,BT__Rk_3P%D__2,BT__3PR__2,BT__Rk_3PR__2,BT__3PRD__2,BT__Rk_3PRD__2,BT__AdjT__2,BT__Rk_AdjT__2,BT__WAB__2,BT__Rk_WAB__2
Kentucky,6,,TCU,11,,,,25,SEC,19-10,19,10,0.6551724137931034,22.05,120.9,38,98.8,32,67.9,149,-0.004,194,14.72,7,118.4,5,103.7,31,1.94,137,49,B12,19-10,19,10,0.6551724137931034,15.52,113.4,101,97.8,22,67.9,151,-0.002,189,9.68,66,114.4,64,104.7,59,-6.36,330,32,SEC,29,19-10,,19,10,0.6552,,,,120.8,41,100.8,32,0.8891,32,53.7,76,48.3,50,15.3,74,15.7,252,34.8,52,29.3,123,37.5,115,34.8,173,54.5,75,49.2,69,35.0,117,31.2,38,39.5,181,40.6,217,67.9,138,2.8,30,56,B12,29,19-10,,19,10,0.6552,,,,113.4,107,100.4,31,0.8012,56,50.9,195,51.0,153,15.7,108,19.7,29,33.8,72,28.7,94,39.6,68,30.5,69,51.6,190,51.0,144,33.1,230,34.0,179,37.0,231,37.5,117,67.6,163,0.7,45
Kansas,3,,Cal Baptist,14,,,,17,B12,21-8,21,8,0.7241379310344828,26.33,120.1,50,93.7,9,67.2,192,0.049,67,17.4,1,118.1,6,100.7,1,12.0,14,123,WAC,20-8,20,8,0.7142857142857143,4.1,107.1,208,103.0,66,65.3,290,0.092,17,-1.05,189,107.2,266,108.3,139,-2.91,278,13,B12,29,21-8,,21,8,0.7241,,,,120.7,42,94.9,9,0.9407,13,52.7,126,45.0,5,15.4,84,13.8,340,28.2,258,30.5,179,32.5,248,26.6,16,52.4,156,45.4,11,35.5,90,29.7,15,35.6,259,42.7,282,67.1,192,6.0,14,116,WAC,29,21-8,,21,8,0.7241,,,,107.6,208,102.5,48,0.635,116,47.5,327,46.3,15,18.1,267,16.6,181,38.4,8,27.9,64,36.5,148,36.0,207,46.9,329,47.0,29,32.6,246,29.8,16,32.2,328,31.9,9,65.4,282,-2.9,80
UCF,7,,Miami OH,10,,,,47,B12,20-7,20,7,0.7407407407407407,16.61,121.8,30,105.2,100,69.2,85,0.13,6,10.92,44,114.5,62,103.6,23,-2.4,263,87,MAC,29-0,29,0,1.0,9.47,116.3,70,106.8,129,70.2,42,0.101,13,-5.45,286,107.1,268,112.5,320,-9.41,360,47,B12,28,20-8,,20,8,0.7143,,,,122.9,29,106.7,112,0.8351,47,54.6,55,52.5,239,16.1,138,16.0,229,34.9,48,28.5,85,29.8,313,33.6,137,52.9,131,53.9,269,38.5,12,33.6,155,35.0,272,40.0,198,68.9,97,2.6,32,78,MAC,29,29-0,,29,0,1.0,,,,117.2,64,106.9,116,0.7428,78,59.1,6,50.3,116,14.5,38,18.0,101,25.0,339,27.5,52,40.2,59,32.1,105,61.5,3,50.8,137,37.4,28,32.9,111,44.0,88,37.4,114,70.0,44,3.0,26
Florida,2,,Robert Morris,15,,,,4,SEC,22-6,22,6,0.7857142857142857,34.03,124.9,14,90.9,4,70.5,31,-0.058,321,15.51,4,119.1,3,103.6,25,8.32,32,145,Horz,21-10,21,10,0.6774193548387096,1.58,111.2,136,109.6,182,64.7,319,0.042,74,-4.15,258,109.3,159,113.4,349,-1.7,242,4,SEC,29,23-6,,23,6,0.7931,,,,126.4,10,91.9,4,0.9749,4,53.8,73,45.8,12,16.5,160,15.5,260,42.6,2,24.8,7,38.8,89,33.9,145,58.5,18,44.7,6,30.8,326,32.0,63,38.1,210,33.1,17,70.4,32,7.0,6,156,Horz,31,21-10,,21,10,0.6774,,,,111.2,138,110.7,200,0.5132,156,55.0,42,50.6,130,18.2,272,15.9,236,37.5,14,28.5,85,28.1,342,40.7,306,53.4,108,50.6,125,38.2,15,33.7,162,40.7,154,35.9,73,64.6,318,-5.9,125
Arizona,1,,Long Island,16,,,,3,B12,27-2,27,2,0.9310344827586208,37.15,126.6,8,89.5,3,70.2,41,0.008,159,13.67,16,117.0,17,103.3,16,4.4,91,210,NEC,21-10,21,10,0.6774193548387096,-3.61,105.3,246,108.9,164,68.2,135,0.091,18,-8.56,344,104.2,326,112.8,329,2.61,120,3,B12,29,27-2,,27,2,0.931,,,,126.3,11,91.8,3,0.975,3,54.9,48,44.9,3,15.1,66,17.0,161,38.8,4,25.9,19,42.5,30,28.7,41,55.6,52,43.6,2,35.3,101,31.5,48,26.9,363,36.9,97,70.3,34,10.2,3,229,NEC,31,21-10,,21,10,0.6774,,,,104.1,271,109.4,174,0.362,229,53.2,95,50.0,102,19.5,334,19.2,44,34.7,53,33.0,300,33.4,225,34.0,148,52.8,135,51.0,144,36.1,58,32.1,73,29.3,355,33.6,24,68.0,135,-5.8,123
Utah State,8,,Saint Mary's,9,,,,26,MWC,23-5,23,5,0.8214285714285714,22.03,122.9,22,100.9,40,67.9,148,0.033,102,6.87,79,112.8,82,105.9,81,3.03,115,23,WCC,26-4,26,4,0.8666666666666667,22.77,120.2,46,97.5,20,65.5,281,0.022,127,4.26,99,110.9,105,106.7,95,4.24,95,28,MWC,29,24-5,,24,5,0.8276,,,,124.7,19,103.6,67,0.8939,28,57.5,13,49.0,65,15.6,101,20.8,16,34.1,66,32.5,282,37.9,108,39.4,285,59.6,11,48.1,50,36.3,50,33.4,142,40.8,152,41.1,243,67.5,171,3.1,25,22,WCC,31,27-4,,27,4,0.871,,,,120.1,46,98.2,21,0.9095,22,53.0,107,46.3,15,16.4,153,15.4,264,37.6,13,23.7,3,35.9,159,25.8,11,50.1,249,46.4,18,38.8,10,30.7,33,36.0,251,36.7,92,65.2,288,4.2,21
Vanderbilt,5,,Yale,12,,,,14,SEC,22-7,22,7,0.7586206896551724,26.58,125.0,12,98.5,28,69.3,82,-0.0,184,12.96,19,117.5,12,104.5,52,2.46,125,80,Ivy,22-5,22,5,0.8148148148148148,10.35,120.6,42,110.2,197,64.6,324,0.07,38,-0.41,169,108.8,184,109.2,171,2.25,130,17,SEC,29,22-7,,22,7,0.7586,,,,125.5,13,99.3,30,0.9366,17,56.0,27,48.4,52,13.4,11,17.9,105,30.9,170,29.6,142,37.6,113,41.4,316,58.3,20,49.3,72,35.5,90,31.3,42,44.6,71,38.8,153,69.2,81,4.6,20,94,Ivy,27,22-5,,22,5,0.8148,,,,119.3,54,111.0,211,0.695,94,56.4,21,52.1,218,14.3,33,16.4,196,33.0,94,28.9,104,36.2,152,28.1,33,53.9,88,51.8,185,40.5,3,35.0,237,35.9,255,44.6,328,64.7,312,-0.7,58
Gonzaga,4,,Hawaii,13,,,,11,WCC,28-2,28,2,0.9333333333333332,29.09,122.9,23,93.8,10,69.3,83,0.077,30,5.17,92,112.5,84,107.4,111,8.18,36,109,BW,21-7,21,7,0.75,5.55,106.5,220,101.0,41,69.6,65,0.042,75,-2.86,226,107.3,264,110.1,205,-10.82,364,14,WCC,31,28-3,,28,3,0.9032,,,,120.6,43,95.0,10,0.9398,14,56.3,24,46.5,18,13.6,12,20.7,18,35.0,44,25.0,11,31.0,288,31.8,96,58.6,17,46.2,17,34.0,177,31.2,38,30.7,348,43.5,306,69.2,82,6.3,11,112,BW,28,21-7,,21,7,0.75,,,,107.3,217,102.1,45,0.6395,112,52.3,138,46.3,15,19.2,325,17.0,161,31.4,145,25.4,15,42.8,27,36.6,229,54.7,68,47.4,39,32.5,251,29.2,5,40.5,157,32.0,10,69.4,71,-3.3,87
St. John's,6,,Santa Clara,11,,,,21,BE,22-6,22,6,0.7857142857142857,23.61,119.1,54,95.5,15,69.7,59,0.051,62,11.14,38,115.5,38,104.4,47,6.84,47,37,WCC,23-7,23,7,0.7666666666666667,19.3,122.2,26,102.9,65,70.0,47,0.009,157,5.85,85,111.8,92,105.9,83,4.89,82,20,BE,29,23-6,,23,6,0.7931,,,,119.4,53,95.5,13,0.9286,20,51.1,187,47.7,33,14.7,46,19.5,34,36.1,28,30.0,159,43.0,23,31.7,94,50.8,223,47.3,36,34.3,160,32.3,80,33.4,309,34.7,44,69.8,49,4.7,18,31,WCC,31,24-7,,24,7,0.7742,,,,123.9,23,103.3,60,0.8898,31,54.8,51,51.7,200,15.9,125,20.5,20,36.4,20,31.5,221,26.7,353,38.8,279,57.2,34,53.1,239,34.6,147,32.9,111,44.5,76,37.7,122,69.9,47,1.5,38
Michigan State,3,,Austin Peay,14,,,,10,B10,23-5,23,5,0.8214285714285714,29.18,121.2,36,92.0,6,65.8,266,0.018,138,12.88,21,117.6,10,104.8,61,3.69,104,164,ASun,21-8,21,8,0.7241379310344828,0.15,108.3,180,108.1,151,69.6,63,0.043,73,-5.99,294,108.5,203,114.5,361,2.27,127,12,B10,28,23-5,,23,5,0.8214,,,,120.9,39,94.7,8,0.9428,12,53.3,88,47.4,28,17.3,220,15.1,282,38.6,5,22.4,1,35.7,163,30.4,65,53.7,97,47.3,36,35.0,117,31.6,52,36.8,232,46.2,345,65.6,267,6.7,9,146,ASun,29,21-8,,21,8,0.7241,,,,109.8,164,108.6,159,0.5315,146,53.1,100,52.0,212,15.4,84,18.3,90,29.5,221,29.4,128,37.4,119,34.0,148,52.7,141,53.9,269,35.9,72,32.8,103,38.1,210,40.6,217,69.2,75,-4.6,103
Villanova,7,,Southern Methodist,10,,,,28,BE,22-6,22,6,0.7857142857142857,21.41,121.3,35,99.8,35,64.6,323,0.041,80,9.99,64,114.9,55,104.9,62,2.99,116,40,ACC,19-10,19,10,0.6551724137931034,18.75,124.7,15,106.0,109,68.9,100,-0.017,226,10.66,51,115.1,51,104.4,50,1.79,141,37,BE,29,22-7,,22,7,0.7586,,,,120.2,45,101.2,36,0.8792,37,53.7,76,51.4,178,15.2,70,18.8,65,33.1,91,32.2,266,31.9,262,29.3,49,54.0,85,51.5,171,35.5,90,34.1,182,45.7,50,37.1,106,64.4,325,3.7,22,43,ACC,29,19-10,,19,10,0.6552,,,,125.7,12,106.8,113,0.8677,43,56.4,21,51.0,153,15.6,101,17.1,152,34.9,48,31.8,241,32.8,238,32.3,109,56.1,49,51.8,185,37.9,21,33.4,142,34.7,280,47.0,353,68.8,102,0.7,44
Illinois,2,,Marshall,15,,,,5,B10,22-7,22,7,0.7586206896551724,33.13,132.0,1,98.9,33,65.4,288,-0.044,304,14.46,8,117.3,13,102.9,9,4.38,92,198,SB,19-12,19,12,0.6129032258064516,-2.75,112.8,107,115.5,302,69.3,78,0.049,66,-3.55,246,107.3,263,110.8,231,-0.29,206,6,B10,29,22-7,,22,7,0.7586,,,,133.5,1,99.1,25,0.9686,6,55.4,36,47.7,33,13.6,12,11.7,365,39.3,3,26.9,38,33.4,225,19.7,1,57.6,27,47.1,32,35.5,90,32.4,81,51.2,9,41.0,240,65.4,278,6.2,12,203,SB,31,19-12,,19,12,0.6129,,,,113.6,102,116.7,305,0.4232,203,54.9,48,50.5,125,16.5,160,16.3,202,32.0,127,33.5,310,29.1,326,41.0,309,54.7,68,50.3,116,36.7,39,33.8,170,44.3,81,39.6,187,69.2,77,-7.6,166
