Team__1,Seed__1,Score__1,Team__2,Seed__2,Score__2,Winning_Team,Win__1,KP__Rk_AdjEM__1,KP__Conf__1,KP__W-L__1,KP__Wins__1,KP__Losses__1,KP__WinPct__1,KP__AdjEM__1,KP__AdjO__1,KP__Rk_AdjO__1,KP__AdjD__1,KP__Rk_AdjD__1,KP__AdjT__1,KP__Rk_AdjT__1,KP__Luck__1,KP__Rk_Luck__1,KP__SOS_AdjEM__1,KP__Rk_SOS_AdjEM__1,KP__SOS_AdjO__1,KP__Rk_SOS_AdjO__1,KP__SOS_AdjD__1,KP__Rk_SOS_AdjD__1,KP__NCSOS_AdjEM__1,KP__Rk_NCSOS_AdjEM__1,KP__Rk_AdjEM__2,KP__Conf__2,KP__W-L__2,KP__Wins__2,KP__Losses__2,KP__WinPct__2,KP__AdjEM__2,KP__AdjO__2,KP__Rk_AdjO__2,KP__AdjD__2,KP__Rk_AdjD__2,KP__AdjT__2,KP__Rk_AdjT__2,KP__Luck__2,KP__Rk_Luck__2,KP__SOS_AdjEM__2,KP__Rk_SOS_AdjEM__2,KP__SOS_AdjO__2,KP__Rk_SOS_AdjO__2,KP__SOS_AdjD__2,KP__Rk_SOS_AdjD__2,KP__NCSOS_AdjEM__2,KP__Rk_NCSOS_AdjEM__2,BT__Rk__1,BT__Conf__1,BT__G__1,BT__Rec__1,BT__ConfRec__1,BT__Wins__1,BT__Losses__1,BT__WinPct__1,BT__ConfWins__1,BT__ConfLosses__1,BT__ConfWinPct__1,BT__AdjO__1,BT__Rk_AdjO__1,BT__AdjD__1,BT__Rk_AdjD__1,BT__Barthag__1,BT__Rk_Barthag__1,BT__EFG%__1,BT__Rk_EFG%__1,BT__EFGD%__1,BT__Rk_EFGD%__1,BT__TOR__1,BT__Rk_TOR__1,BT__TORD__1,BT__Rk_TORD__1,BT__ORB__1,BT__Rk_ORB__1,BT__DRB__1,BT__Rk_DRB__1,BT__FTR__1,BT__Rk_FTR__1,BT__FTRD__1,BT__Rk_FTRD__1,BT__2P%__1,BT__Rk_2P%__1,BT__2P%D__1,BT__Rk_2P%D__1,BT__3P%__1,BT__Rk_3P%__1,BT__3P%D__1,BT__Rk_3P%D__1,BT__3PR__1,BT__Rk_3PR__1,BT__3PRD__1,BT__Rk_3PRD__1,BT__AdjT__1,BT__Rk_AdjT__1,BT__WAB__1,BT__Rk_WAB__1,BT__Rk__2,BT__Conf__2,BT__G__2,BT__Rec__2,BT__ConfRec__2,BT__Wins__2,BT__Losses__2,BT__WinPct__2,BT__ConfWins__2,BT__ConfLosses__2,BT__ConfWinPct__2,BT__AdjO__2,BT__Rk_AdjO__2,BT__AdjD__2,BT__Rk_AdjD__2,BT__Barthag__2,BT__Rk_Barthag__2,BT__EFG%__2,BT__Rk_EFG%__2,BT__EFGD%__2,BT__Rk_EFGD%__2,BT__TOR__2,BT__Rk_TOR__2,BT__TORD__2,BT__Rk_TORD__2,BT__ORB__2,BT__Rk_ORB__2,BT__DRB__2,BT__Rk_DRB__2,BT__FTR__2,BT__Rk_FTR__2,BT__FTRD__2,BT__Rk_FTRD__2,BT__2P%__2,BT__Rk_2P%__2,BT__2P%D__2,BT__Rk_2P%D__2,BT__3P%__2,BT__Rk_3P%__2,BT__3P%D__2,BT__Rk_3P%D__2,BT__3PR__2,BT__Rk_3PR__2,BT__3PRD__2,BT__Rk_3PRD__2,BT__AdjT__2,BT__Rk_AdjT__2,BT__WAB__2,BT__Rk_WAB__2
Tennessee,5,,South Florida,12,,,,20,SEC,20-9,20,9,0.6896551724137931,25.94,120.7,40,94.8,14,65.2,299,-0.045,306,14.28,11,118.9,4,104.6,54,0.74,174,54,Amer,20-8,20,8,0.7142857142857143,14.58,117.0,61,102.4,54,71.5,17,-0.031,286,4.35,98,111.7,93,107.4,114,5.52,73,15,SEC,29,20-9,,20,9,0.6897,,,,121.8,36,96.1,16,0.9388,15,52.0,147,47.7,33,17.8,250,16.3,202,45.5,1,27.5,52,39.0,82,35.1,180,52.3,158,49.4,77,34.3,160,30.5,25,32.3,326,44.8,331,65.3,285,3.7,23,54,Amer,28,20-8,,20,8,0.7143,,,,117.7,60,103.8,71,0.8092,54,50.8,205,49.1,70,15.5,93,18.7,71,38.0,10,31.9,248,42.7,28,39.0,282,51.9,173,46.4,18,33.0,234,35.5,265,44.0,88,39.0,164,71.2,21,-1.2,63
Texas Tech,4,,High Point,13,,,,13,B12,22-7,22,7,0.7586206896551724,27.69,126.3,9,98.6,30,66.7,219,0.02,133,15.07,6,118.0,8,103.0,11,8.56,29,91,BSth,27-4,27,4,0.8709677419354839,8.56,118.2,56,109.6,183,69.8,54,0.041,79,-8.49,340,103.7,342,112.2,307,-8.17,352,10,B12,29,22-7,,22,7,0.7586,,,,127.8,6,98.8,23,0.9506,10,56.5,19,49.0,65,15.7,108,14.9,299,34.1,66,29.0,111,28.2,340,32.2,107,54.0,85,50.0,103,39.5,6,31.4,45,47.1,31,35.2,54,66.6,215,5.9,15,92,BSth,31,27-4,,27,4,0.871,,,,117.6,63,109.1,166,0.7035,92,55.0,42,50.9,149,13.0,4,22.4,4,32.5,110,31.7,234,42.9,25,36.1,210,57.6,27,52.2,205,34.4,158,32.8,103,43.1,107,41.3,253,69.7,57,-1.6,68
BYU,6,,Auburn,11,,,,22,B12,20-9,20,9,0.6896551724137931,23.36,125.7,10,102.4,52,70.0,46,-0.025,263,13.72,15,116.1,29,102.4,3,5.35,75,35,SEC,15-13,15,13,0.5357142857142857,19.57,125.6,11,106.0,110,67.2,191,-0.039,296,17.36,2,119.7,1,102.4,4,8.96,25,34,B12,29,20-9,,20,9,0.6897,,,,125.4,16,105.2,91,0.8823,34,55.1,39,50.5,125,15.0,61,16.0,229,33.9,71,28.8,101,35.4,174,28.5,38,56.6,41,50.1,107,35.3,101,34.1,182,40.2,164,38.9,157,69.7,53,3.4,24,45,SEC,29,15-14,,15,14,0.5172,,,,125.5,14,107.2,121,0.8592,45,52.2,142,53.8,288,14.6,44,16.5,185,38.6,5,32.1,257,46.1,4,34.4,159,53.4,108,52.4,213,33.6,201,37.1,340,38.7,197,40.6,217,67.2,183,-0.16,51
Nebraska,3,,Navy,14,,,,12,B10,25-4,25,4,0.8620689655172413,28.33,120.2,48,91.8,5,66.9,213,0.003,174,10.1,63,115.2,48,105.1,66,-5.69,321,134,PL,25-6,25,6,0.8064516129032258,2.98,107.1,207,104.1,80,65.2,298,0.066,42,-11.38,362,103.5,347,114.9,363,-9.01,359,11,B10,29,25-4,,25,4,0.8621,,,,119.7,50,93.7,6,0.9435,11,55.9,29,47.0,23,14.0,24,19.3,42,26.3,317,27.3,50,26.6,354,25.1,6,58.3,20,49.8,93,35.7,82,29.4,7,50.7,13,49.0,360,66.7,210,7.0,5,136,Pat,31,25-6,,25,6,0.8065,,,,106.9,229,104.5,81,0.5647,136,53.3,88,47.4,28,17.0,199,18.1,98,31.4,145,26.6,31,39.6,68,26.2,13,53.0,128,50.2,109,36.0,63,29.3,6,33.1,315,45.6,341,65.1,295,-3.2,86
Wisconsin,7,,Missouri,10,,,,30,B10,20-9,20,9,0.6896551724137931,21.09,123.5,19,102.4,53,69.4,76,0.035,96,12.44,28,116.1,28,103.7,29,-0.73,217,48,SEC,20-9,20,9,0.6896551724137931,16.32,120.3,45,104.0,76,66.4,234,0.08,27,10.62,52,116.0,30,105.3,71,-7.05,339,24,B10,29,20-9,,20,9,0.6897,,,,125.5,15,103.3,57,0.9037,24,54.0,68,51.4,178,13.2,7,14.6,318,29.9,208,26.5,27,32.9,236,32.0,102,54.8,66,52.2,205,35.5,90,33.4,142,51.3,8,39.8,193,69.2,79,2.9,28,44,SEC,29,20-9,,20,9,0.6897,,,,121.4,37,103.5,65,0.8623,44,55.6,33,50.6,130,17.6,240,16.5,185,35.9,29,31.5,221,43.0,23,34.7,170,57.2,34,48.0,46,35.2,107,35.9,293,36.3,242,43.9,313,66.3,230,2.2,34
Iowa State,2,,East Tennessee State,15,,,,8,B12,24-5,24,5,0.8275862068965517,30.17,123.6,18,93.4,8,66.7,221,0.007,162,10.67,50,114.5,63,103.8,35,-3.3,285,139,SC,21-10,21,10,0.6774193548387096,2.07,110.4,150,108.3,155,66.2,249,-0.044,305,-7.44,324,106.8,279,114.3,359,-3.71,290,9,B12,29,24-5,,24,5,0.8276,,,,124.4,21,95.4,11,0.9548,9,57.2,16,49.6,88,15.2,70,22.0,7,35.6,33,28.4,78,35.5,168,26.9,19,56.4,44,50.2,109,39.0,8,32.5,88,38.2,205,43.0,289,67.0,193,5.9,16,163,SC,31,21-10,,21,10,0.6774,,,,109.3,168,109.3,170,0.5018,163,55.1,39,50.7,136,15.1,66,18.5,82,28.7,243,27.0,41,34.7,195,36.4,221,56.7,39,51.9,192,34.9,125,32.9,111,37.5,225,47.5,355,66.0,251,-6.7,144
Michigan,1,,Merrimack,16,,,,2,B10,27-2,27,2,0.9310344827586208,39.57,128.2,5,88.6,2,71.5,15,0.027,116,15.16,5,117.9,9,102.7,6,13.17,10,174,MAAC,20-10,20,10,0.6666666666666666,-0.89,107.5,199,108.4,157,63.3,348,0.117,9,-5.02,281,105.5,300,110.5,225,3.68,105,1,B10,29,27-2,,27,2,0.931,,,,129.4,4,91.7,2,0.9814,1,58.7,7,44.0,2,16.6,167,16.3,202,36.3,23,28.2,69,38.3,98,26.4,14,62.2,2,43.8,3,36.0,63,29.6,13,42.6,125,42.2,270,71.6,15,11.0,1,158,MAAC,30,20-10,,20,10,0.6667,,,,108.2,188,107.8,138,0.5113,158,49.4,273,46.7,19,14.9,56,19.6,31,24.4,345,40.3,365,40.5,51,38.1,265,50.1,249,47.4,39,32.3,261,30.2,19,46.1,44,32.3,15,63.3,349,-5.6,116
Saint Louis,8,,Clemson,9,,,,27,A10,25-3,25,3,0.8928571428571429,21.62,119.8,52,98.2,25,71.8,14,0.014,148,0.98,141,108.6,194,107.6,118,-5.1,311,36,ACC,21-8,21,8,0.7241379310344828,19.54,116.2,75,96.6,18,64.2,335,0.003,173,9.59,68,114.7,57,105.1,64,1.19,161,26,A10,29,26-3,,26,3,0.8966,,,,121.9,35,101.0,34,0.8973,26,60.4,2,43.6,1,17.3,220,16.3,202,32.0,127,26.3,23,34.8,192,38.2,270,59.0,15,43.8,3,41.4,1,28.9,4,45.1,61,41.1,243,71.3,19,2.7,31,27,ACC,29,21-8,,21,8,0.7241,,,,116.4,70,96.7,18,0.8942,27,53.2,95,48.1,46,14.7,46,17.5,129,28.7,243,25.2,13,38.1,104,33.2,128,55.0,58,48.9,60,34.0,177,31.3,42,43.1,107,42.7,282,64.2,329,2.2,33
Arkansas,5,,Belmont,12,,,,16,SEC,21-7,21,7,0.75,26.52,128.2,4,101.7,45,70.6,26,0.001,182,13.82,12,118.1,7,104.3,43,5.29,78,55,MVC,26-4,26,4,0.8666666666666667,14.41,121.0,37,106.5,120,69.0,98,0.024,121,-0.21,163,107.9,242,108.1,132,-4.42,301,21,SEC,29,21-8,,21,8,0.7241,,,,128.4,5,103.3,61,0.9238,21,56.4,21,51.4,178,12.2,1,16.2,215,32.4,114,32.1,257,36.2,152,31.5,89,56.5,43,54.2,280,37.4,28,31.5,48,33.7,301,39.5,182,70.8,24,4.6,19,65,MVC,30,26-4,,26,4,0.8667,,,,120.9,40,108.2,149,0.782,65,61.4,1,49.1,70,18.3,278,17.7,117,28.8,239,29.2,121,32.9,236,29.5,52,61.2,4,47.7,42,41.1,2,33.7,162,45.2,58,49.0,360,68.9,98,0.8,42
Virginia,4,,Liberty,13,,,,18,ACC,25-4,25,4,0.8620689655172413,26.3,122.1,27,95.8,16,65.7,267,0.058,53,8.79,72,114.6,61,105.8,76,-2.82,276,111,CUSA,24-5,24,5,0.8275862068965517,5.32,117.4,59,112.1,237,64.2,336,0.175,1,-1.04,188,108.0,237,109.1,169,1.22,158,18,ACC,29,25-4,,25,4,0.8621,,,,121.9,34,96.6,17,0.9355,18,54.5,57,45.3,6,15.9,125,16.0,229,38.5,7,28.7,94,33.8,220,33.6,137,55.5,53,44.8,7,35.6,87,30.7,33,46.7,37,36.9,97,65.5,271,6.0,13,110,CUSA,29,24-5,,24,5,0.8276,,,,118.2,58,111.8,222,0.6556,110,60.2,3,52.6,243,13.9,20,17.6,124,18.2,365,32.3,274,32.8,238,26.4,14,61.0,6,49.9,98,39.6,5,38.0,351,47.0,32,37.7,122,63.9,335,-0.5,56
