Team__1,Seed__1,Score__1,Team__2,Seed__2,Score__2,Winning_Team,Win__1
Wisconsin,1,79,North Carolina,4,72,Wisconsin,True
Xavier,6,60,Arizona,2,68,Arizona,False
NC State,8,65,Louisville,4,75,Louisville,False
Oklahoma,3,58,Michigan State,7,62,Michigan State,False
Duke,1,63,Utah,5,57,Duke,True
UCLA,11,62,Gonzaga,2,74,Gonzaga,False
Kentucky,1,78,West Virginia,5,39,Kentucky,True
Notre Dame,3,81,Wichita State,7,70,Notre Dame,True
