Team__1,Seed__1,Score__1,Team__2,Seed__2,Score__2,Winning_Team,Win__1,Year,Round,KP__Rk_AdjEM__1,KP__Conf__1,KP__W-L__1,KP__Wins__1,KP__Losses__1,KP__WinPct__1,KP__AdjEM__1,KP__AdjO__1,KP__Rk_AdjO__1,KP__AdjD__1,KP__Rk_AdjD__1,KP__AdjT__1,KP__Rk_AdjT__1,KP__Luck__1,KP__Rk_Luck__1,KP__SOS_AdjEM__1,KP__Rk_SOS_AdjEM__1,KP__SOS_AdjO__1,KP__Rk_SOS_AdjO__1,KP__SOS_AdjD__1,KP__Rk_SOS_AdjD__1,KP__NCSOS_AdjEM__1,KP__Rk_NCSOS_AdjEM__1,KP__Rk_AdjEM__2,KP__Conf__2,KP__W-L__2,KP__Wins__2,KP__Losses__2,KP__WinPct__2,KP__AdjEM__2,KP__AdjO__2,KP__Rk_AdjO__2,KP__AdjD__2,KP__Rk_AdjD__2,KP__AdjT__2,KP__Rk_AdjT__2,KP__Luck__2,KP__Rk_Luck__2,KP__SOS_AdjEM__2,KP__Rk_SOS_AdjEM__2,KP__SOS_AdjO__2,KP__Rk_SOS_AdjO__2,KP__SOS_AdjD__2,KP__Rk_SOS_AdjD__2,KP__NCSOS_AdjEM__2,KP__Rk_NCSOS_AdjEM__2,BT__Rk__1,BT__Conf__1,BT__G__1,BT__Rec__1,BT__ConfRec__1,BT__Wins__1,BT__Losses__1,BT__WinPct__1,BT__ConfWins__1,BT__ConfLosses__1,BT__ConfWinPct__1,BT__AdjOE__1,BT__Rk_AdjOE__1,BT__AdjDE__1,BT__Rk_AdjDE__1,BT__Barthag__1,BT__Rk_Barthag__1,BT__EFG%__1,BT__Rk_EFG%__1,BT__EFGD%__1,BT__Rk_EFGD%__1,BT__TOR__1,BT__Rk_TOR__1,BT__TORD__1,BT__Rk_TORD__1,BT__ORB__1,BT__Rk_ORB__1,BT__DRB__1,BT__Rk_DRB__1,BT__FTR__1,BT__Rk_FTR__1,BT__FTRD__1,BT__Rk_FTRD__1,BT__2P%__1,BT__Rk_2P%__1,BT__2P%D__1,BT__Rk_2P%D__1,BT__3P%__1,BT__Rk_3P%__1,BT__3P%D__1,BT__Rk_3P%D__1,BT__3PR__1,BT__Rk_3PR__1,BT__3PRD__1,BT__Rk_3PRD__1,BT__AdjT__1,BT__Rk_AdjT__1,BT__WAB__1,BT__Rk_WAB__1,BT__Rk__2,BT__Conf__2,BT__G__2,BT__Rec__2,BT__ConfRec__2,BT__Wins__2,BT__Losses__2,BT__WinPct__2,BT__ConfWins__2,BT__ConfLosses__2,BT__ConfWinPct__2,BT__AdjOE__2,BT__Rk_AdjOE__2,BT__AdjDE__2,BT__Rk_AdjDE__2,BT__Barthag__2,BT__Rk_Barthag__2,BT__EFG%__2,BT__Rk_EFG%__2,BT__EFGD%__2,BT__Rk_EFGD%__2,BT__TOR__2,BT__Rk_TOR__2,BT__TORD__2,BT__Rk_TORD__2,BT__ORB__2,BT__Rk_ORB__2,BT__DRB__2,BT__Rk_DRB__2,BT__FTR__2,BT__Rk_FTR__2,BT__FTRD__2,BT__Rk_FTRD__2,BT__2P%__2,BT__Rk_2P%__2,BT__2P%D__2,BT__Rk_2P%D__2,BT__3P%__2,BT__Rk_3P%__2,BT__3P%D__2,BT__Rk_3P%D__2,BT__3PR__2,BT__Rk_3PR__2,BT__3PRD__2,BT__Rk_3PRD__2,BT__AdjT__2,BT__Rk_AdjT__2,BT__WAB__2,BT__Rk_WAB__2
Gonzaga,1,98.0,Norfolk State,16,55.0,Gonzaga,True,2021,1,1,WCC,26-0,26,0,1.0,36.62,126.1,1,89.5,9,74.7,4,0.018,135,7.88,96,105.9,98,98.0,97,6.14,106,200,MEAC,17-7,17,7,0.7083333333333334,-3.7,99.5,226,103.2,198,67.7,215,0.048,77,-7.98,329,97.3,322,105.3,311,-0.64,224,1,WCC,26,26-0,15-0,26,0,1.0,15,0,1.0,125.3,1,89.6,9,0.9793,1,61.0,1,47.5,56,16.1,35,20.3,86,30.4,93,23.4,23,36.7,51,25.9,44,64.0,1,46.8,68,36.5,57,32.5,101,32.3,289,34.5,85,75.4,3,8.5,2,209,MEAC,22,15-7,8-4,15,7,0.6818,8,4,0.6667,98.4,227,102.7,200,0.3773,209,49.3,202,46.6,33,17.7,106,20.7,71,28.5,152,29.1,219,37.6,36,41.2,327,45.5,309,46.9,72,37.4,28,30.8,36,35.7,221,45.9,339,68.8,196,-5.0,153
Oklahoma,8,72.0,Missouri,9,68.0,Oklahoma,True,2021,1,39,B12,15-10,15,10,0.6,16.69,111.5,36,94.8,53,67.7,222,-0.038,260,12.57,49,108.3,56,95.7,38,0.69,203,51,SEC,16-9,16,9,0.64,15.24,110.4,53,95.2,58,68.7,158,0.088,25,15.24,17,109.9,27,94.7,20,9.91,59,39,B12,25,15-10,9-8,15,10,0.6,9,8,0.5294,111.1,37,94.7,54,0.8626,39,50.8,126,48.9,120,15.8,26,18.7,167,27.3,185,27.5,157,29.1,236,22.8,12,50.8,121,46.3,51,33.8,160,35.4,255,39.0,135,38.1,204,68.5,208,0.28,49,37,SEC,25,16-9,8-8,16,9,0.64,8,8,0.5,110.7,38,94.3,48,0.8635,37,50.9,123,48.5,100,18.9,169,18.4,193,28.6,147,29.2,223,37.5,38,36.4,284,52.6,68,48.3,116,32.0,253,32.7,113,37.5,171,33.0,41,69.5,155,2.1,29
Creighton,5,63.0,UC Santa Barbara,12,62.0,Creighton,True,2021,1,20,BE,20-8,20,8,0.7142857142857143,21.27,114.9,14,93.7,40,69.0,143,0.001,170,12.56,50,107.9,66,95.3,30,-1.34,233,69,BW,22-4,22,4,0.8461538461538461,12.23,109.3,66,97.1,80,66.1,295,0.054,61,-0.47,185,101.5,215,102.0,173,2.54,171,21,BE,28,20-8,14-6,20,8,0.7143,14,6,0.7,114.2,16,94.1,44,0.9033,21,55.7,14,46.9,42,15.8,26,17.8,237,24.8,250,28.2,184,26.9,288,25.7,41,56.3,12,46.1,45,36.7,48,32.1,82,44.3,34,39.0,234,70.0,135,3.2,19,67,BW,24,20-4,15-3,20,4,0.8333,15,3,0.8333,108.1,64,96.2,75,0.7921,67,53.0,56,47.7,64,16.5,53,20.8,65,28.2,159,24.5,46,35.5,72,28.0,86,53.4,47,46.6,60,34.8,116,33.4,144,33.8,261,30.9,15,66.6,292,0.12,52
Virginia,4,58.0,Ohio,13,62.0,Ohio,False,2021,1,10,ACC,18-6,18,6,0.75,22.97,115.9,12,92.9,30,60.1,357,0.046,82,12.41,52,109.9,28,97.5,82,0.19,210,79,MAC,16-7,16,7,0.6956521739130435,10.77,112.9,29,102.1,176,69.3,130,0.027,114,3.95,135,105.3,111,101.3,151,1.46,193,18,ACC,24,18-6,13-4,18,6,0.75,13,4,0.7647,114.9,14,93.9,41,0.9104,18,56.1,11,47.9,70,15.4,13,15.2,332,23.1,298,22.6,15,22.0,342,24.6,26,55.3,19,46.1,45,38.1,16,34.0,179,42.3,53,37.2,167,60.9,347,3.5,18,78,MAC,22,15-7,9-5,15,7,0.6818,9,5,0.6429,111.8,29,101.0,167,0.7637,78,55.8,13,51.1,215,17.0,75,20.0,98,28.7,144,27.4,152,29.6,226,30.2,145,56.4,11,51.6,248,36.6,50,33.7,161,38.7,151,40.0,264,70.3,119,-2.0,80
USC,6,72.0,Drake,11,56.0,USC,True,2021,1,14,P12,22-7,22,7,0.7586206896551724,22.36,113.0,28,90.6,20,67.3,236,-0.006,193,11.34,63,108.3,57,97.0,68,5.11,128,53,MVC,26-4,26,4,0.8666666666666667,14.55,112.8,30,98.3,99,66.6,270,0.105,16,2.66,152,103.3,162,100.7,138,-9.22,311,8,P12,29,22-7,15-5,22,7,0.7586,15,5,0.75,113.3,21,90.2,12,0.9319,8,52.1,80,45.4,11,18.1,124,17.4,263,35.7,10,27.3,147,37.5,38,24.8,30,52.1,79,42.2,2,34.8,116,34.2,194,31.2,307,35.3,105,68.1,225,5.5,7,69,MVC,28,24-4,15-3,24,4,0.8571,15,3,0.8333,111.3,35,99.5,131,0.7832,69,54.2,35,48.0,76,15.4,13,18.6,176,31.6,63,25.1,67,25.0,321,30.1,141,53.9,37,49.4,153,36.6,50,30.3,24,31.5,301,35.7,117,67.4,259,1.8,35
Kansas,3,93.0,Eastern Washington,14,84.0,Kansas,True,2021,1,22,B12,20-8,20,8,0.7142857142857143,21.08,109.7,60,88.6,6,68.2,186,0.042,86,14.83,22,110.2,23,95.3,31,10.24,56,109,BSky,16-7,16,7,0.6956521739130435,6.69,107.7,86,101.0,148,72.3,28,-0.081,323,-3.11,234,100.7,237,103.8,245,17.9,12,25,B12,27,19-8,12-6,19,8,0.7037,12,6,0.6667,108.7,59,90.2,11,0.8948,25,49.7,185,47.0,43,17.7,106,20.0,98,31.2,72,26.9,136,30.5,196,26.5,53,49.3,187,45.9,40,33.7,171,32.5,101,36.0,215,37.5,179,69.2,173,4.3,13,94,BSky,22,15-7,12-3,15,7,0.6818,12,3,0.8,107.9,66,99.7,135,0.7148,94,54.1,37,47.5,56,16.5,53,16.5,301,23.9,277,25.6,81,30.4,200,27.7,76,54.2,31,47.6,96,35.9,71,31.6,59,39.6,113,35.4,108,73.1,30,-3.1,110
Oregon,7,,VCU,10,,Oregon,True,2021,1,36,P12,20-6,20,6,0.7692307692307693,17.81,114.6,15,96.8,75,67.2,242,0.048,74,10.26,75,107.9,68,97.6,86,2.82,162,45,A10,19-7,19,7,0.7307692307692307,15.76,105.5,118,89.7,11,69.8,110,0.035,99,8.9,87,106.6,88,97.7,89,5.51,119,30,P12,26,20-6,14-4,20,6,0.7692,14,4,0.7778,114.1,17,96.1,73,0.8779,30,54.4,30,50.1,174,16.8,63,20.3,86,28.3,155,27.2,143,26.8,295,27.1,60,52.9,57,49.9,173,37.9,19,33.6,153,38.0,162,39.2,241,68.1,225,4.8,11,43,A10,26,19-7,10-4,19,7,0.7308,10,4,0.7143,104.2,123,89.6,8,0.8505,43,50.9,123,45.8,22,20.7,263,23.6,9,28.5,152,31.4,288,34.0,107,35.4,268,51.7,92,45.9,40,32.9,210,30.5,27,34.9,238,35.1,100,70.9,96,1.0,42
Iowa,2,86.0,Grand Canyon,15,74.0,Iowa,True,2021,1,6,B10,21-8,21,8,0.7241379310344828,28.82,123.5,2,94.7,50,70.0,100,-0.028,240,16.9,14,110.4,20,93.5,6,-5.33,285,108,WAC,17-6,17,6,0.7391304347826086,7.03,103.7,141,96.7,74,65.4,314,-0.061,299,-3.9,255,100.4,244,104.3,270,0.85,199,6,B10,29,21-8,14-6,21,8,0.7241,14,6,0.7,123.7,2,96.5,77,0.9459,6,54.6,28,48.3,90,13.3,1,16.3,308,30.7,85,28.6,202,32.0,161,22.6,10,52.4,71,45.8,35,38.6,13,34.8,227,39.8,105,39.6,254,70.9,96,5.5,8,91,WAC,20,14-6,9-3,14,6,0.7,9,3,0.75,103.6,131,95.5,63,0.7176,91,52.8,60,44.7,6,20.4,249,16.5,301,33.0,35,22.8,17,34.5,90,29.4,123,55.4,16,44.8,15,32.2,244,29.7,15,36.2,208,39.3,244,66.2,304,-2.9,100
Michigan,1,82.0,Texas Southern,16,66.0,Michigan,True,2021,1,2,B10,20-4,20,4,0.8333333333333334,30.65,119.4,6,88.8,7,66.8,260,0.026,116,16.79,15,111.4,12,94.6,19,2.72,165,220,SWAC,17-8,17,8,0.68,-5.14,99.3,230,104.4,220,71.7,47,0.06,52,-9.6,340,94.3,341,103.9,252,13.51,30,4,B10,24,20-4,14-3,20,4,0.8333,14,3,0.8235,117.7,8,90.8,15,0.9516,4,54.9,23,44.9,7,16.3,42,15.1,335,29.4,118,24.8,56,28.9,241,24.5,25,53.3,49,42.3,3,38.7,12,33.5,148,33.9,257,32.7,37,67.8,241,7.1,3,213,SWAC,24,16-8,10-3,16,8,0.6667,10,3,0.7692,97.9,234,103.0,205,0.3588,213,48.2,253,46.4,29,21.1,283,19.2,142,32.6,40,26.1,101,38.7,25,33.8,230,50.4,137,45.2,25,28.2,341,32.2,86,27.7,336,38.2,210,72.2,53,-4.4,141
LSU,8,76.0,St. Bonaventure,9,61.0,LSU,True,2021,1,29,SEC,18-9,18,9,0.6666666666666666,19.67,119.9,5,100.2,126,70.7,78,0.002,166,13.65,37,107.9,64,94.3,12,0.67,204,25,A10,16-4,16,4,0.8,20.66,111.3,39,90.6,18,65.1,319,0.014,142,8.2,90,105.9,97,97.7,90,2.72,164,29,SEC,27,18-9,11-6,18,9,0.6667,11,6,0.6471,118.9,6,99.8,139,0.8823,29,52.8,60,48.5,100,16.1,35,18.4,193,31.5,65,32.8,325,33.9,113,29.1,114,53.0,52,51.3,239,35.0,108,30.0,20,37.1,181,44.3,330,71.4,80,2.2,28,28,A10,20,16-4,11-4,16,4,0.8,11,4,0.7333,110.1,43,91.9,23,0.8895,28,50.5,140,45.5,14,16.9,71,19.5,129,33.6,31,28.4,192,27.8,269,28.3,96,49.3,187,45.1,23,35.4,91,30.6,30,31.9,295,43.2,321,65.5,322,1.9,32
