Team__1,Seed__1,Score__1,Team__2,Seed__2,Score__2,Winning_Team,Win__1,Year,Round,KP__Rk_AdjEM__1,KP__Conf__1,KP__W-L__1,KP__Wins__1,KP__Losses__1,KP__WinPct__1,KP__AdjEM__1,KP__AdjO__1,KP__Rk_AdjO__1,KP__AdjD__1,KP__Rk_AdjD__1,KP__AdjT__1,KP__Rk_AdjT__1,KP__Luck__1,KP__Rk_Luck__1,KP__SOS_AdjEM__1,KP__Rk_SOS_AdjEM__1,KP__SOS_AdjO__1,KP__Rk_SOS_AdjO__1,KP__SOS_AdjD__1,KP__Rk_SOS_AdjD__1,KP__NCSOS_AdjEM__1,KP__Rk_NCSOS_AdjEM__1,KP__Rk_AdjEM__2,KP__Conf__2,KP__W-L__2,KP__Wins__2,KP__Losses__2,KP__WinPct__2,KP__AdjEM__2,KP__AdjO__2,KP__Rk_AdjO__2,KP__AdjD__2,KP__Rk_AdjD__2,KP__AdjT__2,KP__Rk_AdjT__2,KP__Luck__2,KP__Rk_Luck__2,KP__SOS_AdjEM__2,KP__Rk_SOS_AdjEM__2,KP__SOS_AdjO__2,KP__Rk_SOS_AdjO__2,KP__SOS_AdjD__2,KP__Rk_SOS_AdjD__2,KP__NCSOS_AdjEM__2,KP__Rk_NCSOS_AdjEM__2,BT__Rk__1,BT__Conf__1,BT__G__1,BT__Rec__1,BT__ConfRec__1,BT__Wins__1,BT__Losses__1,BT__WinPct__1,BT__ConfWins__1,BT__ConfLosses__1,BT__ConfWinPct__1,BT__AdjO__1,BT__Rk_AdjO__1,BT__AdjD__1,BT__Rk_AdjD__1,BT__Barthag__1,BT__Rk_Barthag__1,BT__EFG%__1,BT__Rk_EFG%__1,BT__EFGD%__1,BT__Rk_EFGD%__1,BT__TOR__1,BT__Rk_TOR__1,BT__TORD__1,BT__Rk_TORD__1,BT__ORB__1,BT__Rk_ORB__1,BT__DRB__1,BT__Rk_DRB__1,BT__FTR__1,BT__Rk_FTR__1,BT__FTRD__1,BT__Rk_FTRD__1,BT__2P%__1,BT__Rk_2P%__1,BT__2P%D__1,BT__Rk_2P%D__1,BT__3P%__1,BT__Rk_3P%__1,BT__3P%D__1,BT__Rk_3P%D__1,BT__3PR__1,BT__Rk_3PR__1,BT__3PRD__1,BT__Rk_3PRD__1,BT__AdjT__1,BT__Rk_AdjT__1,BT__WAB__1,BT__Rk_WAB__1,BT__Rk__2,BT__Conf__2,BT__G__2,BT__Rec__2,BT__ConfRec__2,BT__Wins__2,BT__Losses__2,BT__WinPct__2,BT__ConfWins__2,BT__ConfLosses__2,BT__ConfWinPct__2,BT__AdjO__2,BT__Rk_AdjO__2,BT__AdjD__2,BT__Rk_AdjD__2,BT__Barthag__2,BT__Rk_Barthag__2,BT__EFG%__2,BT__Rk_EFG%__2,BT__EFGD%__2,BT__Rk_EFGD%__2,BT__TOR__2,BT__Rk_TOR__2,BT__TORD__2,BT__Rk_TORD__2,BT__ORB__2,BT__Rk_ORB__2,BT__DRB__2,BT__Rk_DRB__2,BT__FTR__2,BT__Rk_FTR__2,BT__FTRD__2,BT__Rk_FTRD__2,BT__2P%__2,BT__Rk_2P%__2,BT__2P%D__2,BT__Rk_2P%D__2,BT__3P%__2,BT__Rk_3P%__2,BT__3P%D__2,BT__Rk_3P%D__2,BT__3PR__2,BT__Rk_3PR__2,BT__3PRD__2,BT__Rk_3PRD__2,BT__AdjT__2,BT__Rk_AdjT__2,BT__WAB__2,BT__Rk_WAB__2
Duke,5,74,Oral Roberts,12,51,Duke,True,2023,1,21,ACC,26-8,26,8,0.7647058823529411,18.49,113.2,42,94.8,24,65.3,288,0.059,52,6.78,68,109.8,30,103.0,83,2.07,102,56,Sum,30-4,30,4,0.8823529411764706,13.25,115.3,23,102.0,107,70.5,38,0.103,11,-3.96,260,104.2,210,108.1,302,8.1,13,21,ACC,34,26-8,14-6,26,8,0.7647,14,6,0.7,111.9,37,93.1,23,0.8914,21,51.1,151,46.3,18,18.2,180,16.6,272,36.2,8,25.9,67,30.8,203,24.1,15,51.4,120,46.7,41,33.6,190,30.4,20,35.4,250,35.1,107,65.9,286,4.5,16,78,Sum,30,26-4,18-0,26,4,0.8667,18,0,1.0,111.9,35,101.2,132,0.7612,78,56.1,7,48.5,84,13.2,1,17.6,206,24.5,300,27.4,129,24.6,345,22.0,6,56.6,8,46.6,38,37.0,35,34.2,196,45.8,16,39.9,275,71.2,35,1.6,35
Tennessee,4,58,Louisiana-Lafayette,13,55,Tennessee,True,2023,1,5,SEC,23-10,23,10,0.696969696969697,24.71,112.7,49,88.0,2,65.5,278,-0.071,324,8.77,37,109.5,39,100.7,43,3.16,86,92,SB,26-7,26,7,0.7878787878787878,8.2,112.2,57,104.0,146,68.4,130,0.077,35,-0.27,152,104.2,208,104.5,125,0.26,162,4,SEC,33,23-10,11-7,23,10,0.697,11,7,0.6111,111.1,48,86.2,1,0.9488,4,50.3,195,42.4,2,18.1,166,22.2,21,36.8,5,26.9,106,30.9,200,34.9,267,51.0,142,44.6,10,32.9,226,26.2,1,40.4,96,41.6,313,66.3,271,2.8,25,91,SB,30,23-7,13-5,23,7,0.7667,13,5,0.7222,110.8,51,102.3,152,0.714,91,53.0,54,50.6,179,17.5,121,18.1,170,33.8,27,26.4,80,37.7,36,33.8,244,52.2,83,49.2,139,36.6,46,35.9,281,31.7,315,29.9,10,69.2,121,-0.5,61
Kentucky,6,61,Providence,11,53,Kentucky,True,2023,1,28,SEC,21-11,21,11,0.65625,17.8,117.4,14,99.6,71,66.0,251,-0.014,232,8.65,40,109.4,43,100.7,46,0.8,145,44,BE,21-11,21,11,0.65625,14.73,116.8,16,102.1,108,66.9,195,-0.01,218,6.55,72,108.3,75,101.7,63,-8.98,354,33,SEC,32,21-11,12-6,21,11,0.6562,12,6,0.6667,114.7,19,97.8,75,0.8613,33,51.2,145,48.8,92,17.3,102,16.8,257,38.7,2,25.5,56,32.5,134,29.9,146,50.4,178,48.3,87,35.4,102,33.1,113,30.1,329,35.2,113,66.7,248,1.6,33,49,BE,32,21-11,13-7,21,11,0.6562,13,7,0.65,114.9,18,100.4,108,0.8263,49,51.5,123,50.0,146,16.9,81,16.9,246,35.2,15,26.7,95,36.8,48,25.5,32,50.9,150,49.6,156,35.1,111,33.9,166,31.6,317,33.9,67,67.7,187,1.3,37
Kansas State,3,77,Montana State,14,65,Kansas State,True,2023,1,24,B12,23-9,23,9,0.71875,18.31,112.5,52,94.2,19,70.2,40,0.036,90,10.4,15,109.3,44,98.9,7,-2.59,252,110,BSky,25-9,25,9,0.7352941176470589,5.75,105.4,170,99.6,73,66.5,221,0.082,31,-1.09,176,106.3,118,107.4,266,4.47,55,24,B12,32,23-9,11-7,23,9,0.7188,11,7,0.6111,110.3,58,93.1,21,0.8759,24,51.5,123,47.5,46,20.0,298,20.7,53,31.1,94,29.2,219,37.0,44,36.7,297,51.8,99,48.8,106,34.0,175,30.1,16,36.3,216,36.8,163,70.7,41,4.2,17,96,BSky,32,23-9,15-3,23,9,0.7188,15,3,0.8333,104.1,159,97.0,58,0.6933,96,50.9,162,49.4,116,17.6,134,20.1,72,25.7,265,25.5,56,44.4,5,35.5,282,52.4,76,48.0,77,32.0,287,34.8,232,33.3,294,34.2,77,67.1,221,-2.7,88
Michigan State,7,72,USC,10,62,Michigan State,True,2023,1,32,B10,19-12,19,12,0.6129032258064516,16.71,113.4,41,96.7,40,64.9,304,0.015,147,12.27,7,112.3,2,100.0,23,5.71,37,36,P12,22-10,22,10,0.6875,15.63,113.1,43,97.5,48,68.1,140,0.018,140,7.84,52,107.4,99,99.5,15,1.63,121,29,B10,31,19-12,11-8,19,12,0.6129,11,8,0.5789,111.6,40,95.0,39,0.8641,29,51.6,118,48.1,73,16.4,60,14.7,345,27.4,216,25.2,45,25.8,336,28.6,108,47.7,280,48.6,100,39.5,3,31.5,47,33.1,296,38.3,218,65.6,302,2.4,26,45,P12,32,22-10,14-6,22,10,0.6875,14,6,0.7,110.8,52,96.4,53,0.8321,45,51.3,136,45.2,10,18.1,166,18.1,170,29.0,162,33.0,339,33.8,98,29.8,143,51.1,136,42.4,2,34.5,150,33.4,135,33.0,299,37.4,185,68.9,133,2.1,31
Marquette,2,78,Vermont,15,61,Marquette,True,2023,1,12,BE,28-6,28,6,0.8235294117647058,21.83,119.3,8,97.5,47,68.4,135,0.014,150,8.67,39,109.5,35,100.9,51,-1.14,196,113,AE,23-10,23,10,0.696969696969697,5.42,109.8,99,104.4,153,64.6,314,0.051,66,-3.68,251,103.4,256,107.0,252,5.86,33,11,BE,34,28-6,17-3,28,6,0.8235,17,3,0.85,119.0,4,96.0,47,0.9216,11,56.0,8,51.1,206,15.2,23,22.8,17,26.5,241,32.1,320,27.1,316,29.0,119,58.8,3,50.0,168,34.8,135,35.2,254,41.9,65,37.5,190,69.3,116,7.8,6,103,AE,32,22-10,14-2,22,10,0.6875,14,2,0.875,107.9,95,101.2,133,0.6771,103,54.9,20,50.7,184,14.2,9,16.8,257,19.3,358,22.5,6,28.4,275,26.9,59,55.5,17,50.0,168,36.2,64,34.6,222,43.3,46,36.1,142,65.4,308,-3.8,109
Houston,1,63,Northern Kentucky,16,52,Houston,True,2023,1,1,Amer,31-3,31,3,0.9117647058823528,28.82,118.4,11,89.6,4,63.3,343,0.025,122,4.21,92,107.3,101,103.1,86,0.63,152,161,Horz,22-12,22,12,0.6470588235294118,0.52,103.3,217,102.8,121,62.0,358,0.053,62,-3.89,258,104.4,199,108.3,311,4.21,60,1,Amer,34,31-3,17-1,31,3,0.9118,17,1,0.9444,117.1,12,88.0,3,0.9638,1,52.7,63,42.5,3,15.3,25,22.0,22,37.1,4,27.4,129,28.5,273,35.8,286,53.2,61,43.1,4,34.5,150,27.8,2,37.8,164,43.7,340,64.0,343,8.0,5,173,Horz,32,20-12,14-6,20,12,0.625,14,6,0.7,101.1,225,101.1,130,0.4993,173,49.8,215,51.3,220,17.5,121,23.2,14,31.3,90,32.8,333,27.4,307,30.8,170,47.7,280,48.9,114,35.2,107,36.7,320,40.7,87,38.9,237,62.6,359,-6.7,150
Iowa,8,75,Auburn,9,83,Auburn,False,2023,1,37,B10,19-13,19,13,0.59375,15.6,120.5,3,104.9,167,69.5,66,-0.042,281,9.61,27,108.9,55,99.3,13,-2.09,234,29,SEC,20-12,20,12,0.625,17.45,112.7,48,95.2,29,67.6,165,-0.029,257,9.73,24,109.5,40,99.7,17,3.89,69,37,B10,32,19-13,11-9,19,13,0.5938,11,9,0.55,118.9,5,102.7,163,0.8435,37,51.9,99,53.3,307,14.1,8,18.5,142,32.2,63,27.6,140,32.6,132,23.4,12,52.1,88,52.6,293,34.3,164,36.6,317,37.4,184,32.2,34,70.4,55,0.35,50,23,SEC,32,20-12,10-8,20,12,0.625,10,8,0.5556,110.9,50,93.2,24,0.8813,23,49.6,221,45.6,12,18.1,166,19.3,101,33.3,38,32.0,318,35.5,63,39.1,330,51.0,142,46.9,47,31.4,312,28.8,5,35.4,250,34.2,77,68.4,157,1.1,42
Miami (FL),5,63,Drake,12,56,Miami (FL),True,2023,1,40,ACC,25-7,25,7,0.78125,14.91,118.2,12,103.3,132,68.9,105,0.017,141,4.75,85,108.0,86,103.2,91,-2.77,258,66,MVC,27-7,27,7,0.7941176470588235,12.51,109.8,98,97.3,44,66.4,222,0.026,117,-1.65,194,104.0,225,105.7,180,-1.72,222,40,ACC,32,25-7,15-5,25,7,0.7812,15,5,0.75,117.3,11,101.4,137,0.8423,40,55.0,18,51.3,220,16.4,60,18.1,170,32.0,71,29.0,209,30.0,221,24.1,15,54.9,20,51.8,256,36.8,39,33.6,144,34.6,269,37.7,196,69.5,99,3.7,20,67,MVC,33,26-7,15-5,26,7,0.7879,15,5,0.75,107.9,96,96.1,49,0.7913,67,53.1,50,47.3,40,15.5,29,17.7,194,24.3,309,22.4,3,28.8,267,26.7,53,51.9,94,47.5,62,36.7,43,31.2,36,36.3,216,38.4,221,67.1,221,-0.7,63
Indiana,4,71,Kent State,13,60,Indiana,True,2023,1,30,B10,22-11,22,11,0.6666666666666666,17.36,114.7,27,97.3,43,68.1,142,0.022,129,10.59,13,110.7,11,100.1,27,-3.4,271,71,MAC,28-6,28,6,0.8235294117647058,11.9,108.3,110,96.4,38,68.1,144,0.019,139,-1.42,189,106.3,114,107.7,288,3.47,80,31,B10,33,22-11,12-8,22,11,0.6667,12,8,0.6,112.5,31,95.8,45,0.8637,31,53.8,35,47.3,40,16.9,81,16.3,293,28.0,198,27.9,152,30.1,218,30.6,164,53.2,61,45.7,22,37.0,35,33.2,122,26.3,355,38.2,215,68.9,133,3.4,22,74,MAC,32,26-6,15-3,26,6,0.8125,15,3,0.8333,106.1,123,95.1,40,0.7783,74,51.3,136,47.2,36,16.3,55,22.6,20,30.9,100,30.2,261,32.0,162,38.8,324,52.2,83,47.8,71,33.2,214,30.9,29,38.6,140,40.7,291,68.8,140,0.8,46
