Team__1,Seed__1,Score__1,Rk_AdjEM__1,Conf__1,W-L__1,Wins__1,Losses__1,WinPct__1,AdjEM__1,AdjO__1,Rk_AdjO__1,AdjD__1,Rk_AdjD__1,AdjT__1,Rk_AdjT__1,Luck__1,Rk_Luck__1,SOS_AdjEM__1,Rk_SOS_AdjEM__1,SOS_AdjO__1,Rk_SOS_AdjO__1,SOS_AdjD__1,Rk_SOS_AdjD__1,NCSOS_AdjEM__1,Rk_NCSOS_AdjEM__1,Team__2,Seed__2,Score__2,Rk_AdjEM__2,Conf__2,W-L__2,Wins__2,Losses__2,WinPct__2,AdjEM__2,AdjO__2,Rk_AdjO__2,AdjD__2,Rk_AdjD__2,AdjT__2,Rk_AdjT__2,Luck__2,Rk_Luck__2,SOS_AdjEM__2,Rk_SOS_AdjEM__2,SOS_AdjO__2,Rk_SOS_AdjO__2,SOS_AdjD__2,Rk_SOS_AdjD__2,NCSOS_AdjEM__2,Rk_NCSOS_AdjEM__2,Winning_Team,Win__1,Year,Round
Villanova,1,93,4,BE,32-2,32,2,0.9411764705882352,28.5,120.8,4,92.3,12,64.5,185,0.044,73,6.5,23,105.1,58,98.6,21,,163,Lafayette,16,52,62,Pat,20-12,20,12,0.625,-2.7,110.4,39,113.1,338,65.0,162,0.078,26,-3.2,55,101.3,220,104.5,273,,129,Villanova,True,2015,1
Villanova,1,68,4,BE,32-2,32,2,0.9411764705882352,28.5,120.8,4,92.3,12,64.5,185,0.044,73,6.5,23,105.1,58,98.6,21,,163,NC State,8,71,37,ACC,20-13,20,13,0.6060606060606061,13.1,111.4,32,98.3,90,64.4,190,-0.02,227,7.0,15,106.3,21,99.3,35,,199,North Carolina State,False,2015,2
NC State,8,66,37,ACC,20-13,20,13,0.6060606060606061,13.1,111.4,32,98.3,90,64.4,190,-0.02,227,7.0,15,106.3,21,99.3,35,,199,LSU,9,65,41,SEC,22-10,22,10,0.6875,12.6,107.0,74,94.4,32,69.8,13,-0.027,249,4.4,34,104.0,89,99.6,46,,294,North Carolina State,True,2015,1
NC State,8,65,37,ACC,20-13,20,13,0.6060606060606061,13.1,111.4,32,98.3,90,64.4,190,-0.02,227,7.0,15,106.3,21,99.3,35,,199,Louisville,4,75,22,ACC,24-8,24,8,0.75,16.3,105.7,98,89.4,6,65.5,138,0.027,115,6.9,18,106.2,29,99.3,38,,234,Louisville,False,2015,3
Northern Iowa,5,71,11,MVC,30-3,30,3,0.9090909090909092,20.8,114.0,14,93.2,17,58.5,348,0.01,158,0.6,46,102.1,171,101.5,120,,153,Wyoming,12,54,53,MWC,25-9,25,9,0.7352941176470589,4.5,101.7,177,97.2,69,59.3,344,0.084,21,-1.9,51,100.7,263,102.6,165,,343,Northern Iowa,True,2015,1
Northern Iowa,5,53,11,MVC,30-3,30,3,0.9090909090909092,20.8,114.0,14,93.2,17,58.5,348,0.01,158,0.6,46,102.1,171,101.5,120,,153,Louisville,4,66,22,ACC,24-8,24,8,0.75,16.3,105.7,98,89.4,6,65.5,138,0.027,115,6.9,18,106.2,29,99.3,38,,234,Louisville,False,2015,2
Louisville,4,57,22,ACC,24-8,24,8,0.75,16.3,105.7,98,89.4,6,65.5,138,0.027,115,6.9,18,106.2,29,99.3,38,,234,California-Irvine,13,55,52,BW,21-12,21,12,0.6363636363636364,5.3,103.7,135,98.4,91,63.7,232,-0.007,201,0.6,45,102.5,143,101.9,137,,77,Louisville,True,2015,1
Louisville,4,70,22,ACC,24-8,24,8,0.75,16.3,105.7,98,89.4,6,65.5,138,0.027,115,6.9,18,106.2,29,99.3,38,,234,Michigan State,7,76,17,B10,23-11,23,11,0.6764705882352942,17.7,113.9,15,96.2,57,63.7,235,-0.053,300,7.0,17,107.0,9,100.0,65,,178,Michigan State,False,2015,4
Providence,6,53,29,BE,22-11,22,11,0.6666666666666666,15.2,110.7,38,95.5,47,65.7,126,0.043,74,8.9,6,107.2,7,98.3,13,,83,Dayton,11,66,42,A10,26-8,26,8,0.7647058823529411,12.3,106.9,76,94.6,35,63.7,239,0.032,100,2.5,39,103.0,115,100.5,84,,165,Dayton,False,2015,1
Oklahoma,3,69,12,B12,22-10,22,10,0.6875,20.4,109.3,51,88.9,5,67.7,44,-0.046,288,9.6,3,107.9,3,98.3,14,,115,Albany,14,60,57,AE,24-8,24,8,0.75,2.5,104.0,122,101.5,151,61.3,322,0.06,48,-5.4,63,98.6,332,104.0,252,,148,Oklahoma,True,2015,1
Oklahoma,3,58,12,B12,22-10,22,10,0.6875,20.4,109.3,51,88.9,5,67.7,44,-0.046,288,9.6,3,107.9,3,98.3,14,,115,Michigan State,7,62,17,B10,23-11,23,11,0.6764705882352942,17.7,113.9,15,96.2,57,63.7,235,-0.053,300,7.0,17,107.0,9,100.0,65,,178,Michigan State,False,2015,3
Michigan State,7,70,17,B10,23-11,23,11,0.6764705882352942,17.7,113.9,15,96.2,57,63.7,235,-0.053,300,7.0,17,107.0,9,100.0,65,,178,Georgia,10,63,35,SEC,21-11,21,11,0.65625,13.5,107.2,72,93.7,24,64.1,207,0.01,159,7.9,11,106.4,18,98.5,19,,141,Michigan State,True,2015,1
Michigan State,7,60,17,B10,23-11,23,11,0.6764705882352942,17.7,113.9,15,96.2,57,63.7,235,-0.053,300,7.0,17,107.0,9,100.0,65,,178,Virginia,2,54,5,ACC,29-3,29,3,0.90625,26.7,112.2,25,85.5,1,58.2,349,0.032,98,6.5,22,105.6,44,99.1,32,,159,Michigan State,True,2015,2
Michigan State,7,61,17,B10,23-11,23,11,0.6764705882352942,17.7,113.9,15,96.2,57,63.7,235,-0.053,300,7.0,17,107.0,9,100.0,65,,178,Duke,1,81,6,ACC,29-4,29,4,0.8787878787878788,25.7,121.9,3,96.2,58,66.3,103,0.067,42,7.7,13,107.0,8,99.3,37,,116,Duke,False,2015,5
Virginia,2,79,5,ACC,29-3,29,3,0.90625,26.7,112.2,25,85.5,1,58.2,349,0.032,98,6.5,22,105.6,44,99.1,32,,159,Belmont,15,67,59,OVC,22-10,22,10,0.6875,1.6,107.9,63,106.3,252,67.1,68,0.071,34,-3.2,56,100.5,275,103.7,232,,195,Virginia,True,2015,1
Duke,1,85,6,ACC,29-4,29,4,0.8787878787878788,25.7,121.9,3,96.2,58,66.3,103,0.067,42,7.7,13,107.0,8,99.3,37,,116,Robert Morris,16,56,61,NEC,20-14,20,14,0.5882352941176471,-0.8,101.6,187,102.4,168,65.7,127,0.048,69,-3.9,59,100.8,255,104.7,283,,87,Duke,True,2015,1
Duke,1,68,6,ACC,29-4,29,4,0.8787878787878788,25.7,121.9,3,96.2,58,66.3,103,0.067,42,7.7,13,107.0,8,99.3,37,,116,San Diego State,8,49,33,MWC,26-8,26,8,0.7647058823529411,13.7,102.2,169,88.5,4,60.7,335,0.014,143,2.2,42,103.3,104,101.1,104,,71,Duke,True,2015,2
Duke,1,63,6,ACC,29-4,29,4,0.8787878787878788,25.7,121.9,3,96.2,58,66.3,103,0.067,42,7.7,13,107.0,8,99.3,37,,116,Utah,5,57,8,P12,24-8,24,8,0.75,22.6,113.1,21,90.5,8,61.2,324,-0.056,307,6.0,26,105.6,43,99.6,48,,150,Duke,True,2015,3
Duke,1,66,6,ACC,29-4,29,4,0.8787878787878788,25.7,121.9,3,96.2,58,66.3,103,0.067,42,7.7,13,107.0,8,99.3,37,,116,Gonzaga,2,52,7,WCC,32-2,32,2,0.9411764705882352,24.6,118.8,7,94.2,27,65.0,158,0.013,151,2.3,40,104.1,85,101.8,128,,46,Duke,True,2015,4
San Diego State,8,76,33,MWC,26-8,26,8,0.7647058823529411,13.7,102.2,169,88.5,4,60.7,335,0.014,143,2.2,42,103.3,104,101.1,104,,71,St. John's,9,64,43,BE,21-11,21,11,0.65625,12.2,108.0,61,95.8,51,67.1,63,0.058,53,6.6,20,106.4,20,99.8,52,,232,San Diego State,True,2015,1
Utah,5,57,8,P12,24-8,24,8,0.75,22.6,113.1,21,90.5,8,61.2,324,-0.056,307,6.0,26,105.6,43,99.6,48,,150,Stephen F. Austin,12,50,31,Slnd,29-4,29,4,0.8787878787878788,14.0,112.9,22,98.9,98,66.8,76,0.03,107,-3.6,57,101.3,216,104.9,295,,105,Utah,True,2015,1
Utah,5,75,8,P12,24-8,24,8,0.75,22.6,113.1,21,90.5,8,61.2,324,-0.056,307,6.0,26,105.6,43,99.6,48,,150,Georgetown,4,64,21,BE,21-10,21,10,0.6774193548387096,16.6,110.3,40,93.7,25,64.4,188,-0.002,188,8.6,9,107.6,4,99.0,27,,57,Utah,True,2015,2
Georgetown,4,84,21,BE,21-10,21,10,0.6774193548387096,16.6,110.3,40,93.7,25,64.4,188,-0.002,188,8.6,9,107.6,4,99.0,27,,57,Eastern Washington,13,74,56,BSky,26-8,26,8,0.7647058823529411,2.7,110.2,45,107.5,277,68.8,24,0.074,32,-3.2,54,102.6,138,105.8,331,,55,Georgetown,True,2015,1
Southern Methodist,6,59,19,Amer,27-6,27,6,0.8181818181818182,16.8,112.0,26,95.2,43,63.8,228,0.014,146,2.3,41,103.1,112,100.8,96,,107,UCLA,11,60,39,P12,20-13,20,13,0.6060606060606061,12.8,110.2,43,97.4,74,66.1,113,0.026,119,7.0,16,105.2,53,98.2,12,,82,UCLA,False,2015,1
Iowa State,3,59,10,B12,25-8,25,8,0.7575757575757576,21.2,118.9,6,97.7,82,69.6,17,0.023,128,8.9,7,106.4,17,97.5,5,,216,UAB,14,60,55,CUSA,19-15,19,15,0.5588235294117647,3.1,103.5,140,100.4,126,64.9,164,0.011,156,-0.3,48,101.4,210,101.7,123,,59,UAB,False,2015,1
Iowa,7,83,23,B10,21-11,21,11,0.65625,15.9,111.0,35,95.1,40,64.3,199,-0.003,191,5.9,27,105.4,49,99.5,42,,208,Davidson,10,52,28,A10,24-7,24,7,0.7741935483870968,15.5,118.6,8,103.1,180,67.0,71,0.037,87,2.6,37,103.0,116,100.4,79,,236,Iowa,True,2015,1
Iowa,7,68,23,B10,21-11,21,11,0.65625,15.9,111.0,35,95.1,40,64.3,199,-0.003,191,5.9,27,105.4,49,99.5,42,,208,Gonzaga,2,87,7,WCC,32-2,32,2,0.9411764705882352,24.6,118.8,7,94.2,27,65.0,158,0.013,151,2.3,40,104.1,85,101.8,128,,46,Gonzaga,False,2015,2
