Team1,Team1_Seed,Team1_Score,Team2,Team2_Seed,Team2_Score,WinningTeam,Team1_Win
UConn,1,91,Stetson,16,52,UConn,True
FAU,8,65,Northwestern,9,77,Northwestern,False
San Diego St.,5,69,UAB,12,65,San Diego St.,True
Auburn,4,76,Yale,13,78,Yale,False
BYU,6,67,Duquesne,11,71,Duquesne,False
Illinois,3,85,Morehead St.,14,69,Illinois,True
Washington St.,7,66,Drake,10,61,Washington St.,True
Iowa St.,2,82,South Dakota St.,15,65,Iowa St.,True
North Carolina,1,90,Wagner,16,62,North Carolina,True
Mississippi St.,8,51,Michigan St.,9,69,Michigan St.,False
Saint Mary's,5,66,Grand Canyon,12,75,Grand Canyon,False
Alabama,4,109,Charleston,13,96,Alabama,True
Clemson,6,77,New Mexico,11,56,Clemson,True
Baylor,3,92,Colgate,14,67,Baylor,True
Dayton,7,63,Nevada,10,60,Dayton,True
Arizona,2,85,Long Beach St.,15,65,Arizona,True
Houston,1,86,Longwood,16,46,Houston,True
Nebraska,8,83,Texas A&M,9,98,Texas A&M,False
Wisconsin,5,61,James Madison,12,72,James Madison,False
Duke,4,64,Vermont,13,47,Duke,True
Texas Tech,6,67,NC State,11,80,NC State,False
Kentucky,3,76,Oakland,14,80,Oakland,False
Florida,7,100,Colorado,10,102,Colorado,False
Marquette,2,87,Western Ky.,15,69,Marquette,True
Purdue,1,78,Grambling St.,16,50,Purdue,True
Utah St.,8,88,TCU,9,72,Utah St.,True
Gonzaga,5,86,McNeese,12,65,Gonzaga,True
Kansas,4,93,Samford,13,89,Kansas,True
South Carolina,6,73,Oregon,11,87,Oregon,False
Creighton,3,77,Akron,14,60,Creighton,True
Texas,7,56,Colorado St.,10,44,Texas,True
Tennessee,2,83,Saint Peter's,15,49,Tennessee,True
