Rk,Team,Seed,Conf,G,Rec,ConfRec,Wins,Losses,WinPct,ConfWins,ConfLosses,ConfWinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
1,Auburn,4,SEC,4,4-0,,4,0,1.0,,,,1–0,122.9,18.0,87.2,6.0,0.9811,1.0,57.0,26.0,39.9,10.0,14.9,113.0,16.0,173.0,27.1,187.0,34.1,276.0,35.2,128.0,45.3,296.0,55.5,55.0,42.0,27.0,40.0,43.0,22.6,6.0,32.8,254.0,25.5,18.0,71.9,44.0,1.8
2,UConn,1,BE,5,5-0,,5,0,1.0,,,,2–0,129.6,3.0,92.0,25.0,0.9809,2.0,57.3,20.0,45.4,48.0,14.3,95.0,14.0,242.0,31.1,111.0,25.9,105.0,25.6,251.0,25.1,70.0,54.7,70.0,42.7,33.0,40.8,35.0,33.7,167.0,39.9,119.0,34.3,115.0,65.5,245.0,3.3
3,Houston,1,B12,5,4-1,,4,1,0.8,,,,2–0,113.6,74.0,81.7,3.0,0.9778,3.0,48.1,218.0,40.5,11.0,16.7,168.0,24.9,9.0,32.6,85.0,35.4,292.0,22.4,277.0,38.1,239.0,45.7,258.0,42.0,27.0,34.1,155.0,25.3,28.0,43.4,66.0,37.0,171.0,62.9,302.0,1.8
4,Iowa State,2,B12,5,4-1,,4,1,0.8,,,,1–1,113.8,70.0,82.1,4.0,0.9771,4.0,49.3,192.0,42.3,19.0,12.5,45.0,23.4,14.0,23.4,257.0,34.6,285.0,33.2,154.0,31.3,154.0,48.4,194.0,45.2,69.0,34.1,155.0,25.6,29.0,32.2,263.0,43.0,267.0,66.6,199.0,1.9
5,Saint Mary's,5,WCC,2,2-0,,2,0,1.0,,,,0–0,122.5,20.0,92.6,30.0,0.9616,5.0,57.5,18.0,50.0,158.0,18.4,220.0,12.0,301.0,39.7,12.0,17.7,15.0,37.4,99.0,24.3,59.0,57.4,26.0,48.8,142.0,38.5,69.0,36.0,212.0,36.4,179.0,23.4,9.0,61.1,328.0,0.9
6,Texas A&M,9,SEC,5,4-1,,4,1,0.8,,,,2–0,128.1,4.0,97.1,71.0,0.9606,6.0,51.6,126.0,54.7,270.0,13.4,64.0,16.5,155.0,41.8,7.0,23.8,72.0,42.0,60.0,35.1,209.0,47.5,218.0,55.1,273.0,39.1,62.0,36.2,218.0,36.1,186.0,49.0,321.0,68.9,123.0,1.4
7,Texas Tech,6,B12,3,2-1,,2,1,0.6667,,,,1–0,119.0,35.0,90.7,19.0,0.9577,7.0,51.9,111.0,49.7,152.0,20.9,299.0,13.2,276.0,29.5,133.0,24.1,75.0,47.1,27.0,23.8,56.0,48.9,180.0,55.4,279.0,37.7,84.0,28.6,58.0,39.4,129.0,45.4,292.0,70.0,93.0,0.9
8,Nebraska,8,B10,3,2-1,,2,1,0.6667,,,,1–0,124.8,11.0,95.2,44.0,0.9574,8.0,58.9,11.0,47.4,85.0,12.2,35.0,13.5,264.0,22.2,273.0,26.3,109.0,34.9,136.0,29.2,114.0,62.3,8.0,46.4,97.0,36.3,109.0,32.5,144.0,43.0,73.0,42.6,258.0,72.8,28.0,0.39
9,Purdue,1,B10,3,2-1,,2,1,0.6667,,,,1–0,118.5,38.0,91.0,23.0,0.954,9.0,51.3,142.0,46.2,59.0,20.2,287.0,12.8,286.0,35.4,49.0,29.2,184.0,51.0,15.0,17.8,14.0,47.7,211.0,54.5,263.0,39.6,53.0,21.6,3.0,30.6,280.0,37.6,179.0,67.5,167.0,0.6
10,New Mexico,11,MWC,6,5-1,,5,1,0.8333,,,,1–1,116.2,53.0,89.6,11.0,0.952,10.0,48.4,213.0,42.8,24.0,12.3,39.0,17.6,113.0,36.4,33.0,26.7,118.0,25.6,251.0,30.7,147.0,48.9,180.0,46.2,90.0,31.4,207.0,25.6,29.0,29.4,296.0,43.9,277.0,71.1,63.0,1.3
11,Wisconsin,5,B10,6,4-2,,4,2,0.6667,,,,1–1,124.9,9.0,96.4,61.0,0.9517,11.0,53.2,78.0,51.2,189.0,13.7,74.0,18.9,76.0,30.6,118.0,28.4,163.0,26.3,242.0,38.3,243.0,50.9,133.0,48.8,142.0,38.0,83.0,37.2,241.0,38.2,150.0,34.7,121.0,67.3,174.0,1.5
12,North Carolina,1,ACC,4,3-1,,3,1,0.75,,,,1–0,122.4,21.0,95.3,45.0,0.947,12.0,51.4,134.0,49.8,155.0,15.2,123.0,12.0,301.0,36.1,39.0,17.6,13.0,31.5,187.0,32.5,171.0,51.8,114.0,48.4,131.0,33.7,162.0,35.0,190.0,33.9,235.0,33.8,106.0,70.5,76.0,1.2
16,Illinois,3,B10,4,4-0,,4,0,1.0,,,,1–0,124.3,15.0,98.6,87.0,0.9347,16.0,52.0,108.0,48.5,123.0,14.3,95.0,10.8,317.0,36.4,33.0,25.9,105.0,43.0,52.0,26.5,92.0,52.7,93.0,49.2,151.0,33.7,162.0,31.3,117.0,34.3,228.0,31.4,64.0,71.3,55.0,2.3
18,Colorado,10,P12,6,5-1,,5,1,0.8333,,,,2–0,115.7,56.0,92.1,27.0,0.9324,18.0,51.7,121.0,44.6,36.0,17.1,182.0,12.8,286.0,31.6,101.0,30.1,213.0,28.0,224.0,20.3,20.0,50.9,133.0,49.8,164.0,35.6,123.0,22.7,8.0,30.7,279.0,33.1,91.0,63.3,301.0,1.4
19,Arizona,2,P12,4,2-2,,2,2,0.5,,,,1–1,111.2,110.0,88.8,8.0,0.9305,19.0,49.8,180.0,47.0,76.0,20.1,285.0,17.9,95.0,32.6,85.0,22.5,53.0,41.8,64.0,23.4,53.0,50.0,153.0,47.3,114.0,32.9,182.0,30.9,105.0,37.3,163.0,35.1,130.0,69.3,111.0,-0.16
21,Drake,10,MVC,3,3-0,,3,0,1.0,,,,0–0,117.3,42.0,94.2,38.0,0.9262,21.0,52.6,93.0,52.1,213.0,11.6,22.0,16.0,173.0,22.5,270.0,13.5,4.0,35.2,128.0,25.3,72.0,43.8,282.0,55.8,287.0,43.7,15.0,30.6,100.0,40.3,110.0,37.3,175.0,67.9,148.0,1.0
22,Marquette,2,BE,5,3-2,,3,2,0.6,,,,1–1,120.0,30.0,96.7,65.0,0.9231,22.0,51.4,134.0,49.1,133.0,11.9,27.0,16.7,150.0,21.4,286.0,31.3,234.0,29.1,216.0,36.4,225.0,47.4,222.0,49.7,161.0,39.6,53.0,32.3,139.0,32.9,251.0,46.5,308.0,66.8,194.0,1.3
23,Northwestern,9,B10,3,1-2,,1,2,0.3333,,,,1–1,116.2,52.0,93.7,36.0,0.9227,23.0,52.2,102.0,47.6,87.0,12.0,30.0,15.3,200.0,21.4,286.0,31.1,230.0,25.9,247.0,28.5,105.0,47.0,235.0,45.5,75.0,40.3,40.0,34.5,183.0,38.3,145.0,33.3,96.0,62.8,305.0,-0.43
