Rk,Team,Seed,Conf,G,Rec,ConfRec,Wins,Losses,WinPct,ConfWins,ConfLosses,ConfWinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
1,Louisville,1,BE,4,4-0,,4,0,1.0,,,,1–0,119.2,21.0,83.9,7.0,0.9827,1.0,51.9,84.0,44.3,66.0,19.9,196.0,27.5,7.0,36.2,62.0,39.5,285.0,44.2,69.0,32.7,119.0,48.2,130.0,43.1,61.0,39.2,69.0,31.1,107.0,34.4,136.0,35.1,201.0,67.2,79.0,2.2
2,Creighton,7,MVC,3,3-0,,3,0,1.0,,,,0–0,116.8,27.0,82.4,4.0,0.9822,2.0,55.2,40.0,36.1,2.0,22.0,252.0,13.2,300.0,32.1,143.0,31.0,155.0,37.1,148.0,25.6,37.0,50.6,95.0,35.2,5.0,41.4,41.0,25.5,37.0,40.6,44.0,29.0,83.0,60.2,277.0,1.1
3,Gonzaga,1,WCC,2,2-0,,2,0,1.0,,,,0–0,110.6,78.0,80.6,2.0,0.9743,3.0,51.6,93.0,39.0,7.0,17.3,114.0,20.6,100.0,30.4,169.0,27.3,80.0,50.0,33.0,26.7,49.0,53.5,55.0,39.7,24.0,30.4,214.0,25.5,37.0,24.5,293.0,44.8,304.0,61.7,244.0,0.7
5,Georgetown,2,BE,4,2-2,,2,2,0.5,,,,1–1,112.9,57.0,83.2,6.0,0.9709,5.0,49.0,148.0,43.0,44.0,22.2,257.0,25.6,15.0,36.5,57.0,31.7,168.0,28.9,251.0,50.9,276.0,46.0,188.0,39.1,18.0,36.0,130.0,33.9,152.0,37.3,85.0,32.7,153.0,56.8,313.0,0.6
6,Ohio State,2,B10,4,4-0,,4,0,1.0,,,,1–0,114.3,39.0,84.8,8.0,0.9687,6.0,51.2,98.0,43.3,49.0,17.0,104.0,19.9,118.0,29.3,193.0,26.9,77.0,31.2,223.0,21.8,13.0,55.4,41.0,46.8,140.0,29.2,235.0,25.0,27.0,35.6,115.0,37.6,246.0,61.1,258.0,2.1
7,Duke,2,ACC,2,1-1,,1,1,0.5,,,,1–0,121.0,12.0,92.9,47.0,0.9544,7.0,51.3,95.0,45.6,90.0,16.0,73.0,19.0,141.0,27.9,217.0,36.8,253.0,26.3,275.0,33.6,130.0,60.8,8.0,48.1,170.0,22.5,302.0,26.5,48.0,35.1,123.0,30.1,93.0,62.8,213.0,0.19
8,Indiana,1,B10,3,2-1,,2,1,0.6667,,,,1–0,120.9,13.0,93.2,50.0,0.9521,8.0,49.4,133.0,48.3,143.0,21.2,239.0,17.1,202.0,45.5,7.0,32.4,182.0,26.9,267.0,30.2,85.0,48.8,125.0,43.5,68.0,34.0,159.0,38.6,228.0,28.6,245.0,33.1,167.0,66.1,111.0,1.2
9,Florida,3,SEC,5,3-2,,3,2,0.6,,,,1–1,112.3,60.0,86.7,16.0,0.9516,9.0,51.3,95.0,43.5,52.0,17.3,114.0,17.9,170.0,31.7,154.0,29.9,138.0,29.6,244.0,34.1,140.0,47.1,159.0,42.2,49.0,39.0,77.0,30.7,97.0,37.0,89.0,33.7,173.0,61.2,255.0,0.04
10,Saint Louis,4,A10,5,4-1,,4,1,0.8,,,,1–1,104.6,148.0,81.2,3.0,0.9486,10.0,47.2,189.0,42.6,36.0,18.7,157.0,23.9,28.0,27.1,226.0,30.1,139.0,50.8,30.0,40.0,195.0,48.8,125.0,43.8,74.0,29.6,230.0,26.3,46.0,36.8,93.0,28.1,65.0,67.9,53.0,1.3
11,Arizona,6,P12,3,2-1,,2,1,0.6667,,,,1–0,119.7,18.0,93.3,51.0,0.9458,11.0,51.7,89.0,46.5,104.0,18.0,137.0,18.0,166.0,37.5,43.0,28.7,113.0,26.7,270.0,43.9,231.0,50.5,96.0,46.6,134.0,35.8,133.0,30.8,99.0,39.0,60.0,25.2,32.0,63.6,191.0,0.25
