Rk,Team,Seed,Conf,G,Rec,ConfRec,Wins,Losses,WinPct,ConfWins,ConfLosses,ConfWinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
1,Tennessee,3,SEC,4,4-0,,4,0,1.0,,,,1–0,118.9,19.0,82.5,7.0,0.9853,1.0,53.7,58.0,40.4,12.0,18.4,201.0,18.7,108.0,26.2,194.0,32.3,265.0,36.6,87.0,38.2,255.0,43.4,287.0,41.1,24.0,47.5,9.0,26.2,37.0,37.0,161.0,37.3,196.0,66.1,209.0,2.2
2,Gonzaga,1,WCC,2,2-0,,2,0,1.0,,,,0–0,133.3,1.0,92.5,45.0,0.9852,2.0,63.1,3.0,49.2,152.0,15.9,120.0,17.3,165.0,16.7,322.0,26.4,136.0,33.6,129.0,25.0,93.0,65.4,4.0,50.0,172.0,37.9,64.0,32.0,144.0,27.1,317.0,41.7,277.0,70.2,53.0,1.2
3,Kansas,1,B12,5,5-0,,5,0,1.0,,,,2–0,119.7,16.0,86.3,13.0,0.9774,3.0,49.3,158.0,45.7,65.0,16.8,152.0,20.8,56.0,30.0,103.0,28.4,188.0,41.5,36.0,31.3,180.0,50.8,134.0,43.6,59.0,30.9,205.0,33.7,177.0,32.8,236.0,29.9,49.0,69.8,67.0,2.8
4,Loyola Chicago,10,MVC,3,3-0,,3,0,1.0,,,,0–0,100.5,198.0,72.9,2.0,0.9756,4.0,48.7,176.0,34.0,2.0,21.0,279.0,19.5,85.0,26.5,188.0,26.2,134.0,38.4,67.0,30.7,174.0,48.9,171.0,36.3,3.0,32.3,172.0,20.3,10.0,40.9,87.0,38.6,228.0,67.0,173.0,1.0
6,Texas Tech,3,B12,4,2-2,,2,2,0.5,,,,0–1,105.2,140.0,77.1,3.0,0.9729,6.0,49.5,155.0,41.1,15.0,22.2,306.0,24.9,6.0,27.1,175.0,29.1,204.0,23.1,258.0,35.3,224.0,50.0,152.0,46.6,102.0,32.4,170.0,22.5,18.0,34.3,216.0,43.0,290.0,66.3,203.0,0.6
7,Vermont,13,AE,3,3-0,,3,0,1.0,,,,0–0,117.7,23.0,86.3,14.0,0.9727,7.0,64.6,2.0,41.9,20.0,10.0,6.0,20.1,70.0,27.4,166.0,12.7,4.0,19.1,304.0,22.3,61.0,64.8,5.0,37.6,7.0,42.9,23.0,34.0,186.0,39.3,112.0,31.8,75.0,63.1,307.0,0.1
8,Iowa,5,B10,6,5-1,,5,1,0.8333,,,,1–1,132.3,2.0,97.9,118.0,0.9696,8.0,58.7,12.0,50.7,192.0,15.1,96.0,15.8,220.0,32.5,71.0,33.6,287.0,29.7,179.0,21.5,49.0,53.1,88.0,51.4,199.0,44.4,15.0,32.8,162.0,41.5,76.0,32.4,85.0,69.1,80.0,2.5
10,Virginia Tech,11,ACC,5,4-1,,4,1,0.8,,,,0–1,122.6,5.0,93.0,51.0,0.9598,10.0,55.7,34.0,51.1,210.0,14.9,88.0,15.8,220.0,26.8,179.0,21.9,50.0,29.5,183.0,34.0,205.0,53.1,88.0,57.5,296.0,39.5,47.0,27.8,53.0,42.3,62.0,40.3,256.0,64.2,275.0,2.0
11,North Carolina,8,ACC,3,2-1,,2,1,0.6667,,,,1–0,111.5,58.0,84.8,9.0,0.9586,11.0,46.1,250.0,48.6,138.0,11.3,14.0,13.2,281.0,27.8,157.0,16.0,9.0,23.3,256.0,17.4,19.0,51.2,128.0,45.3,82.0,25.0,280.0,38.0,260.0,37.3,152.0,28.1,37.0,72.1,21.0,1.0
13,Houston,5,Amer,5,4-1,,4,1,0.8,,,,1–1,118.0,22.0,91.5,34.0,0.9493,13.0,55.9,33.0,44.1,42.0,19.3,234.0,21.5,40.0,39.6,9.0,31.3,247.0,30.7,159.0,40.6,276.0,59.0,27.0,46.1,95.0,34.2,127.0,27.0,45.0,40.7,92.0,34.8,137.0,63.1,307.0,1.4
14,Memphis,9,Amer,5,4-1,,4,1,0.8,,,,2–0,116.6,29.0,91.4,33.0,0.9429,14.0,49.1,163.0,48.4,130.0,21.0,279.0,20.1,70.0,39.1,11.0,26.6,143.0,41.4,37.0,29.7,160.0,48.4,178.0,49.1,151.0,34.4,125.0,31.6,135.0,21.9,334.0,42.4,283.0,69.2,78.0,1.5
15,UCLA,4,P12,4,3-1,,3,1,0.75,,,,1–0,122.3,6.0,95.9,93.0,0.9422,15.0,50.0,135.0,52.6,244.0,11.1,10.0,18.3,126.0,28.7,133.0,23.0,66.0,32.9,135.0,35.4,227.0,50.3,148.0,50.4,185.0,32.8,163.0,37.5,250.0,26.1,325.0,38.3,224.0,65.0,250.0,1.0
17,Villanova,2,BE,4,4-0,,4,0,1.0,,,,1–0,111.5,56.0,88.3,20.0,0.9365,17.0,48.7,176.0,42.6,24.0,16.4,138.0,15.6,228.0,31.4,79.0,29.7,218.0,21.9,270.0,23.0,68.0,47.8,193.0,50.4,185.0,33.0,156.0,21.1,12.0,50.4,16.0,41.3,272.0,62.5,315.0,1.9
18,Creighton,9,BE,5,3-2,,3,2,0.6,,,,1–1,108.0,93.0,85.5,11.0,0.9361,18.0,50.0,135.0,42.6,24.0,18.9,220.0,14.4,252.0,27.9,154.0,27.8,174.0,23.5,254.0,17.4,19.0,53.4,79.0,44.1,67.0,29.5,233.0,26.8,41.0,37.4,151.0,39.5,247.0,66.4,195.0,0.46
21,Texas,6,B12,2,0-2,,0,2,0.0,,,,0–1,106.3,118.0,86.5,17.0,0.914,21.0,44.0,284.0,41.7,19.0,20.0,255.0,17.7,147.0,27.7,158.0,35.1,300.0,28.4,194.0,56.0,332.0,37.5,330.0,36.7,4.0,36.4,86.0,36.7,243.0,37.9,141.0,27.5,27.0,63.3,301.0,-0.5
22,Kentucky,2,SEC,3,2-1,,2,1,0.6667,,,,1–0,113.8,43.0,92.9,48.0,0.9122,22.0,47.8,204.0,47.5,101.0,15.7,112.0,15.7,224.0,32.4,73.0,26.8,146.0,28.2,196.0,28.8,145.0,51.1,131.0,48.6,138.0,26.0,276.0,30.3,113.0,27.6,314.0,37.3,196.0,68.3,116.0,0.8
24,Davidson,10,A10,5,3-2,,3,2,0.6,,,,1–1,120.1,12.0,99.2,133.0,0.8998,24.0,55.2,39.0,49.3,160.0,11.9,22.0,13.8,264.0,17.9,313.0,17.9,17.0,34.8,111.0,31.1,178.0,52.8,99.0,47.5,119.0,39.3,51.0,34.5,206.0,39.6,104.0,41.4,274.0,66.4,195.0,-0.27
25,Baylor,1,B12,2,1-1,,1,1,0.5,,,,1–0,121.9,9.0,100.8,155.0,0.8989,25.0,47.1,224.0,57.3,308.0,12.8,41.0,19.6,84.0,33.3,57.0,20.7,38.0,35.0,107.0,17.3,18.0,54.8,60.0,56.3,282.0,23.4,301.0,39.1,277.0,39.2,115.0,41.8,279.0,67.7,146.0,-0.07
26,Arizona,1,P12,5,5-0,,5,0,1.0,,,,2–0,124.5,3.0,103.0,189.0,0.8987,26.0,58.8,11.0,51.5,218.0,17.0,159.0,17.0,179.0,29.3,119.0,26.4,136.0,48.5,10.0,23.8,78.0,59.0,27.0,46.2,96.0,38.8,55.0,40.7,293.0,31.7,256.0,35.6,155.0,71.0,38.0,1.7
27,Saint Mary's,5,WCC,2,1-1,,1,1,0.5,,,,0–0,121.9,8.0,101.1,159.0,0.8956,27.0,53.1,68.0,53.9,269.0,15.3,102.0,9.2,334.0,26.2,194.0,25.4,120.0,24.6,240.0,35.3,224.0,51.8,114.0,49.4,159.0,37.9,64.0,44.8,320.0,25.4,326.0,25.0,14.0,61.2,327.0,0.24
28,UConn,5,BE,4,2-2,,2,2,0.5,,,,1–1,114.0,42.0,94.8,74.0,0.8924,28.0,44.8,272.0,48.3,123.0,13.0,45.0,12.6,296.0,38.5,14.0,24.5,103.0,19.7,298.0,17.7,22.0,44.5,267.0,45.1,80.0,30.3,218.0,35.6,222.0,30.5,281.0,37.7,212.0,62.0,320.0,0.01
29,Chattanooga,13,SC,3,3-0,,3,0,1.0,,,,0–0,110.7,65.0,92.1,42.0,0.8915,29.0,52.4,88.0,51.6,219.0,16.7,149.0,16.1,209.0,31.1,86.0,16.5,12.0,30.9,156.0,25.5,101.0,61.0,12.0,56.5,286.0,25.0,280.0,30.6,122.0,36.4,172.0,45.9,319.0,62.2,318.0,0.7
30,Miami (FL),10,ACC,4,3-1,,3,1,0.75,,,,2–0,119.8,13.0,99.9,144.0,0.8891,30.0,57.7,17.0,51.9,227.0,14.7,78.0,17.7,147.0,26.5,188.0,33.8,288.0,21.5,276.0,30.3,168.0,61.0,12.0,50.3,181.0,34.2,127.0,36.8,244.0,33.9,220.0,32.9,94.0,65.2,242.0,1.1
31,Purdue,3,B10,4,3-1,,3,1,0.75,,,,1–0,116.9,28.0,97.7,113.0,0.8865,31.0,49.8,148.0,48.2,120.0,18.3,197.0,10.5,328.0,38.5,14.0,27.0,150.0,35.4,101.0,18.5,28.0,50.0,152.0,52.0,218.0,32.9,158.0,28.3,65.0,36.3,176.0,39.8,250.0,64.8,261.0,1.0
32,New Mexico State,12,WAC,4,3-1,,3,1,0.75,,,,1–1,113.5,48.0,95.0,75.0,0.8859,32.0,52.6,80.0,45.2,55.0,21.8,298.0,18.6,115.0,36.4,33.0,30.3,227.0,36.4,90.0,27.4,123.0,56.9,40.0,46.0,94.0,32.0,183.0,29.3,90.0,47.8,22.0,37.4,201.0,62.7,313.0,-0.08
34,Indiana,12,B10,6,3-3,,3,3,0.5,,,,0–2,110.1,69.0,92.3,43.0,0.8843,34.0,48.6,180.0,49.2,152.0,13.9,58.0,18.7,108.0,28.5,141.0,28.2,183.0,25.5,231.0,33.6,203.0,50.2,150.0,44.1,67.0,29.6,229.0,37.8,257.0,27.8,313.0,40.9,264.0,66.4,195.0,0.04
35,Auburn,2,SEC,3,2-1,,2,1,0.6667,,,,2–0,107.1,106.0,90.2,23.0,0.8771,35.0,46.4,247.0,45.2,55.0,16.5,141.0,23.2,20.0,28.2,147.0,35.2,301.0,33.7,127.0,28.7,143.0,42.6,299.0,45.5,84.0,34.1,130.0,29.6,101.0,44.0,46.0,28.7,38.0,71.4,32.0,0.34
36,Delaware,15,CAA,3,3-0,,3,0,1.0,,,,0–0,100.8,194.0,85.1,10.0,0.875,36.0,47.2,220.0,38.8,5.0,17.1,163.0,17.1,172.0,30.6,96.0,27.7,170.0,39.4,55.0,28.2,135.0,51.3,124.0,44.0,65.0,24.4,294.0,19.7,8.0,28.1,308.0,35.9,164.0,66.0,214.0,0.8
39,Michigan State,7,B10,5,3-2,,3,2,0.6,,,,1–1,114.2,41.0,96.6,99.0,0.8725,39.0,52.5,83.0,49.3,160.0,16.2,129.0,12.6,296.0,28.6,136.0,25.9,128.0,29.8,175.0,31.2,179.0,51.5,117.0,49.7,169.0,36.3,88.0,32.5,153.0,31.9,251.0,42.7,286.0,67.5,156.0,0.6
41,UAB,12,CUSA,5,5-0,,5,0,1.0,,,,2–0,117.1,26.0,99.2,130.0,0.8719,41.0,57.1,20.0,46.9,83.0,18.8,216.0,16.7,188.0,32.9,65.0,26.1,132.0,38.0,75.0,34.1,208.0,50.0,152.0,53.0,236.0,46.0,11.0,24.6,27.0,37.3,152.0,38.1,216.0,70.1,59.0,1.1
42,Ohio State,7,B10,3,1-2,,1,2,0.3333,,,,1–1,120.6,11.0,102.4,180.0,0.8681,42.0,57.1,20.0,50.6,190.0,16.0,122.0,12.9,290.0,21.7,268.0,29.3,206.0,32.9,135.0,28.0,132.0,53.7,76.0,46.2,96.0,41.7,31.0,39.7,282.0,38.7,126.0,33.1,96.0,66.3,203.0,-0.9
45,San Diego State,8,MWC,5,4-1,,4,1,0.8,,,,2–0,101.3,188.0,86.4,16.0,0.8614,45.0,47.0,228.0,45.4,60.0,22.5,311.0,21.3,46.0,31.4,79.0,27.5,164.0,36.1,91.0,38.6,257.0,45.4,246.0,43.0,47.0,33.8,137.0,32.7,158.0,30.4,284.0,39.0,236.0,65.0,250.0,1.1
46,Boise State,8,MWC,4,3-1,,3,1,0.75,,,,0–1,109.1,82.0,93.1,54.0,0.8613,46.0,53.0,71.0,49.5,166.0,20.7,273.0,17.5,155.0,24.8,219.0,25.4,120.0,34.2,118.0,23.6,76.0,55.5,53.0,49.3,157.0,32.4,170.0,33.3,166.0,35.7,188.0,32.7,92.0,64.5,268.0,0.9
47,LSU,6,SEC,4,2-2,,2,2,0.5,,,,1–1,112.9,50.0,96.5,97.0,0.859,47.0,47.4,216.0,47.8,108.0,18.7,211.0,24.9,6.0,31.4,79.0,39.1,327.0,38.9,61.0,43.2,300.0,52.7,103.0,51.6,208.0,25.6,278.0,28.7,77.0,36.8,167.0,44.5,303.0,67.9,139.0,-0.02
49,Murray State,7,OVC,2,2-0,,2,0,1.0,,,,0–0,117.3,24.0,100.3,147.0,0.8583,49.0,52.9,77.0,51.8,225.0,17.7,184.0,13.3,277.0,40.8,6.0,17.8,16.0,41.2,38.0,43.1,296.0,46.8,216.0,51.5,203.0,42.9,23.0,34.9,211.0,35.3,194.0,39.4,243.0,67.0,173.0,0.36
51,Colgate,14,Pat,3,3-0,,3,0,1.0,,,,0–0,115.5,33.0,99.3,135.0,0.8509,51.0,66.6,1.0,44.9,52.0,15.8,118.0,18.8,105.0,20.3,286.0,28.3,186.0,33.8,125.0,15.1,9.0,59.4,25.0,40.0,17.0,53.7,1.0,35.2,217.0,33.8,224.0,38.2,218.0,67.7,146.0,0.14
52,Rutgers,11,B10,4,2-2,,2,2,0.5,,,,2–0,115.5,34.0,99.4,137.0,0.8497,52.0,53.4,66.0,49.2,152.0,14.6,75.0,13.5,271.0,27.4,166.0,29.4,210.0,22.4,263.0,31.6,183.0,51.9,112.0,52.3,221.0,37.3,76.0,29.1,86.0,35.0,199.0,36.3,175.0,63.9,285.0,0.6
53,San Francisco,10,WCC,2,1-1,,1,1,0.5,,,,0–0,107.5,98.0,92.5,46.0,0.8491,53.0,47.9,201.0,50.4,185.0,14.0,61.0,16.8,186.0,25.6,206.0,20.0,29.0,40.3,50.0,38.1,253.0,46.2,228.0,60.0,317.0,33.3,144.0,18.2,4.0,45.4,38.0,29.2,43.0,68.4,110.0,0.26
54,Illinois,4,B10,3,2-1,,2,1,0.6667,,,,2–0,107.6,96.0,93.0,50.0,0.8433,54.0,45.5,260.0,49.4,163.0,14.4,68.0,15.0,243.0,27.0,177.0,25.2,112.0,34.5,113.0,22.0,59.0,40.6,313.0,48.7,142.0,34.7,122.0,33.9,183.0,42.9,52.0,32.4,85.0,65.3,237.0,0.37
55,Saint Peter's,15,MAAC,4,4-0,,4,0,1.0,,,,1–0,98.1,233.0,84.7,8.0,0.8431,55.0,49.3,158.0,33.8,1.0,17.2,167.0,18.7,108.0,23.5,239.0,28.9,199.0,39.5,52.0,41.9,288.0,46.1,231.0,34.8,1.0,37.5,72.0,21.3,13.0,31.2,269.0,35.7,159.0,65.3,237.0,0.45
59,TCU,9,B12,4,1-3,,1,3,0.25,,,,0–2,105.5,136.0,92.1,41.0,0.8264,59.0,49.5,155.0,48.7,141.0,23.7,323.0,16.3,202.0,32.2,75.0,27.9,180.0,35.7,98.0,30.0,163.0,49.3,168.0,50.3,181.0,33.3,144.0,30.4,117.0,28.6,305.0,34.3,121.0,67.1,171.0,0.01
