Rk,Team,Seed,Conf,G,Rec,ConfRec,Wins,Losses,WinPct,ConfWins,ConfLosses,ConfWinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
1,Louisville,4,Amer,5,5-0,,5,0,1.0,,,,2–0,124.2,10.0,78.9,3.0,0.9946,1.0,53.0,72.0,41.1,16.0,14.6,64.0,28.6,3.0,38.5,31.0,33.3,219.0,41.9,121.0,30.5,68.0,48.3,156.0,42.5,46.0,41.1,55.0,25.3,29.0,35.8,119.0,30.9,116.0,70.3,31.0,2.3
2,Tennessee,11,SEC,5,4-1,,4,1,0.8,,,,2–0,114.7,50.0,78.8,2.0,0.9867,2.0,50.0,128.0,40.5,12.0,16.5,121.0,15.6,241.0,33.5,104.0,20.6,15.0,36.5,203.0,26.7,34.0,55.1,36.0,41.1,27.0,26.7,281.0,26.0,36.0,33.8,154.0,29.4,90.0,59.9,309.0,0.8
3,Florida,1,SEC,4,4-0,,4,0,1.0,,,,1–0,112.5,84.0,80.3,5.0,0.9796,3.0,57.3,18.0,42.2,21.0,17.7,161.0,22.0,37.0,24.4,271.0,23.3,39.0,41.9,121.0,42.2,189.0,48.5,151.0,45.5,97.0,50.0,4.0,21.3,10.0,33.3,166.0,24.5,27.0,64.9,165.0,2.4
4,Michigan State,4,B10,5,4-1,,4,1,0.8,,,,1–1,131.6,2.0,94.1,43.0,0.9794,4.0,57.3,18.0,47.9,131.0,19.3,221.0,15.8,232.0,39.3,26.0,30.2,157.0,33.6,235.0,38.8,146.0,53.8,49.0,45.9,114.0,43.0,36.0,34.4,170.0,32.1,191.0,34.6,196.0,63.8,202.0,2.1
6,Arizona,1,P12,5,3-2,,3,2,0.6,,,,1–1,112.8,80.0,83.6,7.0,0.969,6.0,51.7,102.0,42.0,19.0,15.5,88.0,19.0,111.0,30.9,152.0,27.4,96.0,35.2,216.0,39.5,154.0,50.8,95.0,36.2,7.0,35.6,133.0,40.3,265.0,32.2,188.0,23.8,21.0,62.0,267.0,0.8
7,North Dakota State,12,Sum,2,2-0,,2,0,1.0,,,,0–0,123.2,12.0,91.6,20.0,0.9679,7.0,57.4,17.0,44.7,48.0,9.9,5.0,17.9,145.0,29.6,174.0,30.8,173.0,33.3,236.0,32.6,87.0,52.7,59.0,49.2,193.0,46.4,16.0,23.3,15.0,27.5,267.0,31.6,129.0,58.6,318.0,0.42
8,Wichita State,1,MVC,3,3-0,,3,0,1.0,,,,0–0,123.9,11.0,92.4,26.0,0.967,8.0,57.0,23.0,43.1,29.0,13.6,40.0,17.9,145.0,34.0,94.0,28.7,117.0,39.4,162.0,27.5,42.0,51.0,90.0,37.5,10.0,44.4,27.0,35.7,195.0,38.2,77.0,35.0,206.0,61.6,282.0,0.6
9,Pittsburgh,9,ACC,4,3-1,,3,1,0.75,,,,1–0,121.2,19.0,92.6,30.0,0.957,9.0,52.5,83.0,46.8,103.0,16.2,114.0,18.5,126.0,35.2,70.0,27.0,92.0,45.7,80.0,36.6,126.0,51.9,75.0,48.3,168.0,36.1,123.0,29.0,70.0,27.9,261.0,31.9,136.0,65.7,141.0,1.3
10,Virginia,1,ACC,4,3-1,,3,1,0.75,,,,0–1,117.1,34.0,90.2,15.0,0.9529,10.0,49.2,150.0,45.7,69.0,16.0,109.0,17.3,169.0,33.9,96.0,32.5,206.0,45.2,87.0,31.9,79.0,50.8,95.0,43.4,56.0,30.8,222.0,34.5,173.0,33.0,174.0,26.6,51.0,57.3,327.0,1.7
11,Nebraska,11,B10,3,2-1,,2,1,0.6667,,,,2–0,120.9,20.0,93.6,39.0,0.9504,11.0,49.7,138.0,46.8,103.0,12.6,26.0,18.2,136.0,24.0,278.0,33.6,224.0,38.8,167.0,38.6,144.0,47.0,185.0,47.3,151.0,37.5,95.0,30.5,96.0,29.1,239.0,34.5,194.0,66.4,113.0,1.0
