Rk,Team,Seed,Conf,G,Rec,ConfRec,Wins,Losses,WinPct,ConfWins,ConfLosses,ConfWinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
1,Villanova,1,BE,5,5-0,,5,0,1.0,,,,2–0,128.6,2.0,91.8,28.0,0.9798,1.0,57.7,25.0,47.0,88.0,15.0,82.0,15.9,206.0,31.0,94.0,23.3,80.0,24.8,280.0,26.7,74.0,57.4,22.0,49.5,169.0,38.7,84.0,28.6,52.0,50.0,14.0,37.8,180.0,65.6,262.0,2.6
2,Michigan,3,B10,4,4-0,,4,0,1.0,,,,0–0,119.4,25.0,86.3,7.0,0.9767,2.0,52.9,88.0,43.6,32.0,11.8,22.0,15.9,206.0,24.1,238.0,27.5,165.0,47.3,26.0,30.5,119.0,53.8,64.0,45.2,79.0,34.4,161.0,27.2,36.0,40.5,108.0,34.3,109.0,65.7,257.0,2.3
3,North Carolina,2,ACC,5,3-2,,3,2,0.6,,,,0–1,121.0,15.0,90.5,17.0,0.9657,3.0,46.1,255.0,45.5,63.0,16.2,131.0,16.5,190.0,35.8,24.0,31.8,241.0,27.7,252.0,30.8,124.0,46.9,225.0,41.1,22.0,29.8,240.0,35.5,191.0,39.0,135.0,35.8,140.0,70.4,84.0,1.6
4,Virginia,1,ACC,5,5-0,,5,0,1.0,,,,2–0,120.2,20.0,91.8,29.0,0.9568,4.0,51.3,118.0,45.3,59.0,11.9,26.0,15.2,230.0,27.2,180.0,23.4,84.0,28.0,249.0,40.7,252.0,47.2,215.0,41.2,23.0,41.0,46.0,33.6,151.0,28.4,299.0,44.7,287.0,60.7,328.0,2.8
6,Gonzaga,4,WCC,3,3-0,,3,0,1.0,,,,0–0,118.5,29.0,91.6,27.0,0.9507,6.0,63.2,6.0,43.4,29.0,16.6,150.0,14.7,246.0,23.9,241.0,18.9,28.0,25.7,273.0,18.7,16.0,55.9,35.0,38.3,9.0,49.3,3.0,35.5,191.0,40.4,110.0,34.1,104.0,69.4,126.0,0.6
7,San Diego State,11,MWC,4,4-0,,4,0,1.0,,,,1–0,112.9,64.0,87.8,12.0,0.9472,7.0,53.6,73.0,47.3,94.0,16.6,150.0,16.2,200.0,31.4,85.0,24.3,101.0,48.9,18.0,24.7,50.0,55.2,43.0,50.0,177.0,33.3,178.0,28.6,52.0,30.9,275.0,37.4,168.0,69.8,111.0,1.5
8,Kentucky,5,SEC,5,4-1,,4,1,0.8,,,,1–1,126.7,3.0,98.9,93.0,0.9457,8.0,55.7,38.0,45.9,66.0,15.2,91.0,16.4,194.0,33.3,52.0,36.5,307.0,43.6,45.0,29.9,108.0,50.5,129.0,42.6,35.0,44.7,21.0,33.6,151.0,31.1,270.0,42.1,263.0,66.5,224.0,1.5
9,Xavier,1,BE,4,3-1,,3,1,0.75,,,,2–0,119.9,22.0,93.6,38.0,0.9452,9.0,49.1,185.0,46.8,84.0,17.7,187.0,16.3,195.0,32.6,63.0,19.0,29.0,39.1,86.0,24.9,52.0,50.0,139.0,56.8,295.0,31.6,214.0,20.2,5.0,33.9,225.0,37.6,174.0,68.5,151.0,0.8
10,Seton Hall,8,BE,3,1-2,,1,2,0.3333,,,,1–1,116.3,41.0,92.1,30.0,0.9359,10.0,50.0,156.0,47.3,94.0,16.0,123.0,13.1,279.0,27.7,164.0,24.6,108.0,35.1,141.0,26.3,68.0,50.0,139.0,55.6,287.0,33.3,178.0,25.3,19.0,33.3,243.0,46.8,304.0,66.2,239.0,-0.08
11,Houston,6,Amer,5,4-1,,4,1,0.8,,,,2–0,117.7,32.0,93.2,36.0,0.9356,11.0,51.2,122.0,46.4,75.0,15.6,107.0,19.8,64.0,30.4,107.0,29.4,199.0,37.4,99.0,45.4,284.0,52.0,97.0,45.5,84.0,33.3,178.0,32.1,117.0,38.4,145.0,33.5,88.0,67.8,187.0,1.1
12,Florida,6,SEC,2,1-1,,1,1,0.5,,,,1–0,125.7,4.0,99.7,107.0,0.9347,12.0,55.1,46.0,50.0,161.0,14.6,70.0,14.6,250.0,29.0,140.0,41.7,332.0,29.1,228.0,39.0,231.0,49.2,169.0,45.8,90.0,41.1,44.0,40.0,268.0,47.9,27.0,29.7,40.0,64.2,300.0,-0.01
