Rk,Team,Seed,Conf,G,Rec,ConfRec,Wins,Losses,WinPct,ConfWins,ConfLosses,ConfWinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
1,Illinois,1,B10,4,4-0,,4,0,1.0,,,,1–0,124.4,11.0,88.2,18.0,0.9813,1.0,53.7,69.0,48.2,118.0,15.2,83.0,13.8,251.0,35.2,34.0,22.8,67.0,44.0,20.0,31.0,157.0,55.6,42.0,49.7,156.0,32.3,174.0,30.3,91.0,26.7,279.0,35.9,145.0,70.7,83.0,2.7
2,UConn,7,BE,3,2-1,,2,1,0.6667,,,,1–0,127.2,4.0,91.1,38.0,0.9789,2.0,51.6,104.0,44.9,49.0,13.8,47.0,19.6,91.0,36.8,21.0,31.3,215.0,32.6,114.0,32.2,174.0,52.8,89.0,41.5,24.0,32.9,165.0,36.2,174.0,36.3,155.0,26.6,15.0,68.6,143.0,0.23
3,St. Bonaventure,9,A10,3,3-0,,3,0,1.0,,,,0–0,121.2,17.0,86.9,13.0,0.9785,3.0,50.8,126.0,41.9,13.0,15.7,94.0,18.3,131.0,36.9,20.0,27.5,148.0,22.8,237.0,29.9,141.0,53.7,73.0,41.1,22.0,30.2,205.0,29.1,70.0,34.2,190.0,32.9,91.0,65.0,243.0,1.2
4,Gonzaga,1,WCC,2,2-0,,2,0,1.0,,,,0–0,128.1,3.0,92.0,48.0,0.9782,4.0,59.2,15.0,46.5,83.0,14.2,56.0,14.9,229.0,25.8,171.0,20.3,34.0,31.9,124.0,14.8,8.0,57.7,23.0,50.0,158.0,41.5,45.0,27.1,50.0,34.5,185.0,37.5,178.0,73.4,28.0,1.0
5,Loyola Chicago,8,MVC,3,3-0,,3,0,1.0,,,,0–0,119.7,21.0,86.0,11.0,0.9781,5.0,60.5,9.0,45.5,60.0,20.2,221.0,16.9,174.0,25.6,175.0,18.9,24.0,23.0,232.0,18.1,21.0,52.6,94.0,44.0,57.0,49.1,6.0,32.6,122.0,37.5,129.0,29.7,35.0,62.9,280.0,0.7
6,North Carolina,8,ACC,4,3-1,,3,1,0.75,,,,1–0,117.8,31.0,86.9,14.0,0.9707,6.0,51.7,102.0,45.9,67.0,18.4,181.0,20.4,67.0,43.7,3.0,28.9,175.0,36.4,72.0,29.6,131.0,49.2,146.0,46.5,98.0,38.3,70.0,29.8,83.0,30.7,235.0,34.6,119.0,73.9,19.0,1.0
7,Ohio,13,MAC,3,3-0,,3,0,1.0,,,,0–0,123.6,13.0,91.9,47.0,0.9677,7.0,59.1,16.0,45.3,57.0,17.7,155.0,19.6,91.0,35.1,36.0,32.5,242.0,33.7,100.0,33.7,188.0,55.3,48.0,50.0,158.0,44.8,21.0,25.4,33.0,32.0,216.0,39.2,204.0,69.3,120.0,1.0
8,Alabama,2,SEC,4,4-0,,4,0,1.0,,,,1–0,116.1,36.0,86.5,12.0,0.9672,8.0,52.0,92.0,44.6,42.0,19.2,195.0,20.9,59.0,37.7,15.0,33.1,248.0,18.8,267.0,25.6,86.0,52.3,103.0,44.2,59.0,34.4,129.0,30.2,90.0,44.0,42.0,33.3,95.0,73.4,28.0,2.0
9,Houston,2,Amer,4,4-0,,4,0,1.0,,,,1–0,129.6,2.0,97.3,103.0,0.9642,9.0,54.4,59.0,45.5,60.0,14.8,74.0,16.3,191.0,38.5,8.0,28.6,167.0,27.2,185.0,36.2,214.0,54.1,64.0,45.5,79.0,36.5,99.0,30.3,91.0,43.5,46.0,40.3,226.0,62.4,285.0,1.5
10,Syracuse,11,ACC,2,1-1,,1,1,0.5,,,,0–0,133.3,1.0,100.8,138.0,0.9613,10.0,59.0,18.0,48.7,129.0,14.2,56.0,19.0,106.0,36.7,22.0,38.8,288.0,22.2,243.0,31.0,157.0,54.5,57.0,45.9,89.0,43.1,30.0,34.6,152.0,43.6,44.0,46.0,278.0,67.9,168.0,0.1
11,Iowa,2,B10,4,3-1,,3,1,0.75,,,,2–0,118.8,26.0,90.8,35.0,0.9564,11.0,52.3,87.0,48.2,118.0,13.3,39.0,17.1,169.0,25.0,187.0,21.6,49.0,23.3,227.0,17.7,19.0,57.8,21.0,46.8,103.0,30.0,209.0,33.7,141.0,42.8,56.0,37.1,165.0,71.7,59.0,1.3
12,Tennessee,5,SEC,3,2-1,,2,1,0.6667,,,,1–0,110.7,70.0,84.8,7.0,0.9552,12.0,49.2,150.0,43.4,30.0,21.5,247.0,23.4,21.0,37.4,17.0,33.3,249.0,24.7,210.0,31.8,167.0,53.0,83.0,41.7,26.0,28.4,227.0,30.8,96.0,36.8,139.0,37.6,182.0,68.1,159.0,0.7
13,Georgetown,12,BE,5,4-1,,4,1,0.8,,,,0–1,113.0,51.0,88.6,20.0,0.9429,13.0,49.8,143.0,48.1,116.0,19.0,193.0,17.5,150.0,32.2,67.0,26.9,131.0,40.9,40.0,23.9,60.0,45.8,203.0,50.9,177.0,38.1,72.0,29.9,84.0,35.1,169.0,45.7,273.0,69.0,127.0,1.9
16,Ohio State,2,B10,5,3-2,,3,2,0.6,,,,0–1,123.3,14.0,97.2,100.0,0.9396,16.0,51.5,110.0,47.8,111.0,14.5,64.0,12.2,272.0,29.5,113.0,32.1,228.0,32.7,111.0,39.4,247.0,48.9,151.0,47.0,108.0,37.0,93.0,32.7,123.0,38.5,115.0,35.3,132.0,66.5,215.0,1.2
17,Virginia,4,ACC,2,2-0,,2,0,1.0,,,,1–0,126.5,7.0,100.7,135.0,0.9329,17.0,55.1,48.0,45.2,55.0,14.5,64.0,8.5,297.0,31.5,77.0,31.5,220.0,21.5,246.0,29.8,138.0,66.7,1.0,40.5,16.0,28.0,232.0,37.1,192.0,46.7,24.0,30.7,49.0,59.5,300.0,1.1
18,Winthrop,12,BSth,2,2-0,,2,0,1.0,,,,0–0,112.7,60.0,89.7,27.0,0.9324,18.0,59.3,14.0,46.8,88.0,17.8,159.0,23.0,28.0,33.3,54.0,24.3,83.0,30.1,149.0,26.9,107.0,66.7,1.0,47.9,123.0,31.8,184.0,29.7,80.0,38.9,107.0,34.3,112.0,71.4,64.0,0.14
19,Texas,3,B12,4,4-0,,4,0,1.0,,,,2–0,118.8,25.0,94.7,73.0,0.9313,19.0,57.7,25.0,49.8,150.0,22.9,276.0,18.5,127.0,33.3,54.0,29.1,182.0,28.1,174.0,29.4,128.0,52.9,86.0,49.7,156.0,43.5,28.0,33.3,129.0,38.5,115.0,35.7,144.0,69.2,122.0,2.1
22,Baylor,1,B12,4,3-1,,3,1,0.75,,,,2–0,127.0,6.0,102.0,157.0,0.9255,22.0,56.1,34.0,53.6,223.0,21.4,245.0,20.0,78.0,40.2,4.0,30.2,202.0,28.2,172.0,33.0,179.0,52.8,89.0,49.3,153.0,40.6,51.0,41.7,253.0,40.3,83.0,32.1,72.0,68.3,152.0,0.7
23,Abilene Christian,14,Slnd,3,3-0,,3,0,1.0,,,,1–0,111.9,63.0,89.9,29.0,0.9254,23.0,55.6,39.0,44.8,45.0,18.1,171.0,23.2,24.0,39.0,7.0,21.7,50.0,23.5,226.0,20.2,33.0,50.8,118.0,43.0,43.0,42.1,41.0,31.8,109.0,38.8,109.0,38.2,192.0,72.1,50.0,0.15
24,Texas Tech,6,B12,3,1-2,,1,2,0.3333,,,,1–1,119.3,23.0,96.3,87.0,0.9216,24.0,54.2,61.0,53.0,215.0,17.3,141.0,22.9,31.0,31.6,74.0,37.3,283.0,37.3,62.0,23.8,59.0,51.7,109.0,41.8,27.0,40.0,56.0,44.2,268.0,30.1,246.0,45.8,275.0,64.9,245.0,-0.37
25,LSU,8,SEC,4,3-1,,3,1,0.75,,,,1–0,125.0,10.0,101.3,147.0,0.9185,25.0,50.4,130.0,47.0,92.0,12.8,31.0,16.3,191.0,34.0,47.0,39.3,290.0,26.4,194.0,29.2,127.0,47.8,169.0,48.7,142.0,37.3,89.0,29.7,80.0,31.3,224.0,41.6,247.0,68.9,130.0,1.4
26,Michigan,1,B10,4,2-2,,2,2,0.5,,,,1–1,115.7,39.0,93.8,67.0,0.9178,26.0,51.1,121.0,48.2,118.0,12.6,29.0,15.8,205.0,26.7,159.0,25.0,93.0,24.0,218.0,26.8,104.0,48.0,164.0,46.1,93.0,38.0,77.0,35.3,161.0,34.5,185.0,30.9,53.0,64.5,254.0,0.12
27,Oklahoma State,4,B12,5,3-2,,3,2,0.6,,,,1–1,114.9,42.0,93.5,64.0,0.9143,27.0,55.8,37.0,49.5,145.0,22.8,274.0,18.7,120.0,34.4,42.0,36.5,279.0,32.0,121.0,34.7,200.0,57.8,21.0,52.5,204.0,34.1,136.0,29.6,77.0,29.9,251.0,36.3,151.0,73.3,32.0,1.7
28,Oregon,7,P12,3,2-1,,2,1,0.6667,,,,1–0,124.3,12.0,101.2,145.0,0.9141,28.0,62.3,5.0,55.4,240.0,15.1,81.0,19.2,102.0,21.8,246.0,28.4,165.0,30.7,139.0,25.3,83.0,56.7,32.0,54.9,241.0,47.0,10.0,37.5,197.0,40.5,80.0,38.6,198.0,66.5,215.0,0.42
29,Eastern Washington,14,BSky,4,4-0,,4,0,1.0,,,,1–0,104.5,133.0,85.2,8.0,0.9129,29.0,52.0,92.0,40.1,6.0,18.0,168.0,16.2,196.0,25.6,175.0,23.1,69.0,31.2,132.0,24.9,76.0,54.9,53.0,45.3,75.0,31.8,184.0,20.5,10.0,39.8,93.0,35.6,138.0,70.7,83.0,0.29
32,Wisconsin,9,B10,3,1-2,,1,2,0.3333,,,,0–1,113.8,45.0,92.9,60.0,0.9118,32.0,52.0,92.0,50.8,165.0,15.0,77.0,14.5,235.0,21.1,254.0,32.0,226.0,17.0,279.0,24.3,70.0,43.9,244.0,57.9,270.0,43.8,27.0,25.4,33.0,37.4,132.0,35.6,138.0,63.3,272.0,0.06
33,BYU,6,WCC,2,1-1,,1,1,0.5,,,,0–0,113.4,48.0,92.6,55.0,0.9115,33.0,51.6,104.0,51.6,185.0,18.6,187.0,12.8,260.0,24.7,189.0,19.7,29.0,26.6,191.0,36.4,218.0,49.4,142.0,53.9,224.0,36.7,97.0,32.1,114.0,38.3,121.0,41.1,244.0,68.9,130.0,0.22
34,Oregon State,12,P12,4,3-1,,3,1,0.75,,,,0–1,121.4,15.0,100.5,132.0,0.8977,34.0,55.6,39.0,54.1,227.0,17.4,145.0,16.6,184.0,30.8,93.0,33.3,249.0,35.3,83.0,36.7,223.0,53.0,83.0,53.4,219.0,39.8,61.0,36.8,185.0,38.6,113.0,39.9,218.0,64.7,247.0,1.4
35,Creighton,5,BE,4,3-1,,3,1,0.75,,,,1–0,111.4,66.0,92.6,56.0,0.8934,35.0,53.1,76.0,45.0,50.0,16.4,114.0,15.7,208.0,29.6,112.0,26.0,116.0,22.9,234.0,31.0,157.0,49.6,138.0,47.9,123.0,38.6,68.0,27.2,51.0,42.1,66.0,39.7,213.0,69.5,112.0,0.5
36,Maryland,10,B10,3,1-2,,1,2,0.3333,,,,0–1,109.6,82.0,91.5,42.0,0.8884,36.0,51.6,104.0,49.4,143.0,17.6,153.0,17.6,146.0,17.5,279.0,27.2,141.0,31.2,132.0,29.0,124.0,53.3,78.0,46.7,100.0,32.8,166.0,35.9,169.0,42.7,57.0,37.9,188.0,66.5,215.0,-0.4
37,Colorado,5,P12,4,3-1,,3,1,0.75,,,,1–0,116.5,35.0,97.3,101.0,0.8883,37.0,49.6,145.0,50.5,162.0,17.1,136.0,17.1,169.0,38.3,9.0,25.0,93.0,32.3,115.0,30.3,147.0,47.6,174.0,46.9,105.0,35.5,112.0,37.3,194.0,34.1,192.0,39.3,207.0,63.4,271.0,0.7
39,San Diego State,6,MWC,3,3-0,,3,0,1.0,,,,0–0,113.0,53.0,94.8,74.0,0.883,39.0,51.9,97.0,45.6,62.0,12.3,26.0,21.0,57.0,23.4,217.0,27.6,151.0,38.3,54.0,47.0,277.0,53.8,70.0,42.2,34.0,32.1,176.0,33.9,144.0,34.6,182.0,39.6,211.0,63.8,263.0,1.0
