Rk_AdjEM,Team,Seed,Conf,W-L,Wins,Losses,WinPct,AdjEM,AdjO,Rk_AdjO,AdjD,Rk_AdjD,AdjT,Rk_AdjT,Luck,Rk_Luck,SOS_AdjEM,Rk_SOS_AdjEM,SOS_AdjO,Rk_SOS_AdjO,SOS_AdjD,Rk_SOS_AdjD,NCSOS_AdjEM,Rk_NCSOS_AdjEM
1,Houston,1,Amer,31-3,31,3,0.9117647058823528,28.82,118.4,11,89.6,4,63.3,343,0.025,122,4.21,92,107.3,101,103.1,86,0.63,152
2,UCLA,2,P12,29-5,29,5,0.8529411764705882,27.63,114.9,25,87.2,1,66.3,230,-0.001,196,9.0,33,109.7,32,100.7,44,0.72,149
3,Alabama,1,SEC,29-5,29,5,0.8529411764705882,27.54,116.1,19,88.6,3,72.7,4,0.074,37,11.66,9,110.9,7,99.2,12,10.56,5
4,UConn,4,BE,25-8,25,8,0.7575757575757576,25.37,119.4,6,94.1,18,66.7,210,-0.061,312,8.51,44,109.1,50,100.6,38,-1.39,207
5,Tennessee,4,SEC,23-10,23,10,0.696969696969697,24.71,112.7,49,88.0,2,65.5,278,-0.071,324,8.77,37,109.5,39,100.7,43,3.16,86
6,Texas,2,B12,26-8,26,8,0.7647058823529411,24.57,116.6,18,92.0,11,69.1,91,0.02,131,12.11,8,111.0,5,98.9,6,-0.66,185
7,Purdue,1,B10,29-5,29,5,0.8529411764705882,24.55,119.4,7,94.8,26,64.4,322,0.032,97,9.84,21,110.4,16,100.6,37,0.95,140
8,Gonzaga,3,WCC,28-5,28,5,0.8484848484848485,24.31,124.0,1,99.7,76,70.1,44,0.047,71,7.49,60,110.2,21,102.7,77,8.31,11
9,Kansas,1,B12,27-7,27,7,0.7941176470588235,23.14,114.6,29,91.5,7,69.3,79,0.106,10,14.26,1,111.7,3,97.5,2,6.82,22
10,Arizona,2,P12,28-6,28,6,0.8235294117647058,22.86,120.0,4,97.1,41,72.3,9,0.041,85,8.83,36,107.9,87,99.1,9,3.47,79
11,Saint Mary's,5,WCC,26-7,26,7,0.7878787878787878,21.9,113.5,40,91.6,9,61.7,359,0.004,184,6.38,73,110.2,20,103.8,104,4.61,52
12,Marquette,2,BE,28-6,28,6,0.8235294117647058,21.83,119.3,8,97.5,47,68.4,135,0.014,150,8.67,39,109.5,35,100.9,51,-1.14,196
13,Creighton,6,BE,21-12,21,12,0.6363636363636364,20.65,114.6,28,94.0,15,68.0,149,-0.074,329,10.34,16,110.9,8,100.5,36,6.44,27
