Rk_AdjEM,Team,Seed,Conf,W-L,Wins,Losses,WinPct,AdjEM,AdjO,Rk_AdjO,AdjD,Rk_AdjD,AdjT,Rk_AdjT,Luck,Rk_Luck,SOS_AdjEM,Rk_SOS_AdjEM,SOS_AdjO,Rk_SOS_AdjO,SOS_AdjD,Rk_SOS_AdjD,NCSOS_AdjEM,Rk_NCSOS_AdjEM
1,Virginia,1,ACC,31-2,31,2,0.9393939393939394,32.11,116.5,21,84.4,1,59.1,351,0.032,97,9.93,25,110.7,28,100.8,25,0.23,158
2,Villanova,1,BE,30-4,30,4,0.8823529411764706,31.35,127.4,1,96.0,24,68.2,169,-0.018,225,10.17,20,111.1,19,101.0,30,4.19,61
3,Duke,2,ACC,26-7,26,7,0.7878787878787878,29.03,122.5,3,93.5,7,69.9,78,-0.029,261,10.75,14,110.8,27,100.0,10,4.38,56
4,Cincinnati,2,Amer,30-4,30,4,0.8823529411764706,27.04,113.2,54,86.1,2,64.6,323,-0.004,184,3.22,87,106.9,100,103.7,91,-4.1,295
5,Purdue,2,B10,28-6,28,6,0.8235294117647058,26.6,123.2,2,96.6,31,67.2,219,0.003,167,8.47,46,109.2,56,100.7,21,0.94,145
6,Michigan State,3,B10,29-4,29,4,0.8787878787878788,26.26,119.9,10,93.6,9,67.1,222,0.048,66,6.39,64,108.9,61,102.5,69,-4.77,301
7,North Carolina,2,ACC,25-10,25,10,0.7142857142857143,24.99,121.9,5,96.9,34,70.9,50,-0.019,230,13.98,1,112.3,1,98.3,1,7.98,15
8,Gonzaga,4,WCC,30-4,30,4,0.8823529411764706,24.86,119.8,12,95.0,16,68.8,127,-0.006,194,1.05,127,106.5,105,105.5,155,3.26,81
9,Kansas,1,B12,27-7,27,7,0.7941176470588235,23.28,121.0,6,97.7,46,68.3,164,0.06,50,11.5,6,111.5,11,100.0,11,3.67,76
10,Michigan,3,B10,28-7,28,7,0.8,23.13,115.8,28,92.7,5,64.3,333,0.037,87,8.69,44,111.0,23,102.3,65,-4.5,299
11,Tennessee,3,SEC,25-8,25,8,0.7575757575757576,22.29,114.8,40,92.5,4,66.1,271,0.04,77,11.73,4,112.2,2,100.4,16,7.68,19
12,Texas Tech,3,B12,24-9,24,9,0.7272727272727273,22.0,114.0,45,92.0,3,66.5,252,-0.021,236,9.28,35,110.3,35,101.0,32,-5.07,312
13,West Virginia,5,B12,24-10,24,10,0.7058823529411765,21.83,119.1,13,97.3,40,68.9,119,-0.009,200,10.52,15,109.9,43,99.4,2,-4.33,297
14,Xavier,1,BE,28-5,28,5,0.8484848484848485,21.61,120.7,7,99.1,62,70.4,63,0.109,9,9.52,31,110.1,40,100.6,20,2.09,105
15,Ohio State,5,B10,24-8,24,8,0.75,21.04,116.1,26,95.1,17,66.3,263,0.027,107,8.06,51,109.6,46,101.6,48,0.46,151
16,Auburn,4,SEC,25-7,25,7,0.78125,20.83,118.2,16,97.4,42,72.2,20,-0.012,207,7.71,55,109.1,58,101.4,45,-1.54,206
17,Houston,6,Amer,26-7,26,7,0.7878787878787878,20.61,115.8,29,95.2,18,68.2,172,-0.009,203,3.43,84,106.6,102,103.2,80,-2.68,246
18,Kentucky,5,SEC,24-10,24,10,0.7058823529411765,20.47,116.5,22,96.0,22,68.5,158,-0.001,176,11.2,8,111.0,22,99.8,4,4.92,46
19,Clemson,5,ACC,23-9,23,9,0.71875,20.26,113.8,47,93.5,8,65.6,297,0.004,162,9.71,28,110.7,29,101.0,31,-1.62,207
20,Wichita State,4,Amer,25-7,25,7,0.78125,20.1,122.0,4,101.9,110,68.5,153,-0.015,218,5.56,72,107.7,76,102.2,63,1.96,109
21,Arizona,4,P12,27-7,27,7,0.7941176470588235,19.16,118.9,14,99.7,70,67.2,216,0.025,117,6.11,67,108.7,63,102.6,70,2.72,87
22,TCU,6,B12,21-11,21,11,0.65625,18.97,120.7,8,101.7,106,68.6,145,-0.058,309,9.83,26,111.3,16,101.5,47,-0.49,178
23,Florida,6,SEC,20-12,20,12,0.625,18.82,115.1,37,96.3,27,66.7,241,-0.049,295,10.82,12,110.7,30,99.9,7,4.49,55
24,Nevada,7,MWC,27-7,27,7,0.7941176470588235,18.13,119.8,11,101.7,107,69.4,100,-0.028,260,4.38,79,107.2,90,102.8,72,4.2,60
26,Butler,10,BE,20-13,20,13,0.6060606060606061,17.78,115.7,30,97.9,49,67.8,191,-0.037,274,10.46,16,111.7,8,101.3,41,0.24,157
27,Seton Hall,8,BE,21-11,21,11,0.65625,17.21,116.3,25,99.1,61,69.3,105,-0.02,235,9.44,33,110.3,37,100.8,26,0.24,156
28,Creighton,8,BE,21-11,21,11,0.65625,17.17,116.4,23,99.2,63,70.8,55,-0.018,229,9.08,38,111.0,26,101.9,56,-3.92,291
29,Texas A&M,7,SEC,20-12,20,12,0.625,16.99,111.2,70,94.3,12,68.9,120,-0.007,195,11.4,7,112.0,3,100.6,19,5.25,38
32,Virginia Tech,8,ACC,21-11,21,11,0.65625,16.61,115.0,38,98.4,55,68.6,147,-0.003,181,8.13,49,109.7,44,101.6,50,-9.45,343
35,Florida State,9,ACC,20-11,20,11,0.6451612903225806,15.77,115.8,27,100.1,79,71.5,32,-0.032,265,7.9,54,109.0,60,101.1,34,-6.63,329
36,Arkansas,7,SEC,23-11,23,11,0.6764705882352942,15.73,117.3,18,101.6,104,69.6,92,0.062,40,10.23,19,111.0,25,100.7,22,1.26,135
37,Miami (FL),6,ACC,22-9,22,9,0.7096774193548387,15.68,113.3,50,97.6,44,67.0,224,0.034,93,8.12,50,109.5,49,101.4,44,-3.51,281
38,Missouri,8,SEC,20-12,20,12,0.625,15.54,113.2,51,97.7,45,65.6,295,-0.021,237,9.65,30,110.1,41,100.4,14,1.17,136
39,Texas,10,B12,19-14,19,14,0.5757575757575758,15.53,109.4,95,93.8,11,65.1,316,-0.018,226,11.82,3,111.6,9,99.8,6,2.25,100
41,Loyola Chicago,11,MVC,28-5,28,5,0.8484848484848485,15.13,111.3,68,96.2,26,65.2,312,0.058,53,0.06,141,103.7,229,103.6,88,-5.47,315
42,NC State,9,ACC,21-11,21,11,0.65625,15.05,116.4,24,101.4,99,71.3,40,0.007,155,7.52,56,108.7,62,101.2,39,-9.44,342
43,Davidson,12,A10,21-11,21,11,0.65625,15.01,117.5,17,102.5,117,64.1,335,-0.051,297,1.96,107,105.8,128,103.9,94,1.82,116
44,Kansas State,9,B12,22-11,22,11,0.6666666666666666,14.79,112.2,60,97.4,41,65.5,303,0.056,56,9.22,36,111.3,15,102.1,61,-6.13,323
47,Oklahoma,10,B12,18-13,18,13,0.5806451612903226,14.52,115.2,36,100.7,87,75.7,4,0.005,159,12.02,2,111.8,6,99.8,3,2.44,95
48,Rhode Island,7,A10,25-7,25,7,0.78125,14.46,111.7,62,97.3,39,68.6,148,0.037,84,2.74,97,107.3,87,104.6,118,4.08,64
50,San Diego State,11,MWC,22-10,22,10,0.6875,14.08,111.2,71,97.1,36,68.6,149,-0.015,220,3.28,86,107.4,84,104.1,103,-0.2,170
51,Alabama,9,SEC,19-15,19,15,0.5588235294117647,13.98,108.5,115,94.5,13,68.7,139,0.0,173,11.16,9,111.0,20,99.9,8,3.16,84
52,Syracuse,11,ACC,21-13,21,13,0.6176470588235294,13.82,107.5,130,93.7,10,63.1,343,0.016,133,8.86,41,111.0,21,102.1,60,-0.11,167
56,New Mexico State,12,WAC,28-5,28,5,0.8484848484848485,13.51,108.3,117,94.8,15,68.1,176,0.032,96,-1.58,180,104.2,201,105.8,172,4.26,58
59,Murray State,12,OVC,26-5,26,5,0.8387096774193549,12.91,113.2,53,100.3,83,67.2,217,-0.013,211,-4.01,257,102.8,271,106.8,234,-0.55,180
65,Providence,10,BE,21-13,21,13,0.6176470588235294,11.8,108.8,105,97.0,35,67.0,223,0.088,21,10.29,18,111.9,4,101.6,51,-1.19,192
67,St. Bonaventure,11,A10,26-7,26,7,0.7878787878787878,11.65,111.7,63,100.0,78,69.1,116,0.08,22,2.54,99,107.2,91,104.6,119,1.16,138
70,Montana,14,BSky,26-7,26,7,0.7878787878787878,10.61,110.0,82,99.4,65,67.9,185,-0.005,186,-2.4,210,104.1,210,106.5,213,2.39,96
71,Buffalo,13,MAC,26-8,26,8,0.7647058823529411,10.58,114.2,42,103.7,136,72.7,15,-0.005,191,-0.96,167,104.8,175,105.7,166,4.05,66
75,South Dakota State,12,Sum,28-6,28,6,0.8235294117647058,10.15,114.3,41,104.2,152,70.1,72,0.111,8,-0.53,154,105.9,125,106.4,205,3.82,73
82,UNC Greensboro,13,SC,27-7,27,7,0.7941176470588235,9.38,105.8,164,96.4,28,64.9,318,-0.011,206,-4.67,275,103.7,223,108.4,312,-2.95,261
95,Georgia State,15,SB,24-10,24,10,0.7058823529411765,7.26,109.0,101,101.8,108,66.8,235,-0.022,238,-2.75,229,103.7,230,106.4,210,-2.8,251
100,Bucknell,14,Pat,25-9,25,9,0.7352941176470589,6.69,109.1,100,102.4,114,71.3,38,0.02,127,-5.0,284,102.7,278,107.7,272,5.99,31
109,Marshall,13,CUSA,24-10,24,10,0.7058823529411765,5.94,109.6,92,103.7,135,74.7,6,0.04,76,-1.16,171,104.9,168,106.1,189,-6.78,333
112,Stephen F. Austin,14,Slnd,28-6,28,6,0.8235294117647058,5.53,105.0,177,99.4,66,71.1,48,0.037,82,-7.64,329,100.7,332,108.3,309,-1.9,221
120,College of Charleston,13,CAA,26-7,26,7,0.7878787878787878,4.8,109.9,84,105.1,169,64.6,324,0.049,64,-4.56,270,104.8,171,109.4,338,-7.35,337
126,Penn,16,Ivy,24-8,24,8,0.75,3.66,103.5,201,99.9,74,68.8,131,0.078,24,-4.68,276,103.6,237,108.3,303,-2.81,252
131,Wright State,14,Horz,25-9,25,9,0.7352941176470589,3.05,101.1,245,98.1,53,68.1,173,0.056,57,-4.58,271,102.6,279,107.2,254,2.37,97
136,Iona,15,MAAC,20-13,20,13,0.6060606060606061,2.64,110.1,80,107.5,218,70.6,58,-0.022,240,-2.65,222,103.1,259,105.7,165,2.19,101
154,Cal State Fullerton,15,BW,20-11,20,11,0.6451612903225806,1.3,105.0,176,103.7,137,69.4,98,0.089,19,-1.31,175,103.7,227,105.0,135,3.6,78
165,Radford,16,BSth,23-12,23,12,0.6571428571428571,0.52,103.4,206,102.8,124,62.9,345,0.047,67,-4.24,266,102.8,273,107.0,248,4.0,68
166,Lipscomb,15,ASun,23-9,23,9,0.71875,0.45,103.9,195,103.4,131,74.8,5,0.114,7,-4.87,280,103.0,260,107.9,289,6.19,29
189,UMBC,16,AE,24-10,24,10,0.7058823529411765,-2.3,103.1,212,105.4,177,68.1,180,0.145,1,-5.99,300,102.3,291,108.3,307,-3.4,277
243,Texas Southern,16,SWAC,16-19,16,19,0.4571428571428571,-6.75,104.7,182,111.5,299,71.4,37,-0.008,198,-6.89,315,100.9,329,107.8,277,17.53,1
