Rk_AdjEM,Team,Seed,Conf,W-L,Wins,Losses,WinPct,AdjEM,AdjO,Rk_AdjO,AdjD,Rk_AdjD,AdjT,Rk_AdjT,Luck,Rk_Luck,SOS_AdjEM,Rk_SOS_AdjEM,SOS_AdjO,Rk_SOS_AdjO,SOS_AdjD,Rk_SOS_AdjD,NCSOS_AdjEM,Rk_NCSOS_AdjEM
1,Gonzaga,1,WCC,26-3,26,3,0.896551724137931,32.95,121.8,1,88.9,7,72.5,4,-0.038,270,3.72,100,104.4,112,100.7,92,-2.55,243
2,Arizona,1,P12,31-3,31,3,0.9117647058823528,27.24,119.6,5,92.4,20,72.2,8,0.046,76,6.33,69,106.0,75,99.7,56,-0.33,175
3,Kentucky,2,SEC,26-7,26,7,0.7878787878787878,26.63,120.1,4,93.5,25,67.4,154,-0.032,252,9.1,29,107.0,51,97.9,17,-2.79,250
4,Baylor,1,B12,26-6,26,6,0.8125,26.52,117.9,9,91.4,14,67.2,169,0.019,140,10.89,10,107.5,33,96.6,5,-1.43,206
5,Houston,5,Amer,29-5,29,5,0.8529411764705882,26.51,117.3,10,90.8,11,63.9,333,-0.007,194,4.28,94,104.5,108,100.3,76,0.36,152
6,Kansas,1,B12,28-6,28,6,0.8235294117647058,25.63,119.4,6,93.8,28,69.1,69,0.035,102,12.12,3,107.6,30,95.5,1,4.5,48
7,Tennessee,3,SEC,26-7,26,7,0.7878787878787878,25.26,111.4,35,86.1,3,67.2,172,0.044,80,11.75,5,108.7,10,97.0,10,4.71,46
8,UCLA,4,P12,25-7,25,7,0.78125,24.92,116.1,14,91.2,12,65.6,260,-0.028,244,8.54,37,107.4,37,98.9,38,4.3,53
9,Texas Tech,3,B12,25-9,25,9,0.7352941176470589,24.8,109.7,61,84.9,1,66.5,211,-0.025,235,10.34,15,107.5,34,97.2,11,-7.9,344
10,Auburn,2,SEC,27-5,27,5,0.84375,24.45,113.6,25,89.1,8,70.0,41,-0.039,273,8.74,32,107.2,44,98.5,26,4.13,56
11,Villanova,2,BE,26-7,26,7,0.7878787878787878,24.04,117.9,8,93.9,30,62.6,345,0.051,71,10.65,12,108.5,14,97.8,15,8.75,16
12,Duke,2,ACC,28-6,28,6,0.8235294117647058,23.79,119.4,7,95.6,43,67.4,150,-0.011,202,6.18,71,107.4,39,101.2,103,-4.49,290
13,Iowa,5,B10,26-9,26,9,0.7428571428571429,23.59,121.5,2,97.9,77,69.6,52,-0.05,296,7.67,48,107.6,32,99.9,63,-6.29,324
14,Purdue,3,B10,27-7,27,7,0.7941176470588235,22.39,121.3,3,98.9,98,65.8,247,0.035,101,9.06,30,108.8,9,99.8,60,-3.62,271
15,Texas,6,B12,21-11,21,11,0.65625,20.54,111.8,33,91.3,13,63.1,341,-0.044,283,9.63,21,107.1,46,97.5,13,-7.61,341
16,Saint Mary's,5,WCC,25-7,25,7,0.78125,19.72,109.7,60,90.0,9,63.5,338,0.037,97,6.79,59,107.1,47,100.3,77,3.78,68
17,Illinois,4,B10,22-9,22,9,0.7096774193548387,19.66,113.7,23,94.0,31,67.1,176,0.025,126,10.28,18,109.2,5,98.9,37,1.59,123
18,UConn,5,BE,23-9,23,9,0.71875,19.27,113.9,22,94.6,36,64.9,292,-0.03,249,7.45,52,105.9,77,98.4,25,-3.43,266
19,LSU,6,SEC,22-11,22,11,0.6666666666666666,19.1,107.6,89,88.5,4,68.7,93,-0.041,277,9.11,28,107.7,27,98.5,27,-0.98,189
20,Arkansas,4,SEC,25-8,25,8,0.7575757575757576,19.06,111.1,39,92.0,16,70.6,28,0.027,118,7.96,44,106.8,56,98.8,35,-2.68,248
21,San Francisco,10,WCC,24-9,24,9,0.7272727272727273,18.32,110.8,44,92.4,21,68.7,91,-0.029,248,5.53,79,105.7,79,100.2,73,2.7,96
22,Virginia Tech,11,ACC,23-12,23,12,0.6571428571428571,17.99,114.3,18,96.3,55,62.9,344,-0.054,303,6.55,64,107.0,48,100.5,85,-0.63,181
23,San Diego State,8,MWC,23-8,23,8,0.7419354838709677,17.87,103.9,160,86.0,2,65.3,268,0.013,149,6.42,66,106.0,73,99.6,52,3.07,88
24,Loyola Chicago,10,MVC,25-7,25,7,0.78125,17.86,110.9,41,93.0,22,64.6,310,0.016,144,3.39,103,104.7,105,101.3,109,3.74,72
25,Alabama,6,SEC,19-13,19,13,0.59375,17.38,116.1,15,98.7,94,71.7,13,-0.022,227,12.78,1,109.7,3,96.9,8,10.19,11
27,Murray State,7,OVC,30-2,30,2,0.9375,16.3,111.4,34,95.1,41,65.8,246,0.075,40,-3.75,239,101.2,235,104.9,245,4.42,51
28,Memphis,9,Amer,21-10,21,10,0.6774193548387096,16.18,110.4,49,94.2,33,70.3,34,-0.018,215,6.68,61,106.3,64,99.6,53,4.78,43
29,Boise State,8,MWC,27-7,27,7,0.7941176470588235,16.13,108.3,78,92.2,19,64.6,307,0.027,117,5.71,75,105.0,96,99.3,47,0.84,141
30,North Carolina,8,ACC,24-9,24,9,0.7272727272727273,16.11,113.1,26,97.0,64,70.2,39,0.079,33,7.29,54,107.8,23,100.5,86,3.66,75
31,Ohio State,7,B10,19-11,19,11,0.6333333333333333,15.87,116.6,13,100.8,130,65.0,289,-0.015,205,9.49,22,108.3,18,98.8,34,2.3,103
32,Michigan,11,B10,17-14,17,14,0.5483870967741935,15.7,114.2,19,98.5,88,66.3,218,-0.026,239,11.74,6,110.0,1,98.2,21,6.5,28
33,Wisconsin,3,B10,24-7,24,7,0.7741935483870968,15.66,110.4,48,94.7,37,66.5,208,0.119,6,10.1,19,109.0,7,98.9,36,2.74,94
34,Colorado State,6,MWC,25-5,25,5,0.8333333333333334,15.53,114.0,20,98.4,84,65.1,280,0.13,4,5.27,84,105.0,93,99.8,61,-1.96,227
35,Indiana,12,B10,21-13,21,13,0.6176470588235294,15.33,107.5,91,92.2,18,67.0,185,-0.037,265,8.43,39,108.5,13,100.1,70,-6.07,322
37,TCU,9,B12,20-12,20,12,0.625,15.03,108.3,79,93.3,24,65.9,245,0.034,104,10.95,9,107.7,26,96.8,6,-4.6,293
39,Michigan State,7,B10,22-12,22,12,0.6470588235294118,14.92,111.3,37,96.4,56,67.5,142,0.05,72,10.74,11,109.4,4,98.6,29,4.08,57
40,Seton Hall,8,BE,21-10,21,10,0.6774193548387096,14.89,108.4,76,93.5,26,67.3,163,0.011,152,8.71,34,107.6,29,98.9,39,1.12,134
41,Davidson,10,A10,27-6,27,6,0.8181818181818182,14.86,116.7,12,101.9,150,64.6,305,-0.004,184,1.45,123,102.6,173,101.2,104,-1.91,226
42,USC,7,P12,26-7,26,7,0.7878787878787878,14.56,110.5,47,95.9,48,66.0,237,0.077,35,5.32,82,104.9,97,99.6,54,-4.35,289
46,Iowa State,11,B12,20-12,20,12,0.625,14.1,104.4,151,90.3,10,66.1,232,0.038,93,10.32,16,107.8,24,97.4,12,-6.54,328
47,UAB,12,CUSA,27-7,27,7,0.7941176470588235,13.96,112.4,28,98.5,87,68.8,80,-0.04,275,-1.24,174,101.8,204,103.1,156,-2.21,236
