Rk_AdjEM,Team,Seed,Conf,W-L,Wins,Losses,WinPct,AdjEM,AdjO,Rk_AdjO,AdjD,Rk_AdjD,AdjT,Rk_AdjT,Luck,Rk_Luck,SOS_AdjEM,Rk_SOS_AdjEM,SOS_AdjO,Rk_SOS_AdjO,SOS_AdjD,Rk_SOS_AdjD,NCSOS_AdjEM,Rk_NCSOS_AdjEM
1,Virginia,1,ACC,29-3,29,3,0.90625,35.55,123.7,2,88.1,5,59.3,353,0.024,115,10.39,28,108.5,48,98.1,18,-2.88,253
2,Gonzaga,1,WCC,30-3,30,3,0.9090909090909091,32.69,125.2,1,92.5,17,69.8,70,0.008,160,3.27,84,106.3,76,103.0,102,1.92,109
3,Duke,1,ACC,29-5,29,5,0.8529411764705882,31.9,120.2,6,88.3,6,72.2,18,0.018,137,13.13,7,110.5,5,97.3,9,5.43,37
4,Michigan St.,2,B10,28-6,28,6,0.8235294117647058,31.33,121.8,4,90.5,8,67.4,181,-0.007,198,13.53,3,110.4,7,96.9,2,3.26,86
5,Michigan,2,B10,28-6,28,6,0.8235294117647058,29.38,115.6,18,86.2,2,64.5,321,-0.014,222,11.57,19,109.4,27,97.8,14,-4.93,305
6,North Carolina,1,ACC,27-6,27,6,0.8181818181818182,29.07,119.9,7,90.9,10,74.3,5,0.024,113,13.56,2,110.9,2,97.4,10,5.74,32
7,Kentucky,2,SEC,27-6,27,6,0.8181818181818182,27.31,118.3,12,91.0,11,65.9,264,0.037,90,10.9,22,110.1,12,99.2,35,2.21,102
8,Tennessee,2,SEC,29-5,29,5,0.8529411764705882,26.92,122.6,3,95.7,33,67.8,158,0.038,87,10.52,27,109.1,33,98.6,23,1.34,122
9,Texas Tech,3,B12,26-6,26,6,0.8125,26.74,112.8,35,86.1,1,66.6,227,0.004,174,8.31,53,108.0,55,99.7,43,-5.08,310
10,Purdue,3,B10,23-9,23,9,0.71875,26.01,121.2,5,95.2,31,65.7,275,-0.012,218,12.98,8,109.9,18,96.9,3,4.32,58
11,Virginia Tech,4,ACC,24-8,24,8,0.75,24.4,118.5,11,94.1,25,63.3,337,0.002,180,8.53,50,108.2,51,99.7,45,-5.95,325
12,Wisconsin,5,B10,23-10,23,10,0.696969696969697,23.63,110.9,53,87.3,3,63.6,332,-0.026,246,13.51,4,110.5,6,96.9,4,3.54,82
13,Auburn,5,SEC,26-9,26,9,0.7428571428571429,23.24,119.6,8,96.4,43,67.6,168,0.003,179,10.78,24,109.7,20,98.9,30,2.78,96
14,Florida St.,4,ACC,27-7,27,7,0.7941176470588235,22.45,113.0,31,90.6,9,68.3,135,0.045,74,10.58,25,109.6,23,99.0,31,1.05,134
15,Houston,3,Amer,31-3,31,3,0.9117647058823529,22.42,114.2,24,91.8,13,66.2,246,0.057,53,3.13,88,104.9,126,101.8,66,-3.92,281
16,Iowa St.,6,B12,23-11,23,11,0.6764705882352942,21.82,119.1,9,97.3,58,67.6,165,-0.051,295,10.32,30,108.9,36,98.6,22,-1.45,210
17,Louisville,7,ACC,20-13,20,13,0.6060606060606061,20.9,113.4,29,92.5,16,67.2,195,-0.054,301,12.92,9,110.7,3,97.8,13,6.09,27
18,LSU,3,SEC,26-6,26,6,0.8125,20.86,118.5,10,97.7,62,69.9,65,0.035,93,9.37,39,108.7,40,99.4,36,2.95,95
19,Kansas,4,B12,25-9,25,9,0.7352941176470589,20.66,112.9,33,92.2,15,70.0,64,0.088,15,13.84,1,111.5,1,97.6,12,10.9,3
20,Mississippi St.,5,SEC,23-10,23,10,0.696969696969697,20.59,117.5,14,96.9,49,67.5,179,-0.027,247,10.36,29,110.2,11,99.8,47,2.51,99
21,Wofford,7,SC,29-4,29,4,0.8787878787878788,20.32,118.2,13,97.9,66,65.6,277,0.06,44,0.94,122,105.4,101,104.5,167,8.35,7
22,Buffalo,6,MAC,31-3,31,3,0.9117647058823529,20.23,115.0,20,94.8,29,73.8,9,0.041,79,2.69,93,105.2,113,102.5,91,1.67,115
23,Kansas St.,4,B12,25-8,25,8,0.7575757575757576,20.15,108.0,102,87.9,4,63.1,342,0.061,43,9.96,32,109.1,32,99.2,34,-0.68,185
24,Maryland,6,B10,22-10,22,10,0.6875,19.95,114.0,27,94.0,22,65.7,274,0.001,181,11.04,21,109.5,24,98.5,21,-4.57,299
25,Nevada,7,MWC,29-4,29,4,0.8787878787878788,18.9,114.2,26,95.3,32,69.2,88,0.039,85,1.34,110,105.3,109,103.9,139,1.94,107
26,Villanova,6,BE,25-9,25,9,0.7352941176470589,18.62,117.0,16,98.4,76,63.6,333,0.017,139,8.04,54,108.5,49,100.4,57,3.46,85
27,Marquette,5,BE,24-9,24,9,0.7272727272727273,18.28,114.3,23,96.0,36,68.6,118,0.007,164,7.5,58,107.5,61,100.0,51,0.79,139
28,Florida,10,SEC,19-15,19,15,0.5588235294117647,18.27,110.3,60,92.0,14,62.7,345,-0.072,327,11.59,17,110.5,4,98.9,29,5.37,38
30,Saint Mary's,11,WCC,22-11,22,11,0.6666666666666666,17.6,114.7,21,97.1,52,62.7,347,-0.033,261,3.5,78,106.4,75,102.9,100,-0.44,179
32,Cincinnati,7,Amer,28-6,28,6,0.8235294117647058,17.15,111.7,47,94.6,28,63.2,338,0.06,45,4.28,73,106.5,74,102.2,83,-2.53,241
33,Utah St.,8,MWC,28-6,28,6,0.8235294117647058,16.6,113.1,30,96.5,44,67.8,152,0.007,162,-0.03,146,104.4,149,104.4,165,1.08,133
35,Syracuse,8,ACC,20-13,20,13,0.6060606060606061,16.19,110.2,63,94.1,24,66.1,253,0.005,169,9.93,33,108.6,42,98.7,25,0.39,155
36,Iowa,10,B10,22-11,22,11,0.6666666666666666,15.94,117.3,15,101.3,113,69.4,84,0.057,54,10.53,26,108.6,44,98.0,16,-6.47,332
37,VCU,8,A10,25-7,25,7,0.78125,15.67,104.4,174,88.8,7,68.2,138,0.004,173,1.13,115,105.1,117,104.0,142,3.51,84
38,Oklahoma,9,B12,19-13,19,13,0.59375,15.5,109.5,72,94.0,23,68.7,115,0.031,102,12.56,12,109.8,19,97.2,7,7.7,11
41,Baylor,9,B12,19-13,19,13,0.59375,15.25,113.6,28,98.4,74,65.3,291,-0.032,258,9.12,43,108.0,56,98.8,27,-4.31,292
42,Oregon,12,P12,23-12,23,12,0.6571428571428571,15.23,107.9,107,92.7,18,64.1,328,-0.039,274,4.16,75,107.1,66,102.9,99,0.35,157
44,Ohio St.,11,B10,19-14,19,14,0.5757575757575758,15.05,109.4,75,94.4,27,65.7,272,0.005,168,11.57,18,110.2,9,98.7,24,-2.65,245
