Rk_AdjEM,Team,Seed,Conf,W-L,Wins,Losses,WinPct,AdjEM,AdjO,Rk_AdjO,AdjD,Rk_AdjD,AdjT,Rk_AdjT,Luck,Rk_Luck,SOS_AdjEM,Rk_SOS_AdjEM,SOS_AdjO,Rk_SOS_AdjO,SOS_AdjD,Rk_SOS_AdjD,NCSOS_AdjEM,Rk_NCSOS_AdjEM
22,Saint Mary's,7,WCC,28-5,28,5,0.8484848484848485,23.09,115.3,56,92.2,8,61.7,359,0.005,163,5.35,90,111.0,71,105.6,123,5.13,48
23,Louisville,8,ACC,27-7,27,7,0.7941176470588235,22.64,118.1,29,95.5,21,68.7,90,0.058,54,10.34,54,112.6,46,102.3,59,7.05,39
24,BYU,6,B12,24-9,24,9,0.7272727272727273,22.39,123.0,11,100.6,68,67.2,180,0.036,85,11.12,51,111.8,58,100.7,34,-7.7,346
25,Michigan,5,B10,25-9,25,9,0.7352941176470589,22.28,116.0,47,93.7,14,69.4,65,0.07,42,14.84,13,114.4,18,99.6,11,3.72,75
26,Ole Miss,6,SEC,22-11,22,11,0.6666666666666666,22.09,117.8,31,95.8,25,68.0,130,0.018,130,15.8,8,115.1,8,99.3,8,-0.63,197
27,UCLA,7,B10,22-10,22,10,0.6875,21.76,116.8,35,95.1,17,64.9,301,-0.008,202,12.54,37,113.6,28,101.1,45,-5.17,312
28,Marquette,7,BE,23-10,23,10,0.696969696969697,21.58,117.7,32,96.1,28,67.6,156,-0.013,214,12.5,38,113.0,41,100.5,30,8.69,26
29,Baylor,9,B12,19-14,19,14,0.5757575757575758,21.15,120.8,16,99.7,58,64.5,319,-0.054,314,15.67,10,113.7,27,98.0,1,7.61,33
30,VCU,11,A10,28-6,28,6,0.8235294117647058,20.61,116.3,41,95.7,23,66.1,241,-0.051,310,1.3,123,106.9,153,105.6,121,-4.07,289
31,Oregon,5,B10,24-9,24,9,0.7272727272727273,20.15,116.6,39,96.5,31,67.6,151,0.085,28,14.15,19,114.3,19,100.2,21,4.25,65
32,Mississippi State,8,SEC,21-12,21,12,0.6363636363636364,20.1,118.7,23,98.6,47,68.1,124,0.012,144,14.8,14,115.0,9,100.2,23,0.57,149
33,North Carolina,11,ACC,22-13,22,13,0.6285714285714286,19.55,118.9,22,99.3,53,70.4,34,-0.019,234,12.18,41,113.3,37,101.2,48,13.34,7
34,Georgia,9,SEC,20-12,20,12,0.625,19.39,115.4,54,96.0,26,66.4,221,-0.001,184,13.64,25,113.9,25,100.2,22,-5.37,320
35,UConn,8,BE,23-10,23,10,0.696969696969697,19.34,121.9,14,102.6,94,63.7,344,-0.019,233,10.09,55,112.0,52,102.0,54,-0.17,180
36,UC San Diego,12,BW,30-4,30,4,0.8823529411764706,18.77,115.2,57,96.5,30,65.6,271,0.01,151,-1.63,180,105.8,212,107.4,176,-1.96,231
37,Creighton,9,BE,24-10,24,10,0.7058823529411765,18.7,116.9,34,98.2,42,67.0,192,0.049,70,11.49,47,112.2,50,100.7,33,5.57,46
38,Oklahoma,9,SEC,20-13,20,13,0.6060606060606061,18.36,119.0,21,100.7,70,68.5,106,0.005,162,14.64,15,114.5,16,99.9,18,-5.35,319
40,Arkansas,10,SEC,20-13,20,13,0.6060606060606061,17.71,112.9,73,95.2,20,69.3,68,-0.008,201,13.85,23,114.7,13,100.9,41,-2.6,250
41,New Mexico,10,MWC,26-7,26,7,0.7878787878787878,17.32,112.5,79,95.2,19,72.7,4,-0.0,181,6.29,80,109.1,92,102.8,69,5.12,49
42,Colorado State,12,MWC,25-9,25,9,0.7352941176470589,17.29,116.2,43,98.9,49,65.9,252,0.025,116,5.87,86,109.4,89,103.5,78,1.56,126
43,Xavier,11,BE,21-11,21,11,0.65625,17.2,115.5,52,98.3,44,69.1,74,-0.02,238,9.39,59,111.1,68,101.7,53,-1.2,213
