Rk_AdjEM,Team,Seed,Conf,W-L,Wins,Losses,WinPct,AdjEM,AdjO,Rk_AdjO,AdjD,Rk_AdjD,AdjT,Rk_AdjT,Luck,Rk_Luck,SOS_AdjEM,Rk_SOS_AdjEM,SOS_AdjO,Rk_SOS_AdjO,SOS_AdjD,Rk_SOS_AdjD,NCSOS_AdjEM,Rk_NCSOS_AdjEM
40,Syracuse,11,ACC,16-9,16,9,0.64,16.58,114.1,20,97.5,87,69.2,137,0.017,136,12.07,56,108.8,49,96.7,63,2.37,173
41,Utah St.,11,MWC,20-8,20,8,0.7142857142857143,16.55,105.8,113,89.2,8,68.8,153,-0.032,248,5.23,119,105.0,120,99.7,129,7.53,90
42,Clemson,7,ACC,16-7,16,7,0.6956521739130435,16.45,107.1,98,90.6,19,64.2,338,0.123,7,14.55,26,109.8,31,95.2,27,11.73,42
43,UCLA,11,P12,18-9,18,9,0.6666666666666666,16.29,114.2,18,97.9,95,64.6,334,0.033,101,12.2,54,108.7,51,96.5,57,9.16,67
45,VCU,10,A10,19-7,19,7,0.7307692307692307,15.76,105.5,118,89.7,11,69.8,110,0.035,99,8.9,87,106.6,88,97.7,89,5.51,119
48,Virginia Tech,10,ACC,15-6,15,6,0.7142857142857143,15.45,110.2,56,94.8,52,66.1,293,0.066,45,9.61,80,107.8,69,98.2,103,0.66,205
51,Missouri,9,SEC,16-9,16,9,0.64,15.24,110.4,53,95.2,58,68.7,158,0.088,25,15.24,17,109.9,27,94.7,20,9.91,59
53,Drake,11,MVC,26-4,26,4,0.8666666666666667,14.55,112.8,30,98.3,99,66.6,270,0.105,16,2.66,152,103.3,162,100.7,138,-9.22,311
55,Georgetown,12,BE,13-12,13,12,0.52,14.04,107.8,85,93.7,42,69.6,113,0.001,169,14.51,27,110.4,21,95.9,40,4.59,135
69,UC Santa Barbara,12,BW,22-4,22,4,0.8461538461538461,12.23,109.3,66,97.1,80,66.1,295,0.054,61,-0.47,185,101.5,215,102.0,173,2.54,171
74,North Texas,13,CUSA,17-9,17,9,0.6538461538461539,11.78,105.5,119,93.7,41,63.1,350,-0.042,272,4.49,127,103.6,155,99.1,115,5.37,122
79,Ohio,13,MAC,16-7,16,7,0.6956521739130435,10.77,112.9,29,102.1,176,69.3,130,0.027,114,3.95,135,105.3,111,101.3,151,1.46,193
84,Oregon St.,12,P12,17-12,17,12,0.5862068965517241,10.32,109.5,63,99.1,117,65.4,315,0.075,38,11.38,61,108.8,50,97.4,80,-6.06,291
85,Abilene Christian,14,Slnd,23-4,23,4,0.8518518518518519,10.17,103.2,157,93.0,32,69.9,102,-0.027,238,-8.04,330,97.7,318,105.8,329,4.4,138
86,Colgate,14,Pat,14-1,14,1,0.9333333333333333,10.13,110.9,43,100.8,140,72.4,25,0.05,69,-6.63,315,99.2,281,105.8,331,-99.0,331
91,Winthrop,12,BSth,23-1,23,1,0.9583333333333334,9.01,105.2,120,96.2,67,73.6,11,0.032,105,-6.31,308,99.0,288,105.3,313,4.07,145
98,Liberty,13,ASun,23-5,23,5,0.8214285714285714,8.44,110.3,55,101.8,168,63.1,347,-0.013,212,-6.49,312,98.6,298,105.1,307,1.25,195
99,UNC Greensboro,13,SC,21-8,21,8,0.7241379310344828,8.2,104.2,127,96.0,65,68.5,174,0.005,160,0.86,169,103.3,161,102.5,191,-2.67,252
