Team__1,Seed__1,Score__1,Team__2,Seed__2,Score__2,Winning_Team,Win__1,KP__Rk_AdjEM__1,KP__Conf__1,KP__W-L__1,KP__Wins__1,KP__Losses__1,KP__WinPct__1,KP__AdjEM__1,KP__AdjO__1,KP__Rk_AdjO__1,KP__AdjD__1,KP__Rk_AdjD__1,KP__AdjT__1,KP__Rk_AdjT__1,KP__Luck__1,KP__Rk_Luck__1,KP__SOS_AdjEM__1,KP__Rk_SOS_AdjEM__1,KP__SOS_AdjO__1,KP__Rk_SOS_AdjO__1,KP__SOS_AdjD__1,KP__Rk_SOS_AdjD__1,KP__NCSOS_AdjEM__1,KP__Rk_NCSOS_AdjEM__1,KP__Rk_AdjEM__2,KP__Conf__2,KP__W-L__2,KP__Wins__2,KP__Losses__2,KP__WinPct__2,KP__AdjEM__2,KP__AdjO__2,KP__Rk_AdjO__2,KP__AdjD__2,KP__Rk_AdjD__2,KP__AdjT__2,KP__Rk_AdjT__2,KP__Luck__2,KP__Rk_Luck__2,KP__SOS_AdjEM__2,KP__Rk_SOS_AdjEM__2,KP__SOS_AdjO__2,KP__Rk_SOS_AdjO__2,KP__SOS_AdjD__2,KP__Rk_SOS_AdjD__2,KP__NCSOS_AdjEM__2,KP__Rk_NCSOS_AdjEM__2,BT__Rk__1,BT__Conf__1,BT__G__1,BT__Rec__1,BT__Wins__1,BT__Losses__1,BT__WinPct__1,BT__AdjO__1,BT__Rk_AdjO__1,BT__AdjD__1,BT__Rk_AdjD__1,BT__Barthag__1,BT__Rk_Barthag__1,BT__EFG%__1,BT__Rk_EFG%__1,BT__EFGD%__1,BT__Rk_EFGD%__1,BT__TOR__1,BT__Rk_TOR__1,BT__TORD__1,BT__Rk_TORD__1,BT__ORB__1,BT__Rk_ORB__1,BT__DRB__1,BT__Rk_DRB__1,BT__FTR__1,BT__Rk_FTR__1,BT__FTRD__1,BT__Rk_FTRD__1,BT__2P%__1,BT__Rk_2P%__1,BT__2P%D__1,BT__Rk_2P%D__1,BT__3P%__1,BT__Rk_3P%__1,BT__3P%D__1,BT__Rk_3P%D__1,BT__3PR__1,BT__Rk_3PR__1,BT__3PRD__1,BT__Rk_3PRD__1,BT__AdjT__1,BT__Rk_AdjT__1,BT__WAB__1,BT__Rk_WAB__1,BT__Rk__2,BT__Conf__2,BT__G__2,BT__Rec__2,BT__Wins__2,BT__Losses__2,BT__WinPct__2,BT__AdjO__2,BT__Rk_AdjO__2,BT__AdjD__2,BT__Rk_AdjD__2,BT__Barthag__2,BT__Rk_Barthag__2,BT__EFG%__2,BT__Rk_EFG%__2,BT__EFGD%__2,BT__Rk_EFGD%__2,BT__TOR__2,BT__Rk_TOR__2,BT__TORD__2,BT__Rk_TORD__2,BT__ORB__2,BT__Rk_ORB__2,BT__DRB__2,BT__Rk_DRB__2,BT__FTR__2,BT__Rk_FTR__2,BT__FTRD__2,BT__Rk_FTRD__2,BT__2P%__2,BT__Rk_2P%__2,BT__2P%D__2,BT__Rk_2P%D__2,BT__3P%__2,BT__Rk_3P%__2,BT__3P%D__2,BT__Rk_3P%D__2,BT__3PR__2,BT__Rk_3PR__2,BT__3PRD__2,BT__Rk_3PRD__2,BT__AdjT__2,BT__Rk_AdjT__2,BT__WAB__2,BT__Rk_WAB__2,BT2W__Rk__1,BT2W__Conf__1,BT2W__G__1,BT2W__Rec__1,BT2W__Wins__1,BT2W__Losses__1,BT2W__WinPct__1,BT2W__AdjO__1,BT2W__Rk_AdjO__1,BT2W__AdjD__1,BT2W__Rk_AdjD__1,BT2W__Barthag__1,BT2W__Rk_Barthag__1,BT2W__EFG%__1,BT2W__Rk_EFG%__1,BT2W__EFGD%__1,BT2W__Rk_EFGD%__1,BT2W__TOR__1,BT2W__Rk_TOR__1,BT2W__TORD__1,BT2W__Rk_TORD__1,BT2W__ORB__1,BT2W__Rk_ORB__1,BT2W__DRB__1,BT2W__Rk_DRB__1,BT2W__FTR__1,BT2W__Rk_FTR__1,BT2W__FTRD__1,BT2W__Rk_FTRD__1,BT2W__2P%__1,BT2W__Rk_2P%__1,BT2W__2P%D__1,BT2W__Rk_2P%D__1,BT2W__3P%__1,BT2W__Rk_3P%__1,BT2W__3P%D__1,BT2W__Rk_3P%D__1,BT2W__3PR__1,BT2W__Rk_3PR__1,BT2W__3PRD__1,BT2W__Rk_3PRD__1,BT2W__AdjT__1,BT2W__Rk_AdjT__1,BT2W__WAB__1,BT2W__Rk_WAB__1,BT2W__Rk__2,BT2W__Conf__2,BT2W__G__2,BT2W__Rec__2,BT2W__Wins__2,BT2W__Losses__2,BT2W__WinPct__2,BT2W__AdjO__2,BT2W__Rk_AdjO__2,BT2W__AdjD__2,BT2W__Rk_AdjD__2,BT2W__Barthag__2,BT2W__Rk_Barthag__2,BT2W__EFG%__2,BT2W__Rk_EFG%__2,BT2W__EFGD%__2,BT2W__Rk_EFGD%__2,BT2W__TOR__2,BT2W__Rk_TOR__2,BT2W__TORD__2,BT2W__Rk_TORD__2,BT2W__ORB__2,BT2W__Rk_ORB__2,BT2W__DRB__2,BT2W__Rk_DRB__2,BT2W__FTR__2,BT2W__Rk_FTR__2,BT2W__FTRD__2,BT2W__Rk_FTRD__2,BT2W__2P%__2,BT2W__Rk_2P%__2,BT2W__2P%D__2,BT2W__Rk_2P%D__2,BT2W__3P%__2,BT2W__Rk_3P%__2,BT2W__3P%D__2,BT2W__Rk_3P%D__2,BT2W__3PR__2,BT2W__Rk_3PR__2,BT2W__3PRD__2,BT2W__Rk_3PRD__2,BT2W__AdjT__2,BT2W__Rk_AdjT__2,BT2W__WAB__2,BT2W__Rk_WAB__2,BTHOT__Rk__1,BTHOT__Conf__1,BTHOT__G__1,BTHOT__Rec__1,BTHOT__Wins__1,BTHOT__Losses__1,BTHOT__WinPct__1,BTHOT__AdjO__1,BTHOT__Rk_AdjO__1,BTHOT__AdjD__1,BTHOT__Rk_AdjD__1,BTHOT__Barthag__1,BTHOT__Rk_Barthag__1,BTHOT__EFG%__1,BTHOT__Rk_EFG%__1,BTHOT__EFGD%__1,BTHOT__Rk_EFGD%__1,BTHOT__TOR__1,BTHOT__Rk_TOR__1,BTHOT__TORD__1,BTHOT__Rk_TORD__1,BTHOT__ORB__1,BTHOT__Rk_ORB__1,BTHOT__DRB__1,BTHOT__Rk_DRB__1,BTHOT__FTR__1,BTHOT__Rk_FTR__1,BTHOT__FTRD__1,BTHOT__Rk_FTRD__1,BTHOT__2P%__1,BTHOT__Rk_2P%__1,BTHOT__2P%D__1,BTHOT__Rk_2P%D__1,BTHOT__3P%__1,BTHOT__Rk_3P%__1,BTHOT__3P%D__1,BTHOT__Rk_3P%D__1,BTHOT__3PR__1,BTHOT__Rk_3PR__1,BTHOT__3PRD__1,BTHOT__Rk_3PRD__1,BTHOT__AdjT__1,BTHOT__Rk_AdjT__1,BTHOT__WAB__1,BTHOT__Rk_WAB__1,BTHOT__Rk__2,BTHOT__Conf__2,BTHOT__G__2,BTHOT__Rec__2,BTHOT__Wins__2,BTHOT__Losses__2,BTHOT__WinPct__2,BTHOT__AdjO__2,BTHOT__Rk_AdjO__2,BTHOT__AdjD__2,BTHOT__Rk_AdjD__2,BTHOT__Barthag__2,BTHOT__Rk_Barthag__2,BTHOT__EFG%__2,BTHOT__Rk_EFG%__2,BTHOT__EFGD%__2,BTHOT__Rk_EFGD%__2,BTHOT__TOR__2,BTHOT__Rk_TOR__2,BTHOT__TORD__2,BTHOT__Rk_TORD__2,BTHOT__ORB__2,BTHOT__Rk_ORB__2,BTHOT__DRB__2,BTHOT__Rk_DRB__2,BTHOT__FTR__2,BTHOT__Rk_FTR__2,BTHOT__FTRD__2,BTHOT__Rk_FTRD__2,BTHOT__2P%__2,BTHOT__Rk_2P%__2,BTHOT__2P%D__2,BTHOT__Rk_2P%D__2,BTHOT__3P%__2,BTHOT__Rk_3P%__2,BTHOT__3P%D__2,BTHOT__Rk_3P%D__2,BTHOT__3PR__2,BTHOT__Rk_3PR__2,BTHOT__3PRD__2,BTHOT__Rk_3PRD__2,BTHOT__AdjT__2,BTHOT__Rk_AdjT__2,BTHOT__WAB__2,BTHOT__Rk_WAB__2
Florida,1,62,Dayton,11,52,Florida,True,2,SEC,32-2,32,2,0.9411764705882352,26.3,116.1,15,89.8,4,63.2,314,0.059,52,7.1,13,107.8,45,100.7,11,,93,41,A10,23-10,23,10,0.696969696969697,12.0,113.3,33,101.3,97,65.2,237,0.019,139,3.8,39,106.3,94,102.5,83,,199,3,SEC,34,32-2,32,2,0.9412,115.9,19,88.8,5,0.9555,3,52.7,40,45.1,23,17.8,129,21.9,16,35.6,36,28.8,56,43.4,90,32.6,33,51.3,61,42.9,13,36.8,72,33.3,112,35.3,107,31.5,119,63.4,314,11.8,1,62,A10,33,23-10,23,10,0.697,113.2,40,100.6,99,0.795,62,52.6,45,49.4,156,18.1,150,19.1,120,34.9,57,28.6,45,41.3,145,43.2,238,50.7,77,48.5,167,37.8,47,34.3,165,31.6,204,32.1,142,65.4,235,0.7,49,3,SEC,4,4-0,4,0,1.0,112.5,84,80.3,5,0.9796,3,57.3,18,42.2,21,17.7,161,22.0,37,24.4,271,23.3,39,41.9,121,42.2,189,48.5,151,45.5,97,50.0,4,21.3,10,33.3,166,24.5,27,64.9,165,2.4,2,28,A10,4,3-1,3,1,0.75,116.3,38,96.2,64,0.8991,28,55.8,32,47.8,126,16.2,114,16.2,215,24.8,264,23.3,39,40.6,145,44.2,212,52.6,60,46.1,117,41.4,51,33.3,137,33.8,154,44.7,319,64.7,171,0.6,36,3,SEC,34,32-2,32,2,0.0588,-3.4,65.0,-8.5,0.0,0.0241,0.0,4.6,-22.0,-2.9,-2.0,-0.1,32.0,0.1,21.0,-11.2,235.0,-5.5,-17.0,-1.5,31.0,9.6,156.0,-2.8,90.0,2.6,84.0,13.2,-68.0,-12.0,-102.0,-2.0,59.0,-7.0,-92.0,1.5,-149.0,-9.4,1.0,62,A10,33,23-10,23,10,0.053,3.1,-2.0,-4.4,-35.0,0.1041,-34.0,3.2,-13.0,-1.6,-30.0,-1.9,-36.0,-2.9,95.0,-10.1,207.0,-5.3,-6.0,-0.7,0.0,1.0,-26.0,1.9,-17.0,-2.4,-50.0,3.6,4.0,-1.0,-28.0,2.2,-50.0,12.6,177.0,-0.7,-64.0,-0.1,-13.0
Michigan State,4,54,UConn,7,60,UConn,False,11,B10,26-8,26,8,0.7647058823529411,20.3,117.0,11,96.7,42,65.7,213,-0.009,207,7.5,9,108.3,25,100.8,13,,155,25,Amer,26-8,26,8,0.7647058823529411,16.6,109.5,77,92.9,11,65.0,247,0.059,53,6.0,29,107.5,55,101.5,38,,174,10,B10,34,26-8,26,8,0.7647,118.4,10,94.8,27,0.9276,10,54.5,16,46.2,50,17.1,83,18.3,170,33.5,98,27.7,21,33.5,326,39.1,148,52.1,39,44.0,30,39.1,18,33.2,106,35.8,90,37.0,307,66.3,186,6.9,10,23,Amer,34,26-8,26,8,0.7647,111.6,54,92.8,11,0.894,23,51.4,86,43.9,8,17.6,115,19.5,86,31.2,180,33.4,269,38.6,229,35.5,74,48.0,196,41.4,4,38.7,26,32.9,92,33.8,152,31.6,122,65.1,248,4.8,17,4,B10,5,4-1,4,1,0.8,131.6,2,94.1,43,0.9794,4,57.3,18,47.9,131,19.3,221,15.8,232,39.3,26,30.2,157,33.6,235,38.8,146,53.8,49,45.9,114,43.0,36,34.4,170,32.1,191,34.6,196,63.8,202,2.1,4,52,Amer,5,3-2,3,2,0.6,107.7,133,93.2,33,0.8411,52,50.8,123,44.9,51,23.7,310,17.8,147,30.5,159,37.8,287,32.0,256,40.0,162,47.4,180,39.5,17,37.5,95,37.8,233,38.4,71,31.6,129,62.9,244,1.0,18,10,B10,34,26-8,26,8,0.0353,13.2,-8.0,-0.7,16.0,0.0518,-6.0,2.8,2.0,1.7,81.0,2.2,138.0,-2.5,62.0,5.8,-72.0,2.5,136.0,0.1,-91.0,-0.3,-2.0,1.7,10.0,1.9,84.0,3.9,18.0,1.2,64.0,-3.7,101.0,-2.4,-111.0,-2.5,16.0,-4.8,-6.0,23,Amer,34,26-8,26,8,-0.1647,-3.9,79.0,0.4,22.0,-0.0529,29.0,-0.6,37.0,1.0,43.0,6.1,195.0,-1.7,61.0,-0.7,-21.0,4.4,18.0,-6.6,27.0,4.5,88.0,-0.6,-16.0,-1.9,13.0,-1.2,69.0,4.9,141.0,4.6,-81.0,0.0,7.0,-2.2,-4.0,-3.8,1.0
Arizona,1,63,Wisconsin,2,64,Wisconsin,False,3,P12,30-4,30,4,0.8823529411764706,25.5,112.7,36,87.2,1,64.3,274,0.024,124,7.1,12,108.3,26,101.2,30,,99,12,B10,26-7,26,7,0.7878787878787878,20.1,119.0,5,98.9,60,64.3,272,0.02,135,8.2,5,108.2,34,100.0,3,,73,2,P12,34,30-4,30,4,0.8824,115.0,25,86.7,1,0.9624,2,51.6,82,42.2,1,16.0,40,19.0,124,37.2,23,26.0,6,41.7,131,34.5,56,50.9,68,40.5,2,35.6,112,31.4,38,26.5,322,26.2,13,64.6,271,9.5,2,6,B10,33,26-7,26,7,0.7879,121.9,4,96.6,46,0.9355,6,53.1,34,47.5,90,12.6,2,15.6,321,27.9,282,27.7,21,44.1,74,25.9,2,51.3,61,46.2,84,37.3,58,34.3,165,39.3,41,25.3,7,64.3,287,8.0,6,6,P12,5,3-2,3,2,0.6,112.8,80,83.6,7,0.969,6,51.7,102,42.0,19,15.5,88,19.0,111,30.9,152,27.4,96,35.2,216,39.5,154,50.8,95,36.2,7,35.6,133,40.3,265,32.2,188,23.8,21,62.0,267,0.8,22,29,B10,4,2-2,2,2,0.5,124.5,9,103.0,142,0.8982,29,54.2,51,51.6,214,11.9,14,12.7,310,26.5,239,25.0,54,48.8,52,38.1,139,49.6,126,48.2,165,41.3,53,40.7,270,37.6,85,26.5,50,64.9,165,0.15,67,2,P12,34,30-4,30,4,-0.2824,-2.2,55.0,-3.1,6.0,0.0066,4.0,0.1,20.0,-0.2,18.0,-0.5,48.0,0.0,-13.0,-6.3,129.0,1.4,90.0,-6.5,85.0,5.0,98.0,-0.1,27.0,-4.3,5.0,0.0,21.0,8.9,227.0,5.7,-134.0,-2.4,8.0,-2.6,-4.0,-8.7,20.0,6,B10,33,26-7,26,7,-0.2879,2.6,5.0,6.4,96.0,-0.0373,23.0,1.1,17.0,4.1,124.0,-0.7,12.0,-2.9,-11.0,-1.4,-43.0,-2.7,33.0,4.7,-22.0,12.2,137.0,-1.7,65.0,2.0,81.0,4.0,-5.0,6.4,105.0,-1.7,44.0,1.2,43.0,0.6,-122.0,-7.85,61.0
Kentucky,8,75,Michigan,2,72,Kentucky,True,14,SEC,24-10,24,10,0.7058823529411765,19.2,115.3,17,96.1,26,66.0,193,-0.06,309,7.7,7,108.6,18,100.9,15,,62,13,B10,25-8,25,8,0.7575757575757576,20.0,121.9,3,101.9,110,62.8,326,0.055,65,8.3,4,108.3,27,100.0,4,,158,21,SEC,34,24-10,24,10,0.7059,115.9,20,95.7,35,0.9004,21,49.7,160,45.0,22,18.1,150,16.3,294,42.2,1,29.9,102,53.8,6,37.8,115,50.0,101,44.0,30,32.5,255,31.7,51,28.0,289,29.4,63,66.5,174,4.0,25,16,B10,33,25-8,25,8,0.7576,123.0,3,99.7,84,0.9176,16,55.5,8,49.6,166,14.8,14,17.3,239,28.9,259,28.9,59,35.9,290,27.6,3,53.1,21,50.4,241,39.4,10,32.1,63,40.0,34,32.1,142,63.0,325,7.7,8,30,SEC,4,2-2,2,2,0.5,118.3,28,98.1,83,0.8957,30,50.2,127,53.6,257,17.3,150,16.2,215,31.9,134,22.0,25,52.9,28,50.8,273,45.5,225,49.6,199,42.6,42,40.9,271,26.0,291,33.5,178,66.3,115,0.6,40,45,B10,4,3-1,3,1,0.75,127.3,5,109.0,232,0.856,45,52.0,94,55.4,283,14.4,59,18.5,126,28.2,201,35.8,257,38.7,169,26.9,37,51.3,83,61.0,318,35.2,139,29.6,76,44.6,14,33.5,178,61.3,291,1.2,10,21,SEC,34,24-10,24,10,-0.2059,2.4,8.0,2.4,48.0,-0.0047,9.0,0.5,-33.0,8.6,235.0,-0.8,0.0,-0.1,-79.0,-10.3,133.0,-7.9,-77.0,-0.9,22.0,13.0,158.0,-4.5,124.0,5.6,169.0,10.1,-213.0,9.2,220.0,-2.0,2.0,4.1,115.0,-0.2,-59.0,-3.4,15.0,16,B10,33,25-8,25,8,-0.0076,4.3,2.0,9.3,148.0,-0.0616,29.0,-3.5,86.0,5.8,117.0,-0.4,45.0,1.2,-113.0,-0.7,-58.0,6.9,198.0,2.8,-121.0,-0.7,34.0,-1.8,62.0,10.6,77.0,-4.2,129.0,-2.5,13.0,4.6,-20.0,1.4,36.0,-1.7,-34.0,-6.5,2.0
