Team__1,Seed__1,Score__1,Team__2,Seed__2,Score__2,Winning_Team,Win__1,KP__Rk_AdjEM__1,KP__Conf__1,KP__W-L__1,KP__Wins__1,KP__Losses__1,KP__WinPct__1,KP__AdjEM__1,KP__AdjO__1,KP__Rk_AdjO__1,KP__AdjD__1,KP__Rk_AdjD__1,KP__AdjT__1,KP__Rk_AdjT__1,KP__Luck__1,KP__Rk_Luck__1,KP__SOS_AdjEM__1,KP__Rk_SOS_AdjEM__1,KP__SOS_AdjO__1,KP__Rk_SOS_AdjO__1,KP__SOS_AdjD__1,KP__Rk_SOS_AdjD__1,KP__NCSOS_AdjEM__1,KP__Rk_NCSOS_AdjEM__1,KP__Rk_AdjEM__2,KP__Conf__2,KP__W-L__2,KP__Wins__2,KP__Losses__2,KP__WinPct__2,KP__AdjEM__2,KP__AdjO__2,KP__Rk_AdjO__2,KP__AdjD__2,KP__Rk_AdjD__2,KP__AdjT__2,KP__Rk_AdjT__2,KP__Luck__2,KP__Rk_Luck__2,KP__SOS_AdjEM__2,KP__Rk_SOS_AdjEM__2,KP__SOS_AdjO__2,KP__Rk_SOS_AdjO__2,KP__SOS_AdjD__2,KP__Rk_SOS_AdjD__2,KP__NCSOS_AdjEM__2,KP__Rk_NCSOS_AdjEM__2,BT__Rk__1,BT__Conf__1,BT__G__1,BT__Rec__1,BT__Wins__1,BT__Losses__1,BT__WinPct__1,BT__AdjO__1,BT__Rk_AdjO__1,BT__AdjD__1,BT__Rk_AdjD__1,BT__Barthag__1,BT__Rk_Barthag__1,BT__EFG%__1,BT__Rk_EFG%__1,BT__EFGD%__1,BT__Rk_EFGD%__1,BT__TOR__1,BT__Rk_TOR__1,BT__TORD__1,BT__Rk_TORD__1,BT__ORB__1,BT__Rk_ORB__1,BT__DRB__1,BT__Rk_DRB__1,BT__FTR__1,BT__Rk_FTR__1,BT__FTRD__1,BT__Rk_FTRD__1,BT__2P%__1,BT__Rk_2P%__1,BT__2P%D__1,BT__Rk_2P%D__1,BT__3P%__1,BT__Rk_3P%__1,BT__3P%D__1,BT__Rk_3P%D__1,BT__3PR__1,BT__Rk_3PR__1,BT__3PRD__1,BT__Rk_3PRD__1,BT__AdjT__1,BT__Rk_AdjT__1,BT__WAB__1,BT__Rk_WAB__1,BT__Rk__2,BT__Conf__2,BT__G__2,BT__Rec__2,BT__Wins__2,BT__Losses__2,BT__WinPct__2,BT__AdjO__2,BT__Rk_AdjO__2,BT__AdjD__2,BT__Rk_AdjD__2,BT__Barthag__2,BT__Rk_Barthag__2,BT__EFG%__2,BT__Rk_EFG%__2,BT__EFGD%__2,BT__Rk_EFGD%__2,BT__TOR__2,BT__Rk_TOR__2,BT__TORD__2,BT__Rk_TORD__2,BT__ORB__2,BT__Rk_ORB__2,BT__DRB__2,BT__Rk_DRB__2,BT__FTR__2,BT__Rk_FTR__2,BT__FTRD__2,BT__Rk_FTRD__2,BT__2P%__2,BT__Rk_2P%__2,BT__2P%D__2,BT__Rk_2P%D__2,BT__3P%__2,BT__Rk_3P%__2,BT__3P%D__2,BT__Rk_3P%D__2,BT__3PR__2,BT__Rk_3PR__2,BT__3PRD__2,BT__Rk_3PRD__2,BT__AdjT__2,BT__Rk_AdjT__2,BT__WAB__2,BT__Rk_WAB__2,BT2W__Rk__1,BT2W__Conf__1,BT2W__G__1,BT2W__Rec__1,BT2W__Wins__1,BT2W__Losses__1,BT2W__WinPct__1,BT2W__AdjO__1,BT2W__Rk_AdjO__1,BT2W__AdjD__1,BT2W__Rk_AdjD__1,BT2W__Barthag__1,BT2W__Rk_Barthag__1,BT2W__EFG%__1,BT2W__Rk_EFG%__1,BT2W__EFGD%__1,BT2W__Rk_EFGD%__1,BT2W__TOR__1,BT2W__Rk_TOR__1,BT2W__TORD__1,BT2W__Rk_TORD__1,BT2W__ORB__1,BT2W__Rk_ORB__1,BT2W__DRB__1,BT2W__Rk_DRB__1,BT2W__FTR__1,BT2W__Rk_FTR__1,BT2W__FTRD__1,BT2W__Rk_FTRD__1,BT2W__2P%__1,BT2W__Rk_2P%__1,BT2W__2P%D__1,BT2W__Rk_2P%D__1,BT2W__3P%__1,BT2W__Rk_3P%__1,BT2W__3P%D__1,BT2W__Rk_3P%D__1,BT2W__3PR__1,BT2W__Rk_3PR__1,BT2W__3PRD__1,BT2W__Rk_3PRD__1,BT2W__AdjT__1,BT2W__Rk_AdjT__1,BT2W__WAB__1,BT2W__Rk_WAB__1,BT2W__Rk__2,BT2W__Conf__2,BT2W__G__2,BT2W__Rec__2,BT2W__Wins__2,BT2W__Losses__2,BT2W__WinPct__2,BT2W__AdjO__2,BT2W__Rk_AdjO__2,BT2W__AdjD__2,BT2W__Rk_AdjD__2,BT2W__Barthag__2,BT2W__Rk_Barthag__2,BT2W__EFG%__2,BT2W__Rk_EFG%__2,BT2W__EFGD%__2,BT2W__Rk_EFGD%__2,BT2W__TOR__2,BT2W__Rk_TOR__2,BT2W__TORD__2,BT2W__Rk_TORD__2,BT2W__ORB__2,BT2W__Rk_ORB__2,BT2W__DRB__2,BT2W__Rk_DRB__2,BT2W__FTR__2,BT2W__Rk_FTR__2,BT2W__FTRD__2,BT2W__Rk_FTRD__2,BT2W__2P%__2,BT2W__Rk_2P%__2,BT2W__2P%D__2,BT2W__Rk_2P%D__2,BT2W__3P%__2,BT2W__Rk_3P%__2,BT2W__3P%D__2,BT2W__Rk_3P%D__2,BT2W__3PR__2,BT2W__Rk_3PR__2,BT2W__3PRD__2,BT2W__Rk_3PRD__2,BT2W__AdjT__2,BT2W__Rk_AdjT__2,BT2W__WAB__2,BT2W__Rk_WAB__2,BTHOT__Rk__1,BTHOT__Conf__1,BTHOT__G__1,BTHOT__Rec__1,BTHOT__Wins__1,BTHOT__Losses__1,BTHOT__WinPct__1,BTHOT__AdjO__1,BTHOT__Rk_AdjO__1,BTHOT__AdjD__1,BTHOT__Rk_AdjD__1,BTHOT__Barthag__1,BTHOT__Rk_Barthag__1,BTHOT__EFG%__1,BTHOT__Rk_EFG%__1,BTHOT__EFGD%__1,BTHOT__Rk_EFGD%__1,BTHOT__TOR__1,BTHOT__Rk_TOR__1,BTHOT__TORD__1,BTHOT__Rk_TORD__1,BTHOT__ORB__1,BTHOT__Rk_ORB__1,BTHOT__DRB__1,BTHOT__Rk_DRB__1,BTHOT__FTR__1,BTHOT__Rk_FTR__1,BTHOT__FTRD__1,BTHOT__Rk_FTRD__1,BTHOT__2P%__1,BTHOT__Rk_2P%__1,BTHOT__2P%D__1,BTHOT__Rk_2P%D__1,BTHOT__3P%__1,BTHOT__Rk_3P%__1,BTHOT__3P%D__1,BTHOT__Rk_3P%D__1,BTHOT__3PR__1,BTHOT__Rk_3PR__1,BTHOT__3PRD__1,BTHOT__Rk_3PRD__1,BTHOT__AdjT__1,BTHOT__Rk_AdjT__1,BTHOT__WAB__1,BTHOT__Rk_WAB__1,BTHOT__Rk__2,BTHOT__Conf__2,BTHOT__G__2,BTHOT__Rec__2,BTHOT__Wins__2,BTHOT__Losses__2,BTHOT__WinPct__2,BTHOT__AdjO__2,BTHOT__Rk_AdjO__2,BTHOT__AdjD__2,BTHOT__Rk_AdjD__2,BTHOT__Barthag__2,BTHOT__Rk_Barthag__2,BTHOT__EFG%__2,BTHOT__Rk_EFG%__2,BTHOT__EFGD%__2,BTHOT__Rk_EFGD%__2,BTHOT__TOR__2,BTHOT__Rk_TOR__2,BTHOT__TORD__2,BTHOT__Rk_TORD__2,BTHOT__ORB__2,BTHOT__Rk_ORB__2,BTHOT__DRB__2,BTHOT__Rk_DRB__2,BTHOT__FTR__2,BTHOT__Rk_FTR__2,BTHOT__FTRD__2,BTHOT__Rk_FTRD__2,BTHOT__2P%__2,BTHOT__Rk_2P%__2,BTHOT__2P%D__2,BTHOT__Rk_2P%D__2,BTHOT__3P%__2,BTHOT__Rk_3P%__2,BTHOT__3P%D__2,BTHOT__Rk_3P%D__2,BTHOT__3PR__2,BTHOT__Rk_3PR__2,BTHOT__3PRD__2,BTHOT__Rk_3PRD__2,BTHOT__AdjT__2,BTHOT__Rk_AdjT__2,BTHOT__WAB__2,BTHOT__Rk_WAB__2
Kansas,1,79,Maryland,5,63,Kansas,True,1,B12,30-4,30,4,0.8823529411764706,27.0,119.0,8,92.0,5,69.7,127,0.062,40,10.6,2,109.6,6,99.0,4,,92,21,B10,25-8,25,8,0.7575757575757576,17.6,113.9,26,96.3,37,68.1,219,0.006,159,6.9,21,107.3,47,100.4,26,,212,1,B12,33,29-4,29,4,0.8788,120.5,4,91.3,6,0.9607,1,55.9,9,45.3,19,17.8,148,19.1,104,32.2,88,28.8,124,39.0,111,37.2,181,52.2,47,43.3,18,42.2,3,33.0,82,33.4,226,32.2,71,70.1,113,11.4,1,27,B10,32,24-8,24,8,0.75,115.1,27,96.4,44,0.8846,27,55.6,11,46.7,45,19.1,243,16.5,273,30.2,160,29.5,161,35.7,202,26.9,14,55.2,11,45.7,62,37.6,45,32.3,54,37.8,109,35.6,180,68.0,226,4.0,18,3,B12,4,4-0,4,0,1.0,122.7,13,89.3,18,0.9747,3,56.8,25,46.6,82,19.1,232,18.7,118,33.1,84,29.3,166,37.9,133,37.4,184,55.8,31,48.8,170,39.4,74,27.5,45,31.3,245,29.4,58,70.4,89,2.3,3,29,B10,4,2-2,2,2,0.5,121.6,18,100.0,110,0.9048,29,57.4,21,51.8,211,18.7,219,15.6,218,33.3,78,28.7,158,27.2,288,27.2,53,48.9,150,51.1,211,46.2,11,35.2,179,41.5,72,40.6,267,64.7,282,0.02,62,1,B12,33,29-4,29,4,0.1212,2.2,9.0,-2.0,12.0,0.014,2.0,0.9,16.0,1.3,63.0,1.3,84.0,-0.4,14.0,0.9,-4.0,0.5,42.0,-1.1,22.0,0.2,3.0,3.6,-16.0,5.5,152.0,-2.8,71.0,-5.5,-37.0,-2.1,19.0,-2.8,-13.0,0.3,-24.0,-9.1,2.0,27,B10,32,24-8,24,8,-0.25,6.5,-9.0,3.6,66.0,0.0202,2.0,1.8,10.0,5.1,166.0,-0.4,-24.0,-0.9,-55.0,3.1,-82.0,-0.8,-3.0,-8.5,86.0,0.3,39.0,-6.3,139.0,5.4,149.0,8.6,-34.0,2.9,125.0,3.7,-37.0,5.0,87.0,-3.3,56.0,-3.98,44.0
Miami (FL),3,69,Villanova,2,92,Villanova,False,12,ACC,25-7,25,7,0.78125,20.4,117.4,12,97.0,43,66.8,278,0.054,56,9.4,8,109.6,7,100.2,23,,130,5,BE,29-5,29,5,0.8529411764705882,24.5,117.4,11,92.9,7,67.4,251,0.012,141,7.2,19,107.7,39,100.5,27,,77,11,ACC,32,25-7,25,7,0.7812,118.8,11,95.4,32,0.9256,11,53.9,30,48.0,85,16.0,40,17.5,215,30.5,144,29.2,140,40.0,90,28.8,32,53.4,24,46.9,92,36.6,80,33.6,114,34.1,212,29.8,21,67.2,265,6.9,9,2,BE,34,29-5,29,5,0.8529,118.9,10,90.4,5,0.9591,2,54.3,24,46.3,29,16.4,60,20.4,49,28.6,208,28.7,121,34.3,239,31.4,61,56.4,5,43.9,26,34.4,180,33.5,108,43.8,24,37.5,262,67.3,257,9.0,2,35,ACC,4,2-2,2,2,0.5,117.6,42,97.8,86,0.8927,35,54.5,51,51.5,205,17.7,196,15.8,215,30.1,135,22.5,37,34.0,197,43.6,241,57.0,23,51.7,221,32.9,206,34.0,150,33.0,218,26.0,24,67.0,209,0.44,32,17,BE,4,3-1,3,1,0.75,120.1,27,95.2,60,0.935,17,55.9,35,49.4,152,14.2,57,18.6,122,20.0,317,27.0,112,38.8,120,32.0,117,51.5,95,53.3,262,42.2,37,29.2,68,37.9,129,41.6,279,68.4,154,0.8,20,11,ACC,32,25-7,25,7,-0.2812,-1.2,31.0,2.4,54.0,-0.0329,24.0,0.6,21.0,3.5,120.0,1.7,156.0,-1.7,0.0,-0.4,-9.0,-6.7,-103.0,-6.0,107.0,14.8,209.0,3.6,-1.0,4.8,129.0,-3.7,126.0,0.4,36.0,-1.1,6.0,-3.8,3.0,-0.2,-56.0,-6.46,23.0,2,BE,34,29-5,29,5,-0.1029,1.2,17.0,4.8,55.0,-0.0241,15.0,1.6,11.0,3.1,123.0,-2.2,-3.0,-1.8,73.0,-8.6,109.0,-1.7,-9.0,4.5,-119.0,0.6,56.0,-4.9,90.0,9.4,236.0,7.8,-143.0,-4.3,-40.0,-5.9,105.0,4.1,17.0,1.1,-103.0,-8.2,18.0
Oregon,1,82,Duke,4,68,Oregon,True,9,P12,28-6,28,6,0.8235294117647058,21.9,119.3,6,97.4,47,68.7,183,0.035,89,7.7,16,107.1,52,99.4,8,,165,17,ACC,23-10,23,10,0.696969696969697,18.8,119.4,5,100.6,111,68.5,199,-0.039,272,9.1,10,109.9,3,100.8,42,,98,21,P12,33,27-6,27,6,0.8182,117.7,16,96.9,48,0.9038,21,52.3,64,49.0,120,16.3,54,20.6,42,34.6,39,31.3,252,40.2,86,32.3,74,52.2,47,46.2,72,35.1,152,36.4,264,33.9,213,33.8,109,69.1,163,6.7,10,14,ACC,33,23-10,23,10,0.697,121.5,2,98.5,74,0.9183,14,53.7,33,49.4,138,14.3,4,17.7,199,34.0,47,34.5,327,40.2,86,25.4,10,50.7,88,48.9,179,38.7,20,33.9,128,40.1,63,29.0,14,68.8,177,4.2,17,7,P12,5,5-0,5,0,1.0,124.4,10,93.8,46,0.9627,7,53.3,74,49.0,140,15.9,112,20.7,53,41.1,10,32.0,229,37.1,145,35.2,151,50.7,104,46.8,127,39.6,71,35.3,181,30.5,252,35.2,153,66.7,218,2.9,1,69,ACC,3,1-2,1,2,0.3333,117.8,40,104.0,169,0.8077,69,49.8,157,51.5,205,9.9,3,17.9,144,30.5,128,45.5,336,30.0,251,29.3,76,44.3,250,53.3,262,37.1,112,31.7,112,47.8,21,31.8,90,68.7,142,-0.48,119,21,P12,33,27-6,27,6,0.1818,6.7,-6.0,-3.1,-2.0,0.0589,-14.0,1.0,10.0,0.0,20.0,-0.4,58.0,0.1,11.0,6.5,-29.0,0.7,-23.0,-3.1,59.0,2.9,77.0,-1.5,57.0,0.6,55.0,4.5,-81.0,-1.1,-83.0,-3.4,39.0,1.4,44.0,-2.4,55.0,-3.8,-9.0,14,ACC,33,23-10,23,10,-0.3637,-3.7,38.0,5.5,95.0,-0.1106,55.0,-3.9,124.0,2.1,67.0,-4.4,-1.0,0.2,-55.0,-3.5,81.0,11.0,9.0,-10.2,165.0,3.9,66.0,-6.4,162.0,4.4,83.0,-1.6,92.0,-2.2,-16.0,7.7,-42.0,2.8,76.0,-0.1,-35.0,-4.68,102.0
Texas A&M,3,63,Oklahoma,2,77,Oklahoma,False,18,SEC,26-8,26,8,0.7647058823529411,18.8,112.6,34,93.8,11,67.4,250,0.002,169,6.5,26,107.7,41,101.2,57,,116,8,B12,25-7,25,7,0.78125,22.1,115.4,21,93.3,10,70.8,84,0.008,154,10.4,4,109.7,5,99.3,6,,136,15,SEC,34,26-8,26,8,0.7647,113.7,33,92.2,9,0.9176,15,51.4,109,47.1,53,17.2,108,20.9,27,35.0,32,30.0,187,37.5,152,32.4,77,50.7,88,45.6,59,35.0,157,32.9,78,37.0,128,39.5,303,68.1,223,5.1,13,8,B12,32,25-7,25,7,0.7812,117.6,17,92.8,16,0.9384,8,54.5,21,46.4,33,18.0,168,17.6,208,30.5,144,29.8,175,33.6,253,27.3,19,48.1,200,44.0,27,42.6,2,34.0,132,40.7,59,35.0,156,71.1,80,7.9,5,4,SEC,4,3-1,3,1,0.75,117.6,41,85.7,7,0.9743,4,46.7,233,43.2,36,14.4,65,19.2,99,38.7,28,32.7,245,29.1,261,30.1,89,47.4,187,42.6,45,30.2,247,29.5,75,33.0,218,40.3,259,64.9,275,1.3,12,33,B12,3,2-1,2,1,0.6667,111.3,83,92.3,31,0.8962,33,56.0,32,50.3,174,23.3,312,22.8,25,23.3,280,29.7,175,46.7,42,27.4,57,52.3,81,45.8,102,40.6,56,38.2,231,42.7,56,38.9,226,69.5,111,0.8,26,15,SEC,34,26-8,26,8,-0.0147,3.9,8.0,-6.5,-2.0,0.0567,-11.0,-4.7,124.0,-3.9,-17.0,-2.8,-43.0,-1.7,72.0,3.7,-4.0,2.7,58.0,-8.4,109.0,-2.3,12.0,-3.3,99.0,-3.0,-14.0,-4.8,90.0,-3.4,-3.0,-4.0,90.0,0.8,-44.0,-3.2,52.0,-3.8,-1.0,8,B12,32,25-7,25,7,-0.1145,-6.3,66.0,-0.5,15.0,-0.0422,25.0,1.5,11.0,3.9,141.0,5.3,144.0,5.2,-183.0,-7.2,136.0,-0.1,0.0,13.1,-211.0,0.1,38.0,4.2,-119.0,1.8,75.0,-2.0,54.0,4.2,99.0,2.0,-3.0,3.9,70.0,-1.6,31.0,-7.1,21.0
North Carolina,1,101,Indiana,5,86,North Carolina,True,4,ACC,28-6,28,6,0.8235294117647058,25.7,119.6,4,93.9,15,72.0,47,-0.043,282,8.7,11,109.3,9,100.6,30,,101,11,B10,25-7,25,7,0.78125,20.6,119.2,7,98.6,65,68.8,178,-0.003,183,4.3,36,106.5,63,102.2,98,,272,7,ACC,34,28-6,28,6,0.8235,120.1,6,94.3,22,0.9419,7,52.1,69,47.4,66,15.4,20,18.6,142,39.8,4,29.9,183,32.2,287,29.7,41,53.9,21,43.7,22,31.4,307,36.0,252,26.7,338,35.6,180,72.3,46,8.5,4,17,B10,32,25-7,25,7,0.7812,120.1,7,98.0,62,0.9117,17,58.6,2,49.5,144,19.8,282,18.9,119,37.7,13,28.7,121,33.3,263,29.3,37,56.1,6,48.7,162,41.5,5,34.3,149,40.9,54,31.4,45,69.3,150,3.3,25,2,ACC,4,4-0,4,0,1.0,119.1,30,84.3,4,0.9816,2,50.0,147,43.8,38,16.6,147,17.0,172,42.8,4,27.3,117,29.8,252,25.6,44,51.9,87,38.6,16,29.7,255,34.8,167,26.1,312,38.0,204,69.8,103,2.6,2,19,B10,2,1-1,1,1,0.5,122.2,15,97.7,84,0.9293,19,53.8,64,50.0,164,18.9,225,18.9,111,40.0,19,32.3,236,44.2,55,21.1,16,57.6,17,52.2,235,31.6,226,31.1,97,36.5,153,39.5,242,65.5,252,-0.09,69,7,ACC,34,28-6,28,6,0.1765,-1.0,24.0,-10.0,-18.0,0.0397,-5.0,-2.1,78.0,-3.6,-28.0,1.2,127.0,-1.6,30.0,3.0,0.0,-2.6,-66.0,-2.4,-35.0,-4.1,3.0,-2.0,66.0,-5.1,-6.0,-1.7,-52.0,-1.2,-85.0,-0.6,-26.0,2.4,24.0,-2.5,57.0,-5.9,-2.0,17,B10,32,25-7,25,7,-0.2812,2.1,8.0,-0.3,22.0,0.0176,2.0,-4.8,62.0,0.5,20.0,-0.9,-57.0,0.0,-8.0,2.3,6.0,3.6,115.0,10.9,-208.0,-8.2,-21.0,1.5,11.0,3.5,73.0,-9.9,221.0,-3.2,-52.0,-4.4,99.0,8.1,197.0,-3.8,102.0,-3.39,44.0
Notre Dame,6,61,Wisconsin,7,56,Notre Dame,True,29,ACC,21-11,21,11,0.65625,14.4,118.0,10,103.6,172,65.8,317,0.033,94,7.8,14,108.8,20,101.0,49,,215,28,B10,20-12,20,12,0.625,14.8,110.0,65,95.2,24,64.3,342,-0.031,257,7.7,15,108.0,32,100.3,24,,137,49,ACC,32,21-11,21,11,0.6562,118.4,12,103.5,169,0.8251,49,53.5,40,49.2,129,14.8,11,14.8,334,32.8,66,31.3,252,33.2,266,26.9,14,52.5,37,45.5,53,36.9,68,37.6,313,34.5,200,34.2,123,65.9,315,2.3,28,44,B10,32,20-12,20,12,0.625,110.2,69,95.6,35,0.836,44,49.0,214,48.5,99,17.0,98,18.8,129,33.6,50,28.2,99,39.7,97,34.3,112,46.6,254,45.1,46,35.8,125,38.0,320,33.8,216,29.3,16,64.2,341,0.49,44,127,ACC,4,2-2,2,2,0.5,102.0,197,98.0,91,0.6115,127,48.0,206,46.5,80,19.2,237,14.0,268,27.9,188,40.0,323,33.8,202,24.4,32,46.8,199,44.9,81,33.3,189,33.0,137,36.5,153,34.8,141,65.9,242,0.23,48,64,B10,3,1-2,1,2,0.3333,111.9,77,98.0,90,0.8218,64,47.3,214,52.5,228,14.9,79,19.0,108,26.6,216,27.7,130,38.8,120,57.7,314,43.8,270,53.1,257,34.8,159,34.1,153,41.8,67,31.0,80,65.4,257,-0.6,150,49,ACC,32,21-11,21,11,-0.1562,-16.4,185.0,-5.5,-78.0,-0.2136,78.0,-5.5,166.0,-2.7,-49.0,4.4,226.0,-0.8,-66.0,-4.9,122.0,8.7,71.0,0.6,-64.0,-2.5,18.0,-5.7,162.0,-0.6,28.0,-3.6,121.0,-4.6,-176.0,2.0,-47.0,0.6,18.0,0.0,-73.0,-2.07,20.0,44,B10,32,20-12,20,12,-0.2917,1.7,8.0,2.4,55.0,-0.0142,20.0,-1.7,0.0,4.0,129.0,-2.1,-19.0,0.2,-21.0,-7.0,166.0,-0.5,31.0,-0.9,23.0,23.4,202.0,-2.8,16.0,8.0,211.0,-1.0,34.0,-3.9,-167.0,8.0,-149.0,1.7,64.0,1.2,-84.0,-1.09,106.0
Virginia,1,84,Iowa State,4,71,Virginia,True,3,ACC,26-7,26,7,0.7878787878787878,26.7,118.5,9,91.8,4,61.4,351,-0.043,280,10.5,3,109.9,4,99.4,9,,54,13,B12,21-11,21,11,0.65625,20.2,120.5,3,100.3,102,71.9,53,-0.07,326,9.6,6,108.0,33,98.4,1,,162,3,ACC,33,26-7,26,7,0.7879,119.5,8,91.9,8,0.9532,3,54.4,22,48.7,108,15.3,17,19.7,75,30.6,141,25.9,33,32.4,281,33.7,101,51.9,55,46.5,79,40.5,9,34.9,181,28.1,324,37.3,255,61.6,351,8.7,3,19,B12,32,21-11,21,11,0.6562,120.4,5,98.9,83,0.9061,19,56.8,5,49.5,144,16.0,40,17.1,241,27.3,251,30.7,222,25.5,350,24.2,5,56.7,4,49.0,184,38.0,39,33.6,114,35.0,183,35.7,186,72.3,46,3.5,21,1,ACC,4,3-1,3,1,0.75,122.3,14,84.8,5,0.9855,1,53.4,71,46.7,86,16.7,149,19.7,80,33.3,78,27.1,114,35.8,170,29.6,79,51.0,100,46.8,127,39.3,75,30.9,93,29.9,261,28.1,44,60.4,331,1.5,9,22,B12,2,0-2,0,2,0.0,121.5,19,98.3,92,0.9203,22,53.3,74,50.7,184,18.6,217,11.7,315,26.9,211,31.6,221,26.4,297,29.9,85,51.2,98,53.8,270,38.5,87,29.3,69,32.2,228,30.6,73,71.1,70,-0.35,101,3,ACC,33,26-7,26,7,-0.0379,2.8,6.0,-7.1,-3.0,0.0323,-2.0,-1.0,49.0,-2.0,-22.0,1.4,132.0,0.0,5.0,2.7,-63.0,1.2,81.0,3.4,-111.0,-4.1,-22.0,-0.9,45.0,0.3,48.0,-1.2,66.0,-4.0,-88.0,1.8,-63.0,-9.2,-211.0,-1.2,-20.0,-7.2,6.0,19,B12,32,21-11,21,11,-0.6562,1.1,14.0,-0.6,9.0,0.0142,3.0,-3.5,69.0,1.2,40.0,2.6,177.0,-5.4,74.0,-0.4,-40.0,0.9,-1.0,0.9,-53.0,5.7,80.0,-5.5,94.0,4.8,86.0,0.5,48.0,-4.3,-45.0,-2.8,45.0,-5.1,-113.0,-1.2,24.0,-3.85,80.0
Gonzaga,11,60,Syracuse,10,63,Syracuse,False,24,WCC,26-7,26,7,0.7878787878787878,16.6,114.4,25,97.8,53,68.0,223,-0.025,243,1.7,44,105.5,85,103.8,156,,40,37,ACC,19-13,19,13,0.59375,13.2,109.5,74,96.3,38,65.7,321,-0.047,289,7.6,17,108.8,18,101.2,61,,189,22,WCC,32,25-7,25,7,0.7812,117.0,19,96.3,42,0.9031,22,55.3,13,45.1,15,16.5,69,14.9,332,31.9,98,25.9,33,35.9,197,28.3,27,54.6,15,44.9,42,37.6,45,30.3,9,35.9,157,33.1,95,68.2,216,2.2,31,36,ACC,32,19-13,19,13,0.5938,110.8,63,94.6,25,0.8603,36,50.4,146,47.5,69,18.3,192,20.6,42,33.0,61,35.3,337,35.5,207,29.4,38,47.6,218,48.7,162,36.1,111,30.4,12,43.2,28,40.3,316,65.7,320,-0.3,59,12,WCC,3,3-0,3,0,1.0,138.3,1,107.8,212,0.9459,12,61.8,2,51.7,208,13.3,34,15.3,227,35.7,57,36.8,297,43.0,71,28.2,67,60.0,8,46.7,122,43.1,27,39.2,251,39.4,102,40.9,273,64.4,287,1.2,13,79,ACC,2,0-2,0,2,0.0,112.0,75,100.1,113,0.7834,79,55.0,47,54.3,264,21.0,284,21.8,37,25.0,257,37.9,307,31.2,237,32.2,119,51.6,93,56.3,291,40.0,60,34.1,153,41.3,76,38.3,211,68.4,154,-0.8,203,22,WCC,32,25-7,25,7,0.2188,21.3,-18.0,11.5,170.0,0.0428,-10.0,6.5,-11.0,6.6,193.0,-3.2,-35.0,0.4,-105.0,3.8,-41.0,10.9,264.0,7.1,-126.0,-0.1,40.0,5.4,-7.0,1.8,80.0,5.5,-18.0,8.9,242.0,3.5,-55.0,7.8,178.0,-3.8,71.0,-1.0,-18.0,36,ACC,32,19-13,19,13,-0.5938,1.2,12.0,5.5,88.0,-0.0769,43.0,4.6,-99.0,6.8,195.0,2.7,92.0,1.2,-5.0,-8.0,196.0,2.6,-30.0,-4.3,30.0,2.8,81.0,4.0,-125.0,7.6,129.0,3.9,-51.0,3.7,141.0,-1.9,48.0,-2.0,-105.0,2.7,-166.0,-0.5,144.0
