Team1,Team1_Seed,Team1_Score,Team2,Team2_Seed,Team2_Score,WinningTeam,Team1_Win
Kentucky,1,81,Western Ky.,16,66,Western Ky.,False
Iowa St.,8,77,UConn,9,64,UConn,False
Wichita St.,5,59,VCU,12,62,VCU,False
Indiana,4,79,New Mexico St.,13,66,New Mexico St.,False
UNLV,6,64,Colorado,11,68,Colorado,False
Baylor,3,68,South Dakota St.,14,60,South Dakota St.,False
Notre Dame,7,63,Xavier,10,67,Xavier,False
Duke,2,70,Lehigh,15,75,Lehigh,False
Michigan St.,1,89,Long Island,16,67,Long Island,False
Memphis,8,54,Saint Louis,9,61,Saint Louis,False
New Mexico,5,75,Long Beach St.,12,68,Long Beach St.,False
Louisville,4,69,Davidson,13,62,Davidson,False
Murray St.,6,58,Colorado St.,11,41,Colorado St.,False
Marquette,3,88,BYU,14,68,BYU,False
Florida,7,71,Virginia,10,45,Virginia,False
Missouri,2,84,Norfolk St.,15,86,Norfolk St.,False
Syracuse,1,72,UNC Asheville,16,65,UNC Asheville,False
Kansas St.,8,70,Southern Miss,9,64,Southern Miss,False
Vanderbilt,5,79,Harvard,12,70,Harvard,False
Wisconsin,4,73,Montana,13,49,Montana,False
Cincinnati,6,65,Texas,11,59,Texas,False
Florida St.,3,66,St. Bonaventure,14,63,St. Bonaventure,False
Gonzaga,7,77,West Virginia,10,54,West Virginia,False
Ohio St.,2,78,Loyola (MD),15,59,Loyola (MD),False
North Carolina,1,77,Vermont,16,58,Vermont,False
Creighton,8,58,Alabama,9,57,Alabama,False
Temple,5,44,South Florida,12,58,South Florida,False
Michigan,4,60,Ohio,13,65,Ohio,False
San Diego St.,6,65,NC State,11,79,NC State,False
Georgetown,3,74,Belmont,14,59,Belmont,False
Saint Mary's,7,69,Purdue,10,72,Purdue,False
Kansas,2,65,Detroit,15,50,Detroit,False
