Team__1,Seed__1,Score__1,Team__2,Seed__2,Score__2,Winning_Team,Win__1
Arkansas,4,69,Duke,2,78,Duke,False
North Carolina,8,69,Saint Peter's,15,49,North Carolina,True
Houston,5,44,Villanova,2,50,Villanova,False
Kansas,1,76,Miami (FL),10,50,Kansas,True
