Team__1,Seed__1,Score__1,Rk_AdjEM__1,Conf__1,W-L__1,Wins__1,Losses__1,WinPct__1,AdjEM__1,AdjO__1,Rk_AdjO__1,AdjD__1,Rk_AdjD__1,AdjT__1,Rk_AdjT__1,Luck__1,Rk_Luck__1,SOS_AdjEM__1,Rk_SOS_AdjEM__1,SOS_AdjO__1,Rk_SOS_AdjO__1,SOS_AdjD__1,Rk_SOS_AdjD__1,NCSOS_AdjEM__1,Rk_NCSOS_AdjEM__1,Team__2,Seed__2,Score__2,Rk_AdjEM__2,Conf__2,W-L__2,Wins__2,Losses__2,WinPct__2,AdjEM__2,AdjO__2,Rk_AdjO__2,AdjD__2,Rk_AdjD__2,AdjT__2,Rk_AdjT__2,Luck__2,Rk_Luck__2,SOS_AdjEM__2,Rk_SOS_AdjEM__2,SOS_AdjO__2,Rk_SOS_AdjO__2,SOS_AdjD__2,Rk_SOS_AdjD__2,NCSOS_AdjEM__2,Rk_NCSOS_AdjEM__2,Winning_Team,Win__1
Gonzaga,1,68,1,WCC,26-3,26,3,0.896551724137931,32.95,121.8,1,88.9,7,72.5,4,-0.038,270,3.72,100,104.4,112,100.7,92,-2.55,243,Arkansas,4,74,20,SEC,25-8,25,8,0.7575757575757576,19.06,111.1,39,92.0,16,70.6,28,0.027,118,7.96,44,106.8,56,98.8,35,-2.68,248,Arkansas,False
Texas Tech,3,73,9,B12,25-9,25,9,0.7352941176470589,24.8,109.7,61,84.9,1,66.5,211,-0.025,235,10.34,15,107.5,34,97.2,11,-7.9,344,Duke,2,78,12,ACC,28-6,28,6,0.8235294117647058,23.79,119.4,7,95.6,43,67.4,150,-0.011,202,6.18,71,107.4,39,101.2,103,-4.49,290,Duke,False
North Carolina,8,73,30,ACC,24-9,24,9,0.7272727272727273,16.11,113.1,26,97.0,64,70.2,39,0.079,33,7.29,54,107.8,23,100.5,86,3.66,75,UCLA,4,66,8,P12,25-7,25,7,0.78125,24.92,116.1,14,91.2,12,65.6,260,-0.028,244,8.54,37,107.4,37,98.9,38,4.3,53,North Carolina,True
Purdue,3,64,14,B10,27-7,27,7,0.7941176470588235,22.39,121.3,3,98.9,98,65.8,247,0.035,101,9.06,30,108.8,9,99.8,60,-3.62,271,Saint Peter's,15,67,117,MAAC,19-11,19,11,0.6333333333333333,4.29,98.7,260,94.4,35,66.0,240,-0.016,212,-2.79,212,101.3,227,104.1,206,3.68,73,Saint Peter's,False
Arizona,1,60,2,P12,31-3,31,3,0.9117647058823528,27.24,119.6,5,92.4,20,72.2,8,0.046,76,6.33,69,106.0,75,99.7,56,-0.33,175,Houston,5,72,5,Amer,29-5,29,5,0.8529411764705882,26.51,117.3,10,90.8,11,63.9,333,-0.007,194,4.28,94,104.5,108,100.3,76,0.36,152,Houston,False
Michigan,11,55,32,B10,17-14,17,14,0.5483870967741935,15.7,114.2,19,98.5,88,66.3,218,-0.026,239,11.74,6,110.0,1,98.2,21,6.5,28,Villanova,2,63,11,BE,26-7,26,7,0.7878787878787878,24.04,117.9,8,93.9,30,62.6,345,0.051,71,10.65,12,108.5,14,97.8,15,8.75,16,Villanova,False
Kansas,1,66,6,B12,28-6,28,6,0.8235294117647058,25.63,119.4,6,93.8,28,69.1,69,0.035,102,12.12,3,107.6,30,95.5,1,4.5,48,Providence,4,61,50,BE,25-5,25,5,0.8333333333333334,13.81,111.9,32,98.1,80,65.2,272,0.194,1,6.95,56,106.0,72,99.1,43,-0.17,166,Kansas,True
Iowa State,11,56,46,B12,20-12,20,12,0.625,14.1,104.4,151,90.3,10,66.1,232,0.038,93,10.32,16,107.8,24,97.4,12,-6.54,328,Miami (FL),10,70,59,ACC,23-10,23,10,0.696969696969697,12.73,114.8,17,102.1,155,67.3,161,0.069,49,6.72,60,106.8,55,100.1,69,0.63,146,Miami (FL),False
