Team1,Team1_Seed,Team1_Score,Team2,Team2_Seed,Team2_Score,WinningTeam,Team1_Win
Alabama,1,96,Texas A&M-CC,16,75,Alabama,True
Maryland,8,67,West Virginia,9,65,Maryland,True
San Diego St.,5,63,Charleston,12,57,San Diego St.,True
Virginia,4,67,Furman,13,68,Furman,False
Creighton,6,72,NC State,11,63,Creighton,True
Baylor,3,74,UCSB,14,56,Baylor,True
Missouri,7,76,Utah St.,10,65,Missouri,True
Arizona,2,55,Princeton,15,59,Princeton,False
Purdue,1,58,FDU,16,63,FDU,False
Memphis,8,65,FAU,9,66,FAU,False
Duke,5,74,Oral Roberts,12,51,Duke,True
Tennessee,4,58,Louisiana,13,55,Tennessee,True
Kentucky,6,61,Providence,11,53,Kentucky,True
Kansas St.,3,77,Montana St.,14,65,Kansas St.,True
Michigan St.,7,72,USC,10,62,Michigan St.,True
Marquette,2,78,Vermont,15,61,Marquette,True
Houston,1,63,N Kentucky,16,52,Houston,True
Iowa,8,75,Auburn,9,83,Auburn,False
Miami (FL),5,63,Drake,12,56,Miami (FL),True
Indiana,4,71,Kent St.,13,60,Indiana,True
Iowa St.,6,41,Pitt,11,59,Pitt,False
Xavier,3,72,Kennesaw St.,14,67,Xavier,True
Texas A&M,7,59,Penn St.,10,76,Penn St.,False
Texas,2,81,Colgate,15,61,Texas,True
Kansas,1,96,Howard,16,68,Kansas,True
Arkansas,8,73,Illinois,9,63,Arkansas,True
Saint Mary's,5,63,VCU,12,51,Saint Mary's,True
UConn,4,87,Iona,13,63,UConn,True
TCU,6,72,Arizona St.,11,70,TCU,True
Gonzaga,3,82,Grand Canyon,14,70,Gonzaga,True
Northwestern,7,75,Boise St.,10,67,Northwestern,True
UCLA,2,86,UNC Asheville,15,53,UCLA,True
