Team1,Team1_Seed,Team1_Score,Team2,Team2_Seed,Team2_Score,WinningTeam,Team1_Win
Alabama,1,73,Maryland,8,51,Alabama,True
San Diego St.,5,75,Furman,13,52,San Diego St.,True
Creighton,6,85,Baylor,3,76,Creighton,True
Missouri,7,63,Princeton,15,78,Princeton,False
FDU,16,70,FAU,9,78,FAU,False
Duke,5,52,Tennessee,4,65,Tennessee,False
Kentucky,6,69,Kansas St.,3,75,Kansas St.,False
Michigan St.,7,69,Marquette,2,60,Michigan St.,True
Houston,1,81,Auburn,9,64,Houston,True
Miami (FL),5,85,Indiana,4,69,Miami (FL),True
Pitt,11,73,Xavier,3,84,Xavier,False
Penn St.,10,66,Texas,2,71,Texas,False
Kansas,1,71,Arkansas,8,72,Arkansas,False
Saint Mary's,5,55,UConn,4,70,UConn,False
TCU,6,81,Gonzaga,3,84,Gonzaga,False
Northwestern,7,63,UCLA,2,68,UCLA,False
